Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),CO2-C (g)
15.0,3.685446,5,0.0,0.17,15,1,69.8,1.55,0,6.0,0.0,8.9,0.0,0.0,0.279582353,0.0,0.278672665,47.529,14.353758,0.0,0.0,1304.756602
15.0,0.0,5,0.0,0.17,21,4,71.5,1.62,0,15.0,0.0,9.1,0.0,0.0,0.297352941,0.0,0.27764763,50.55,14.40675,0.0,0.0,1911.775725
15.0,3.668852355,5,0.0,0.17,15,1,72.3,1.35,0,15.0,0.0,9.0,0.0,0.0,0.300405882,0.0,0.282763187,51.069,14.146113,0.0,0.0,1823.433966
15.0,7.017404988,5,0.0,0.17,15,1,71.3,1.31,0,15.0,0.0,8.7,0.0,0.0,0.303464706,0.0,0.270159961,51.589,14.806043,0.0,0.0,1673.082859
15.0,10.35226864,5,0.0,0.17,15,1,71.1,1.25,0,15.0,0.0,8.7,0.0,0.0,0.306523529,0.0,0.265613051,52.109,15.059501,0.0,0.0,1335.777739
16.0,0.0,3,3.0,0.045,21,4,70.9,2.1,0,16.0,0.0,7.04,20.0,0.0,0.444444444,42.0,0.515463918,20.0,5.82,0.0,0.0,12.44103545
16.0,14.0,3,3.0,0.045,2,3,71.7,2.0,0,16.0,0.0,7.28,21.0,0.0,0.444444444,42.0,0.530035336,20.0,5.66,0.0,0.0,13.16755653
16.0,14.0,3,3.0,0.045,2,3,68.3,1.7,0,16.0,0.0,7.25,25.0,0.0,0.444444444,42.5,0.47318612,20.0,6.34,0.0,0.0,12.04442692
76.0,0.0,1,7.0,0.1625,19,3,60.0,0.0,0,76.0,0.0,0.0,0.0,0.0,0.153846154,0.0,0.1275,25.0,10.0,0.0,0.0,2349.0
76.0,7.5,1,7.0,0.1625,21,4,60.0,1.57,0,76.0,0.0,0.0,27.40127389,0.0,0.153846154,43.02,0.1275,25.0,10.0,0.0,0.0,2202.0
76.0,0.0,1,3.0,0.1625,19,3,60.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.153846154,0.0,0.0,25.0,10.0,0.0,0.0,1894.0
76.0,7.5,1,3.0,0.1625,21,4,60.0,1.57,2,0.0,0.0,0.0,27.40127389,0.0,0.153846154,43.02,0.0,25.0,10.0,0.0,0.0,1878.0
27.0,0.0,0,1.0,0.77,21,4,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.162298701,0.0,5.941425942,124.97,34.9916,0.0,0.0,706.8757636
27.0,2.1,0,1.0,0.77,19,3,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.163233766,0.0,5.907391201,125.69,35.1932,0.0,0.0,831.2679545
27.0,4.1,0,1.0,0.77,19,3,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.164168831,0.0,5.873744166,126.41,35.3948,0.0,0.0,769.1473909
27.0,6.2,0,1.0,0.77,19,3,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.165090909,0.0,5.840937697,127.12,35.5936,0.0,0.0,758.9064
27.0,8.2,0,1.0,0.77,19,3,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.166025974,0.0,5.808041302,127.84,35.7952,0.0,0.0,768.0859636
27.0,10.3,0,1.0,0.77,19,3,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.166961039,0.0,5.775513379,128.56,35.9968,0.0,0.0,620.2435636
112.0,0.0,3,12.0,0.0,21,4,65.4,1.4,0,42.0,0.0,7.1,0.0,3.252,0.0,0.0,0.256904303,1875.0,648.75,0.0,0.0,294830.0
112.0,2.949852507,3,12.0,0.0,13,0,66.1,1.6,0,42.0,0.0,6.8,0.0,3.484,0.0,0.0,0.262209112,1875.0,635.625,0.0,0.0,287400.0
112.0,0.0,3,12.0,0.0,21,4,64.9,3.4,2,0.0,0.0,6.9,0.0,6.093,0.0,0.0,0.0,910.0,319.41,0.0,0.0,192520.0
112.0,2.816901408,3,12.0,0.0,13,0,64.5,3.1,2,0.0,0.0,7.0,0.0,5.606,0.0,0.0,0.0,910.0,323.05,0.0,0.0,240140.0
35.0,2.25,3,9.0,0.02,7,3,0.0,0.0,0,35.0,0.0,7.455058422818793,29.0076,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.3884,662.247
35.0,1.8209,3,9.0,0.02,7,1,0.0,0.0,0,35.0,0.0,6.47344,32.0229,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.86385,193.483
35.0,2.5709,3,9.0,0.02,7,1,0.0,0.0,0,35.0,0.0,8.34411,30.3435,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.65179,487.64
35.0,3.3209,3,9.0,0.02,7,1,0.0,0.0,0,35.0,0.0,7.455058422818793,26.9466,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.95312,685.843
35.0,4.0709,3,9.0,0.02,7,1,0.0,0.0,0,35.0,0.0,7.455058422818793,29.0458,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.41072,648.09
