Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),CH4-C loss (%)
50.0,0.0,2,7.0,0.288,9,3,67.71,2.412,1,50.0,60.0,7.82,21.24,0.187612,0.0,51.23088,0.0,0.0,0.0,0.0257595,0.0,0.3
50.0,12.0,2,7.0,0.288,0,2,66.08,2.53,1,50.0,60.0,8.01,21.21,0.130564,0.0,53.6613,0.0,0.0,0.0,0.0356083,0.0,0.283
28.0,0.0,5,4.0,0.06,9,3,62.06,1.95,0,28.0,0.0,7.79826,17.91,0.0,0.740203831,34.9245,0.36,44.41222984,16.85,0.0,2.1116,1.55
28.0,10.0,5,4.0,0.06,8,0,58.69,1.96,0,28.0,0.0,7.89913,18.23,0.0,0.780682643,35.7308,0.36,46.84095861,19.35,0.0,2.162,1.17
34.0,0.0,0,6.0,0.06,9,3,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.583333333,0.0,0.272108844,35.0,12.25,0.0,1.13,1.12
34.0,10.0,0,6.0,0.06,8,0,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.60375,0.0,0.262907095,36.225,12.67875,0.0,1.48,0.64
34.0,10.28571429,0,6.0,0.06,8,0,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.604333333,0.0,0.262653324,36.26,12.691,0.0,1.27,0.56
34.0,14.57142857,0,6.0,0.06,8,0,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.613083333,0.0,0.258904704,36.785,12.87475,0.0,1.52,0.49
35.0,0.0,0,6.0,0.06,9,3,69.2,2.03653,0,0.0,0.0,8.2,18.43351191,4.12348,0.0,37.5404,0.25,0.0,0.0,0.271911,0.0,1.7
35.0,0.0,0,6.0,0.06,4,0,0.0,2.03653,0,0.0,0.0,8.0,18.43351191,1.1653,0.0,37.5404,0.25,0.0,0.0,0.190637,0.0,1.8
35.0,4.0,0,6.0,0.06,8,2,0.0,2.03653,0,0.0,0.0,7.25,18.43351191,3.76491,0.0,37.5404,0.25,0.0,0.0,0.194223,0.0,0.4
35.0,0.0,0,6.0,0.06,4,0,0.0,2.03653,0,0.0,0.0,6.75,18.43351191,3.94421,0.0,37.5404,0.25,0.0,0.0,0.259363,0.0,1.1
50.0,0.0,4,9.0,0.1,9,3,60.0,0.0,2,0.0,0.0,6.53,31.0074,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.34
50.0,2.0,4,9.0,0.1,2,2,60.0,0.0,2,0.0,0.0,6.85,30.0553,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.31
