Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),N2O-N loss (%)
35.0,4.56,0,4.0,0.06,13,1,0.0,2.17362,0,35.0,0.0,7.82614,0.0,0.610169,0.0,0.0,0.38,0.0,0.0,0.0516206,0.0,1.45
35.0,6.48,0,4.0,0.06,13,1,0.0,2.40973,0,35.0,0.0,7.85682,0.0,2.31864,0.0,0.0,0.38,0.0,0.0,0.0796838,0.0,1.29
110.0,0.0,5,6.0,0.032,21,4,64.6,2.34,0,39.57377049180328,0.0,7.4,0.0,2.0,0.5,0.0,1.765536723,16.0,5.664,0.1,0.0,9.3
110.0,0.0,5,6.0,0.032,14,0,64.6,2.34,0,39.57377049180328,0.0,7.4,0.0,2.0,0.5,0.0,1.765536723,16.0,5.664,0.1,0.0,3.0
51.0,0.0,5,1.0,0.0318,17,3,60.6289,2.4529,1,51.0,10.0,7.94808,0.0,4.54,0.0,0.0,0.0,0.0,0.0,0.75,1.41628,8.921
51.0,10.25,5,1.0,0.0318,7,3,64.9057,2.51066,1,51.0,10.0,7.51827,0.0,5.52,0.0,0.0,0.0,0.0,0.0,1.41,1.52548,0.645
51.0,0.0,5,1.0,0.0318,21,4,61.8868,2.24044,1,51.0,10.0,7.85,0.0,4.86,0.0,0.0,0.0,0.0,0.0,0.82,1.36868,11.219
47.40596330275229,0.0,10,5.0,1.924220107,21,4,62.63,1.4,2,0.0,0.0,8.3,17.9,2.457,0.519691067,25.06,0.0,2675.94327,1000.0,0.01,11.7,0.086142857
47.40596330275229,10.0,10,5.0,2.194092057,8,1,65.46,1.33,2,0.0,0.0,7.6,17.8,2.755,0.455769391,23.674,0.0,2895.193978,1000.0,0.009,3.5467839473684215,0.202071429
47.40596330275229,17.8,10,5.0,2.210162561,8,1,64.61,1.32,2,0.0,0.0,7.6,18.9,2.311,0.452455406,24.948,0.0,2825.656965,1000.0,0.006,3.5467839473684215,0.153571429
47.40596330275229,26.9,10,5.0,2.507596353,8,1,65.46,1.29,2,0.0,0.0,7.4,18.5,2.893,0.398788265,23.865,0.0,2895.193978,1000.0,0.011,3.5467839473684215,0.221071429
47.40596330275229,9.9,10,5.0,1.934642071,18,3,64.12,1.29,2,0.0,0.0,8.4,20.1,2.858,0.516891478,25.929,0.0,2787.068004,1000.0,0.005,12.2,0.056071429
47.40596330275229,20.7,10,5.0,2.242778039,18,3,61.07,1.12,2,0.0,0.0,8.6,17.1,2.265,0.445875598,19.152,0.0,2568.713075,1000.0,0.008,9.8,0.148785714
47.40596330275229,30.6,10,5.0,2.51122902,18,3,63.73,1.23,2,0.0,0.0,8.7,18.9,2.144,0.398211391,23.247,0.0,2757.099531,1000.0,0.008,10.7,0.104714286
70.0,0.0,0,10.0,1.2,21,4,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70.0,3.3,0,10.0,1.2,19,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
70.0,6.6,0,10.0,1.2,19,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
70.0,9.9,0,10.0,1.2,19,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
70.0,13.2,0,10.0,1.2,19,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
70.0,16.5,0,10.0,1.2,19,1,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
44.0,0.0,6,6.0,0.273,21,4,68.45,2.53,1,44.0,20.0,7.85,12.58616601,0.0,0.228937729,31.843,0.46008,62.5,19.71875,0.0,0.0,0.228125
44.0,5.890009954,6,6.0,0.275,2,3,66.71,2.511,1,44.0,20.0,7.89,13.36798088,0.0,0.231818182,33.567,0.451058824,63.75,21.222375,0.0,0.0,0.241106719
44.0,11.86352204,6,6.0,0.277,2,3,67.58,2.522,1,44.0,20.0,8.1,14.22085646,0.0,0.23465704,35.865,0.442384615,65.0,21.073,0.0,0.0,0.215053763
44.0,21.4148812,6,6.0,0.282,2,3,65.41,2.506,1,44.0,20.0,8.17,14.81404629,0.0,0.239361702,37.124,0.426,67.5,23.34825,0.0,0.0,0.170499603
76.0,0.0,2,7.0,0.1625,19,3,60.0,0.0,0,76.0,0.0,0.0,0.0,0.0,0.153846154,0.0,0.1275,25.0,10.0,0.0,0.0,0.084
76.0,7.5,2,7.0,0.1625,21,4,60.0,1.57,0,76.0,0.0,0.0,27.40127389,0.0,0.153846154,43.02,0.1275,25.0,10.0,0.0,0.0,0.1
76.0,0.0,2,3.0,0.1625,19,3,60.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.153846154,0.0,0.0,25.0,10.0,0.0,0.0,0.1
76.0,7.5,2,3.0,0.1625,21,4,60.0,1.57,2,0.0,0.0,0.0,27.40127389,0.0,0.153846154,43.02,0.0,25.0,10.0,0.0,0.0,0.067
45.0,0.0,3,8.625,2.4,21,4,55.0,1.094658467,1,45.0,30.0,7.87459,30.4875,2.90787,0.416666667,33.3734,6.67,1000.0,450.0,0.683382,2.33818,8.62769
45.0,0.444444444,3,8.625,2.4,1,3,55.0,1.126532432,1,45.0,30.0,7.73601,29.153,2.86062,0.416666667,32.8418,6.67,1000.0,450.0,0.703876,2.30636,1.27637
45.0,0.444444444,3,8.625,2.4,16,3,55.0,1.03963782,1,45.0,30.0,7.7218,31.2883,2.52991,0.416666667,32.5285,6.67,1000.0,450.0,0.642379,2.28727,3.0741
112.0,0.0,5,12.0,0.026,21,4,61.9,2.36,0,39.57377049180328,0.0,7.5,0.0,2.1,0.5,0.0,2.024,13.0,0.0,0.1,0.0,8.85
112.0,0.0,5,12.0,0.026,14,0,0.0,0.0,0,39.57377049180328,0.0,0.0,0.0,0.0,0.5,0.0,2.024,13.0,0.0,0.0,0.0,1.75
112.0,0.0,5,12.0,0.026,14,0,0.0,0.0,0,39.57377049180328,0.0,0.0,0.0,0.0,0.5,0.0,2.024,13.0,0.0,0.0,0.0,2.02
112.0,0.0,5,12.0,0.0,21,4,65.4,1.4,0,42.0,0.0,7.1,0.0,3.252,0.0,0.0,0.256904303,1875.0,648.75,0.0,0.0,2.28
112.0,2.949852507,5,12.0,0.0,14,0,66.1,1.6,0,42.0,0.0,6.8,0.0,3.484,0.0,0.0,0.262209112,1875.0,635.625,0.0,0.0,2.02
112.0,0.0,5,12.0,0.0,21,4,64.9,3.4,2,0.0,0.0,6.9,0.0,6.093,0.0,0.0,0.0,910.0,319.41,0.0,0.0,4.07
112.0,2.816901408,5,12.0,0.0,14,0,64.5,3.1,2,0.0,0.0,7.0,0.0,5.606,0.0,0.0,0.0,910.0,323.05,0.0,0.0,6.04
56.0,0.0,8,11.0,0.13,21,4,55.0,1.80435,1,56.0,0.0,7.4,25.02125419,0.0441696,0.5,45.1471,1.111111111,0.0,0.0,0.152866,0.0,2.5
56.0,2.0,8,11.0,0.13,2,3,55.0,1.84239,1,56.0,0.0,7.8,25.08996467,0.0883392,0.5,46.2255,1.111111111,0.0,0.0,0.136943,0.0,1.8
56.0,4.0,8,11.0,0.13,2,3,55.0,1.8587,1,56.0,0.0,7.8,25.00166783,0.132509,0.5,46.4706,1.111111111,0.0,0.0,0.121019,0.0,0.57
