Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),TN loss (%)
35.0,1.8209,8,9.0,0.02,18,1,0.0,0.0,0,35.0,0.0,6.47344,32.0229,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.86385,0.290698
35.0,2.5709,8,9.0,0.02,18,1,0.0,0.0,0,35.0,0.0,8.34411,30.3435,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.65179,19.0891
35.0,3.3209,8,9.0,0.02,18,1,0.0,0.0,0,35.0,0.0,7.455058422818793,26.9466,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.95312,27.3256
35.0,4.0709,8,9.0,0.02,18,1,0.0,0.0,0,35.0,0.0,7.455058422818793,29.0458,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.41072,47.9651
40.0,0.0,13,6.0,0.0,44,4,64.54545455,2.34,1,30.0,84.95033112582782,6.8098,16.53935897,1.89683,0.0,38.7021,7.692307692,22.0,7.8,0.0304569,3.42006,53.1
40.0,6.0,13,6.0,0.0,37,1,63.55555556,2.31,1,30.0,84.95033112582782,5.99866,16.39658009,2.01587,0.0,37.8761,7.317073171,22.5,8.2,0.0159365,4.91765,36.2
40.0,15.0,13,6.0,0.0,34,1,62.06896552,2.41,1,30.0,84.95033112582782,6.19841,15.97082988,2.39286,0.0,38.4897,6.818181818,23.2,8.8,0.063848,3.88383,46.5
40.0,1.460823373,13,6.0,0.0,42,1,65.17412935,2.34,1,30.0,84.95033112582782,6.11367,16.34773504,2.01587,0.0,38.2537,7.792207792,22.11,7.7,0.0435213,4.21233,41.5
28.0,0.0,7,4.0,1.0,44,4,65.0,1.4,2,0.0,0.0,0.0,26.71428571,0.0,0.1,37.4,0.0,100.0,35.0,0.0,0.0,19.53
28.0,6.0,7,4.0,1.0,3,3,0.0,1.4,2,0.0,0.0,0.0,0.0,0.0,0.105754,0.0,0.0,105.754,37.0139,0.0,0.0,22.53
28.0,18.0,7,4.0,1.0,3,3,0.0,1.4,2,0.0,0.0,0.0,0.0,0.0,0.117262,0.0,0.0,117.262,41.0417,0.0,0.0,20.85
28.0,30.0,7,4.0,1.0,3,3,0.0,1.4,2,0.0,0.0,0.0,0.0,0.0,0.12877,0.0,0.0,128.77,45.0695,0.0,0.0,19.4
28.0,42.0,7,4.0,1.0,3,3,0.0,1.4,2,0.0,0.0,0.0,0.0,0.0,0.140278,0.0,0.0,140.278,49.0973,0.0,0.0,16.26
28.0,9.321847827567307,7,4.0,1.0,3,3,0.0,1.4,2,0.0,0.0,0.0,0.0,0.0,0.151786,0.0,0.0,151.786,53.1251,0.0,0.0,14.85
28.0,0.0,8,4.0,1.8,44,4,63.2432,0.0,0,28.0,0.0,0.0,0.0,0.0,0.668333333,0.0,0.20353504,1203.0,442.184304,0.0,0.0,19.5
28.0,0.692029463,8,4.0,1.8,39,0,64.0541,0.0,0,28.0,0.0,0.0,0.0,0.0,0.67,0.0,0.207608839,1206.0,433.507554,0.0,0.0,18.5
56.0,0.0,13,11.0,0.13,44,4,55.0,1.80435,1,56.0,0.0,7.4,25.02125419,0.0441696,0.5,45.1471,1.111111111,0.0,0.0,0.152866,0.0,6.03
56.0,2.0,13,11.0,0.13,3,3,55.0,1.84239,1,56.0,0.0,7.8,25.08996467,0.0883392,0.5,46.2255,1.111111111,0.0,0.0,0.136943,0.0,4.15
56.0,4.0,13,11.0,0.13,3,3,55.0,1.8587,1,56.0,0.0,7.8,25.00166783,0.132509,0.5,46.4706,1.111111111,0.0,0.0,0.121019,0.0,2.7
56.0,6.0,13,11.0,0.13,3,3,55.0,1.95109,1,56.0,0.0,8.0,23.99361383,0.185512,0.5,46.8137,1.111111111,0.0,0.0,0.10828,0.0,3.16
56.0,8.0,13,11.0,0.13,3,3,55.0,2.11957,1,56.0,0.0,8.0,22.31768708,0.20318,0.5,47.3039,1.111111111,0.0,0.0,0.0987261,0.0,2.44
56.0,12.0,13,11.0,0.13,3,3,55.0,2.27717,1,56.0,0.0,8.1,21.13908931,0.238516,0.5,48.1373,1.111111111,0.0,0.0,0.0859873,0.0,2.21
56.0,18.0,13,11.0,0.13,3,3,55.0,2.42935,1,56.0,0.0,8.2,20.4000247,0.282686,0.5,49.5588,1.111111111,0.0,0.0,0.0700637,0.0,2.08
69.0,0.0,2,37.0,0.08,44,4,80.7,0.82,2,0.0,0.0,0.0,20.37804878,0.0,0.0,16.71,0.0,0.0,0.0,0.0,0.0,24.05063291
69.0,3.0,2,37.0,0.08,3,3,80.7,0.9,2,0.0,0.0,0.0,22.76666667,0.0,0.0,20.49,0.0,0.0,0.0,0.0,0.0,17.24137931
69.0,4.0,2,37.0,0.08,40,1,80.7,0.95,2,0.0,0.0,0.0,19.47368421,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,11.63934426
69.0,3.0,2,37.0,0.08,40,2,80.7,0.83,2,0.0,0.0,0.0,22.13253012,0.0,0.0,18.37,0.0,0.0,0.0,0.0,0.0,18.1
35.0,0.0,1,4.0,0.06,44,4,69.2,2.04,0,35.0,0.0,8.23053,18.4,4.04848,0.0,37.48,0.3,0.0,0.0,0.270275,0.0,37.5
35.0,15.0,1,4.0,0.06,12,1,69.2,2.04,0,35.0,0.0,8.02421,18.4,1.22424,0.0,37.48,0.3,0.0,0.0,0.186606,0.0,18.8
35.0,15.0,1,4.0,0.06,16,1,69.2,2.04,0,35.0,0.0,7.96947,18.4,2.03636,0.0,37.48,0.3,0.0,0.0,0.242752,0.0,20.8
35.0,15.0,1,4.0,0.06,5,1,69.2,2.04,0,35.0,0.0,8.16316,18.4,1.73333,0.0,37.48,0.3,0.0,0.0,0.203119,0.0,17.6
35.0,15.0,1,4.0,0.06,12,1,69.2,2.04,0,35.0,0.0,6.85368,18.4,2.98182,0.0,37.48,0.3,0.0,0.0,0.211927,0.0,9.8
82.0,1.377410468,8,15.0,0.5137839560638298,23,0,63.7,2.605733766,2,0.0,0.0,6.5,15.4,3.09,0.36840176,40.1283,0.0,2010.0,729.63,0.628528,1.88,30.73
82.0,9.641873278,8,15.0,0.5137839560638298,3,2,63.7,2.440908053,2,0.0,0.0,6.5,17.51,3.09,0.379398827,42.7403,0.0,2070.0,751.41,0.628528,1.88,20.73
50.0,2.5,6,7.0,0.18,23,0,60.0,2.66347,1,50.0,240.0,0.0,17.6,1.93803,0.222222222,46.877072,6.25,40.0,16.0,0.0,5.59,32.19
50.0,2.5,6,7.0,0.18,23,0,60.0,1.99045,1,50.0,240.0,0.0,24.0,1.8645,0.222222222,47.7708,6.25,40.0,16.0,0.0,5.56,20.8
50.0,2.5,6,7.0,0.18,23,0,60.0,1.55129,1,50.0,240.0,0.0,32.4,1.38653,0.222222222,50.261796,6.25,40.0,16.0,0.0,5.38,13.65
50.0,2.5,6,7.0,0.18,23,0,60.0,1.24328,1,50.0,240.0,0.0,40.3,1.14025,0.222222222,50.104184,6.25,40.0,16.0,0.0,4.4,7.66
50.0,2.5,6,7.0,0.18,37,2,60.0,0.0,1,50.0,240.0,8.18053,24.0,1.85761,0.222222222,0.0,6.25,40.0,16.0,0.0,0.0,20.8
50.0,5.0,6,7.0,0.18,37,2,60.0,0.0,1,50.0,240.0,8.08772,24.4,1.61792,0.222222222,0.0,6.25,40.0,16.0,0.0,0.0,13.82
50.0,7.5,6,7.0,0.18,37,2,60.0,0.0,1,50.0,240.0,8.03508,24.1,1.51306,0.222222222,0.0,6.25,40.0,16.0,0.0,0.0,10.57
50.0,10.0,6,7.0,0.18,37,2,60.0,0.0,1,50.0,240.0,7.92372,24.1,1.85761,0.222222222,0.0,6.25,40.0,16.0,0.0,0.0,9.8
35.0,2.5,6,5.0,0.18,43,2,60.0,1.8811,1,35.0,240.0,8.35331,27.0,2.20719,0.222222222,50.7897,6.25,40.0,16.0,0.0,3.4,33.01
35.0,9.230769231,6,5.0,0.18,43,2,60.0,1.76278,1,35.0,240.0,8.3426,26.0,2.09302,0.222222222,45.83228,6.25,40.0,16.0,0.0,3.34,28.94
35.0,16.92307692,6,5.0,0.18,43,2,60.0,1.55575,1,35.0,240.0,8.23822,26.3,1.78858,0.222222222,40.916225,6.25,40.0,16.0,0.0,3.1,21.28
35.0,24.61538462,6,5.0,0.18,43,2,60.0,1.48814,1,35.0,240.0,8.19063,25.3,1.23679,0.222222222,37.649942,6.25,40.0,16.0,0.0,2.37,17.39
81.0,0.0,8,8.625,0.5137839560638298,44,4,65.0,2.76,2,0.0,0.0,8.12,14.42028986,3.68,1.179789286,39.8,0.0,536.5935345111169,167.7311999788358,0.05,2.68,34.15
81.0,8.8,8,8.625,0.5137839560638298,3,3,65.0,2.7,2,0.0,0.0,8.12,15.14814815,3.68,1.185189286,40.9,0.0,536.5935345111169,167.7311999788358,0.05,2.68,29.07
50.0,0.0,10,9.0,0.06,44,4,60.6,1.303921569,2,0.0,0.0,7.84,22.5,1.384,0.433333333,29.33823529,0.0,26.0,10.244,0.173,2.78,15.0
50.0,25.49,10,9.0,0.06,11,1,60.1,1.219298246,2,0.0,0.0,7.68,23.4,1.68,0.476666667,28.53157895,0.0,28.6,11.4114,0.125,2.79,10.8
28.0,0.0,14,4.0,0.06,44,4,62.06,1.95,0,28.0,0.0,7.79826,17.91,0.0,0.740203831,34.9245,0.36,44.41222984,16.85,0.0,2.1116,20.29
28.0,10.0,14,4.0,0.06,37,1,58.69,1.96,0,28.0,0.0,7.89913,18.23,0.0,0.780682643,35.7308,0.36,46.84095861,19.35,0.0,2.162,13.03
56.0,10.0,13,11.0,0.1,43,3,55.0,1.80701,0,56.0,0.0,7.6,25.17971677,0.373563,0.5,45.5,0.0,0.0,0.0,0.0,0.0,28.8
56.0,10.0,13,11.0,0.1,19,3,55.0,1.77226,0,56.0,0.0,8.6,25.67343392,0.306513,0.5,45.5,0.0,0.0,0.0,0.0,0.0,28.3
56.0,10.0,13,11.0,0.1,2,1,55.0,1.78861,0,56.0,0.0,8.7,25.43874853,0.335249,0.5,45.5,0.0,0.0,0.0,0.0,0.0,28.42
30.0,0.0,1,4.0,0.06,44,4,53.59,1.1,1,30.0,20.0,0.0,32.46,0.0,0.0,35.52,0.0,0.0,12.01,0.0,2.12887,31.94
30.0,0.0,1,4.0,0.06,44,4,0.0,0.0,1,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24,0.0,2.1701,24.55
30.0,0.0,1,4.0,0.06,33,0,0.0,0.0,1,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,0.0,1.97423,22.86
30.0,0.0,1,4.0,0.06,23,0,0.0,0.0,1,30.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04,0.0,2.07732,32.13
35.0,0.0,1,2.0,0.06,44,4,67.6,2.22446,1,35.0,30.0,7.779,17.43119678,1.0453,0.0,38.775,0.38,0.0,0.0,0.0,1.94495,32.01
35.0,0.408,1,2.0,0.06,30,1,0.0,2.06768,1,35.0,30.0,6.76537,14.83745067,2.19512,0.0,30.6791,0.38,0.0,0.0,0.0,3.76758,20.32
35.0,0.408,1,2.0,0.06,6,1,0.0,2.16937,1,35.0,30.0,8.01878,16.20428972,1.32753,0.0,35.1531,0.38,0.0,0.0,0.0,3.31498,33.29
35.0,0.408,1,2.0,0.06,30,1,0.0,2.27531,1,35.0,30.0,7.24492,13.97506274,2.63415,0.0,31.7976,0.38,0.0,0.0,0.0,3.10703,19.58
28.0,0.0,1,5.0,0.06,44,4,57.5409262,2.13,0,28.0,0.0,7.08396,19.25,3.00554,0.532666667,38.5,0.48,31.96,13.56992,0.0,0.0,31.5
28.0,2.449875,1,5.0,0.06,12,1,0.0,2.14833,0,28.0,0.0,6.59564,0.0,3.03044,0.538207435,0.0,0.48,32.29244608,0.0,0.0,0.0,15.82
28.0,2.45195,1,5.0,0.06,13,1,0.0,2.15,0,28.0,0.0,6.76549,0.0,3.11347,0.538212128,0.0,0.48,32.29272765,0.0,0.0,0.0,27.47
28.0,4.3543475,1,5.0,0.06,14,1,0.0,2.16833,0,28.0,0.0,8.34723,0.0,1.2869,0.542514691,0.0,0.48,32.55088147,0.0,0.0,0.0,32.42
21.0,0.0,4,0.0,0.1,44,4,0.0,3.07,1,21.0,360.0,5.70635,0.0,1.5,0.0,0.0,0.2,0.0,0.0,0.0103529,0.0,23.4
21.0,0.25,4,0.0,0.1,36,1,0.0,3.15,1,21.0,360.0,5.60317,0.0,1.5,0.0,0.0,0.2,0.0,0.0,0.00894118,0.0,13.05
21.0,5.25,4,0.0,0.1,36,2,0.0,2.99,1,21.0,360.0,5.64286,0.0,1.5,0.0,0.0,0.2,0.0,0.0,0.00470588,0.0,6.82
21.0,5.0,4,0.0,0.1,23,0,0.0,2.92,1,21.0,360.0,5.65873,0.0,1.5,0.0,0.0,0.2,0.0,0.0,0.00658824,0.0,16.78
42.0,0.0,13,2.0,0.165,44,4,53.8,2.89,0,42.0,0.0,7.9,16.6,0.0,0.3,47.9,0.070196856,0.0,0.0,0.0,0.0,48.7
42.0,10.8,13,2.0,0.165,3,3,49.3,2.65,0,42.0,0.0,8.29,18.6,0.0,0.3,49.3,0.065334059,0.0,0.0,0.0,0.0,41.9
42.0,21.6,13,2.0,0.165,3,3,50.2,2.45,0,42.0,0.0,8.04,20.4,0.0,0.3,50.1,0.07022849,0.0,0.0,0.0,0.0,38.3
34.0,0.0,1,6.0,0.06,44,4,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.583333333,0.0,0.272108844,35.0,12.25,0.0,1.13,37.08
34.0,10.0,1,6.0,0.06,37,1,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.60375,0.0,0.262907095,36.225,12.67875,0.0,1.48,28.22
34.0,10.28571429,1,6.0,0.06,37,1,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.604333333,0.0,0.262653324,36.26,12.691,0.0,1.27,26.16
34.0,14.57142857,1,6.0,0.06,37,1,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.613083333,0.0,0.258904704,36.785,12.87475,0.0,1.52,24.0
35.0,0.0,1,6.0,0.06,44,4,69.2,2.03653,0,0.0,0.0,8.2,18.43351191,4.12348,0.0,37.5404,0.25,0.0,0.0,0.271911,0.0,37.5
35.0,0.0,1,6.0,0.06,12,1,0.0,2.03653,0,0.0,0.0,8.0,18.43351191,1.1653,0.0,37.5404,0.25,0.0,0.0,0.190637,0.0,18.8
35.0,4.0,1,6.0,0.06,37,3,0.0,2.03653,0,0.0,0.0,7.25,18.43351191,3.76491,0.0,37.5404,0.25,0.0,0.0,0.194223,0.0,24.8
35.0,0.0,1,6.0,0.06,12,1,0.0,2.03653,0,0.0,0.0,6.75,18.43351191,3.94421,0.0,37.5404,0.25,0.0,0.0,0.259363,0.0,15.5
29.0,0.0,8,0.0,0.0141,44,4,68.2,1.79,1,29.0,84.95033112582782,7.83,14.63687151,0.642857,0.3114,26.2,4.0,0.0,0.0,0.266356,0.0,33.4
29.0,0.0,15,0.0,0.0141,3,3,76.4,1.97,1,29.0,84.95033112582782,8.05,10.55837563,3.31677,0.3657,20.8,4.0,0.0,0.0,0.204872,0.0,18.5
29.0,0.0,8,0.0,0.0141,3,3,70.6,2.09,1,29.0,84.95033112582782,8.22,12.24880383,2.10559,0.3359,25.6,4.0,0.0,0.0,0.438994,0.0,13.8
50.0,0.0,13,9.0,0.1,44,4,60.0,0.0,2,0.0,0.0,6.53,31.0074,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,41.19
50.0,2.0,13,9.0,0.1,7,3,60.0,0.0,2,0.0,0.0,6.85,30.0553,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,38.64
50.0,4.0,13,9.0,0.1,7,3,60.0,0.0,2,0.0,0.0,6.46,30.3317,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,31.45
50.0,6.0,13,9.0,0.1,7,3,60.0,0.0,2,0.0,0.0,6.52,30.5467,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,25.78
50.0,8.0,13,9.0,0.1,7,3,60.0,0.0,2,0.0,0.0,6.5,31.0381,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,18.48
50.0,10.0,13,9.0,0.1,7,3,60.0,0.0,2,0.0,0.0,6.55,30.7924,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.39
50.0,0.0,13,9.0,0.1,44,4,55.0,2.084,0,50.0,0.0,7.74382,25.0,1.94737,0.0,52.1,0.3,0.0,0.0,0.0360493,0.0,3.27626
50.0,10.0,13,9.0,0.1,3,3,0.0,0.0,0,50.0,0.0,8.21499,0.0,2.38947,0.0,0.0,0.3,0.0,0.0,0.00672348,0.0,1.86454
50.0,20.0,13,9.0,0.1,3,3,0.0,0.0,0,50.0,0.0,8.13921,0.0,1.68421,0.0,0.0,0.3,0.0,0.0,0.040558,0.0,1.06012
50.0,20.5,13,9.0,0.1,3,2,0.0,0.0,0,50.0,0.0,8.0173,0.0,1.86316,0.0,0.0,0.3,0.0,0.0,0.0360416,0.0,1.0175
50.0,21.0,13,9.0,0.1,3,2,0.0,0.0,0,50.0,0.0,7.84926,0.0,1.67368,0.0,0.0,0.3,0.0,0.0,0.0270318,0.0,0.847032
50.0,22.0,13,9.0,0.1,3,2,0.0,0.0,0,50.0,0.0,7.82949,0.0,2.77895,0.0,0.0,0.3,0.0,0.0,0.0157537,0.0,0.751142
34.0,0.0,8,7.0,0.005,44,4,67.6,1.46,0,34.0,0.0,6.1,33.5,0.115183,2.2,42.91,0.033670034,11.0,0.0,0.0,0.311927,20.9
34.0,7.73359,8,7.0,0.005,22,1,67.3,1.22,0,34.0,0.0,7.65,33.52459016,0.230366,0.0,40.9,0.033670034,0.0,0.0,0.0,2.43119,14.7
34.0,7.128276,8,7.0,0.005,15,1,66.8,1.24,0,34.0,0.0,6.7,33.11290323,0.366492,0.0,41.06,0.033670034,0.0,0.0,0.0,2.54128,17.3
34.0,6.050428,8,7.0,0.005,22,1,66.0,1.32,0,34.0,0.0,6.43,31.53030303,0.26178,0.0,41.62,0.033670034,0.0,0.0,0.0,1.69725,5.7
52.0,0.0,15,13.0,0.0,44,4,65.0,2.157,2,0.0,0.0,7.67701,16.75336115,5.02059,0.0,36.137,0.0,0.0,0.0,0.726086,1.19377,22.64
52.0,23.0,15,13.0,0.0,3,3,65.0,1.958,2,0.0,0.0,8.00046,24.09261577,2.44913,0.0,38.5,0.0,0.0,0.0,0.277698,1.08997,15.38
52.0,9.321847827567307,15,13.0,0.0,3,3,65.0,1.823,2,0.0,0.0,8.06919,22.49040044,2.10225,0.0,41.0,0.0,0.0,0.0,0.630013,1.41869,8.88
52.0,9.321847827567307,15,13.0,0.0,3,3,65.0,1.675,2,0.0,0.0,8.28752,26.3880597,2.18385,0.0,44.2,0.0,0.0,0.0,0.234994,3.06228,11.28
91.0,0.0,9,13.0,0.25,44,4,60.0,1.99,2,0.0,0.0,7.99441,20.0,0.199292,0.0,39.8,0.0,0.0,0.0,0.236807,1.66809,38.7288
91.0,12.5,9,13.0,0.25,3,3,60.0,2.02,2,0.0,0.0,7.90629,20.0,0.160717,0.0,40.4,0.0,0.0,0.0,0.23735,1.03829,30.5921
91.0,12.5,9,13.0,0.25,11,1,60.0,1.93,2,0.0,0.0,7.55385,20.0,0.270006,0.0,38.6,0.0,0.0,0.0,0.236715,2.45106,28.3129
91.0,25.0,9,13.0,0.25,3,2,60.0,1.96,2,0.0,0.0,7.45315,20.0,0.289292,0.0,39.2,0.0,0.0,0.0,0.236725,1.92341,20.4619
91.0,0.0,9,13.0,0.25,44,4,60.0,2.0716216893271606,2,0.0,0.0,7.61678,25.0,0.132858,0.0,38.95191115012552,0.0,0.0,0.0,0.607654,1.33901,31.9196
91.0,12.5,9,13.0,0.25,3,3,60.0,1.78,2,0.0,0.0,7.67972,25.0,0.0814295,0.0,44.5,0.0,0.0,0.0,0.609379,0.896463,21.7826
91.0,12.5,9,13.0,0.25,11,1,60.0,1.82,2,0.0,0.0,7.17622,25.0,0.190718,0.0,45.5,0.0,0.0,0.0,0.608186,2.34327,19.0748
91.0,25.0,9,13.0,0.25,3,2,60.0,1.76,2,0.0,0.0,7.26434,25.0,0.184286,0.0,44.0,0.0,0.0,0.0,0.608131,1.79858,8.79526
91.0,0.0,9,13.0,0.25,44,4,60.0,1.67,2,0.0,0.0,7.55385,30.0,0.111427,0.0,50.1,0.0,0.0,0.0,0.976888,0.805674,26.1098
91.0,12.5,9,13.0,0.25,3,3,60.0,1.63,2,0.0,0.0,7.5035,30.0,0.0471383,0.0,48.9,0.0,0.0,0.0,0.977398,0.703537,19.9734
91.0,12.5,9,13.0,0.25,11,1,60.0,1.7,2,0.0,0.0,7.15105,30.0,0.104995,0.0,51.0,0.0,0.0,0.0,0.976701,2.23546,13.265
91.0,25.0,9,13.0,0.25,3,2,60.0,1.52,2,0.0,0.0,7.12587,30.0,0.149999,0.0,45.6,0.0,0.0,0.0,0.976724,2.08227,9.98574
100.0,0.0,15,1.0,0.00025,44,4,50.0,1.52,0,100.0,0.0,8.3,23.45394737,0.0,0.224,35.65,17.85714286,0.056,0.028,0.0,0.0,63.2759
100.0,9.321847827567307,15,1.0,0.00025,30,1,50.0,1.04,0,100.0,0.0,7.2,22.89423077,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,47.069
100.0,9.321847827567307,15,1.0,0.00025,43,3,50.0,1.02,0,100.0,0.0,8.3,23.34313725,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,50.0
100.0,9.321847827567307,15,1.0,0.00025,30,2,50.0,1.03,0,100.0,0.0,7.5,23.11650485,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,46.7241
100.0,0.0,7,1.0,0.00025,44,4,50.0,1.0,0,100.0,0.0,8.2,37.16,0.0,0.448,37.16,8.928571429,0.112,0.056,0.0,0.0,58.2759
100.0,25.0,7,1.0,0.00025,30,1,50.0,0.82,0,100.0,0.0,7.0,36.25609756,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,49.3103
100.0,25.0,7,1.0,0.00025,43,3,50.0,0.8,0,100.0,0.0,8.0,37.1625,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,46.5517
100.0,25.0,7,1.0,0.00025,30,2,50.0,0.81,0,100.0,0.0,7.3,36.7037037,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,48.4483
100.0,0.0,8,1.0,0.00025,44,4,50.0,0.85,0,100.0,0.0,7.7,22.10379619096271,0.0,0.448,40.41,8.928571429,0.112,0.056,0.0,0.0,44.3103
100.0,25.0,8,1.0,0.00025,30,1,50.0,0.7,0,100.0,0.0,6.7,46.18571429,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,26.8966
100.0,25.0,8,1.0,0.00025,43,3,50.0,0.68,0,100.0,0.0,7.6,22.10379619096271,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,28.2759
100.0,25.0,8,1.0,0.00025,30,2,50.0,0.69,0,100.0,0.0,6.9,46.85507246,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,33.7931
