Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),TN loss (%)
47.40596330275229,26.9,15,5.0,2.507596353,11,1,65.46,1.29,2,0.0,0.0,7.4,18.5,2.893,0.398788265,23.865,0.0,2895.193978,1000.0,0.011,3.5467839473684215,24.38837209
47.40596330275229,9.9,15,5.0,1.934642071,35,3,64.12,1.29,2,0.0,0.0,8.4,20.1,2.858,0.516891478,25.929,0.0,2787.068004,1000.0,0.005,12.2,12.70852713
47.40596330275229,20.7,15,5.0,2.242778039,35,3,61.07,1.12,2,0.0,0.0,8.6,17.1,2.265,0.445875598,19.152,0.0,2568.713075,1000.0,0.008,9.8,15.03571429
47.40596330275229,30.6,15,5.0,2.51122902,35,3,63.73,1.23,2,0.0,0.0,8.7,18.9,2.144,0.398211391,23.247,0.0,2757.099531,1000.0,0.008,10.7,21.34471545
16.0,0.0,8,0.0,0.1,44,4,61.7,2.8,0,16.0,0.0,5.7,16.64285714,6.74,0.278,46.6,0.233,27.8,10.7,0.67,0.0,22.49666222
14.0,10.0,8,0.0,0.1,8,1,64.2,2.5,0,14.0,0.0,4.8,18.2,5.2,0.305,45.5,0.233,30.5,10.9,0.52,0.0,10.31192661
18.0,0.0,8,2.0,0.012,44,4,63.74,2.52,0,18.0,0.0,7.035,0.0,2.0,0.333333333,0.0,0.31,4.0,1.4504,0.0,0.0,22.8
18.0,0.0,8,2.0,0.012,38,0,63.74,2.54,0,18.0,0.0,7.055,0.0,2.1,0.333333333,0.0,0.31,4.0,1.4504,0.0,0.0,17.6
15.0,0.0,13,0.0,0.17,44,4,70.5,1.59,0,15.0,0.0,8.8,26.0,0.0,0.276470588,41.34,0.288496213,47.0,13.865,0.0,0.0,24.5754717
15.0,3.629764065,13,0.0,0.17,24,3,71.0,1.44,0,15.0,0.0,8.8,0.0,0.0,0.279411765,0.0,0.290381125,47.5,13.775,0.0,0.0,15.09375
