Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),NH3-N (g)
18.0,2.4392,4,0.0,0.010209318,1,1,60.0,2.0716216893271606,0,18.0,0.0,6.27126,5.71,0.0,0.27,35.09,0.16,2.7,1.08,0.0,0.0,0.6372918
18.0,2.4392,4,0.0,0.010209318,1,1,60.0,2.0716216893271606,0,18.0,0.0,7.47773,5.89,0.0,0.27,37.02,0.16,2.7,1.08,0.0,0.0,0.32412744
110.0,0.0,4,6.0,0.032,37,4,64.6,2.34,0,39.57377049180328,0.0,7.4,0.0,2.0,0.5,0.0,1.765536723,16.0,5.664,0.1,0.0,12.84028777
110.0,0.0,4,6.0,0.032,24,0,64.6,2.34,0,39.57377049180328,0.0,7.4,0.0,2.0,0.5,0.0,1.765536723,16.0,5.664,0.1,0.0,12.276
51.0,0.0,4,1.0,0.0318,30,3,60.6289,2.4529,1,51.0,10.0,7.94808,0.0,4.54,0.0,0.0,0.0,0.0,0.0,0.75,1.41628,9.133
51.0,10.25,4,1.0,0.0318,9,3,64.9057,2.51066,1,51.0,10.0,7.51827,0.0,5.52,0.0,0.0,0.0,0.0,0.0,1.41,1.52548,0.603
51.0,0.0,4,1.0,0.0318,37,4,61.8868,2.24044,1,51.0,10.0,7.85,0.0,4.86,0.0,0.0,0.0,0.0,0.0,0.82,1.36868,10.154
56.0,0.0,8,0.0,0.00025,37,4,45.0,2.62,0,56.0,0.0,0.0,0.0,0.7,0.290909091,0.0,27.5,0.072727273,0.04,0.0,0.0,1.383529412
56.0,28.0,8,0.0,0.00025,36,3,45.0,1.73,0,56.0,0.0,0.0,0.0,5.7,0.372363636,0.0,21.484375,0.093090909,0.0512,0.0,0.0,1.517929412
56.0,38.0,8,0.0,0.00025,36,3,45.0,1.7,0,56.0,0.0,0.0,0.0,9.0,0.401454545,0.0,19.92753623,0.100363636,0.0552,0.0,0.0,1.091011765
