Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),NH3-N (g)
50.0,21.0,6,9.0,0.1,4,2,0.0,0.0,0,50.0,0.0,7.84926,0.0,1.67368,0.0,0.0,0.3,0.0,0.0,0.0270318,0.0,2.604774118
50.0,22.0,6,9.0,0.1,4,2,0.0,0.0,0,50.0,0.0,7.82949,0.0,2.77895,0.0,0.0,0.3,0.0,0.0,0.0157537,0.0,2.320615294
34.0,0.0,4,7.0,0.005,37,4,67.6,1.46,0,34.0,0.0,6.1,33.5,0.115183,2.2,42.91,0.033670034,11.0,0.0,0.0,0.311927,1.317647059
34.0,7.73359,4,7.0,0.005,21,1,67.3,1.22,0,34.0,0.0,7.65,33.52459016,0.230366,0.0,40.9,0.033670034,0.0,0.0,0.0,2.43119,1.070588235
34.0,7.128276,4,7.0,0.005,14,1,66.8,1.24,0,34.0,0.0,6.7,33.11290323,0.366492,0.0,41.06,0.033670034,0.0,0.0,0.0,2.54128,0.905882353
34.0,6.050428,4,7.0,0.005,21,1,66.0,1.32,0,34.0,0.0,6.43,31.53030303,0.26178,0.0,41.62,0.033670034,0.0,0.0,0.0,1.69725,0.494117647
42.0,0.0,6,9.0,0.1,37,4,56.23,1.78,0,42.0,0.0,7.43228,25.0965,0.432228,0.5,44.89,0.0,0.0,0.0,0.0,0.0,1.00716796
42.0,2.0,6,9.0,0.1,17,3,0.0,0.0,0,42.0,0.0,7.50144,25.5598,0.400794,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.31930642
42.0,4.0,6,9.0,0.1,17,3,0.0,0.0,0,42.0,0.0,7.5879,25.8301,0.377219,0.5,0.0,0.0,0.0,0.0,0.0,0.0,9.0499464
42.0,6.0,6,9.0,0.1,17,3,0.0,0.0,0,42.0,0.0,7.64553,25.9073,0.345785,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9685552
42.0,10.0,6,9.0,0.1,17,3,0.0,0.0,0,42.0,0.0,8.06628,25.9846,0.306492,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.06382262
100.0,0.0,8,1.0,0.00025,37,4,50.0,1.52,0,100.0,0.0,8.3,23.45394737,0.0,0.224,35.65,17.85714286,0.056,0.028,0.0,0.0,0.1005
100.0,9.321847827567307,8,1.0,0.00025,29,1,50.0,1.04,0,100.0,0.0,7.2,22.89423077,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,0.0623
100.0,9.321847827567307,8,1.0,0.00025,36,3,50.0,1.02,0,100.0,0.0,8.3,23.34313725,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,0.0699
100.0,9.321847827567307,8,1.0,0.00025,29,2,50.0,1.03,0,100.0,0.0,7.5,23.11650485,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,0.0833
100.0,0.0,3,1.0,0.00025,37,4,50.0,1.0,0,100.0,0.0,8.2,37.16,0.0,0.448,37.16,8.928571429,0.112,0.056,0.0,0.0,0.0559
100.0,25.0,3,1.0,0.00025,29,1,50.0,0.82,0,100.0,0.0,7.0,36.25609756,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,0.0755
100.0,25.0,3,1.0,0.00025,36,3,50.0,0.8,0,100.0,0.0,8.0,37.1625,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,0.066
100.0,25.0,3,1.0,0.00025,29,2,50.0,0.81,0,100.0,0.0,7.3,36.7037037,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,0.0624
100.0,0.0,4,1.0,0.00025,37,4,50.0,0.85,0,100.0,0.0,7.7,22.10379619096271,0.0,0.448,40.41,8.928571429,0.112,0.056,0.0,0.0,0.029
100.0,25.0,4,1.0,0.00025,29,1,50.0,0.7,0,100.0,0.0,6.7,46.18571429,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,0.071
100.0,25.0,4,1.0,0.00025,36,3,50.0,0.68,0,100.0,0.0,7.6,22.10379619096271,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,0.0489
100.0,25.0,4,1.0,0.00025,29,2,50.0,0.69,0,100.0,0.0,6.9,46.85507246,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,0.0784
