Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),NH3-N loss (%)
26.0,0.0,5,7.0,1.2,41,4,65.0,1.69,2,0.0,0.0,7.56,22.46153846,1.1056,0.375,37.96,0.0,450.0,157.5,0.0734144,5.22,26.82
26.0,15.67944251,5,7.0,1.2,4,3,65.0,1.51,2,0.0,0.0,8.03,24.96688742,0.853448,0.39375,37.7,0.0,472.5,165.375,0.0488499,5.79,21.65
26.0,31.35888502,5,7.0,1.2,4,3,65.0,1.41,2,0.0,0.0,8.17,26.4822695,0.943966,0.4125,37.34,0.0,495.0,173.25,0.0406628,5.81,7.31
26.0,9.321847827567307,5,7.0,1.2,4,3,65.0,1.35,2,0.0,0.0,8.33,29.88888889,0.931034,0.43125,40.35,0.0,517.5,181.125,0.0365692,5.83,5.47
35.0,0.0,1,2.0,0.06,41,4,67.6,2.22446,1,35.0,30.0,7.779,17.43119678,1.0453,0.0,38.775,0.38,0.0,0.0,0.0,1.94495,29.26
35.0,0.408,1,2.0,0.06,31,1,0.0,2.06768,1,35.0,30.0,6.76537,14.83745067,2.19512,0.0,30.6791,0.38,0.0,0.0,0.0,3.76758,16.11
35.0,0.408,1,2.0,0.06,6,1,0.0,2.16937,1,35.0,30.0,8.01878,16.20428972,1.32753,0.0,35.1531,0.38,0.0,0.0,0.0,3.31498,30.93
35.0,0.408,1,2.0,0.06,31,1,0.0,2.27531,1,35.0,30.0,7.24492,13.97506274,2.63415,0.0,31.7976,0.38,0.0,0.0,0.0,3.10703,16.12
28.0,0.0,1,5.0,0.06,41,4,57.5409262,2.13,0,28.0,0.0,7.08396,19.25,3.00554,0.532666667,38.5,0.48,31.96,13.56992,0.0,0.0,24.95
28.0,2.449875,1,5.0,0.06,12,1,0.0,2.14833,0,28.0,0.0,6.59564,0.0,3.03044,0.538207435,0.0,0.48,32.29244608,0.0,0.0,0.0,11.23
28.0,2.45195,1,5.0,0.06,13,1,0.0,2.15,0,28.0,0.0,6.76549,0.0,3.11347,0.538212128,0.0,0.48,32.29272765,0.0,0.0,0.0,22.85
28.0,4.3543475,1,5.0,0.06,14,1,0.0,2.16833,0,28.0,0.0,8.34723,0.0,1.2869,0.542514691,0.0,0.48,32.55088147,0.0,0.0,0.0,26.71
34.0,0.0,1,6.0,0.06,41,4,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.583333333,0.0,0.272108844,35.0,12.25,0.0,1.13,31.52
34.0,10.0,1,6.0,0.06,36,1,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.60375,0.0,0.262907095,36.225,12.67875,0.0,1.48,21.26
34.0,10.28571429,1,6.0,0.06,36,1,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.604333333,0.0,0.262653324,36.26,12.691,0.0,1.27,16.22
34.0,14.57142857,1,6.0,0.06,36,1,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.613083333,0.0,0.258904704,36.785,12.87475,0.0,1.52,14.88
35.0,0.0,1,6.0,0.06,41,4,69.2,2.03653,0,0.0,0.0,8.2,18.43351191,4.12348,0.0,37.5404,0.25,0.0,0.0,0.271911,0.0,32.5
35.0,0.0,1,6.0,0.06,12,1,0.0,2.03653,0,0.0,0.0,8.0,18.43351191,1.1653,0.0,37.5404,0.25,0.0,0.0,0.190637,0.0,14.5
35.0,4.0,1,6.0,0.06,36,3,0.0,2.03653,0,0.0,0.0,7.25,18.43351191,3.76491,0.0,37.5404,0.25,0.0,0.0,0.194223,0.0,20.3
35.0,0.0,1,6.0,0.06,12,1,0.0,2.03653,0,0.0,0.0,6.75,18.43351191,3.94421,0.0,37.5404,0.25,0.0,0.0,0.259363,0.0,12.4
50.0,0.0,9,9.0,0.1,41,4,60.0,0.0,2,0.0,0.0,6.53,31.0074,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,36.3
50.0,2.0,9,9.0,0.1,8,3,60.0,0.0,2,0.0,0.0,6.85,30.0553,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,33.2
50.0,4.0,9,9.0,0.1,8,3,60.0,0.0,2,0.0,0.0,6.46,30.3317,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,26.6
50.0,6.0,9,9.0,0.1,8,3,60.0,0.0,2,0.0,0.0,6.52,30.5467,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,20.4
50.0,8.0,9,9.0,0.1,8,3,60.0,0.0,2,0.0,0.0,6.5,31.0381,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,14.9
50.0,10.0,9,9.0,0.1,8,3,60.0,0.0,2,0.0,0.0,6.55,30.7924,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,10.7
50.0,0.0,9,9.0,0.1,41,4,55.0,2.084,0,50.0,0.0,7.74382,25.0,1.94737,0.0,52.1,0.3,0.0,0.0,0.0360493,0.0,2.49315
50.0,10.0,9,9.0,0.1,4,3,0.0,0.0,0,50.0,0.0,8.21499,0.0,2.38947,0.0,0.0,0.3,0.0,0.0,0.00672348,0.0,1.56621
50.0,20.0,9,9.0,0.1,4,3,0.0,0.0,0,50.0,0.0,8.13921,0.0,1.68421,0.0,0.0,0.3,0.0,0.0,0.040558,0.0,0.863014
50.0,20.5,9,9.0,0.1,4,2,0.0,0.0,0,50.0,0.0,8.0173,0.0,1.86316,0.0,0.0,0.3,0.0,0.0,0.0360416,0.0,0.83105
50.0,21.0,9,9.0,0.1,4,2,0.0,0.0,0,50.0,0.0,7.84926,0.0,1.67368,0.0,0.0,0.3,0.0,0.0,0.0270318,0.0,0.67656
50.0,22.0,9,9.0,0.1,4,2,0.0,0.0,0,50.0,0.0,7.82949,0.0,2.77895,0.0,0.0,0.3,0.0,0.0,0.0157537,0.0,0.58067
34.0,0.0,6,7.0,0.005,41,4,67.6,1.46,0,34.0,0.0,6.1,33.5,0.115183,2.2,42.91,0.033670034,11.0,0.0,0.0,0.311927,8.7
34.0,7.73359,6,7.0,0.005,23,1,67.3,1.22,0,34.0,0.0,7.65,33.52459016,0.230366,0.0,40.9,0.033670034,0.0,0.0,0.0,2.43119,7.87
34.0,7.128276,6,7.0,0.005,15,1,66.8,1.24,0,34.0,0.0,6.7,33.11290323,0.366492,0.0,41.06,0.033670034,0.0,0.0,0.0,2.54128,6.6
34.0,6.050428,6,7.0,0.005,23,1,66.0,1.32,0,34.0,0.0,6.43,31.53030303,0.26178,0.0,41.62,0.033670034,0.0,0.0,0.0,1.69725,3.5
91.0,0.0,7,13.0,0.25,41,4,60.0,1.99,2,0.0,0.0,7.99441,20.0,0.199292,0.0,39.8,0.0,0.0,0.0,0.236807,1.66809,12.9281
91.0,12.5,7,13.0,0.25,4,3,60.0,2.02,2,0.0,0.0,7.90629,20.0,0.160717,0.0,40.4,0.0,0.0,0.0,0.23735,1.03829,9.06668
91.0,12.5,7,13.0,0.25,11,1,60.0,1.93,2,0.0,0.0,7.55385,20.0,0.270006,0.0,38.6,0.0,0.0,0.0,0.236715,2.45106,4.30644
91.0,25.0,7,13.0,0.25,4,2,60.0,1.96,2,0.0,0.0,7.45315,20.0,0.289292,0.0,39.2,0.0,0.0,0.0,0.236725,1.92341,2.61249
91.0,0.0,7,13.0,0.25,41,4,60.0,2.0716216893271606,2,0.0,0.0,7.61678,25.0,0.132858,0.0,38.95191115012552,0.0,0.0,0.0,0.607654,1.33901,10.7421
91.0,12.5,7,13.0,0.25,4,3,60.0,1.78,2,0.0,0.0,7.67972,25.0,0.0814295,0.0,44.5,0.0,0.0,0.0,0.609379,0.896463,7.72635
91.0,12.5,7,13.0,0.25,11,1,60.0,1.82,2,0.0,0.0,7.17622,25.0,0.190718,0.0,45.5,0.0,0.0,0.0,0.608186,2.34327,3.65344
91.0,25.0,7,13.0,0.25,4,2,60.0,1.76,2,0.0,0.0,7.26434,25.0,0.184286,0.0,44.0,0.0,0.0,0.0,0.608131,1.79858,2.32943
91.0,0.0,7,13.0,0.25,41,4,60.0,1.67,2,0.0,0.0,7.55385,30.0,0.111427,0.0,50.1,0.0,0.0,0.0,0.976888,0.805674,7.81575
91.0,12.5,7,13.0,0.25,4,3,60.0,1.63,2,0.0,0.0,7.5035,30.0,0.0471383,0.0,48.9,0.0,0.0,0.0,0.977398,0.703537,4.11289
91.0,12.5,7,13.0,0.25,11,1,60.0,1.7,2,0.0,0.0,7.15105,30.0,0.104995,0.0,51.0,0.0,0.0,0.0,0.976701,2.23546,3.05309
91.0,25.0,7,13.0,0.25,4,2,60.0,1.52,2,0.0,0.0,7.12587,30.0,0.149999,0.0,45.6,0.0,0.0,0.0,0.976724,2.08227,2.04637
100.0,0.0,11,1.0,0.00025,41,4,50.0,1.52,0,100.0,0.0,8.3,23.45394737,0.0,0.224,35.65,17.85714286,0.056,0.028,0.0,0.0,23.37209302
100.0,9.321847827567307,11,1.0,0.00025,31,1,50.0,1.04,0,100.0,0.0,7.2,22.89423077,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,14.48837209
100.0,9.321847827567307,11,1.0,0.00025,39,3,50.0,1.02,0,100.0,0.0,8.3,23.34313725,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,16.25581395
100.0,9.321847827567307,11,1.0,0.00025,31,2,50.0,1.03,0,100.0,0.0,7.5,23.11650485,0.0,0.336,23.81,11.9047619,0.084,0.042,0.0,0.0,19.37209302
100.0,0.0,5,1.0,0.00025,41,4,50.0,1.0,0,100.0,0.0,8.2,37.16,0.0,0.448,37.16,8.928571429,0.112,0.056,0.0,0.0,9.982142857
100.0,25.0,5,1.0,0.00025,31,1,50.0,0.82,0,100.0,0.0,7.0,36.25609756,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,13.01724138
100.0,25.0,5,1.0,0.00025,39,3,50.0,0.8,0,100.0,0.0,8.0,37.1625,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,11.78571429
100.0,25.0,5,1.0,0.00025,31,2,50.0,0.81,0,100.0,0.0,7.3,36.7037037,0.0,0.56,29.73,7.142857143,0.14,0.07,0.0,0.0,10.94736842
100.0,0.0,6,1.0,0.00025,41,4,50.0,0.85,0,100.0,0.0,7.7,22.10379619096271,0.0,0.448,40.41,8.928571429,0.112,0.056,0.0,0.0,6.041666667
100.0,25.0,6,1.0,0.00025,31,1,50.0,0.7,0,100.0,0.0,6.7,46.18571429,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,14.48979592
100.0,25.0,6,1.0,0.00025,39,3,50.0,0.68,0,100.0,0.0,7.6,22.10379619096271,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,10.1875
100.0,25.0,6,1.0,0.00025,31,2,50.0,0.69,0,100.0,0.0,6.9,46.85507246,0.0,0.56,32.33,7.142857143,0.14,0.07,0.0,0.0,16.33333333
