Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TN loss (%)
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,26.8966
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,28.2759
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,33.7931
10,0.0,0,0,0,84.0,0.0,0.0,0.0,11,0.12,0.0,81.0,39.9
10,0.0,0,0,0,84.0,0.0,0.0,0.0,11,0.12,0.0,75.8,30.9
1,0.0,0,0,0,84.0,0.0,0.0,0.0,11,0.12,0.0,77.3,27.1
1,0.0,0,0,0,84.0,0.0,0.0,0.0,11,0.12,0.0,77.0,30.3
1,0.0,0,0,0,84.0,0.0,0.0,0.0,0,0.12,0.0,80.0,31.8
1,0.0,0,0,0,84.0,0.0,0.0,22.28321,11,0.12,0.0,84.1,39.3
1,0.0,0,0,0,84.0,0.0,0.0,9.53373,11,0.12,0.0,80.7,31.2
1,0.0,0,0,0,84.0,0.0,0.0,15.84383,11,0.12,0.0,81.5,29.4
0,12.0,0,1,0,60.0,60.0,0.0,4.29709,11,0.045,0.22,60.0,22.0
0,12.0,0,1,0,60.0,60.0,0.0,4.29709,11,0.045,0.44,60.0,28.0
0,12.0,0,1,0,60.0,60.0,0.0,4.29709,11,0.045,0.66,60.0,32.0
0,12.0,0,1,0,60.0,60.0,0.0,1.79709,11,0.045,0.22,65.0,23.0
0,12.0,0,1,0,60.0,60.0,0.0,2.79709,11,0.045,0.44,65.0,29.0
0,12.0,0,1,0,60.0,60.0,0.0,3.79709,11,0.045,0.66,65.0,45.0
0,12.0,0,1,0,60.0,60.0,0.0,2.29709,11,0.045,0.22,70.0,19.0
0,12.0,0,1,0,60.0,60.0,0.0,2.29709,11,0.045,0.44,70.0,40.0
0,12.0,0,1,0,60.0,60.0,0.0,0.29709,11,0.045,0.66,70.0,36.0
1,0.0,0,1,0,28.0,28.0,0.0,0.0,11,0.01,0.28,69.0,17.7
1,0.0,0,1,0,28.0,28.0,0.0,0.0,5,0.01,0.28,63.0,13.5
1,0.0,0,1,0,28.0,28.0,0.0,0.0,5,0.01,0.28,66.0,10.2
1,0.0,0,1,0,28.0,28.0,0.0,0.0,7,0.01,0.28,65.0,3.1
1,0.0,0,1,0,28.0,28.0,0.0,0.0,7,0.01,0.28,67.0,13.1
1,0.0,0,1,0,28.0,28.0,0.0,25.0,11,0.01,0.28,65.0,12.8
1,0.0,0,1,0,28.0,28.0,0.0,14.28571,11,0.01,0.28,67.0,14.0
1,0.0,0,1,0,28.0,28.0,0.0,0.0,11,0.01,0.28,65.0,13.2
1,0.0,0,1,0,28.0,28.0,0.0,0.0,2,0.01,0.28,65.0,8.7
10,9.25,0,1,1,37.0,37.0,25.0,0.0,11,0.06,0.24,65.0,21.0
10,9.25,0,1,1,37.0,37.0,25.0,0.0,11,0.06,0.48,65.0,27.0
10,9.25,0,1,1,37.0,37.0,25.0,0.0,11,0.06,0.72,65.0,31.0
10,9.25,0,1,1,37.0,37.0,25.0,0.0,11,0.06,0.24,70.0,22.0
10,9.25,0,1,1,37.0,37.0,25.0,0.0,11,0.06,0.48,70.0,28.0
10,9.25,0,1,1,37.0,37.0,25.0,0.0,11,0.06,0.72,70.0,46.0
10,9.25,0,1,1,37.0,37.0,25.0,0.0,11,0.06,0.24,75.0,18.0
10,9.25,0,1,1,37.0,37.0,25.0,0.0,11,0.06,0.48,75.0,40.0
10,9.25,0,1,1,37.0,37.0,25.0,0.0,11,0.06,0.72,75.0,35.0
10,9.25,0,1,0,37.0,37.0,0.0,0.0,11,0.06,0.24,64.1,21.3
10,9.25,0,1,0,37.0,37.0,0.0,0.0,11,0.06,0.48,65.2,26.6
10,9.25,0,1,0,37.0,37.0,0.0,0.0,11,0.06,0.72,63.7,30.6
10,9.25,0,1,0,37.0,37.0,0.0,0.0,11,0.06,0.24,71.3,22.0
10,9.25,0,1,0,37.0,37.0,0.0,0.0,11,0.06,0.48,70.6,28.4
10,9.25,0,1,0,37.0,37.0,0.0,0.0,11,0.06,0.72,70.8,45.9
10,9.25,0,1,0,37.0,37.0,0.0,0.0,11,0.06,0.24,75.7,18.4
10,9.25,0,1,0,37.0,37.0,0.0,0.0,11,0.06,0.48,76.8,40.3
10,9.25,0,1,0,37.0,37.0,0.0,0.0,11,0.06,0.72,74.0,35.3
0,3.88889,0,1,0,35.0,35.0,0.0,0.0,7,0.1559,0.35558,66.03,42.26403
0,3.88889,0,1,0,35.0,35.0,0.0,0.0,7,0.2984,0.35558,65.69,44.08916
0,3.88889,0,1,0,35.0,35.0,0.0,0.0,7,0.5697,0.35558,66.14,43.1352
10,7.0,1,0,0,70.0,0.0,0.0,0.0,11,1.2,0.0,64.0,32.15
10,7.0,1,1,0,70.0,0.0,0.0,0.0,11,1.2,0.0,64.0,31.59
10,14.0,1,0,0,70.0,0.0,0.0,0.0,11,1.2,0.0,64.0,29.96
10,14.0,1,1,0,70.0,0.0,0.0,0.0,11,1.2,0.0,64.0,26.24
10,0.0,1,0,0,70.0,0.0,0.0,0.0,11,1.2,0.0,64.0,18.22
10,0.0,1,1,0,70.0,0.0,0.0,0.0,11,1.2,0.0,64.0,14.66
8,7.0,0,1,0,35.0,35.0,0.0,0.0,11,0.06,0.2,72.1,28.22
10,8.0,0,1,0,56.0,0.0,0.0,0.0,11,1.2,0.0,67.6,39.2
10,8.0,0,1,0,56.0,0.0,0.0,3.3,11,1.2,0.0,67.6,33.8
10,8.0,0,1,0,56.0,0.0,0.0,6.6,11,1.2,0.0,67.6,28.9
10,8.0,0,1,0,56.0,0.0,0.0,9.9,11,1.2,0.0,67.6,21.8
10,8.0,0,1,0,56.0,0.0,0.0,13.2,11,1.2,0.0,67.6,14.3
7,3.11111,0,1,0,28.0,0.0,0.0,0.0,11,0.13,0.0,61.4561,54.21
7,3.11111,0,1,0,28.0,0.0,0.0,2.0,11,0.13,0.0,60.661,52.14
7,3.11111,0,1,0,28.0,0.0,0.0,4.0,11,0.13,0.0,59.7109,48.82
7,3.11111,0,1,0,28.0,0.0,0.0,6.0,11,0.13,0.0,60.4548,42.31
7,3.11111,0,1,0,28.0,0.0,0.0,8.0,11,0.13,0.0,60.0684,39.54
7,3.11111,0,1,0,28.0,0.0,0.0,10.0,11,0.13,0.0,59.4546,38.67
0,5.33333,1,0,0,64.0,0.0,0.0,0.0,11,1.0,0.0,74.0,27.86
0,5.33333,1,1,0,64.0,0.0,0.0,0.0,11,1.0,0.0,74.0,27.01
0,5.33333,1,1,0,64.0,0.0,0.0,0.0,11,1.0,0.0,74.0,29.97
0,5.33333,1,1,0,64.0,64.0,0.0,0.0,11,1.0,1.157,74.0,25.05
7,0.0,0,1,5,25.0,25.0,30.0,0.0,11,0.06,0.08242,60.0,1.74283
7,0.0,0,1,5,25.0,25.0,30.0,0.0,11,0.06,0.82645,60.0,14.64815
7,0.0,0,1,5,25.0,25.0,30.0,0.0,11,0.06,1.64384,60.0,24.93245
10,14.0,0,1,5,28.0,28.0,30.0,0.0,11,0.07122,0.8589,60.0,42.34
10,14.0,0,1,5,28.0,28.0,30.0,0.0,11,0.07122,0.92562,60.0,29.04
10,14.0,0,1,5,28.0,28.0,30.0,0.0,11,0.07122,0.90323,60.0,25.46
10,14.0,0,1,5,28.0,28.0,30.0,0.0,11,0.07122,0.90909,60.0,25.75
2,7.0,0,1,7,28.0,28.0,30.0,0.0,11,0.06,1.20727,66.9,37.9
2,7.0,0,1,7,28.0,28.0,30.0,0.0,0,0.06,0.96434,58.6,20.9
2,7.0,0,1,7,28.0,28.0,30.0,0.0,0,0.06,0.85547,53.1,8.8
2,7.0,0,1,7,28.0,28.0,30.0,0.0,0,0.06,0.76023,47.5,5.4
0,3.64286,2,0,0,51.0,0.0,0.0,22.7,11,0.132,0.0,65.0,24.0636
0,3.64286,2,0,0,51.0,0.0,0.0,0.0,11,2.364,0.0,65.0,16.7491
0,3.64286,2,0,0,51.0,0.0,0.0,0.0,11,2.364,0.0,65.0,12.0848
0,3.64286,2,0,0,51.0,0.0,0.0,0.0,11,2.364,0.0,65.0,12.0848
0,3.64286,2,0,0,51.0,0.0,0.0,0.0,11,2.364,0.0,65.0,10.0707
8,0.0,1,0,6,26.0,26.0,20.0,0.0,0,1.3,3.36007,70.0,16.9
8,0.0,1,0,6,26.0,26.0,20.0,0.0,0,1.3,3.36007,70.0,20.12
8,0.0,1,0,6,26.0,26.0,20.0,0.0,0,1.3,3.36007,70.0,25.1
8,0.0,0,1,0,22.0,22.0,0.0,0.0,7,0.002,0.54967,63.453,36.4
8,0.0,0,1,0,22.0,22.0,0.0,0.0,7,0.002,0.54267,62.8218,35.0
8,0.0,0,1,0,22.0,22.0,0.0,0.0,7,0.002,0.60406,63.5272,52.4
8,0.0,0,1,0,22.0,22.0,0.0,0.0,7,0.002,0.57257,61.745,40.3
8,0.0,0,1,0,22.0,22.0,0.0,0.0,7,0.002,0.54267,62.5248,27.7
8,0.0,0,1,0,22.0,22.0,0.0,0.0,7,0.002,0.62867,62.0792,53.1
8,0.0,0,1,0,22.0,22.0,0.0,0.0,11,0.002,0.36408,60.3523,43.3
8,0.0,0,1,0,22.0,22.0,0.0,0.0,11,0.002,0.44697,61.1092,40.9
8,0.0,0,1,0,22.0,22.0,0.0,0.0,11,0.002,0.62867,62.0116,35.8
8,0.0,0,1,0,22.0,22.0,0.0,0.0,11,0.002,0.54267,62.5648,24.9
8,0.0,0,1,0,22.0,22.0,0.0,0.0,0,0.002,0.57257,61.575,30.2
8,0.0,0,1,0,22.0,22.0,0.0,0.0,7,0.002,0.54967,63.1761,51.1
8,0.0,0,1,0,22.0,22.0,0.0,0.0,11,0.002,0.29084,57.5744,18.4
8,0.0,0,1,0,22.0,22.0,0.0,0.0,11,0.002,0.52239,61.183,16.7
8,0.0,0,1,0,22.0,22.0,0.0,0.0,11,0.002,0.36408,60.5878,10.8
8,0.0,0,1,0,22.0,22.0,0.0,0.0,11,0.002,0.36408,59.9182,29.4
8,0.0,0,1,0,22.0,22.0,0.0,0.0,11,0.002,0.44697,61.0342,40.5
0,6.0,0,1,0,66.0,66.0,0.0,0.0,11,0.028,0.4,72.7,27.96834
0,6.0,0,1,0,66.0,66.0,0.0,0.0,11,0.028,0.4,71.7,24.21053
0,6.0,0,1,0,66.0,66.0,0.0,0.0,11,0.028,0.2,71.7,19.47368
0,6.0,0,1,0,66.0,66.0,0.0,0.0,7,0.028,0.2,68.8,13.02083
0,6.0,0,1,0,66.0,66.0,0.0,0.0,7,0.028,0.2,69.5,9.66767
0,6.0,0,1,0,66.0,66.0,0.0,0.0,7,0.028,0.2,67.3,14.47368
0,6.0,0,1,0,66.0,66.0,0.0,0.0,11,0.028,0.2,71.8,20.84433
1,4.44444,1,1,0,40.0,0.0,0.0,0.0,11,0.2,0.0,65.0,29.8437
1,4.44444,1,1,0,40.0,0.0,0.0,1.0,11,0.2,0.0,65.0,21.05
1,4.44444,1,1,0,40.0,0.0,0.0,5.0,11,0.2,0.0,65.0,25.7031
1,4.44444,1,1,0,40.0,0.0,0.0,6.0,11,0.2,0.0,65.0,15.61
7,7.5,0,1,11,30.0,30.0,10.0,0.0,11,0.1,0.00833,60.0,18.8
7,7.5,0,1,11,30.0,30.0,10.0,10.0,11,0.1,0.00833,60.0,17.5
7,7.5,0,1,11,30.0,30.0,10.0,10.0,11,0.1,0.00833,60.0,15.8
0,0.0,0,1,0,20.0,20.0,0.0,0.0,11,0.06,0.21,60.22,23.2258
0,0.0,0,1,2,20.0,20.0,10.0,0.0,11,0.06,0.42,60.22,21.1235
0,0.0,0,1,3,20.0,20.0,5.0,0.0,11,0.06,0.84,60.22,21.7909
5,0.0,0,1,0,60.0,0.0,0.0,0.0,6,0.22,0.0,70.17881,49.91
5,0.0,0,1,0,60.0,0.0,0.0,0.0,7,0.22,0.0,70.17881,38.61
7,3.0,1,0,0,30.0,0.0,0.0,0.0,11,0.1458,0.0,65.1368,26.06
7,3.0,1,0,0,30.0,0.0,0.0,0.0,11,0.1458,0.0,65.1368,21.99
7,3.0,1,0,0,30.0,0.0,0.0,0.0,11,0.1458,0.0,65.1368,13.04
10,6.22222,0,1,0,56.0,0.0,0.0,0.0,11,0.1,0.0,67.70741,23.89
10,6.22222,0,1,0,56.0,0.0,0.0,15.0,11,0.1,0.0,63.32171,30.01
10,6.22222,0,1,0,56.0,0.0,0.0,10.0,11,0.1,0.0,63.24,16.59
10,6.22222,0,1,0,56.0,0.0,0.0,25.0,11,0.1,0.0,61.88594,22.73
0,0.0,0,1,0,21.0,21.0,0.0,0.0,11,0.06,0.21,55.0,16.77
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,14.92
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,7.94
0,15.5,0,1,0,31.0,31.0,0.0,0.0,11,0.06,0.09384,65.4,29.8
0,15.5,0,1,0,31.0,31.0,0.0,0.0,11,0.06,0.15639,65.4,31.0
0,15.5,0,1,4,31.0,31.0,10.0,0.0,11,0.06,0.28151,65.4,35.9
10,0.0,0,1,0,48.0,48.0,0.0,0.0,3,0.045,0.3279,50.0,35.9
7,0.0,0,1,0,48.0,48.0,0.0,0.0,3,0.045,0.34666,50.0,29.9
9,0.0,0,1,0,48.0,48.0,0.0,0.0,3,0.045,0.38698,50.0,30.51
5,0.0,0,1,0,48.0,48.0,0.0,0.0,10,0.045,0.32143,50.0,55.2
8,7.0,0,1,0,35.0,35.0,0.0,0.0,11,0.06,0.2,72.1,38.08
8,7.0,0,1,0,35.0,35.0,0.0,10.0,11,0.06,0.2,72.1,30.24
8,7.0,0,1,0,35.0,35.0,0.0,10.0,11,0.06,0.2,72.1,28.22
8,7.0,0,1,0,35.0,35.0,0.0,12.5,11,0.06,0.2,72.1,35.14
8,7.0,0,1,0,35.0,35.0,0.0,12.5,11,0.06,0.2,72.1,26.16
10,21.0,0,1,0,21.0,21.0,0.0,0.0,11,1.2096,0.24,59.81,34.32
10,21.0,0,1,0,21.0,21.0,0.0,0.0,0,1.2096,0.24,60.21,29.84
5,1.0,1,1,0,105.0,0.0,0.0,0.0,11,0.055,0.0,72.754,36.66
5,1.0,1,1,0,105.0,0.0,0.0,0.0,11,0.055,0.0,73.584,55.1
5,1.0,1,1,0,105.0,0.0,0.0,0.0,11,0.055,0.0,73.584,53.61
5,1.0,1,1,0,105.0,0.0,0.0,0.0,11,0.055,0.0,73.584,55.32
5,1.0,1,1,0,105.0,0.0,0.0,0.0,11,0.055,0.0,73.584,43.57
5,1.0,1,1,0,105.0,0.0,0.0,0.0,11,0.055,0.0,73.584,47.78
5,1.0,1,1,0,105.0,0.0,0.0,0.0,11,0.055,0.0,73.584,52.76
7,1.0,0,1,0,15.0,15.0,0.0,0.0,7,0.018,0.9532,65.03,27.3
7,1.0,0,1,0,15.0,15.0,0.0,29.0,7,0.018,0.90506,63.17,19.27
7,1.0,0,1,0,15.0,15.0,0.0,29.0,7,0.018,0.88629,62.39,22.4
7,1.0,0,1,0,15.0,15.0,0.0,29.0,7,0.018,0.89127,62.6,20.37
7,1.0,0,1,0,15.0,15.0,0.0,29.0,7,0.018,0.8765,61.97,25.17
7,1.0,0,1,0,15.0,15.0,0.0,29.0,7,0.018,0.91149,63.43,23.49
5,16.0,0,1,0,32.0,32.0,18.0,0.0,8,0.1,0.44619,61.1,9.58
5,16.0,0,1,0,32.0,32.0,9.0,0.0,8,0.1,0.24629,53.5,6.85
5,16.0,0,1,0,32.0,32.0,9.0,0.0,8,0.1,0.24573,48.5,1.18
5,16.0,0,1,0,32.0,32.0,16.5,0.0,1,0.1,0.427,74.7,19.02
5,16.0,0,1,0,32.0,32.0,13.0,0.0,1,0.1,0.24224,65.6,4.98
5,16.0,0,1,0,32.0,32.0,9.0,0.0,1,0.1,0.24629,53.0,3.97
5,16.0,0,1,0,32.0,32.0,9.0,0.0,11,0.1,0.22839,47.5,2.67
5,6.42857,0,0,0,45.0,0.0,0.0,0.0,11,0.06,0.0,63.06,30.4
5,6.42857,0,0,0,45.0,0.0,0.0,0.0,11,0.06,0.0,63.06,23.0
10,17.5,0,1,0,70.0,0.0,0.0,0.0,11,1.2096,0.0,63.6,21.3
10,17.5,0,1,0,70.0,70.0,0.0,0.0,11,1.2096,0.18,63.6,23.0
10,17.5,0,1,0,70.0,70.0,0.0,0.0,11,1.2096,0.36,63.6,36.6
10,17.5,0,1,0,70.0,70.0,0.0,0.0,11,1.2096,0.54,63.6,44.1
10,5.07702,0,1,4,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,33.6
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,17.3
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,0.3
7,0.0,0,1,0,31.0,31.0,0.0,0.0,11,0.01,0.23,71.0,48.0
7,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,48.0
7,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,42.0
10,7.5,0,1,1,30.0,30.0,25.0,0.0,11,0.06,0.48,65.9,40.4
10,7.5,0,1,1,30.0,30.0,25.0,10.0,11,0.06,0.48,66.629,32.7
10,7.5,0,1,1,30.0,30.0,25.0,10.2,11,0.06,0.48,66.629,31.6
10,7.5,0,1,1,30.0,30.0,25.0,5.2,11,0.06,0.48,57.47311,34.2
7,12.5,0,1,5,25.0,25.0,30.0,0.0,11,0.06,0.08242,65.0,1.74
7,12.5,0,1,5,25.0,25.0,30.0,0.0,11,0.06,0.82645,65.0,14.65
7,12.5,0,1,5,25.0,25.0,30.0,0.0,11,0.06,1.64384,65.0,24.93
10,7.71429,1,0,0,54.0,0.0,0.0,0.0,11,0.13,0.0,66.28,40.8
10,7.71429,1,0,0,54.0,0.0,0.0,15.0,11,0.13,0.0,62.82171,36.2
10,7.71429,1,0,0,54.0,0.0,0.0,15.0,11,0.13,0.0,62.82171,35.2
10,7.71429,1,0,0,54.0,0.0,0.0,0.0,11,0.13,0.0,66.28,49.8
10,7.71429,1,0,0,54.0,0.0,0.0,6.0,11,0.13,0.0,63.24,45.7
10,7.71429,1,0,0,54.0,0.0,0.0,6.0,11,0.13,0.0,63.24,43.7
8,5.0,0,1,11,45.0,45.0,20.0,0.0,11,0.12,0.97145,65.0,9.73
8,5.0,0,1,11,45.0,45.0,20.0,5.0,11,0.12,1.71576,65.0,5.48
8,5.0,0,1,11,45.0,45.0,20.0,1.0,11,0.12,0.92403,65.0,5.2
8,5.0,0,1,11,45.0,45.0,20.0,1.0,11,0.12,0.92403,65.0,3.59
8,5.0,0,1,11,45.0,45.0,20.0,3.0,11,0.12,0.93795,65.0,4.11
8,5.0,0,1,11,45.0,45.0,20.0,3.0,11,0.12,0.93795,65.0,2.56
8,5.0,0,1,11,45.0,45.0,20.0,5.0,11,0.12,1.71576,65.0,5.03
10,0.0,0,1,0,50.0,50.0,0.0,0.0,11,0.1,0.3,60.0,26.78
10,0.0,0,1,0,50.0,50.0,0.0,10.0,11,0.1,0.3,60.0,22.46
10,0.0,0,1,0,50.0,50.0,0.0,10.0,11,0.1,0.3,60.0,23.1
10,0.0,0,1,0,50.0,50.0,0.0,20.0,11,0.1,0.3,60.0,19.72
8,7.0,0,1,0,35.0,35.0,0.0,0.0,11,0.06,0.1,72.86,26.3
8,7.0,0,1,0,35.0,35.0,0.0,0.0,11,0.06,0.2,72.86,28.2
8,7.0,0,1,0,35.0,35.0,0.0,0.0,11,0.06,0.3,72.86,25.4
10,9.33333,0,1,0,28.0,28.0,0.0,0.0,11,0.06,0.25,52.2,43.9
10,9.33333,0,1,0,28.0,28.0,0.0,2.03425,11,0.06,0.25,57.74443,22.3
10,9.33333,0,1,0,28.0,28.0,0.0,2.03425,11,0.06,0.25,57.74443,20.2
10,9.33333,0,1,0,28.0,28.0,0.0,2.03425,11,0.06,0.25,57.74443,22.1
10,9.33333,0,1,0,28.0,28.0,0.0,2.03425,11,0.06,0.25,57.74443,19.3
10,9.33333,0,1,0,28.0,28.0,0.0,2.03425,11,0.06,0.25,57.74443,21.4
