Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TN loss (%)
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,22.39929
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,20.7
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,17.09545
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,24.38837
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,12.70853
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,15.03571
0,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,21.34472
8,0.0,0,1,0,16.0,16.0,0.0,0.0,7,0.1,0.233,61.7,22.49666
8,0.0,0,1,0,14.0,14.0,0.0,10.0,7,0.1,0.233,64.2,10.31193
10,9.0,0,1,0,18.0,18.0,0.0,0.0,7,0.012,0.31,63.74,22.8
10,9.0,0,1,0,18.0,18.0,0.0,3.33258,7,0.012,0.31,63.74,17.6
0,0.0,0,1,0,15.0,15.0,0.0,0.0,11,0.17,0.2885,70.5,24.57547
0,0.0,0,1,0,15.0,15.0,0.0,3.62976,11,0.17,0.29038,71.0,15.09375
0,0.0,0,1,0,15.0,15.0,0.0,7.30994,11,0.17,0.2924,71.5,15.4871
0,0.0,0,1,0,15.0,15.0,0.0,9.97672,11,0.17,0.26605,69.0,12.09124
0,0.0,0,1,0,15.0,15.0,0.0,0.0,11,0.17,0.26377,70.0,15.91628
0,0.0,0,1,0,15.0,15.0,0.0,13.09719,11,0.17,0.28166,71.8,16.07952
0,0.0,0,1,0,15.0,15.0,0.0,24.36647,11,0.17,0.26201,69.6,17.38228
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,21.42857
0,0.0,0,1,0,15.0,6.0,0.0,0.0,11,0.17,0.28948,70.6,20.97044
0,0.0,0,1,0,15.0,6.0,0.0,3.10479,11,0.17,0.28882,70.8,15.50064
0,0.0,0,1,0,15.0,6.0,0.0,3.43688,11,0.17,0.28171,70.1,16.72387
0,0.0,0,1,0,15.0,6.0,0.0,3.68545,11,0.17,0.27867,69.8,15.46387
0,0.0,0,1,0,15.0,15.0,0.0,0.0,11,0.17,0.27765,71.5,20.20988
0,0.0,0,1,0,15.0,15.0,0.0,3.66885,11,0.17,0.28276,72.3,17.13333
0,0.0,0,1,0,15.0,15.0,0.0,7.0174,11,0.17,0.27016,71.3,14.74046
0,0.0,0,1,0,15.0,15.0,0.0,10.35227,11,0.17,0.26561,71.1,16.0
10,7.0,1,0,0,70.0,0.0,0.0,0.0,11,1.2,0.0,68.70741,40.1
10,7.0,1,0,0,70.0,0.0,0.0,3.3,11,1.2,0.0,68.13741,36.4
10,7.0,1,0,0,70.0,0.0,0.0,6.6,11,1.2,0.0,65.79,34.3
10,7.0,1,0,0,70.0,0.0,0.0,9.9,11,1.2,0.0,65.52171,28.1
10,7.0,1,0,0,70.0,0.0,0.0,13.2,11,1.2,0.0,65.34171,21.7
10,7.0,1,0,0,70.0,0.0,0.0,16.5,11,1.2,0.0,65.08171,11.5
8,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,0,0.86149,0.72554,64.22217,40.7
8,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,0,0.86149,0.72554,64.22217,38.3
8,0.0,0,1,0,42.0,21.0,0.0,10.6,0,0.4,2.33616,62.138,32.2
8,0.0,0,1,0,42.0,21.0,0.0,17.7,0,0.4,1.50441,59.331,26.7
8,0.0,0,1,0,42.0,21.0,0.0,24.7,0,0.4,0.72628,59.611,20.4
8,0.0,0,1,0,42.0,21.0,0.0,31.8,0,0.4,0.59301,63.929,14.6
8,2.0,0,1,0,22.0,22.0,0.0,2.0,7,0.0035,0.47142,57.9,3.76
8,2.0,0,1,0,22.0,22.0,0.0,2.0,7,0.0035,0.47142,58.2,4.01
8,2.0,0,1,0,22.0,22.0,0.0,2.0,7,0.0035,0.47142,59.4,24.8
8,2.0,0,1,0,22.0,22.0,0.0,2.0,7,0.0035,0.37733,57.5,28.1
8,2.0,0,1,0,22.0,22.0,0.0,0.0,7,0.0035,0.37584,58.2,44.7
8,5.33333,0,1,0,16.0,16.0,0.0,0.0,7,0.045,0.51546,70.9,24.4
8,5.33333,0,1,0,16.0,16.0,0.0,14.0,7,0.045,0.53004,71.7,9.2
8,5.33333,0,1,0,16.0,16.0,0.0,14.0,7,0.045,0.47319,68.3,8.5
3,2.11111,0,1,0,19.0,19.0,0.0,0.0,4,0.0058,10.0,70.0,49.1
3,2.11111,0,1,0,19.0,19.0,0.0,3.0,4,0.0058,10.0,70.0,40.5
3,2.11111,0,1,0,19.0,19.0,0.0,6.9,4,0.0058,10.0,70.0,40.5
3,2.11111,0,1,0,19.0,19.0,0.0,9.9,4,0.0454,10.0,70.0,18.9
10,5.83333,0,1,8,35.0,35.0,10.0,2.38663,4,0.187,5.96659,58.1,33.01
10,5.83333,0,1,8,35.0,35.0,10.0,14.31981,4,0.187,5.96659,58.1,28.94
10,5.83333,0,1,8,35.0,35.0,10.0,26.25298,4,0.187,5.96659,58.1,21.28
10,5.07702,0,1,8,44.06402,24.10822,3.76698,4.43605,4,0.86149,0.72554,64.22217,17.39
5,5.0,1,0,0,35.0,0.0,0.0,3.01629,11,1.0,0.0,66.8467,15.2
5,5.0,1,0,0,35.0,0.0,0.0,6.06463,11,1.0,0.0,67.0219,10.5
5,5.0,1,0,0,35.0,0.0,0.0,8.86923,11,1.0,0.0,66.1752,9.0
5,5.0,1,0,0,35.0,0.0,0.0,11.87687,11,1.0,0.0,66.3211,4.2
10,5.07702,1,0,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,42.8
10,5.07702,1,0,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,41.4
10,9.33333,1,0,0,112.0,0.0,0.0,0.0,7,0.9707,0.0,64.9,46.54838
10,9.33333,1,0,0,112.0,0.0,0.0,2.8169,7,0.9529,0.0,64.5,34.81425
7,7.71429,0,1,0,54.0,54.0,0.0,0.0,11,0.0863,0.05,65.0,53.83
7,7.71429,0,1,0,54.0,54.0,0.0,5.0,11,0.0918,0.05,65.0,47.08
10,5.07702,1,1,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,36.8405
10,5.07702,1,1,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,26.4139
10,7.0,1,1,0,56.0,28.0,0.0,16.95419,7,0.4,5e-05,65.0,16.5561
10,7.0,1,1,0,56.0,28.0,0.0,25.43129,7,0.4,4e-05,65.0,12.5751
10,5.07702,1,1,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,12.7014
10,5.07702,1,1,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,9.85783
10,5.07702,1,1,0,44.06402,24.10822,3.76698,4.43605,7,0.86149,0.72554,64.22217,18.3255
3,3.88889,0,1,0,35.0,35.0,0.0,2.25,7,0.02,0.5,68.958,44.2829
3,3.88889,0,1,0,35.0,35.0,0.0,1.8209,7,0.02,0.5,68.958,0.2907
3,3.88889,0,1,0,35.0,35.0,0.0,2.5709,7,0.02,0.5,68.272,19.0891
3,3.88889,0,1,0,35.0,35.0,0.0,3.3209,7,0.02,0.5,67.742,27.3256
3,3.88889,0,1,0,35.0,35.0,0.0,4.0709,7,0.02,0.5,67.262,47.9651
10,6.66667,0,1,10,40.0,30.0,30.0,0.0,11,0.33817,7.69231,64.54545,53.1
10,6.66667,0,1,10,40.0,30.0,30.0,6.0,11,0.37897,7.31707,63.55556,36.2
10,6.66667,0,1,10,40.0,30.0,30.0,15.0,11,0.2107,6.81818,62.06897,46.5
10,6.66667,0,1,10,40.0,30.0,30.0,1.46082,11,0.3404,7.79221,65.17413,41.5
5,7.0,1,0,0,28.0,0.0,0.0,0.0,11,1.0,0.0,65.0,19.53
5,7.0,1,0,0,28.0,0.0,0.0,6.0,11,1.0,0.0,63.52779,22.53
5,7.0,1,0,0,28.0,0.0,0.0,18.0,11,1.0,0.0,61.76979,20.85
5,7.0,1,0,0,28.0,0.0,0.0,30.0,11,1.0,0.0,60.61594,19.4
5,7.0,1,0,0,28.0,0.0,0.0,42.0,11,1.0,0.0,61.5,16.26
5,5.07702,1,0,0,44.06402,24.10822,3.76698,4.43605,11,0.86149,0.72554,64.22217,14.85
10,7.0,0,1,0,28.0,28.0,0.0,0.0,7,1.8,0.20354,63.2432,19.5
10,7.0,0,1,0,28.0,28.0,0.0,0.69203,7,1.8,0.20761,64.0541,18.5
8,5.09091,0,1,0,56.0,56.0,0.0,0.0,11,0.13,1.11111,55.0,6.03
8,5.09091,0,1,0,56.0,56.0,0.0,2.0,11,0.13,1.11111,55.0,4.15
8,5.09091,0,1,0,56.0,56.0,0.0,4.0,11,0.13,1.11111,55.0,2.7
8,5.09091,0,1,0,56.0,56.0,0.0,6.0,11,0.13,1.11111,55.0,3.16
8,5.09091,0,1,0,56.0,56.0,0.0,8.0,11,0.13,1.11111,55.0,2.44
8,5.09091,0,1,0,56.0,56.0,0.0,12.0,11,0.13,1.11111,55.0,2.21
8,5.09091,0,1,0,56.0,56.0,0.0,18.0,11,0.13,1.11111,55.0,2.08
4,1.86486,1,0,0,69.0,0.0,0.0,0.0,2,0.08,0.0,80.7,24.05063
4,1.86486,1,0,0,69.0,0.0,0.0,3.0,2,0.08,0.0,80.7,17.24138
4,1.86486,1,0,0,69.0,0.0,0.0,4.0,2,0.08,0.0,80.7,11.63934
4,1.86486,1,0,0,69.0,0.0,0.0,3.0,2,0.08,0.0,80.7,18.1
10,8.75,0,1,0,35.0,35.0,0.0,0.0,11,0.06,0.3,69.2,37.5
10,8.75,0,1,0,35.0,35.0,0.0,1.504,11,0.06,0.3,69.2,18.8
10,8.75,0,1,0,35.0,35.0,0.0,1.504,11,0.06,0.3,69.2,20.8
10,8.75,0,1,0,35.0,35.0,0.0,1.504,11,0.06,0.3,69.2,17.6
10,8.75,0,1,0,35.0,35.0,0.0,1.504,11,0.06,0.3,69.2,9.8
10,5.46667,2,0,0,82.0,0.0,0.0,1.37741,7,5.456,0.0,63.7,30.73
10,5.46667,2,0,0,82.0,0.0,0.0,9.64187,7,5.456,0.0,63.7,20.73
10,7.14286,0,1,8,50.0,50.0,10.0,2.5,4,0.18,6.25,60.0,32.19
10,7.14286,0,1,8,50.0,50.0,10.0,2.5,4,0.18,6.25,60.0,20.8
10,7.14286,0,1,8,50.0,50.0,10.0,2.5,4,0.18,6.25,60.0,13.65
10,7.14286,0,1,8,50.0,50.0,10.0,2.5,4,0.18,6.25,60.0,7.66
10,7.14286,0,1,8,50.0,50.0,10.0,2.5,4,0.18,6.25,60.0,20.8
