Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),N2O-N loss (%)
7,5.09091,0,1,0,56.0,56.0,0.0,6.0,5,0.13,1.11111,55.0,0.41
7,5.09091,0,1,0,56.0,56.0,0.0,8.0,5,0.13,1.11111,55.0,0.09
7,5.09091,0,1,0,56.0,56.0,0.0,12.0,5,0.13,1.11111,55.0,0.02
7,5.09091,0,1,0,56.0,56.0,0.0,18.0,5,0.13,1.11111,55.0,0.05
8,8.75,0,1,0,35.0,35.0,0.0,0.0,5,0.06,0.3,69.2,1.5
8,8.75,0,1,0,35.0,35.0,0.0,1.504,5,0.06,0.3,69.2,1.4
8,8.75,0,1,0,35.0,35.0,0.0,1.504,5,0.06,0.3,69.2,1.2
8,8.75,0,1,0,35.0,35.0,0.0,1.504,5,0.06,0.3,69.2,1.3
8,8.75,0,1,0,35.0,35.0,0.0,1.504,5,0.06,0.3,69.2,1.0
7,7.14286,0,1,6,50.0,50.0,20.0,0.0,5,0.288,0.90906,67.71,0.6
7,7.14286,0,1,6,50.0,50.0,20.0,12.0,5,0.288,2.31569,66.08,0.47
8,5.0,0,1,0,30.0,30.0,0.0,5.0,5,0.12,2.56621,66.84448,2.08
8,5.0,0,1,0,30.0,30.0,0.0,10.0,5,0.12,2.56621,62.58148,1.976
8,5.0,0,1,0,30.0,30.0,0.0,20.0,5,0.12,2.56621,59.191,1.976
8,5.0,0,1,0,30.0,30.0,0.0,1.0,5,0.12,2.56621,66.50148,2.132
8,7.0,0,1,0,28.0,28.0,0.0,0.0,6,0.06,0.36,62.06,0.0025
8,7.0,0,1,0,28.0,28.0,0.0,10.0,6,0.06,0.36,58.69,0.0149
8,3.71429,2,0,0,26.0,0.0,0.0,0.0,5,1.2,0.0,65.0,1.37
8,3.71429,2,0,0,26.0,0.0,0.0,15.67944,5,1.2,0.0,65.0,0.71
8,3.71429,2,0,0,26.0,0.0,0.0,31.35889,5,1.2,0.0,65.0,0.35
8,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.38
8,17.5,0,1,5,35.0,35.0,30.0,0.0,5,0.06,0.38,67.6,0.57
