Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
8,5.83333,0,1,0,35.0,35.0,0.0,5.13571,8,0.06,0.25,68.97,63.1
8,5.83333,0,1,0,35.0,35.0,0.0,4.0,8,0.06,0.25,68.166,54.0
8,5.83333,0,1,0,35.0,35.0,0.0,5.13571,8,0.06,0.25,68.97,42.2
5,5.55556,0,1,0,50.0,30.6,2.0,0.0,8,0.1,2.037,60.0,54.2
5,5.55556,0,1,0,50.0,45.6,5.0,2.0,8,0.1,3.287,60.0,52.1
5,5.55556,0,1,0,50.0,49.0,7.05,4.0,8,0.1,4.50975,60.0,48.8
5,5.55556,0,1,0,50.0,39.2,7.05,6.0,8,0.1,4.37775,60.0,42.3
5,5.55556,0,1,0,50.0,33.4,3.0,8.0,8,0.1,1.93775,60.0,39.5
5,5.55556,0,1,0,50.0,33.4,3.0,10.0,8,0.1,1.93775,60.0,38.7
8,5.55556,0,1,0,50.0,50.0,0.0,0.0,8,0.1,0.3,55.0,19.4242
8,5.55556,0,1,0,50.0,50.0,0.0,10.0,8,0.1,0.3,59.866,12.303
8,5.55556,0,1,0,50.0,50.0,0.0,20.0,8,0.1,0.3,60.907,11.9394
8,5.55556,0,1,0,50.0,50.0,0.0,20.5,8,0.1,0.3,60.907,11.2121
8,5.55556,0,1,0,50.0,50.0,0.0,21.0,8,0.1,0.3,60.907,9.51515
8,5.55556,0,1,0,50.0,50.0,0.0,22.0,8,0.1,0.3,60.907,9.18182
5,7.0,0,1,0,91.0,10.0,0.0,0.0,8,0.25,0.01275,60.0,63.5179
5,7.0,0,1,0,91.0,27.6,0.0,12.5,8,0.25,0.01275,60.0,57.0893
5,7.0,0,1,0,91.0,27.6,0.0,12.5,8,0.25,0.01275,60.0,59.3214
5,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,46.2857
5,7.0,0,1,0,91.0,10.0,0.0,0.0,8,0.25,0.01275,60.0,63.4286
5,7.0,0,1,0,91.0,27.6,0.0,12.5,8,0.25,0.01275,60.0,54.8571
5,7.0,0,1,0,91.0,27.6,0.0,12.5,8,0.25,0.01275,60.0,57.9821
5,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,46.8214
5,7.0,0,1,0,91.0,10.0,0.0,0.0,8,0.25,0.01275,60.0,65.3036
5,7.0,0,1,0,91.0,27.6,0.0,12.5,8,0.25,0.01275,60.0,58.9643
5,7.0,0,1,0,91.0,27.6,0.0,12.5,8,0.25,0.01275,60.0,57.625
5,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,51.1071
6,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,1.17937,75.32,22.82
6,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,0.58699,69.37,43.09
6,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,0.80324,66.06,49.76
0,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,1.17937,76.28,23.45
0,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,0.60935,72.85,37.55
0,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,0.61862,63.45,57.58
6,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,0.59399,67.86,32.63
0,0.0,0,1,0,32.0,32.0,0.0,0.0,8,0.1,1.17937,76.28,36.19
6,11.66667,2,0,0,70.0,0.0,0.0,0.0,2,22.5,0.0,67.924,34.44421
6,11.66667,2,0,0,70.0,0.0,0.0,0.6,2,22.5,0.0,67.924,28.30697
6,11.66667,2,0,0,70.0,0.0,0.0,1.0,2,22.5,0.0,67.924,29.97245
6,11.66667,2,0,0,70.0,0.0,0.0,1.7,2,22.5,0.0,67.924,30.68183
6,7.0,2,0,0,56.0,0.0,0.0,0.0,2,22.5,0.0,68.24,46.88991
6,7.0,2,0,0,56.0,0.0,0.0,4.0,2,22.5,0.0,68.24,34.85462
6,7.0,2,0,0,56.0,0.0,0.0,7.3,2,22.5,0.0,68.24,33.33327
6,7.0,2,0,0,56.0,0.0,0.0,13.5,2,22.5,0.0,62.72,23.79163
6,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,2,0.86149,0.72554,64.22217,13.35194
6,5.07702,2,0,0,44.06402,24.10822,3.76698,4.43605,2,0.86149,0.72554,64.22217,21.21206
4,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.1,0.88598,58.4,36.77
4,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.1,0.81624,56.2,45.06
4,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.1,0.88598,58.8,43.65
4,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.1,0.89479,60.9,50.1
4,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.1,0.9029,61.9,53.43
5,0.0,0,1,0,28.0,28.0,0.0,0.0,0,0.1,0.9029,61.9,56.34
5,0.0,0,1,0,28.0,28.0,0.0,0.0,0,0.1,0.54194,64.5,54.84
5,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.1,0.49312,65.3,56.57
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,67.8621
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,68.5241
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,65.7655
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,68.0828
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,64.5517
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,59.3655
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,55.7241
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,8,0.86149,0.72554,64.22217,59.3655
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,61.6828
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,43.9172
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,53.0759
0,5.07702,0,1,0,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,51.6414
8,0.0,0,0,0,84.0,0.0,0.0,0.0,8,0.12,0.0,81.0,24.9
8,0.0,0,0,0,84.0,0.0,0.0,0.0,8,0.12,0.0,75.8,31.4
1,0.0,0,0,0,84.0,0.0,0.0,0.0,8,0.12,0.0,77.3,31.6
1,0.0,0,0,0,84.0,0.0,0.0,0.0,8,0.12,0.0,77.0,40.8
1,0.0,0,0,0,84.0,0.0,0.0,0.0,0,0.12,0.0,80.0,35.0
1,0.0,0,0,0,84.0,0.0,0.0,22.28321,8,0.12,0.0,84.1,14.9
1,0.0,0,0,0,84.0,0.0,0.0,9.53373,8,0.12,0.0,80.7,32.3
1,0.0,0,0,0,84.0,0.0,0.0,15.84383,8,0.12,0.0,81.5,25.3
0,12.0,0,1,0,60.0,60.0,0.0,4.29709,8,0.045,0.22,60.0,44.0
0,12.0,0,1,0,60.0,60.0,0.0,4.29709,8,0.045,0.44,60.0,51.0
0,12.0,0,1,0,60.0,60.0,0.0,4.29709,8,0.045,0.66,60.0,54.0
0,12.0,0,1,0,60.0,60.0,0.0,1.79709,8,0.045,0.22,65.0,42.0
0,12.0,0,1,0,60.0,60.0,0.0,2.79709,8,0.045,0.44,65.0,56.0
0,12.0,0,1,0,60.0,60.0,0.0,3.79709,8,0.045,0.66,65.0,51.0
0,12.0,0,1,0,60.0,60.0,0.0,2.29709,8,0.045,0.22,70.0,47.0
0,12.0,0,1,0,60.0,60.0,0.0,2.29709,8,0.045,0.44,70.0,36.0
0,12.0,0,1,0,60.0,60.0,0.0,0.29709,8,0.045,0.66,70.0,50.0
1,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.01,0.28,69.0,23.5
1,0.0,0,1,0,28.0,28.0,0.0,0.0,4,0.01,0.28,63.0,20.6
1,0.0,0,1,0,28.0,28.0,0.0,0.0,4,0.01,0.28,66.0,21.8
1,0.0,0,1,0,28.0,28.0,0.0,0.0,5,0.01,0.28,65.0,16.8
1,0.0,0,1,0,28.0,28.0,0.0,0.0,5,0.01,0.28,67.0,19.2
1,0.0,0,1,0,28.0,28.0,0.0,25.0,8,0.01,0.28,65.0,8.9
1,0.0,0,1,0,28.0,28.0,0.0,14.28571,8,0.01,0.28,67.0,13.4
1,0.0,0,1,0,28.0,28.0,0.0,0.0,8,0.01,0.28,65.0,29.5
1,0.0,0,1,0,28.0,28.0,0.0,0.0,2,0.01,0.28,65.0,18.6
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.24,65.0,43.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.48,65.0,50.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.72,65.0,53.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.24,70.0,41.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.48,70.0,55.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.72,70.0,50.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.24,75.0,46.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.48,75.0,34.0
8,9.25,0,1,1,37.0,37.0,25.0,0.0,8,0.06,0.72,75.0,49.0
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.24,64.1,42.7
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.48,65.2,51.0
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.72,63.7,50.7
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.24,71.3,41.6
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.48,70.6,54.0
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.72,70.8,50.3
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.24,75.7,45.6
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.48,76.8,33.8
8,9.25,0,1,0,37.0,37.0,0.0,0.0,8,0.06,0.72,74.0,48.9
5,6.21429,2,0,0,87.0,0.0,0.0,0.0,5,0.144,0.0,67.7,63.12
5,6.21429,2,0,0,87.0,0.0,0.0,0.0,5,0.144,0.0,67.7,69.28
0,3.88889,0,1,0,35.0,35.0,0.0,0.0,5,0.1559,0.35558,66.03,52.90177
0,3.88889,0,1,0,35.0,35.0,0.0,0.0,5,0.2984,0.35558,65.69,55.63031
0,3.88889,0,1,0,35.0,35.0,0.0,0.0,5,0.5697,0.35558,66.14,55.11272
8,7.0,1,0,0,70.0,0.0,0.0,0.0,8,1.2,0.0,64.0,63.64
8,7.0,1,1,0,70.0,0.0,0.0,0.0,8,1.2,0.0,64.0,63.16
8,14.0,1,0,0,70.0,0.0,0.0,0.0,8,1.2,0.0,64.0,63.33
8,14.0,1,1,0,70.0,0.0,0.0,0.0,8,1.2,0.0,64.0,62.73
8,0.0,1,0,0,70.0,0.0,0.0,0.0,8,1.2,0.0,64.0,52.88
8,0.0,1,1,0,70.0,0.0,0.0,0.0,8,1.2,0.0,64.0,51.81
6,7.0,0,1,0,35.0,35.0,0.0,0.0,8,0.06,0.2,72.1,50.26
8,8.0,0,1,0,56.0,0.0,0.0,0.0,8,1.2,0.0,67.6,66.0
8,8.0,0,1,0,56.0,0.0,0.0,3.3,8,1.2,0.0,67.6,59.5
8,8.0,0,1,0,56.0,0.0,0.0,6.6,8,1.2,0.0,67.6,60.5
8,8.0,0,1,0,56.0,0.0,0.0,9.9,8,1.2,0.0,67.6,55.3
8,8.0,0,1,0,56.0,0.0,0.0,13.2,8,1.2,0.0,67.6,44.3
5,3.11111,0,1,0,28.0,0.0,0.0,0.0,8,0.13,0.0,61.4561,41.19
5,3.11111,0,1,0,28.0,0.0,0.0,2.0,8,0.13,0.0,60.661,38.64
5,3.11111,0,1,0,28.0,0.0,0.0,4.0,8,0.13,0.0,59.7109,31.45
