Material_Main,Turning times, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),CH4-C loss (%)
7,8.0,0,1,0,56.0,0.0,0.0,9.9,5,1.2,0.0,67.6,0.31
7,8.0,0,1,0,56.0,0.0,0.0,13.2,5,1.2,0.0,67.6,0.28
5,3.11111,0,1,0,28.0,0.0,0.0,0.0,5,0.13,0.0,61.4561,0.34
5,3.11111,0,1,0,28.0,0.0,0.0,2.0,5,0.13,0.0,60.661,0.31
5,3.11111,0,1,0,28.0,0.0,0.0,4.0,5,0.13,0.0,59.7109,0.24
5,3.11111,0,1,0,28.0,0.0,0.0,6.0,5,0.13,0.0,60.4548,0.25
5,3.11111,0,1,0,28.0,0.0,0.0,8.0,5,0.13,0.0,60.0684,0.19
5,3.11111,0,1,0,28.0,0.0,0.0,10.0,5,0.13,0.0,59.4546,0.17
7,0.0,1,0,0,109.6,0.0,0.0,0.0,5,0.4,0.0,77.53,0.13
7,0.0,1,0,0,109.6,0.0,0.0,0.0,0,0.4,0.0,66.36,0.4
6,0.0,0,1,0,50.0,50.0,0.0,0.0,4,0.03,0.22286,72.13,0.01872
6,0.0,0,1,0,50.0,50.0,0.0,0.0,5,0.03,0.20526,69.74,0.20265
6,0.0,0,1,0,50.0,50.0,0.0,0.0,2,0.03,0.21455,71.05,0.14782
2,7.0,0,1,5,28.0,28.0,30.0,0.0,5,0.06,1.20727,66.9,0.34
2,7.0,0,1,5,28.0,28.0,30.0,0.0,0,0.06,0.96434,58.6,0.27
2,7.0,0,1,5,28.0,28.0,30.0,0.0,0,0.06,0.85547,53.1,0.2
2,7.0,0,1,5,28.0,28.0,30.0,0.0,0,0.06,0.76023,47.5,0.12
7,0.0,2,1,0,56.0,56.0,0.0,0.32468,5,1.37,0.108,69.2,0.06
7,0.0,2,1,0,56.0,56.0,0.0,2.06897,4,1.37,0.108,71.0,0.05
7,0.0,2,1,0,56.0,56.0,0.0,0.0,5,1.37,0.108,70.3,0.02
7,0.0,2,1,0,56.0,56.0,0.0,2.83688,4,1.18,0.108,71.8,0.03
0,0.0,1,0,0,64.0,0.0,0.0,0.0,5,1.1,0.0,74.27405,0.197
0,0.0,1,1,0,64.0,0.0,0.0,0.0,5,1.1,0.0,74.27405,0.296
0,5.33333,1,1,0,64.0,0.0,0.0,0.0,5,1.1,0.0,74.27405,0.428
0,5.07702,1,1,8,44.06402,24.10822,3.76698,4.43605,5,0.86149,0.72554,64.22217,0.164
5,7.5,0,1,7,30.0,30.0,10.0,0.0,5,0.1,0.00833,60.0,0.049
