Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Application Rate (%DW),Turning times,Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),N2O-N (g)
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,0.027252909
40.0,0.0,0.0,0.0,1.0,9.0,0.2,65.0,0.0,0.745139258
21.0,21.0,1.0,20.0,0.0,4.0,0.0474,49.21,,0.026286845
21.0,21.0,1.0,20.0,2.0,4.0,0.0474,49.21,,0.024206064
21.0,21.0,1.0,20.0,,4.0,0.0474,49.21,,0.013837027
35.0,0.0,0.0,0.0,0.0,5.0,0.004,60.0,0.0,0.00284061
35.0,0.0,0.0,0.0,12.5,5.0,0.004,60.0,0.0,0.0026926
35.0,0.0,0.0,0.0,12.5,5.0,0.004,60.0,0.0,0.00269829
35.0,0.0,0.0,0.0,7.5,5.0,0.004,60.0,0.0,0.00269829
35.0,0.0,0.0,0.0,12.5,5.0,0.004,60.0,0.0,0.00263567
35.0,0.0,0.0,0.0,20.0,5.0,0.004,60.0,0.0,0.00274383
35.0,0.0,0.0,0.0,20.0,5.0,0.004,60.0,0.0,0.00283491
35.0,0.0,0.0,0.0,20.0,5.0,0.004,60.0,0.0,0.0027723
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,1.019172
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,1.038825455
64.0,0.0,0.0,0.0,0.0,12.0,1.1,74.27405248,0.0,0.606449455
