Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Application Rate (%DW),Turning times,Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),N2O-N loss (%)
32.0,32.0,0.0,0.0,0.0,0.0,0.09999999999999998,76.28,0.5447498624000001,2.132
70.0,0.0,0.0,0.0,0.0,6.0,22.500000000000004,65.98881,0.0,0.0025
70.0,0.0,0.0,0.0,0.6,6.0,22.500000000000004,65.98881,0.0,0.0149
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999998,60.9,0.37612519949999995,1.37
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999998,61.9,0.41838318480000003,0.71
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999998,61.9,0.41838318480000003,0.35
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999998,65.3,0.43508828089999996,0.57
84.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,75.8,0.0,0.41
84.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,77.3,0.0,0.68
84.0,0.0,0.0,0.0,15.84382872,0.0,0.12000000000000001,81.5,0.0,0.34
60.0,60.00000000000001,0.0,0.0,8.6,5.0,0.045,59.99999999999999,0.22,0.38
60.0,60.00000000000001,0.0,0.0,8.6,5.0,0.045,59.99999999999999,0.44,0.47
60.0,60.00000000000001,0.0,0.0,8.6,5.0,0.045,59.99999999999999,0.66,0.39
28.0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,0.88
28.0,28.0,0.0,0.0,25.0,0.0,0.01,65.0,0.28,0.6
28.0,28.0,0.0,0.0,14.285714290000001,0.0,0.01,67.0,0.28,0.25
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,0.13
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,1.5
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,65.0,0.23999999999999996,1.4
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,65.0,0.4799999999999999,1.4
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,65.0,0.72,2.0
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,75.0,0.23999999999999996,2.05
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,75.0,0.4799999999999999,2.01
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,75.0,0.72,1.53
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,64.1,0.23999999999999996,1.42
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,65.2,0.4799999999999999,1.24
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,63.7,0.72,0.75
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,71.3,0.23999999999999996,0.78311
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,70.6,0.4799999999999999,0.29833
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,70.8,0.72,0.197106
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,75.7,0.23999999999999996,0.18645
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,76.8,0.4799999999999999,0.170472
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,74.0,0.72,0.170472
50.0,50.0,0.0,0.0,0.0,0.0,0.030000000000000002,71.05,0.214548536,0.55
30.0,30.000000000000004,0.0,0.0,8.968501546,0.0,0.030000000000000002,71.6522,0.149475026,0.57
30.0,30.000000000000004,0.0,0.0,6.709270849,0.0,0.030000000000000002,72.646,0.156029555,0.06
30.0,30.000000000000004,0.0,0.0,0.0,0.0,0.030000000000000002,73.0435,0.161290453,0.03
60.0,60.00000000000001,0.0,0.0,1.8887505189999998,0.0,0.030000000000000002,71.6013,0.217484278,0.01
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,59.99999999999999,0.858895706,0.12
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,59.99999999999999,0.925619835,0.02
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,59.99999999999999,0.903225806,0.07
65.0,0.0,0.0,0.0,0.0,18.0,0.622,80.3,0.0,0.016192095
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.4,0.0,0.011813455
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,71.6,0.0,0.01812054
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.1,0.0,0.027629135
90.0,0.0,0.0,0.0,0.0,0.0,10.0,69.2,0.0,0.042231076
90.0,0.0,0.0,0.0,0.0,1.0,10.0,69.2,0.0,0.012789408
90.0,0.0,0.0,0.0,0.0,3.0,10.0,69.2,0.0,0.01040794
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,0.007072277
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,0.007794803
15.0,15.000000000000002,0.0,0.0,5.6950779955,0.0,0.005,83.21,0.38560965210000003,1.6
15.0,15.000000000000002,0.0,0.0,5.090803607500001,0.0,0.005,82.62,0.4977961764,4.2
20.999999999999996,21.0,30.0,30.0,0.0,0.0,0.064486,59.79,0.155433972,5.3
20.999999999999996,21.0,30.0,30.0,0.0,0.0,0.064486,59.79,0.310867943,1.5
20.999999999999996,21.0,30.0,30.0,0.0,0.0,0.064486,59.79,0.155433972,5.0
37.0,37.0,20.0,40.0,0.0,5.0,1.0,65.0,0.46300800000000003,7.3
37.0,37.0,20.0,40.0,5.0,5.0,1.0,65.0,0.4701138824,2.1
37.0,37.0,20.0,40.0,10.0,5.0,1.0,65.0,0.4423523439,3.8
35.0,0.0,0.0,0.0,0.0,5.0,0.004,59.99999999999999,0.0,5.2
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.574999999999996,0.43638828090000004,0.54
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,63.1761,0.43638828090000004,3.29
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,57.5744,0.4060918662,3.86
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.183,0.43638828090000004,4.62
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,60.587799999999994,0.44438828090000004,0.81
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,59.9182,0.43434985149999994,0.96
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.0342,0.43638828090000004,1.05
19.999999999999996,20.0,60.0,120.0,0.0,0.0,0.004,71.2,0.8701145547,1.07
19.999999999999996,20.0,60.0,120.0,5.300000000000001,0.0,0.004,69.1,0.8701145547,3.93
19.999999999999996,20.0,60.0,120.0,5.5,0.0,0.004,69.8,0.8701145547,2.94
19.999999999999996,20.0,60.0,120.0,6.300000000000001,0.0,0.004,70.0,0.8701145547,1.11
56.0,56.0,0.0,0.0,0.0,0.0,1.37,69.4,0.108,1.37
56.0,56.0,0.0,0.0,1.730103806,0.0,1.37,71.1,0.108,0.0397
56.0,56.0,0.0,0.0,1.388888889,0.0,1.37,71.2,0.108,0.0169
56.0,56.0,0.0,0.0,2.068965517,0.0,1.37,71.0,0.108,0.5
56.0,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.108,1.0
56.0,56.0,0.0,0.0,2.836879433,0.0,1.18,71.8,0.108,0.79
31.6,31.6,0.0,0.0,0.0,2.0,0.3,68.5,0.063492063,0.74
30.9,30.899999999999995,0.0,0.0,0.0,2.0,0.3,62.49999999999999,0.133333333,0.68
31.7,31.7,0.0,0.0,0.0,2.0,0.3,49.3,0.174227482,0.86
31.7,31.7,0.0,0.0,0.0,2.0,0.3,59.3,0.147420147,2.05
30.9,30.899999999999995,0.0,0.0,0.0,2.0,0.3,44.6,0.138387485,2.01
31.7,31.7,0.0,0.0,0.0,2.0,0.3,41.9,0.048766495,1.53
30.7,30.7,0.0,0.0,0.0,2.0,0.3,50.0,0.09,1.42
30.8,30.8,0.0,0.0,0.0,2.0,0.3,53.699999999999996,0.143988481,1.24
30.7,30.7,0.0,0.0,0.0,2.0,0.3,60.1,0.179615706,0.75
30.8,30.8,0.0,0.0,0.0,2.0,0.3,43.4,0.07656066,0.1
50.0,50.0,0.0,0.0,0.0,10.0,0.01,46.89999999999999,0.66,0.11
50.0,50.0,0.0,0.0,0.0,10.0,0.01,46.89999999999999,0.66,0.06
50.0,50.0,0.0,0.0,0.0,10.0,0.01,47.6,0.66,0.06
50.0,50.0,0.0,0.0,0.0,10.0,0.01,47.6,0.66,0.694913167
50.0,50.0,0.0,0.0,0.0,10.0,0.01,60.3,0.66,0.265527778
50.0,50.0,0.0,0.0,0.0,10.0,0.01,60.3,0.66,0.168109801
66.0,66.0,0.0,0.0,0.0,11.0,0.028,72.7,0.4,0.02
66.0,66.0,0.0,0.0,0.0,11.0,0.028,71.7,0.4,1.1
66.0,66.0,0.0,0.0,0.0,11.0,0.028,71.7,0.2,1.2
66.0,66.0,0.0,0.0,0.0,11.0,0.028,68.8,0.2,0.004
66.0,66.0,0.0,0.0,0.0,11.0,0.028,69.5,0.2,0.033
