Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),Initial pH,Initial TC (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),NH3-N loss (%)
34.0,34.0,0.0,0.0,6.0,10.28571429,0.06,65.0,0.262653324,0.0,11.37,0.0,0.0,0.0,0.604333333,36.26,12.691,0.0,16.22
34.0,34.0,0.0,0.0,6.0,14.57142857,0.06,65.0,0.258904704,0.0,11.37,0.0,0.0,0.0,0.613083333,36.785,12.87475,0.0,14.88
35.0,0.0,0.0,0.0,6.0,0.0,0.06,69.2,0.25,2.03653,18.43351191,8.2,37.5404,4.12348,0.0,0.0,0.0,0.271911,32.5
35.0,0.0,0.0,0.0,6.0,0.0,0.06,0.0,0.25,2.03653,18.43351191,8.0,37.5404,1.1653,0.0,0.0,0.0,0.190637,14.5
35.0,0.0,0.0,0.0,6.0,4.0,0.06,0.0,0.25,2.03653,18.43351191,7.25,37.5404,3.76491,0.0,0.0,0.0,0.194223,20.3
35.0,0.0,0.0,0.0,6.0,0.0,0.06,0.0,0.25,2.03653,18.43351191,6.75,37.5404,3.94421,0.0,0.0,0.0,0.259363,12.4
50.0,0.0,0.0,0.0,9.0,0.0,0.1,60.0,0.0,0.0,31.0074,6.53,0.0,0.0,0.5,0.0,0.0,0.0,36.3
50.0,0.0,0.0,0.0,9.0,2.0,0.1,60.0,0.0,0.0,30.0553,6.85,0.0,0.0,0.5,0.0,0.0,0.0,33.2
50.0,0.0,0.0,0.0,9.0,4.0,0.1,60.0,0.0,0.0,30.3317,6.46,0.0,0.0,0.5,0.0,0.0,0.0,26.6
50.0,0.0,0.0,0.0,9.0,6.0,0.1,60.0,0.0,0.0,30.5467,6.52,0.0,0.0,0.5,0.0,0.0,0.0,20.4
50.0,0.0,0.0,0.0,9.0,8.0,0.1,60.0,0.0,0.0,31.0381,6.5,0.0,0.0,0.5,0.0,0.0,0.0,14.9
50.0,0.0,0.0,0.0,9.0,10.0,0.1,60.0,0.0,0.0,30.7924,6.55,0.0,0.0,0.5,0.0,0.0,0.0,10.7
50.0,50.0,0.0,0.0,9.0,0.0,0.1,55.0,0.3,2.084,25.0,7.74382,52.1,1.94737,0.0,0.0,0.0,0.0360493,2.49315
50.0,50.0,0.0,0.0,9.0,10.0,0.1,0.0,0.3,0.0,0.0,8.21499,0.0,2.38947,0.0,0.0,0.0,0.00672348,1.56621
50.0,50.0,0.0,0.0,9.0,20.0,0.1,0.0,0.3,0.0,0.0,8.13921,0.0,1.68421,0.0,0.0,0.0,0.040558,0.863014
50.0,50.0,0.0,0.0,9.0,20.5,0.1,0.0,0.3,0.0,0.0,8.0173,0.0,1.86316,0.0,0.0,0.0,0.0360416,0.83105
50.0,50.0,0.0,0.0,9.0,21.0,0.1,0.0,0.3,0.0,0.0,7.84926,0.0,1.67368,0.0,0.0,0.0,0.0270318,0.67656
50.0,50.0,0.0,0.0,9.0,22.0,0.1,0.0,0.3,0.0,0.0,7.82949,0.0,2.77895,0.0,0.0,0.0,0.0157537,0.58067
34.0,34.0,0.0,0.0,7.0,0.0,0.005,67.6,0.033670034,1.46,33.5,6.1,42.91,0.115183,2.2,11.0,0.0,0.0,8.7
34.0,34.0,0.0,0.0,7.0,7.73359,0.005,67.3,0.033670034,1.22,33.52459016,7.65,40.9,0.230366,0.0,0.0,0.0,0.0,7.87
34.0,34.0,0.0,0.0,7.0,7.128276,0.005,66.8,0.033670034,1.24,33.11290323,6.7,41.06,0.366492,0.0,0.0,0.0,0.0,6.6
34.0,34.0,0.0,0.0,7.0,6.050428,0.005,66.0,0.033670034,1.32,31.53030303,6.43,41.62,0.26178,0.0,0.0,0.0,0.0,3.5
91.0,0.0,0.0,0.0,13.0,0.0,0.25,60.0,0.0,1.99,20.0,7.99441,39.8,0.199292,0.0,0.0,0.0,0.236807,12.9281
91.0,0.0,0.0,0.0,13.0,12.5,0.25,60.0,0.0,2.02,20.0,7.90629,40.4,0.160717,0.0,0.0,0.0,0.23735,9.06668
91.0,0.0,0.0,0.0,13.0,12.5,0.25,60.0,0.0,1.93,20.0,7.55385,38.6,0.270006,0.0,0.0,0.0,0.236715,4.30644
91.0,0.0,0.0,0.0,13.0,25.0,0.25,60.0,0.0,1.96,20.0,7.45315,39.2,0.289292,0.0,0.0,0.0,0.236725,2.61249
91.0,0.0,0.0,0.0,13.0,0.0,0.25,60.0,0.0,2.1631710331691445,25.0,7.61678,39.31326442882489,0.132858,0.0,0.0,0.0,0.607654,10.7421
91.0,0.0,0.0,0.0,13.0,12.5,0.25,60.0,0.0,1.78,25.0,7.67972,44.5,0.0814295,0.0,0.0,0.0,0.609379,7.72635
91.0,0.0,0.0,0.0,13.0,12.5,0.25,60.0,0.0,1.82,25.0,7.17622,45.5,0.190718,0.0,0.0,0.0,0.608186,3.65344
91.0,0.0,0.0,0.0,13.0,25.0,0.25,60.0,0.0,1.76,25.0,7.26434,44.0,0.184286,0.0,0.0,0.0,0.608131,2.32943
91.0,0.0,0.0,0.0,13.0,0.0,0.25,60.0,0.0,1.67,30.0,7.55385,50.1,0.111427,0.0,0.0,0.0,0.976888,7.81575
91.0,0.0,0.0,0.0,13.0,12.5,0.25,60.0,0.0,1.63,30.0,7.5035,48.9,0.0471383,0.0,0.0,0.0,0.977398,4.11289
91.0,0.0,0.0,0.0,13.0,12.5,0.25,60.0,0.0,1.7,30.0,7.15105,51.0,0.104995,0.0,0.0,0.0,0.976701,3.05309
91.0,0.0,0.0,0.0,13.0,25.0,0.25,60.0,0.0,1.52,30.0,7.12587,45.6,0.149999,0.0,0.0,0.0,0.976724,2.04637
100.0,25.828282828282827,0.0,0.0,1.0,0.0,0.00025,50.0,17.85714286,1.52,23.45394737,8.3,35.65,0.0,0.224,0.056,0.028,0.0,23.37209302
100.0,25.828282828282827,0.0,0.0,1.0,6.414309273643399,0.00025,50.0,11.9047619,1.04,22.89423077,7.2,23.81,0.0,0.336,0.084,0.042,0.0,14.48837209
100.0,25.828282828282827,0.0,0.0,1.0,6.414309273643399,0.00025,50.0,11.9047619,1.02,23.34313725,8.3,23.81,0.0,0.336,0.084,0.042,0.0,16.25581395
100.0,25.828282828282827,0.0,0.0,1.0,6.414309273643399,0.00025,50.0,11.9047619,1.03,23.11650485,7.5,23.81,0.0,0.336,0.084,0.042,0.0,19.37209302
100.0,25.828282828282827,0.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,1.0,37.16,8.2,37.16,0.0,0.448,0.112,0.056,0.0,9.982142857
100.0,25.828282828282827,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.82,36.25609756,7.0,29.73,0.0,0.56,0.14,0.07,0.0,13.01724138
100.0,25.828282828282827,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.8,37.1625,8.0,29.73,0.0,0.56,0.14,0.07,0.0,11.78571429
100.0,25.828282828282827,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.81,36.7037037,7.3,29.73,0.0,0.56,0.14,0.07,0.0,10.94736842
100.0,25.828282828282827,0.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,0.85,21.015545935490564,7.7,40.41,0.0,0.448,0.112,0.056,0.0,6.041666667
100.0,25.828282828282827,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.7,21.015545935490564,6.7,32.33,0.0,0.56,0.14,0.07,0.0,14.48979592
100.0,25.828282828282827,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.68,21.015545935490564,7.6,32.33,0.0,0.56,0.14,0.07,0.0,10.1875
100.0,25.828282828282827,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.69,21.015545935490564,6.9,32.33,0.0,0.56,0.14,0.07,0.0,16.33333333
28.0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,3.7,11.0,0.0,40.7,12.9,0.241935484,2.419354839,0.75,0.0,12.6838079
28.0,28.0,0.0,0.0,0.0,0.0,0.01,63.0,0.28,3.7,11.0,0.0,40.7,12.9,0.27027027,2.702702703,1.0,0.0,12.08818654
28.0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,3.7,11.0,0.0,40.7,12.9,0.257352941,2.573529412,0.875,0.0,12.98187946
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.850340136,14.7,0.0,41.9,9.8,0.285714286,2.857142857,1.0,0.0,10.27237086
28.0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,3.209302326,12.9,0.0,41.4,11.1,0.265151515,2.651515152,0.875,0.0,10.55776892
28.0,28.0,0.0,0.0,0.0,25.0,0.01,65.0,0.28,2.934131737,16.7,0.0,49.0,9.7,0.285714286,2.857142857,1.0,0.0,9.087210592
28.0,28.0,0.0,0.0,0.0,14.28571429,0.01,67.0,0.28,3.242857143,14.0,0.0,45.4,11.1,0.265151515,2.651515152,0.875,0.0,9.48959206
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.957142857,14.0,0.0,41.4,9.7,0.285714286,2.857142857,1.0,0.0,9.092927723
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,3.347107438,12.1,0.0,40.5,9.7,0.285714286,2.857142857,1.0,0.0,11.6922052
37.0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,2.36,14.7,8.6,34.8,1.83,0.0,0.0,0.0,0.03,13.9
37.0,37.0,0.0,0.0,4.0,0.0,0.06,65.2,0.48,2.08,18.3,8.5,38.0,1.25,0.0,0.0,0.0,0.03,18.7
37.0,37.0,0.0,0.0,4.0,0.0,0.06,63.7,0.72,1.9,20.7,8.3,39.4,0.9,0.0,0.0,0.0,0.03,20.6
37.0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,2.06,18.4,8.5,38.0,1.48,0.0,0.0,0.0,0.02,12.7
37.0,37.0,0.0,0.0,4.0,0.0,0.06,70.6,0.48,1.9,21.1,8.3,40.1,1.25,0.0,0.0,0.0,0.03,16.9
37.0,37.0,0.0,0.0,4.0,0.0,0.06,70.8,0.72,2.35,15.0,8.7,35.2,2.02,0.0,0.0,0.0,0.03,32.4
37.0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,1.93,21.2,8.4,40.9,0.9,0.0,0.0,0.0,0.02,9.6
37.0,37.0,0.0,0.0,4.0,0.0,0.06,76.8,0.48,2.37,14.9,8.6,35.3,2.25,0.0,0.0,0.0,0.03,27.7
37.0,37.0,0.0,0.0,4.0,0.0,0.06,74.0,0.72,2.09,18.0,8.6,37.6,1.64,0.0,0.0,0.0,0.02,24.9
21.0,21.0,0.0,0.0,0.0,0.0,0.0,71.66,16.47,0.0,0.0,9.19,0.0,0.0,0.857,6.0,0.0,0.0,5.37
21.0,21.0,0.0,0.0,0.0,0.0,0.0,69.89,16.47,0.0,0.0,8.49,0.0,0.0,0.857,4.95,0.0,0.0,2.589
31.0,30.0,0.0,0.0,1.0,0.0,0.95,69.47,0.312,2.57,13.16342412,7.13,33.83,0.0,0.63,0.0,0.0,0.0,23.81
35.0,35.0,0.0,0.0,9.0,0.0,0.1559,66.03,0.0,1.817,21.96202532,0.0,39.905,3.44,0.700705581,109.24,37.108828,0.37,12.59
35.0,35.0,0.0,0.0,9.0,0.0,0.2984,65.69,0.0,1.813,21.51130723,0.0,39.0,3.32,0.728954424,217.52,74.631112,0.39,16.16
35.0,35.0,0.0,0.0,9.0,0.0,0.5697,66.14,0.0,1.796,21.64476615,0.0,38.874,3.09,0.753958224,429.53,145.438858,0.41,17.44
70.0,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,2.22,17.4,7.4,38.0,3.2,0.0,0.0,0.0,0.06,29.5
70.0,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,2.22,17.4,7.4,38.0,3.2,0.0,0.0,0.0,0.06,26.6
70.0,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,2.22,17.4,7.4,38.0,3.2,0.0,0.0,0.0,0.06,27.9
70.0,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,2.22,17.4,7.4,38.0,3.2,0.0,0.0,0.0,0.06,23.7
70.0,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,2.22,17.4,7.4,38.0,3.2,0.0,0.0,0.0,0.06,12.8
70.0,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,2.22,17.4,7.4,38.0,3.2,0.0,0.0,0.0,0.06,10.3
55.0,0.0,0.0,0.0,7.0,0.0,11.25,60.04,0.0,1.998,15.39,6.54,30.74922,7.30856,0.351,3950.0,0.0,0.746275,4.51
55.0,0.0,0.0,0.0,15.0,0.0,11.25,60.04,0.0,1.998,15.39,6.54,30.74922,7.66694,0.351,3950.0,0.0,0.704284,2.502
30.0,0.0,0.0,0.0,12.0,0.0,1.519193246391097,64.83,0.0,2.664,7.73,8.25,20.577,0.0,1.428571429,2160.680220140841,711.7369712686677,0.0,4.44
16.0,16.0,8.676749271137027,240.0,6.0,0.0,1.519193246391097,57.48,0.456,2.313,8.54,8.22,19.621,0.0,1.274074074,2160.680220140841,711.7369712686677,0.0,2.18
35.0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.2,2.68,11.37,7.78,30.45,2.15789,0.667,0.0,0.0,0.311579,21.16
56.0,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,2.039744803,18.98237939,0.0,38.71920971,0.0,0.475,0.0,0.0,0.0,35.7
56.0,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,2.039744803,18.98237939,0.0,38.71920971,0.0,0.475,0.0,0.0,0.0,27.4
56.0,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,2.039744803,18.98237939,0.0,38.71920971,0.0,0.475,0.0,0.0,0.0,20.7
56.0,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,2.039744803,18.98237939,0.0,38.71920971,0.0,0.475,0.0,0.0,0.0,15.7
56.0,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,2.039744803,18.98237939,0.0,38.71920971,0.0,0.475,0.0,0.0,0.0,12.9
28.0,0.0,0.0,0.0,9.0,0.0,0.13,61.4561,0.0,1.667,30.8801,6.54514,51.4771267,5.45333,0.5,0.0,0.0,0.0981503,36.3
28.0,0.0,0.0,0.0,9.0,2.0,0.13,60.661,0.0,1.668,30.0375,6.85143,50.10255,5.37333,0.5,0.0,0.0,0.0886811,33.2
28.0,0.0,0.0,0.0,9.0,4.0,0.13,59.7109,0.0,1.613,30.3496,6.44457,48.9539048,5.25333,0.5,0.0,0.0,0.100734,26.6
28.0,0.0,0.0,0.0,9.0,6.0,0.13,60.4548,0.0,1.562,30.568,6.54057,47.747216,5.32,0.5,0.0,0.0,0.0912653,20.4
28.0,0.0,0.0,0.0,9.0,8.0,0.13,60.0684,0.0,1.563,30.8801,6.49486,48.2655963,5.16,0.5,0.0,0.0,0.0972937,14.9
28.0,0.0,0.0,0.0,9.0,10.0,0.13,59.4546,0.0,1.555,31.0362,6.55429,48.261291,5.14667,0.5,0.0,0.0,0.0964261,10.7
64.0,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,2.23336,0.0,7.9,0.0,3.26222,0.1715,171.5,0.0,8.74642,8.12
64.0,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,2.28344,0.0,7.9,0.0,3.25333,0.1715,171.5,0.0,9.48301,7.47
64.0,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,2.23179,0.0,7.9,0.0,3.2,0.1715,171.5,0.0,7.73295,16.56
64.0,64.0,0.0,0.0,12.0,0.0,1.0,74.0,1.157,2.11755,0.0,7.9,0.0,3.17333,0.1715,171.5,0.0,7.45069,22.51
25.0,25.0,30.0,30.0,0.0,0.0,0.06,60.0,0.082417582,2.230494505,19.76844439,6.99231,44.09340659,1.41489,0.303333333,18.2,7.28,0.0,0.043108757
25.0,25.0,30.0,30.0,0.0,0.0,0.06,60.0,0.826446281,2.231404959,20.12345679,7.1,44.90358127,1.75531,0.3025,18.15,7.26,0.0,10.75925926
25.0,25.0,30.0,30.0,0.0,0.0,0.06,60.0,1.643835616,2.230684932,20.01965119,6.9,44.65753425,1.54255,0.304166667,18.25,7.3,0.0,19.90911324
0.0,0.0,0.0,0.0,0.0,0.0,0.4,77.53,0.0,0.0,6.53,6.2,0.0,0.0,1.105,0.0,0.0,0.0,2.6
0.0,0.0,0.0,0.0,0.0,0.0,0.4,66.71,0.0,0.0,6.81,7.01,0.0,0.0,0.89,0.0,0.0,0.0,1.2
0.0,0.0,0.0,0.0,0.0,0.0,0.4,66.36,0.0,0.0,9.22,7.41,0.0,0.0,0.886,0.0,0.0,0.0,0.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.68,0.0,0.0,7.35,7.59,0.0,0.0,0.95,0.0,0.0,0.0,0.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.26,0.0,0.0,7.24,8.04,0.0,0.0,0.87,0.0,0.0,0.0,0.25
50.0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.222862581,2.21,19.11,5.67,42.22,3.397665704257908,0.268333333,8.05,2.243535,0.0690476,19.05907681
50.0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.205260414,2.93,13.27,7.56,38.84,3.397665704257908,0.268333333,8.05,2.43593,0.0595238,13.69849181
50.0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.214548536,3.48,13.56,8.08,38.16,11.3032,0.268333333,8.05,2.330475,0.0404762,11.6819935
28.0,28.0,30.0,30.0,2.0,0.0,0.071215,60.0,0.858895706,2.6237,15.04165873,0.0,39.4648,0.0,0.228884364,16.3,6.52,0.0,18.35
28.0,28.0,30.0,30.0,2.0,0.0,0.071215,60.0,0.925619835,1.99111,19.96353793,0.0,39.7496,0.0,0.212385031,15.125,6.05,0.0,20.72
28.0,28.0,30.0,30.0,2.0,0.0,0.071215,60.0,0.903225806,1.60222,24.98683077,0.0,40.0344,0.0,0.217650776,15.5,6.2,0.0,25.05
28.0,28.0,30.0,30.0,2.0,0.0,0.071215,60.0,0.909090909,1.32741,30.22585335,0.0,40.1221,0.0,0.216246577,15.4,6.16,0.0,25.95
28.0,28.0,30.0,60.0,4.0,0.0,0.06,66.9,1.207272727,1.5,25.0,5.75,37.5,0.0,0.553333333,33.2,11.0,0.0,34.9
28.0,28.0,30.0,60.0,4.0,0.0,0.06,58.6,0.964341085,1.7,20.9,5.36,36.1,0.0,0.518333333,31.1,12.9,0.0,18.2
28.0,28.0,30.0,60.0,4.0,0.0,0.06,53.1,0.855474453,1.9,18.7,5.13,35.1,0.0,0.488333333,29.3,13.7,0.0,6.5
28.0,28.0,30.0,60.0,4.0,0.0,0.06,47.5,0.760233918,2.0,16.8,5.04,34.1,0.0,0.541666667,32.5,17.1,0.0,1.4
47.1657223796034,0.0,0.0,0.0,0.0,0.0,0.0490625,80.89,0.0,2.516,18.1518283,7.47,45.67,0.69085,0.815294933,40.0,0.0,0.00336,16.06
47.1657223796034,0.0,0.0,0.0,0.0,0.0,0.098125,80.82,0.0,2.83,16.16183746,7.42,45.738,0.70795,0.815286624,80.0,0.0,0.00342,7.55
50.0,50.0,0.0,0.0,0.0,0.0,0.02,73.67,0.2,3.12,9.89,8.04,30.87,5.94433,0.0,0.0,0.0,0.336957,13.53
65.0,0.0,0.0,0.0,18.0,0.0,0.0,80.3,0.0,2.204,15.4,7.6,33.9416,2.69114,0.0,0.0,0.0,0.0,35.57168784
65.0,0.0,0.0,0.0,18.0,0.0,0.0,70.4,0.0,1.783,28.3,7.38,50.4589,1.84681,0.0,0.0,0.0,0.0,27.93045429
65.0,0.0,0.0,0.0,18.0,0.0,0.0,71.6,0.0,1.828,30.2,7.42,55.2056,1.69906,0.0,0.0,0.0,0.0,25.76586433
65.0,0.0,0.0,0.0,18.0,0.0,0.0,70.1,0.0,1.841,24.7,7.42,45.4727,1.26638,0.0,0.0,0.0,0.0,11.02661597
88.0,0.0,0.0,0.0,1.0,0.0,10.0,72.5,0.0,1.86,24.8,0.0,44.2,0.0,0.0,0.0,0.0,0.0,11.0
88.0,0.0,0.0,0.0,1.0,0.0,10.0,72.5,0.0,1.86,24.8,0.0,44.2,0.0,0.0,0.0,0.0,0.0,17.0
88.0,0.0,0.0,0.0,3.0,0.0,10.0,72.5,0.0,1.86,24.8,0.0,44.2,0.0,0.0,0.0,0.0,0.0,51.0
88.0,0.0,0.0,0.0,3.0,0.0,10.0,72.5,0.0,1.86,24.8,0.0,44.2,0.0,0.0,0.0,0.0,0.0,18.0
85.0,0.0,0.0,0.0,0.0,0.0,10.0,74.8,0.0,1.96,22.3,0.0,42.6,0.0,0.0,0.0,0.0,0.0,1.0
85.0,0.0,0.0,0.0,1.0,0.0,10.0,74.8,0.0,1.96,22.3,0.0,42.6,0.0,0.0,0.0,0.0,0.0,2.0
85.0,0.0,0.0,0.0,3.0,0.0,10.0,74.8,0.0,1.96,22.3,0.0,42.6,0.0,0.0,0.0,0.0,0.0,2.0
37.0,37.0,20.0,40.0,5.0,0.0,1.0,65.0,0.0,1.227,25.0,0.0,30.675,0.0,0.0,0.0,0.0,0.0,19.13404767
37.0,37.0,20.0,40.0,5.0,5.0,1.0,65.0,0.0,1.227,25.0,0.0,30.675,0.0,0.0,0.0,0.0,0.0,14.06262127
37.0,37.0,20.0,40.0,5.0,10.0,1.0,65.0,0.0,1.227,25.0,0.0,30.675,0.0,0.0,0.0,0.0,0.0,16.01475893
51.0,0.0,0.0,0.0,14.0,0.0,0.0,65.0,0.0,1.66572,15.0,7.69492,24.9858,1.55933,0.0,462.76,0.0,0.0,9.745758
51.0,0.0,0.0,0.0,14.0,0.0,0.0,65.0,0.0,1.60453,20.0,7.73729,32.0906,0.930919,0.0,512.0,0.0,0.0,6.6158945
51.0,0.0,0.0,0.0,14.0,0.0,0.0,65.0,0.0,1.58074,25.0,7.59322,39.5185,0.810585,0.0,706.0,0.0,0.0,4.6647328
51.0,0.0,0.0,0.0,14.0,0.0,0.0,65.0,0.0,1.51445,30.0,7.37288,45.4335,0.748189,0.0,954.0,0.0,0.0,4.1330016
51.0,0.0,0.0,0.0,14.0,0.0,0.0,65.0,0.0,1.39037,35.0,7.26271,48.66295,0.601114,0.0,1286.0,0.0,0.0,3.1118463
26.0,26.0,20.0,40.0,0.0,0.0,1.3,70.0,0.0,1.13,20.42,7.8,23.08,0.26151,0.0,0.0,0.0,0.192595,11.57481
26.0,26.0,20.0,40.0,0.0,0.0,1.3,70.0,0.0,1.13,20.42,7.8,23.08,0.26151,0.0,0.0,0.0,0.192595,14.236912
26.0,26.0,20.0,40.0,0.0,0.0,1.3,70.0,0.0,1.13,20.42,7.8,23.08,0.26151,0.0,0.0,0.0,0.192595,18.31547
22.0,22.0,0.0,0.0,0.0,0.0,0.002,63.453,0.0,2.29,11.67615721,5.45847,26.7384,2.56931,0.0,0.0,0.0,0.109978,18.382
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.8218,0.0,2.46,10.89109756,5.22591,26.7921,2.88284,0.0,0.0,0.0,0.0802522,18.095
22.0,22.0,0.0,0.0,0.0,0.0,0.002,63.5272,0.0,2.39,11.37506276,7.51163,27.1864,2.23102,0.0,0.0,0.0,0.0646071,28.3484
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.745,0.0,2.26,12.39415929,5.30565,28.0108,2.18152,0.0,0.0,0.0,0.114672,20.6739
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.5248,0.0,2.29,12.03611354,6.14286,27.5627,2.4703,0.0,0.0,0.0,0.0901609,13.8777
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.0792,0.0,2.46,9.485081301,7.63123,23.3333,2.61056,0.0,0.0,0.0,0.0998089,29.4174
22.0,22.0,0.0,0.0,0.0,0.0,0.002,60.3523,0.0,2.14,12.19238318,7.02381,26.0917,1.91566,0.0,0.0,0.0,0.130962,22.7325
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.1092,0.0,2.12,12.4725,6.67262,26.4417,2.09639,0.0,0.0,0.0,0.130126,20.3273
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.0116,0.0,2.25,12.03702222,6.2619,27.0833,2.15663,0.0,0.0,0.0,0.102232,17.2198
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.5648,0.0,2.36,11.47597458,6.15476,27.0833,2.33735,0.0,0.0,0.0,0.112552,11.7777
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.575,0.0,2.17,12.56142857,5.63095,27.2583,2.45783,0.0,0.0,0.0,0.124268,14.7074
22.0,22.0,0.0,0.0,0.0,0.0,0.002,63.1761,0.0,2.31,9.948311688,7.07143,22.9806,1.86747,0.0,0.0,0.0,0.139888,29.8424
22.0,22.0,0.0,0.0,0.0,0.0,0.002,57.5744,0.0,2.0,13.48335,6.53433,26.9667,1.40343,0.0,0.0,0.0,0.098287,9.1448
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.183,0.0,2.03,11.29719212,7.32836,22.9333,1.3573,0.0,0.0,0.0,0.130989,7.9158
22.0,22.0,0.0,0.0,0.0,0.0,0.002,60.5878,0.0,2.24,10.25299107,7.3806,22.9667,1.68019,0.0,0.0,0.0,0.10216,5.0544
22.0,22.0,0.0,0.0,0.0,0.0,0.002,59.9182,0.0,2.15,10.58916279,7.26045,22.7667,1.24197,0.0,0.0,0.0,0.112056,14.8176
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.0342,0.0,2.21,10.28656109,7.30224,22.7333,1.56488,0.0,0.0,0.0,0.125395,23.2875
20.0,20.0,60.0,120.0,0.0,0.0,0.004,71.2,0.0,2.46,16.4,7.43,40.344,2.77512,0.0,0.0,0.0,0.350975,2.663749402
20.0,20.0,60.0,120.0,0.0,0.0,0.004,69.1,0.0,2.74,12.5,7.19,34.25,1.92277,0.0,0.0,0.0,0.275905,1.578231
20.0,20.0,60.0,120.0,0.0,0.0,0.004,69.8,0.0,2.52,13.8,7.1,34.776,1.73895,0.0,0.0,0.0,0.320752,1.864705882
20.0,20.0,60.0,120.0,0.0,0.0,0.004,70.0,0.0,2.62,13.3,7.45,34.846,1.73891,0.0,0.0,0.0,0.326602,3.846070947
56.0,56.0,0.0,0.0,0.0,0.0,1.37,69.4,0.108,1.37254902,29.0,8.8,40.19607843,0.0,0.305,0.0,0.0,0.0,16.5
56.0,56.0,0.0,0.0,0.0,1.730103806,1.37,71.1,0.108,1.660899654,24.7,9.1,41.17647059,0.0,0.305,0.0,0.0,0.0,27.5
56.0,56.0,0.0,0.0,0.0,1.388888889,1.37,71.2,0.108,2.395833333,17.6,8.8,42.01388889,0.0,0.305,0.0,0.0,0.0,38.7
56.0,56.0,0.0,0.0,0.0,3.703703704,1.37,67.6,0.108,2.191358025,19.0,9.0,41.97530864,0.0,0.305,0.0,0.0,0.0,48.9
56.0,56.0,0.0,0.0,0.0,0.324675325,1.37,69.2,0.108,2.337662338,19.5,8.6,45.77922078,0.0,0.305,0.0,0.0,0.0,36.2
56.0,56.0,0.0,0.0,0.0,2.068965517,1.37,71.0,0.108,2.310344828,21.2,9.2,48.62068966,0.0,0.305,0.0,0.0,0.0,47.9
56.0,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.108,2.222222222,19.6,7.5,44.10774411,0.0,0.305,0.0,0.0,0.0,24.8
56.0,56.0,0.0,0.0,0.0,2.836879433,1.18,71.8,0.108,2.304964539,19.5,8.4,45.03546099,0.0,0.305,0.0,0.0,0.0,24.9
