Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),Initial pH,Initial TC (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),NH3-N loss (%)
39.0,39.0,0.0,0.0,5.0,0.0,0.06,0.0,0.0,0.0,20.7524,6.68792,0.0,8.9162,0.0,0.0,0.0,0.0805369,7.1
39.0,39.0,0.0,0.0,5.0,0.0,0.06,0.0,0.0,0.0,20.7524,7.7349,0.0,5.63128,0.0,0.0,0.0,0.0766219,8.46
39.0,39.0,0.0,0.0,5.0,0.0,0.06,0.0,0.0,0.0,20.7524,6.84899,0.0,6.65924,0.0,0.0,0.0,0.0704698,5.45
26.0,26.0,0.0,0.0,0.0,0.0,0.0212,61.8,0.911331957,2.86133,16.5,6.33927,47.211945,3.54381,0.722641509,15.32,5.85224,0.0,34.9
26.0,26.0,0.0,0.0,0.0,0.56,0.0212,61.8,0.909550852,2.98895,0.0,6.19896,0.0,3.73711,0.724056604,15.35,5.8637,0.0,15.0
35.0,35.0,0.0,0.0,4.0,0.0,0.06,70.4,0.38,2.09,20.3,7.24574,42.4,4.59661,0.0,0.0,0.0,0.0397628,31.32
35.0,35.0,0.0,0.0,4.0,4.56,0.06,0.0,0.38,2.17362,0.0,7.82614,0.0,0.610169,0.0,0.0,0.0,0.0516206,21.79
35.0,35.0,0.0,0.0,4.0,6.48,0.06,0.0,0.38,2.40973,0.0,7.85682,0.0,2.31864,0.0,0.0,0.0,0.0796838,14.21
110.0,25.828282828282827,0.0,0.0,6.0,0.0,0.032,64.6,1.765536723,2.34,0.0,7.4,0.0,2.0,0.5,16.0,5.664,0.1,9.7
110.0,25.828282828282827,0.0,0.0,6.0,0.0,0.032,64.6,1.765536723,2.34,0.0,7.4,0.0,2.0,0.5,16.0,5.664,0.1,9.3
51.0,51.0,0.25,10.0,1.0,0.0,0.0318,60.6289,0.0,2.4529,0.0,7.94808,0.0,4.54,0.0,0.0,0.0,0.75,2.147
51.0,51.0,0.25,10.0,1.0,10.25,0.0318,64.9057,0.0,2.51066,0.0,7.51827,0.0,5.52,0.0,0.0,0.0,1.41,5.739
51.0,51.0,0.25,10.0,1.0,0.0,0.0318,61.8868,0.0,2.24044,0.0,7.85,0.0,4.86,0.0,0.0,0.0,0.82,3.462
