Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Application Rate (%DW),Turning times,Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),TN loss (%)
28.0,28.0,0.0,0.0,10.0,4.0,0.060000000000000005,58.69,0.36,46.54837872
56.0,56.0,0.0,0.0,0.0,11.0,0.09999999999999998,56.03,0.7384444444,34.81424527
56.0,56.0,0.0,0.0,10.0,11.0,0.09999999999999998,55.00000000000001,0.8286666665999999,53.83
56.0,56.0,0.0,0.0,10.0,11.0,0.09999999999999998,55.00000000000001,0.8286666665999999,47.08
46.0,0.0,0.0,0.0,19.3,22.999999999999996,8.085,59.99999999999999,0.0,36.8405
30.0,30.000000000000004,40.0,20.0,0.0,4.0,0.060000000000000005,53.589999999999996,0.7763327993,26.4139
30.0,30.000000000000004,40.0,20.0,0.0,4.0,0.060000000000000005,58.78381,0.8144154439,16.5561
30.0,30.000000000000004,40.0,20.0,0.0,4.0,0.060000000000000005,58.729,0.8144154439000001,12.5751
30.0,30.000000000000004,40.0,20.0,0.0,4.0,0.060000000000000005,58.729,0.8144154439000001,12.7014
26.0,0.0,0.0,0.0,0.0,7.000000000000001,1.2,65.0,0.0,9.85783
26.0,0.0,0.0,0.0,15.679442509999998,7.000000000000001,1.2,65.0,0.0,18.3255
35.0,35.0,30.0,30.0,0.408,2.0,0.060000000000000005,69.57480999999999,0.38,0.290698
50.0,50.0,0.0,0.0,0.0,5.0,0.09999999999999998,58.0,0.31151968560000004,19.0891
28.0,28.0,0.0,0.0,4.3543475,5.0,0.060000000000000005,60.226794113000004,0.4799999999999999,19.53
20.999999999999996,21.0,10.0,360.0,0.0,0.0,0.09999999999999998,66.49481,0.2,22.53
20.999999999999996,21.0,10.0,360.0,0.25,0.0,0.09999999999999998,66.49481,0.2,20.85
20.999999999999996,21.0,10.0,360.0,5.25,0.0,0.09999999999999998,66.18271,0.2,19.4
34.0,34.0,0.0,0.0,10.28571429,6.0,0.060000000000000005,65.0,0.262653324,19.5
34.0,34.0,0.0,0.0,14.57142857,6.0,0.060000000000000005,65.0,0.258904704,18.5
35.0,0.0,0.0,0.0,0.0,6.0,0.060000000000000005,69.2,0.25,6.03
35.0,0.0,0.0,0.0,6.400000000000001,6.0,0.060000000000000005,65.374,0.25,4.15
35.0,0.0,0.0,0.0,4.0,6.0,0.060000000000000005,63.29405,0.25,2.7
35.0,0.0,0.0,0.0,6.400000000000001,6.0,0.060000000000000005,65.374,0.25,3.16
50.0,40.0,6.0,144.0,0.0,9.0,0.09999999999999998,59.99999999999999,3.8536587111999996,2.44
50.0,40.0,6.0,144.0,2.0,9.0,0.09999999999999998,59.99999999999999,3.8536587112000005,2.21
50.0,39.199999999999996,6.999999999999999,168.0,4.0,9.0,0.09999999999999998,59.99999999999999,4.3466587112,2.08
50.0,50.0,0.0,0.0,10.0,9.0,0.09999999999999998,58.5679,0.3,24.05063291
50.0,50.0,0.0,0.0,20.0,9.0,0.09999999999999998,64.0,0.3,17.24137931
50.0,50.0,0.0,0.0,20.5,9.0,0.09999999999999998,63.5,0.3,11.63934426
50.0,50.0,0.0,0.0,21.0,9.0,0.09999999999999998,63.5,0.3,18.1
50.0,50.0,0.0,0.0,22.0,9.0,0.09999999999999998,63.5,0.3,37.5
34.0,34.0,0.0,0.0,0.0,7.000000000000001,0.005,67.6,0.033670034,18.8
34.0,34.0,0.0,0.0,7.733590000000001,7.000000000000001,0.005,67.3,0.033670034,20.8
34.0,34.0,0.0,0.0,7.128276,7.000000000000001,0.005,66.8,0.033670034,17.6
34.0,34.0,0.0,0.0,6.050428,7.000000000000001,0.005,66.0,0.033670034,9.8
42.0,42.0,0.0,0.0,4.0,9.0,0.09999999999999998,62.009,0.31223400679999996,30.73
42.0,42.0,0.0,0.0,6.0,9.0,0.09999999999999998,61.632999999999996,0.2488510102,20.73
52.0,0.0,0.0,0.0,0.0,13.0,3.5400000000000005,65.0,0.0,32.19
52.0,0.0,0.0,0.0,23.0,13.0,4.006200000000001,65.0,0.0,20.8
91.0,7.6000000000000005,0.0,0.0,0.0,13.0,0.25,59.99999999999999,0.012750000000000001,13.65
91.0,7.6000000000000005,0.0,0.0,12.5,13.0,0.25,59.99999999999999,0.012750000000000001,7.66
91.0,7.6000000000000005,0.0,0.0,12.5,13.0,0.25,59.99999999999999,0.012750000000000001,20.8
91.0,40.50000000000001,0.0,0.0,25.0,13.0,0.25,59.99999999999999,0.34241549109999997,13.82
91.0,7.6000000000000005,0.0,0.0,12.5,13.0,0.25,59.99999999999999,0.012750000000000001,10.57
