Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),TC loss (%)
6,6,0,8,0,0,35.0,35.0,-1.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,18.4,0,6.85368,37.48,1,2.98182,0.0,0.0,0.0,0.211927,42.9
0,0,0,8,0,0,28.0,28.0,-1.0,0.0,4.0,0.0,0.06,62.06,0.36,1.95,17.91,0,7.79826,34.9245,4,0.0,0.740203831,44.41222984,16.85,0.0,35.76
11,0,0,8,0,0,28.0,28.0,-1.0,0.0,4.0,10.0,0.06,58.69,0.36,1.96,18.23,0,7.89913,35.7308,1,0.0,0.780682643,46.84095861,19.35,0.0,31.91
0,0,0,7,0,0,34.0,34.0,-1.0,0.0,6.0,0.0,0.06,65.0,0.272108844,0.0,11.37,0,0.0,0.0,4,0.0,0.583333333,35.0,12.25,0.0,55.95
11,0,0,7,0,0,34.0,34.0,-1.0,0.0,6.0,10.0,0.06,65.0,0.262907095,0.0,11.37,0,0.0,0.0,1,0.0,0.60375,36.225,12.67875,0.0,50.26
11,1,0,7,0,0,34.0,34.0,-1.0,0.0,6.0,10.28571429,0.06,65.0,0.262653324,0.0,11.37,0,0.0,0.0,1,0.0,0.604333333,36.26,12.691,0.0,49.66
11,1,0,7,0,0,34.0,34.0,-1.0,0.0,6.0,14.57142857,0.06,65.0,0.258904704,0.0,11.37,0,0.0,0.0,1,0.0,0.613083333,36.785,12.87475,0.0,49.64
0,0,0,8,0,0,35.0,-1.0,-1.0,0.0,6.0,0.0,0.06,69.2,0.25,2.03653,18.43351191,0,8.2,37.5404,4,4.12348,0.0,0.0,0.0,0.271911,64.9
6,5,0,8,0,0,35.0,-1.0,-1.0,0.0,6.0,0.0,0.06,0.0,0.25,2.03653,18.43351191,0,8.0,37.5404,1,1.1653,0.0,0.0,0.0,0.190637,63.1
11,0,0,8,0,0,35.0,-1.0,-1.0,0.0,6.0,4.0,0.06,0.0,0.25,2.03653,18.43351191,0,7.25,37.5404,3,3.76491,0.0,0.0,0.0,0.194223,54.0
6,0,0,8,0,0,35.0,-1.0,-1.0,0.0,6.0,0.0,0.06,0.0,0.25,2.03653,18.43351191,0,6.75,37.5404,1,3.94421,0.0,0.0,0.0,0.259363,42.2
0,0,0,5,0,0,50.0,0.0,0.0,0.0,9.0,0.0,0.1,60.0,0.0,0.0,31.0074,2,6.53,0.0,4,0.0,0.5,0.0,0.0,0.0,54.2
4,0,0,5,0,0,50.0,0.0,0.0,0.0,9.0,2.0,0.1,60.0,0.0,0.0,30.0553,2,6.85,0.0,3,0.0,0.5,0.0,0.0,0.0,52.1
4,0,0,5,0,0,50.0,0.0,0.0,0.0,9.0,4.0,0.1,60.0,0.0,0.0,30.3317,2,6.46,0.0,3,0.0,0.5,0.0,0.0,0.0,48.8
4,0,0,5,0,0,50.0,0.0,0.0,0.0,9.0,6.0,0.1,60.0,0.0,0.0,30.5467,2,6.52,0.0,3,0.0,0.5,0.0,0.0,0.0,42.3
4,0,0,5,0,0,50.0,0.0,0.0,0.0,9.0,8.0,0.1,60.0,0.0,0.0,31.0381,2,6.5,0.0,3,0.0,0.5,0.0,0.0,0.0,39.5
4,0,0,5,0,0,50.0,0.0,0.0,0.0,9.0,10.0,0.1,60.0,0.0,0.0,30.7924,2,6.55,0.0,3,0.0,0.5,0.0,0.0,0.0,38.7
0,0,0,8,0,0,50.0,50.0,-1.0,0.0,9.0,0.0,0.1,55.0,0.3,2.084,25.0,0,7.74382,52.1,4,1.94737,0.0,0.0,0.0,0.0360493,19.4242
1,0,0,8,0,0,50.0,50.0,-1.0,0.0,9.0,10.0,0.1,0.0,0.3,0.0,0.0,0,8.21499,0.0,3,2.38947,0.0,0.0,0.0,0.00672348,12.303
1,8,0,8,0,0,50.0,50.0,-1.0,0.0,9.0,20.0,0.1,0.0,0.3,0.0,0.0,0,8.13921,0.0,3,1.68421,0.0,0.0,0.0,0.040558,11.9394
1,8,1,8,0,0,50.0,50.0,-1.0,0.0,9.0,20.5,0.1,0.0,0.3,0.0,0.0,0,8.0173,0.0,2,1.86316,0.0,0.0,0.0,0.0360416,11.2121
1,8,1,8,0,0,50.0,50.0,-1.0,0.0,9.0,21.0,0.1,0.0,0.3,0.0,0.0,0,7.84926,0.0,2,1.67368,0.0,0.0,0.0,0.0270318,9.51515
1,8,1,8,0,0,50.0,50.0,-1.0,0.0,9.0,22.0,0.1,0.0,0.3,0.0,0.0,0,7.82949,0.0,2,2.77895,0.0,0.0,0.0,0.0157537,9.18182
0,0,0,5,0,0,91.0,0.0,0.0,0.0,13.0,0.0,0.25,60.0,0.0,1.99,20.0,2,7.99441,39.8,4,0.199292,0.0,0.0,0.0,0.236807,63.5179
1,0,0,5,0,0,91.0,0.0,0.0,0.0,13.0,12.5,0.25,60.0,0.0,2.02,20.0,2,7.90629,40.4,3,0.160717,0.0,0.0,0.0,0.23735,57.0893
5,0,0,5,0,0,91.0,0.0,0.0,0.0,13.0,12.5,0.25,60.0,0.0,1.93,20.0,2,7.55385,38.6,1,0.270006,0.0,0.0,0.0,0.236715,59.3214
1,2,0,5,0,0,91.0,0.0,0.0,0.0,13.0,25.0,0.25,60.0,0.0,1.96,20.0,2,7.45315,39.2,2,0.289292,0.0,0.0,0.0,0.236725,46.2857
0,0,0,5,0,0,91.0,0.0,0.0,0.0,13.0,0.0,0.25,60.0,0.0,2.1631710331691445,25.0,2,7.61678,39.31326442882489,4,0.132858,0.0,0.0,0.0,0.607654,63.4286
1,0,0,5,0,0,91.0,0.0,0.0,0.0,13.0,12.5,0.25,60.0,0.0,1.78,25.0,2,7.67972,44.5,3,0.0814295,0.0,0.0,0.0,0.609379,54.8571
5,0,0,5,0,0,91.0,0.0,0.0,0.0,13.0,12.5,0.25,60.0,0.0,1.82,25.0,2,7.17622,45.5,1,0.190718,0.0,0.0,0.0,0.608186,57.9821
1,2,0,5,0,0,91.0,0.0,0.0,0.0,13.0,25.0,0.25,60.0,0.0,1.76,25.0,2,7.26434,44.0,2,0.184286,0.0,0.0,0.0,0.608131,46.8214
0,0,0,5,0,0,91.0,0.0,0.0,0.0,13.0,0.0,0.25,60.0,0.0,1.67,30.0,2,7.55385,50.1,4,0.111427,0.0,0.0,0.0,0.976888,65.3036
1,0,0,5,0,0,91.0,0.0,0.0,0.0,13.0,12.5,0.25,60.0,0.0,1.63,30.0,2,7.5035,48.9,3,0.0471383,0.0,0.0,0.0,0.977398,58.9643
5,0,0,5,0,0,91.0,0.0,0.0,0.0,13.0,12.5,0.25,60.0,0.0,1.7,30.0,2,7.15105,51.0,1,0.104995,0.0,0.0,0.0,0.976701,57.625
1,2,0,5,0,0,91.0,0.0,0.0,0.0,13.0,25.0,0.25,60.0,0.0,1.52,30.0,2,7.12587,45.6,2,0.149999,0.0,0.0,0.0,0.976724,51.1071
0,0,0,7,1,0,32.0,32.0,-1.0,0.0,0.0,0.0,0.1,75.32,0.0,0.0,17.96,0,6.28,0.0,4,0.05259,0.0,0.0,0.0,1.09726,22.82
0,0,0,7,1,0,32.0,32.0,-1.0,0.0,0.0,0.0,0.1,69.37,0.0,0.0,17.83,0,8.05,0.0,4,0.07962,0.0,0.0,0.0,1.26227,43.09
0,0,0,7,1,0,32.0,32.0,-1.0,0.0,0.0,0.0,0.1,66.06,0.0,0.0,19.19,0,8.33,0.0,4,0.08732,0.0,0.0,0.0,2.19808,49.76
0,0,0,0,1,0,32.0,32.0,-1.0,0.0,0.0,0.0,0.1,76.28,0.0,0.0,21.77,0,8.74,0.0,4,0.04191,0.0,0.0,0.0,1.93562,23.45
0,0,0,0,1,0,32.0,32.0,-1.0,0.0,0.0,0.0,0.1,72.85,0.0,0.0,21.05,0,8.65,0.0,4,0.03399,0.0,0.0,0.0,2.14267,37.55
0,0,0,0,1,0,32.0,32.0,-1.0,0.0,0.0,0.0,0.1,63.45,0.0,0.0,22.43,0,8.79,0.0,4,0.03977,0.0,0.0,0.0,2.9048,57.58
0,0,0,7,0,0,32.0,32.0,-1.0,0.0,0.0,0.0,0.1,67.86,0.0,0.0,12.13,0,5.86,0.0,4,0.31589,0.0,0.0,0.0,1.05418,32.63
0,0,0,0,0,0,32.0,32.0,-1.0,0.0,0.0,0.0,0.1,76.28,0.0,0.0,22.24,0,8.73,0.0,4,0.03381,0.0,0.0,0.0,1.49852,36.19
0,0,0,7,0,0,70.0,-1.0,-1.0,-1.0,6.0,0.0,22.5,0.0,-1.0,0.0,0.0,2,0.0,0.0,4,0.0,0.888888889,20000.0,0.0,0.0,34.44421478
1,0,0,7,0,0,70.0,-1.0,-1.0,-1.0,6.0,0.6,22.5,0.0,-1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.888888889,20000.0,0.0,0.0,28.30697011
1,0,0,7,0,0,70.0,-1.0,-1.0,-1.0,6.0,1.0,22.5,0.0,-1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.888888889,20000.0,0.0,0.0,29.9724457
1,0,0,7,0,0,70.0,-1.0,-1.0,-1.0,6.0,1.7,22.5,0.0,-1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.888888889,20000.0,0.0,0.0,30.68182588
0,0,0,7,0,0,56.0,-1.0,-1.0,-1.0,8.0,0.0,22.5,0.0,-1.0,0.0,0.0,2,0.0,0.0,4,0.0,0.444444444,10000.0,0.0,0.0,46.88991339
1,0,0,7,0,0,56.0,-1.0,-1.0,-1.0,8.0,4.0,22.5,0.0,-1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.444444444,10000.0,0.0,0.0,34.85462355
1,0,0,7,0,0,56.0,-1.0,-1.0,-1.0,8.0,7.3,22.5,0.0,-1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.444444444,10000.0,0.0,0.0,33.33327171
