V3_Ventilation Duration (min),Initial C/N (%), Composting Method,Initial GI (%),V4_Ventilation Day,M1_is Enclosed,V2_Ventilation Interval (min),Initial Moisture Content (%),Application Rate (%DW),Additive_1,Material_Main,Additive_2,Turning times,Initial pH,V5_Ventilation rate (L/min/kg iniDW),Additive_4,Period (d),Material_2,Material_3,Additive_3,Compost volume (m3),V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
22.043870938262494,41.04540169706343,Trough,27.32884658064516,67.0,1.0,1409.0,49.37841374747968,2.5467687605199485,Labile carbon source,Food Waste,Organic acid,13.0,7.779346215339975,1.1492011293917992,None,75.0,Green waste,None,None,0.06,Intermittent ,1.775,72.85558801228758,98.977427,8.414254071252504,0.8445119261741638,0.1564434167205911,25.86896830972997
29.98611823568425,5.481373301802623,Reactor,27.32884658064516,15.0,1.0,0.0,55.9753835805829,1.4467001532424963,Lime,Food Waste,Mg(OH)₂,2.0,8.643205970532387,0.8727230674923336,None,38.0,Husk,None,None,0.06,Continuous,1.775,9.729437610699655,102.27360300000002,6.634116492085515,1.009920954704285,0.1709872895472756,23.14506986906228
0.0,5.718402163035792,Trough,27.32884658064516,0.0,0.0,0.0,53.77213402830448,1.0198697380396389,Sand,Food Waste,Microbiological agent,15.0,5.6099453729863455,0.0,None,82.0,Byproduct,Straw,None,0.06,None,1.775,10.150163839388531,102.782942,5.437692248469117,0.6920496225357056,0.1548980802581283,22.920541333348982
0.0,5.965646129396831,Windrow,27.32884658064516,0.0,0.0,0.0,44.31648005503824,2.593390783570505,Calcium magnesium phosphate fertilizer,Food Waste,Gypsum,17.0,6.142498308079152,0.0,None,51.0,Green Waste,None,None,0.06,None,1.775,10.912331984187055,101.63861800000002,7.2381797308349265,0.5585304498672485,0.1255502454763974,1000000.0
58.78851380939162,6.1588789958202845,Windrow,27.32884658064516,44.0,0.0,0.0,64.93566882013859,4.966574809776452,Ca-superphosphate,Food Waste,None,21.0,6.949462028186902,3.452827308860468,None,123.0,Husk,None,None,0.06,Continuous,1.775,10.932010217581004,100.139264,9.129700236507494,1.2080153226852417,0.1669710375686328,25.422306345784012
53.61922237540762,14.536265031574713,Reactor,27.32884658064516,0.0,1.0,1403.0,49.13484036900842,2.9050545781883743,Urea,Food Waste,Gypsum,18.0,4.806358888674625,6.117285513147088,None,35.0,Byproduct,None,None,0.06,Intermittent ,1.775,25.80187043104511,98.991702,6.073968395987558,1.047105073928833,0.1384156129494622,27.384859893752317
25.21816421019424,5.881753340201916,Windrow,27.32884658064516,48.0,0.0,139.0,67.34113636189318,3.540663335673901,Sand,Food Waste,None,21.0,9.947823670456714,0.4698175627144295,None,72.0,Green Waste,None,None,0.06,Intermittent ,1.775,10.4401121788584,100.078898,9.129700236507494,1.1994662284851074,0.1462877931885442,27.04498243728282
5.602800748346153,5.984097600285137,Reactor,27.328846580645163,42.0,1.0,0.0,45.02544870630353,2.4539142646274685,Potassium phosphate,Food Waste,Zeolite,7.0,11.461685048829327,5.1798942726495225,None,99.0,Green waste,Mature compost,None,0.06,Continuous,1.775,11.510700090425342,103.53654200000004,7.584243868188251,1.1130812168121338,0.181553187681238,1000000.0
39.6289459507366,5.447994359420724,Trough,27.32884658064516,56.0,0.0,227.0,70.03567926120601,5.48972702109555,MgSO₄,Food Waste,Zeolite,16.0,6.417595506581578,5.498836699802288,None,65.0,Green waste,Byproduct,None,0.06,Intermittent ,1.775,9.670189987971783,100.482767,2.723919446549588,1.2700343132019043,0.1593973782449753,27.08541555013161
59.04444496564495,5.131850823221562,Reactor,27.32884658064516,0.0,1.0,594.0,57.10071012922071,1.364567327215371,Inorganic acid,Food Waste,Microbiological agent,31.0,11.331131748148096,1.846514053450904,None,32.0,Green Waste,None,None,0.06,Intermittent ,1.775,9.109035211218272,101.32807100000002,6.584754798837275,0.9895895719528198,0.1498119776765065,29.55671163998996
2.229760275848378,41.8197333111233,Reactor,27.32884658064516,22.0,1.0,0.0,64.44640197474249,1.921718323879425,LB Culture,Food Waste,Gypsum,5.0,4.659153362722813,3.1273890496081997,None,55.0,Green waste,None,None,0.06,Continuous,1.775,74.23002662724386,98.75373500000002,7.957036993285723,0.8694413304328918,0.2692318000199215,21.958966967794108
29.091182146916196,5.598567118707659,Trough,27.328846580645163,14.0,0.0,0.0,49.39776239696612,2.3292555972371947,MgO,Food Waste,Ca-superphosphate,12.0,10.17321025429821,5.406344683440118,None,99.0,None,Poultry manure,None,0.06,Continuous,1.775,9.937456635706091,101.27477400000002,8.041460946155025,0.9931448101997375,0.1523420232621193,24.10039022796022
1.5090878306252598,5.344198463775358,Windrow,27.32884658064516,29.0,0.0,262.0,78.48417981076761,1.3597906148790218,Phosphogypsum,Food Waste,MgO,30.0,7.701098901689303,5.716287483011527,None,29.0,Green Waste,None,None,0.06,Intermittent ,1.775,9.48595227320126,101.55477900000004,7.16615938389755,1.0649107694625854,0.1565319633292363,25.249553620317563
0.0,7.183267284890752,Reactor,27.32884658064516,0.0,1.0,0.0,50.55926705583328,0.1589947940817702,MgHPO₄,Food Waste,Inorganic acid,23.0,4.31933558070539,0.0,None,57.0,Green Waste,Mature compost,None,0.06,None,1.775,12.750299430681084,99.008111,8.86123676033259,0.5907049179077148,0.1715968036561991,27.04438102873713
2.505075682011648,5.92011298716004,Windrow,28.81131141818067,22.0,1.0,804.0,76.09861910897973,2.5585699749309487,Sulfur,Food Waste,Biochar,1.0,8.674937066722835,6.054009620563741,None,63.0,Green waste,Straw,None,0.06,Intermittent ,1.775,9.271907665264049,102.088309,7.584243868188251,1.0066639184951782,0.1444284519567302,1000000.0
36.80332959859265,6.127954943488251,Windrow,27.32884658064516,50.0,1.0,0.0,58.60246569006445,0.557228476439422,Ferric salt,Food Waste,Inorganic acid,4.0,7.617981068345045,9.782136644102494,None,117.0,Byproduct,Straw,None,0.06,Continuous,1.775,11.201510643517878,102.183876,6.199406655723737,1.1303189992904663,0.1782269639581371,1000000.0
0.0,5.452501722350664,Reactor,27.32884658064516,0.0,1.0,0.0,64.90045355862219,2.312368476909004,Sulfur,Food Waste,Mg(OH)₂,14.0,9.183344544208335,0.0,None,107.0,Green waste,Green waste,None,0.06,None,1.775,9.678190557172428,102.702139,6.288052354732185,0.494466632604599,0.1676860494872835,22.21012664071645
55.01388839892552,32.42464040878339,Trough,27.32884658064516,75.0,1.0,0.0,71.81086504260622,2.968822655605164,Potassium phosphate,Food Waste,Gypsum,9.0,7.426970673782812,5.143586817968687,None,129.0,Green Waste,None,None,0.06,Continuous,1.775,57.55373672559051,98.43085700000002,8.414254071252504,0.8359628319740295,0.2137853957246037,24.84032968457048
16.025520781101548,6.139940895620516,Trough,27.32884658064516,12.0,1.0,0.0,56.36797092640737,2.3738831554011397,MgSO₄,Food Waste,Calcium magnesium phosphate fertilizer,9.0,9.88510724682832,4.250866470089846,None,75.0,Byproduct,None,None,0.06,Continuous,1.775,12.71713248460095,102.92369800000002,6.199406655723737,1.0875015258789062,0.1708431815353367,1000000.0
0.0,5.89537910878307,Trough,27.32884658064516,0.0,0.0,0.0,46.53507327377163,0.9015994436622076,Ca-superphosphate,Food Waste,DCD,20.0,4.832224168649506,0.0,None,49.0,Green waste,Mature compost,None,0.06,None,1.775,10.46429791808995,101.995158,7.2381797308349265,0.6138445138931274,0.1478160188310261,25.857695066792257
6.047582076934687,5.645490843036816,Windrow,27.32884658064516,65.0,0.0,680.0,73.27828140651107,2.1862665520816305,Phosphogypsum,Food Waste,MgO,13.0,4.5833838231333575,1.7942985298791423,None,74.0,Woody peat,Straw,None,0.06,Intermittent ,1.775,10.020746246390347,98.206365,7.584243868188251,1.0604002475738523,0.1723418184246549,28.276058204274182
9.958153487065786,5.029088210987163,Trough,27.328846580645163,48.0,1.0,624.0,62.94932298732459,0.0186347376110374,Microbiological agent,Food Waste,Microbiological agent,23.0,6.765864425435714,0.2129435014851336,None,70.0,Green waste,Poultry manure,None,0.06,Intermittent ,1.775,9.50506930248793,102.52937700000004,7.165520722572368,1.0235874652862549,0.1448476873908879,1000000.0
25.761011399750803,6.9418190529727015,Trough,27.32884658064516,21.0,0.0,0.0,71.60520855620027,2.418635878405242,Gypsum,Food Waste,Zeolite,23.0,10.36889339998752,0.0911782798874716,None,31.0,Green waste,Byproduct,None,0.06,Continuous,1.775,12.321728819026545,100.62831300000002,3.8915760311476735,1.1006258726119995,0.1684015894873053,25.05810927186606
10.920322063644647,5.732898670841844,Trough,28.129719799486026,24.0,1.0,435.0,72.79960139544589,5.480483667691537,Calcium magnesium phosphate fertilizer,Food Waste,MgSO₄,17.0,8.101798160270427,0.1866646196191557,None,55.0,Byproduct,Byproduct,None,0.06,Intermittent ,1.775,10.175895140744272,99.706771,1.2781960529856748,1.4208359718322754,0.1626626651118896,23.32472777198825
52.13884855077127,5.92851021995296,Trough,27.32884658064516,56.0,0.0,1326.0,70.48897082603706,4.553334109903947,Microbiological agent,Food Waste,Calcium magnesium phosphate fertilizer,27.0,6.9986106503162695,3.6341866943211287,None,69.0,Green waste,Poultry manure,None,0.06,Intermittent ,1.775,10.523105640416505,100.12739799999996,9.166286590819045,1.1864420175552368,0.1567614226260772,27.16186482006137
16.02157522813839,5.596183208214769,Windrow,27.32884658064516,5.0,0.0,836.0,84.01055538411192,2.925245218142536,Phosphogypsum,Food Waste,Gypsum,27.0,9.241107688821872,6.596550962388209,None,38.0,Green waste,None,None,0.06,Intermittent ,1.775,9.933225194581214,102.41767700000004,9.166286590819045,1.014717698097229,0.1604942373250882,25.02945857846603
53.18209170962431,5.025163882337004,Trough,27.32884658064516,32.0,0.0,1285.0,74.6196129125267,8.673445021495061,Sodium salt,Food Waste,Zeolite,7.0,6.89697201895002,7.838954201891593,None,34.0,Green waste,Byproduct,None,0.06,Intermittent ,1.775,8.919665891148181,99.70416500000005,2.586356721565104,1.289254665374756,0.1521791931087707,26.05423835776135
14.3284336272502,45.03763114623102,Windrow,27.328846580645163,42.0,0.0,846.0,71.03026485284265,0.1724764140736017,Inorganic acid,Food Waste,MgO,8.0,6.923980978939969,4.412566262285118,None,133.0,Green waste,None,None,0.06,Intermittent ,1.775,79.94179528456006,98.649503,8.414254071252504,0.8524119257926941,0.1633110977361021,24.6207386230588
0.0,7.022321158309311,Windrow,27.328846580645163,0.0,1.0,0.0,43.99292550894869,0.515019764453426,Calcium magnesium phosphate fertilizer,Food Waste,MgO,12.0,11.57664842941636,0.0,None,127.0,Green waste,Byproduct,None,0.06,None,1.775,12.464620055999028,100.90937800000002,3.538662336345641,0.5469748973846436,0.1413449559874823,22.072146255151008
0.0,6.168007468540607,Trough,27.32884658064516,0.0,1.0,0.0,67.4301628605871,4.483462840739031,Sand,Food Waste,Biochar,14.0,4.545924676157207,0.0,None,130.0,None,Mature compost,None,0.06,None,1.775,10.948213256659576,98.861713,7.2381797308349265,0.5059667825698853,0.1607902797592158,23.40044960778556
35.05630589833328,45.17851542164346,Reactor,27.32884658064516,27.0,1.0,412.0,77.1317337181026,0.0263286421451779,MgO,Food Waste,Mg(OH)₂,8.0,11.411240393892898,9.675044204240958,None,33.0,Green Waste,Green waste,None,0.06,Intermittent ,1.775,80.19186487341715,98.489437,8.414254071252504,0.8759008646011353,0.2114763678604254,25.5064159961678
