Material_Main,Initial GI (%),Additive_2,Initial pH,V3_Ventilation Duration (min),Initial C/N (%),Material_3,Compost volume (m3),V4_Ventilation Day, Composting Method,Additive_1,Initial Moisture Content (%),Additive_3,M1_is Enclosed,Period (d),V1_Ventilation Type,Application Rate (%DW),Turning times,Material_2,Additive_4,V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Food waste,27.32884658064516,None,11.460769294098998,0.0,29.56720882050145,Straw,0.0551315789473684,0.0,Windrow,None,56.09799982443226,None,0.0,26.0,None,9.755799743329568,3.0,Green waste,None,0.0,0.0,1.938857678018576,57.3266098392078,97.327488,6.833191856595085,0.4666948318481445,0.1828957246456886,19.330426740574257
Food waste,27.32884658064516,None,6.120829929371558,38.59009178228352,36.77924088523893,Byproduct,0.0551315789473684,5.0,Windrow,Gypsum,66.16301742857831,None,0.0,58.0,Continuous,8.208096633935579,4.0,Green waste,None,9.481545029976472,0.0,1.938857678018576,71.30971358204022,94.464851,7.88559197063705,1.1733660697937012,0.190361107407338,17.425038206769262
Food waste,27.32884658064516,Zeolite,11.28876126201369,0.0,26.952064214946382,Mature compost,0.0551315789473684,0.0,Windrow,MgSO₄,74.33657684340379,None,0.0,16.0,None,9.769063189171906,3.0,Woody peat,None,0.0,0.0,1.938857678018576,52.256216641598506,97.39427499999998,7.396786135597439,0.3988716900348663,0.1527459312382079,23.963074280270927
Food waste,27.32884658064516,Potassium phosphate,8.343490416560957,48.43464962448756,15.739096931693204,None,0.0551315789473684,29.0,Trough,Mature compost,55.31151549031368,None,0.0,74.0,Intermittent ,6.793003713434379,4.0,Soil,None,0.9773128527976238,282.0,1.938857678018576,30.51586893109198,95.71081300000002,11.041246769314862,0.6742499470710754,0.1173560138315087,22.80192984951539
Food waste,27.32884658064516,Potassium phosphate,7.0414188957620745,11.004976054102109,32.77935583758279,None,0.0551315789473684,47.0,Windrow,MgSO₄,71.50052632933634,None,0.0,119.0,Intermittent ,8.146181851052273,4.0,Woody peat,None,5.725893241272043,576.0,1.938857678018576,63.55450574620043,95.82849600000002,8.787514849541205,0.427408367395401,0.1426322332284763,21.0959633649575
Food waste,27.32884658064516,DCD,7.683314420781171,24.55565755420007,23.67906900595026,Byproduct,0.0551315789473684,60.0,Windrow,Sodium phosphates,83.92658312134216,None,1.0,72.0,Intermittent ,9.734640846555108,3.0,None,None,8.973613007512593,674.0,1.938857678018576,45.91034475051836,95.48012300000002,9.284702137168788,0.2393035739660263,0.1533153927430474,20.04746978475777
Food waste,27.32884658064516,Gypsum,10.524489912556817,13.053416339548566,23.433746794201056,Straw,0.0551315789473684,50.0,Trough,K₂SO₄,49.52003400956085,None,1.0,130.0,Intermittent ,9.825488103356506,4.0,None,None,0.5344651559240021,1077.0,1.938857678018576,45.43469989667991,95.73080900000002,8.37798488307225,0.6025004386901855,0.1382615944252499,20.257594250161063
Food waste,27.32884658064516,Mg(OH)₂,9.245214107293808,0.0,15.86515300704142,None,0.0551315789473684,0.0,Trough,MgHPO₄,55.59330711862204,None,0.0,110.0,None,8.668251241852955,3.0,Woody peat,None,0.0,0.0,1.938857678018576,30.76027372064176,93.66591000000004,7.035703594084859,0.4331893622875213,0.1043721925274478,15.859991683975588
Food waste,27.32884658064516,MgO,6.956290870763913,50.861669016065605,40.89145539969432,None,0.0551315789473684,2.0,Windrow,Organic acid,66.45162304001555,None,1.0,25.0,Intermittent ,8.530341651252844,3.0,Husk,None,7.949604208975377,675.0,1.938857678018576,79.2827122670515,96.824356,6.041225170884296,0.3729214370250702,0.1781785058745287,22.015449545698782
Food waste,27.8436206347024,Mg(OH)₂,7.018953317459381,22.82500204603304,23.516078146538813,Straw,0.0551315789473684,33.0,Windrow,MgO,83.2569215244222,None,0.0,54.0,Intermittent ,9.965434401319213,4.0,None,None,6.53142791570354,1235.0,1.938857678018576,45.594328671301625,96.916708,8.682565945800889,0.4653704762458801,0.165924193900615,19.22167660926949
Food waste,27.32884658064516,MgSO₄,4.466346759384683,0.0,8.412860967824056,Mature compost,0.0551315789473684,0.0,Trough,Lime,64.48457252448549,None,0.0,114.0,None,9.85491462658551,3.0,Straw,None,0.0,0.0,1.938857678018576,16.31134008156846,96.460494,7.731220710553261,0.4129190742969513,0.0997453132934521,20.0950113664406
Food waste,27.32884658064516,Potassium phosphate,4.683780103972903,31.92145208645703,13.156710201911531,Poultry manure,0.0551315789473684,22.0,Windrow,MgCl₂,48.72037087697167,None,0.0,103.0,Intermittent ,6.690608150064405,5.0,Green Waste,None,2.1771647800253,1008.0,1.938857678018576,25.508988592441504,94.823862,9.674996255065722,0.6548666954040527,0.1337891749670431,19.10287313753693
Food waste,27.32884658064516,MgO,6.42572040226047,30.55270714923248,30.41968627380667,Green waste,0.0551315789473684,3.0,Windrow,Forsterite,67.84242579736022,None,0.0,33.0,Continuous,9.306085531339988,3.0,None,None,6.712599074437659,0.0,1.938857678018576,58.97944229488635,95.7061,6.612145845863731,0.8646881580352783,0.1809441167004345,21.454525632550013
Food waste,27.32884658064516,Organic acid,8.239078687480243,23.00594864576866,28.617993134303084,Poultry manure,0.0551315789473684,0.0,Trough,Zeolite,47.18631541430509,None,1.0,15.0,Intermittent ,6.548964464025081,3.0,Sawdust,None,5.065869364219878,1199.0,1.938857678018576,55.48621571792643,96.813408,6.871906737031215,0.6489326357841492,0.1652817659678586,26.26931390392958
