Material_2,M1_is Enclosed,Initial C/N (%),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Turning times,V4_Ventilation Day,Material_3,Initial pH,Period (d),Additive_1,Compost volume (m3),V2_Ventilation Interval (min),Additive_3,Initial Moisture Content (%),Initial GI (%),Additive_4,Additive_2,Material_Main,V3_Ventilation Duration (min),Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Soil,1.0,15.233410782538373,Continuous,Trough,6.829573475511,31.0,1.0,Mature compost,10.047768855167444,58.0,Ferric salt,0.0551315789473684,0.0,None,54.63115336220298,27.32884658064516,None,None,Food waste,54.80809235790745,2.1195222033109093,1.938857678018576,29.53541545813549,114.69611800000008,8.525182416628633,0.5160186290740967,0.1703226111320089,28.417961507620173
Green waste,0.0,34.36752895826977,Continuous,Windrow,1.260265702940825,26.0,1.0,Green waste,6.412184693265507,29.0,Lignite,0.0551315789473684,0.0,None,59.04534403949553,29.03541583106179,None,Potassium phosphate,Food waste,50.7777206841546,8.427621728462134,1.938857678018576,70.05010946272724,117.17128400000009,5.905688061821661,0.6527990698814392,0.199691410604562,1000000.0
Green waste,1.0,15.786190718903685,Continuous,Trough,0.1565274483923551,11.0,56.0,None,4.484682139756834,59.0,Potassium phosphate,0.0551315789473684,0.0,None,57.81252371363938,27.32884658064516,None,Microbiological agent,Food waste,48.20245760388922,0.2379325898438145,1.938857678018576,30.60717708201199,113.68160500000008,12.167791470251023,1.0906492471694946,0.1360829784698027,30.54639598346642
Husk,1.0,21.011752313956777,Continuous,Trough,0.594547354516074,19.0,4.0,Byproduct,5.242663744450093,131.0,Gypsum,0.0551315789473684,0.0,None,80.48525405585102,27.32884658064516,None,DCD,Food waste,31.095572743991298,0.3574382141400445,1.938857678018576,40.73879730253968,116.55647400000004,9.647099537783362,1.1813873052597046,0.2127659860742834,22.14173060414437
Green waste,0.0,11.23879405773924,Continuous,Windrow,4.015054245334965,26.0,3.0,Byproduct,6.891428736021552,25.0,MgSO₄,0.0551315789473684,0.0,None,64.31931100214868,27.32884658064516,None,DCD,Food waste,42.166733324640695,5.261062883725751,1.938857678018576,21.790422150517276,115.16926000000008,7.102387775203463,0.959958553314209,0.1660187403680247,28.66569820087236
Straw,0.0,11.583449967984151,Continuous,Trough,6.734925448107595,3.0,16.0,Byproduct,7.420957131572317,66.0,MgO,0.0551315789473684,0.0,None,80.73780175313611,27.32884658064516,None,MgSO₄,Food waste,39.37347210014568,0.8265516053452243,1.938857678018576,22.4586609083701,112.49589400000006,6.900588858362974,0.6857680082321167,0.1745619844941079,21.52086278221597
Plastic tube pieces,0.0,40.07858299556765,Intermittent ,Windrow,1.2702969409588338,13.0,0.0,Green waste,4.9809941548728185,124.0,Sulfur,0.0551315789473684,103.0,None,59.25651298166352,27.32884658064516,None,Inorganic acid,Food waste,53.80756489535744,9.88555015317473,1.938857678018576,77.70666836506108,114.42511500000003,8.764593640570054,0.7756047248840332,0.1624216206316509,22.84180108086231
Soil,1.0,43.63514386679815,Continuous,Windrow,9.894230576459185,1.0,0.0,Byproduct,8.14784754551729,31.0,Sodium phosphates,0.0551315789473684,0.0,None,78.10076695434842,27.32884658064516,None,Ca-superphosphate,Food waste,34.89427593695184,7.664297992199836,1.938857678018576,84.60233371758676,115.01715500000005,8.014013822298306,0.582876980304718,0.2154033216238055,23.364104030673214
Plastic tube pieces,1.0,10.125352586701297,Continuous,Trough,8.368051600126039,26.0,0.0,Poultry manure,7.175827637481392,115.0,Mg(OH)₂,0.0551315789473684,0.0,None,79.93981558498987,27.32884658064516,None,Microbiological agent,Food waste,29.68214259861731,0.69075665387493,1.938857678018576,19.63161760537105,113.09475900000012,8.695703799362507,0.604080319404602,0.2127756612020026,23.26067699373029
Green Waste,0.0,42.65679056756975,Continuous,Windrow,0.0501741249672449,24.0,16.0,None,11.413844465591657,23.0,Sodium salt,0.0551315789473684,0.0,None,67.74068132169317,27.32884658064516,None,DCD,Food waste,39.951985174709705,2.400307298935307,1.938857678018576,82.70544591156298,113.18360200000002,6.736227177663137,0.7338906526565552,0.1765973396777708,25.7893779557119
Plastic tube pieces,1.0,29.11912848451604,Continuous,Windrow,1.3260082120544714,25.0,2.0,Green waste,5.8117064710397255,22.0,Sulfur,0.0551315789473684,0.0,None,79.81612764198661,27.328846580645163,None,None,Food waste,55.35951074352704,4.707760565493507,1.938857678018576,54.456208282685225,117.77518200000009,1000000.0,1000000.0,1000000.0,1000000.0
Byproduct,1.0,42.20851531674125,Continuous,Windrow,8.189194095684982,28.0,2.0,Green waste,11.16398188265486,19.0,K₂SO₄,0.0551315789473684,0.0,None,51.73358848665743,27.32884658064516,None,Gypsum,Food waste,55.756646877687096,3.472675228913884,1.938857678018576,81.83630399962844,115.94010900000004,8.004495358225865,0.5432454943656921,0.2138989823433381,27.26097578766609
Green waste,1.0,34.21821642251772,Continuous,Windrow,8.702068603226277,9.0,2.0,None,8.434329158551407,58.0,Urea,0.0551315789473684,0.0,None,47.84452492075458,27.328846580645163,None,Potassium phosphate,Food waste,56.58279342190787,3.135535324773546,1.938857678018576,66.3442516388998,115.98492000000007,9.3645510100733,0.650303065776825,0.201848797924437,23.583868776360983
None,1.0,22.42575069765192,Continuous,Windrow,0.1958750158215383,31.0,8.0,Poultry manure,9.002197010805666,126.0,Zeolite,0.0551315789473684,0.0,None,48.551928321678936,27.32884658064516,None,Ca-superphosphate,Food waste,42.91279498675585,0.8583406383737513,1.938857678018576,43.48033892547286,115.92018200000004,9.079322295939823,0.9087659120559692,0.1851066954287305,21.4816744691191
Green waste,0.0,18.91313652401162,Intermittent ,Windrow,3.252709639412802,1.0,2.0,Mature compost,8.152603187281647,13.0,Clay,0.0551315789473684,127.0,None,79.09283247808143,27.32884658064516,None,Microbiological agent,Food waste,33.075130482588506,4.510366872830772,1.938857678018576,36.66987996499349,112.71482500000003,7.679547036539818,0.5794154405593872,0.1704314251234967,22.79218588131465
