Material_2,M1_is Enclosed,Initial C/N (%),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Turning times,V4_Ventilation Day,Material_3,Initial pH,Period (d),Additive_1,Compost volume (m3),V2_Ventilation Interval (min),Additive_3,Initial Moisture Content (%),Initial GI (%),Additive_4,Additive_2,Material_Main,V3_Ventilation Duration (min),Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Green waste,0.0,41.88300030891504,Continuous,Windrow,1.055935630123478,17.0,4.0,Mature compost,11.76259817005755,14.0,Zeolite,0.06,0.0,None,80.07274912794526,27.32884658064516,None,None,Food Waste,31.013903386183536,0.3712216873133748,1.775,74.3423255483242,116.57558900000004,6.7469586411976135,0.9267286658287048,0.1789308253067713,26.29130672458316
Sawdust,1.0,21.78589721407752,Continuous,Trough,1.2101226953375654,6.0,3.0,Poultry manure,9.070284237774429,15.0,Carbonatite,0.06,0.0,None,63.37036527479622,27.328846580645163,None,Biochar,Food Waste,51.68704129305934,1.716395524471538,1.775,38.66996755498759,116.20601900000004,6.32929958710937,0.9932337403297424,0.2650194052938714,30.13666342500085
Green waste,0.0,31.670681814211523,Continuous,Windrow,0.738376222085797,21.0,13.0,Byproduct,7.219867354290402,40.0,Lignite,0.06,0.0,None,52.208894369171794,27.32884658064516,None,MgSO₄,Food Waste,53.148004857331536,4.140478635044834,1.775,56.21546022022545,113.95186300000005,5.979633860074437,0.9537893533706664,0.2067107046380184,25.963743998576824
Green Waste,0.0,39.13888352834901,Continuous,Windrow,0.4553325264070909,27.0,0.0,Straw,8.688925919365257,114.0,Ca-superphosphate,0.06,0.0,None,76.15472373778177,27.328846580645163,None,MgO,Food Waste,51.40558972993114,8.71828582795564,1.775,69.47151826281949,115.15745400000009,5.509975861078292,0.932405650615692,0.1727268802228861,20.120435876570266
Green Waste,1.0,34.20761670385679,Continuous,Trough,9.88418624362083,7.0,1.0,None,5.976896625145828,19.0,Microbiological agent,0.06,0.0,None,60.255177013876725,27.32884658064516,None,Calcium magnesium phosphate fertilizer,Food Waste,32.945615314040786,2.37396849886496,1.775,60.71851964934581,115.74782300000008,8.622528966515928,1.1170514822006226,0.2831403017710265,25.942922468019542
None,1.0,41.03624406370866,Continuous,Windrow,7.22530662238823,21.0,2.0,Straw,10.192662057539753,97.0,Forsterite,0.06,0.0,None,64.42252353792458,27.32884658064516,None,None,Food Waste,35.439763602107035,8.186440683833995,1.775,72.83933321308287,115.18975000000007,8.523280430697348,0.9038702249526978,0.1835205674789183,22.101439568657195
Green Waste,0.0,8.736926717797527,Continuous,Windrow,1.198086730093095,3.0,2.0,Green waste,12.01759383609126,68.0,Phosphogypsum,0.06,0.0,None,64.01719605059293,27.32884658064516,None,Calcium magnesium phosphate fertilizer,Food Waste,36.46418025870264,3.5129785614595743,1.775,15.508044924090608,115.57344900000004,5.951767809576117,1.1005009412765503,0.1396050859978731,19.34576432415783
Green Waste,1.0,8.477043230315953,Continuous,Windrow,8.05568798637805,14.0,6.0,Mature compost,9.056115463301715,15.0,MgHPO₄,0.06,0.0,None,73.19503994560063,27.32884658064516,None,Calcium magnesium phosphate fertilizer,Food Waste,56.9304775559069,4.073773289464048,1.775,15.046751733810815,114.18844300000006,9.291442065705768,1.0848077535629272,0.1924213466669602,29.56208686376239
Green waste,1.0,5.846682361129009,Intermittent ,Windrow,1.3203286158149097,26.0,8.0,None,9.015796385643243,22.0,Labile carbon source,0.06,924.0,None,63.70760295955513,27.32884658064516,None,MgSO₄,Food Waste,36.41375313352511,8.630371308675432,1.775,10.37786119100399,113.08995300000008,10.217569045286766,0.8766086101531982,0.1489054351968517,29.929702762257005
Woody peat,0.0,40.96494232355334,Continuous,Windrow,9.02386412655773,3.0,0.0,Straw,6.242305737279086,104.0,K₂SO₄,0.06,0.0,None,58.68292213011041,27.32884658064516,None,Zeolite,Food Waste,53.85736026483205,8.95683373626171,1.775,72.71277262430718,115.13179500000004,5.815221756075295,0.8540170192718506,0.1825436164202014,20.83201829276755
Woody peat,0.0,37.48798693097542,Continuous,Windrow,1.3241037720539128,17.0,54.0,Mature compost,5.832947613310624,66.0,Mg(OH)₂,0.06,0.0,None,78.59776720274115,27.32884658064516,None,Zeolite,Food Waste,53.62144689317373,9.077705233331796,1.775,65.94514386768896,114.07890100000004,8.494693987039222,1.0099949836730957,0.1891229266025901,1000000.0
Green Waste,1.0,35.87245889731603,Intermittent ,Windrow,9.669797357210596,11.0,0.0,Green waste,8.614834826418534,65.0,Clay,0.06,164.0,None,52.214099966670965,27.32884658064516,None,Potassium phosphate,Food Waste,54.48604263338464,8.669188555864288,1.775,63.67361454273595,112.79446400000006,9.804092900906388,0.9180749654769896,0.1621929881968019,22.631207531436637
None,1.0,16.633191492486763,Continuous,Windrow,3.22245398168249,24.0,5.0,Green waste,9.959920784509045,71.0,Clay,0.06,0.0,None,65.35397561815405,27.32884658064516,None,Potassium phosphate,Food Waste,51.7234032189422,3.903416848965231,1.775,29.523914899164,115.19460000000008,8.523280430697348,0.9494287371635436,0.1728954406241894,23.737474407169472
Plastic tube pieces,1.0,40.98931230408724,Continuous,Windrow,6.98109856964216,5.0,3.0,Mature compost,11.917804104216852,22.0,MgSO₄,0.06,0.0,None,70.91114500832019,27.32884658064516,None,None,Food Waste,32.21257867667993,9.331217594768722,1.775,72.75602933975483,116.06888500000008,8.481332236585375,0.9177365899086,0.2207095896802622,26.27016127338776
Byproduct,0.0,17.78028663355796,Continuous,Windrow,0.94338847265104,19.0,4.0,Poultry manure,11.34335972681152,108.0,MgO,0.06,0.0,None,68.56022270367824,27.32884658064516,None,Potassium phosphate,Food Waste,36.00257038709731,7.312239781664304,1.775,31.56000877456538,114.7526700000001,6.583602702731979,0.5570738315582275,0.1772139615875892,24.210150894884706
Plastic tube pieces,0.0,16.339242245565778,Continuous,Windrow,1.932279413838669,15.0,4.0,Straw,5.292396075352507,111.0,K₂SO₄,0.06,0.0,None,54.16426977012052,27.32884658064516,None,Organic acid,Food Waste,52.60971041545025,8.956133349419806,1.775,29.00215498587925,113.6670090000001,6.857083800242514,0.9534800052642822,0.1403977085718981,24.281977189264417
Straw,0.0,32.93853997186662,Continuous,Windrow,8.67074146789235,28.0,5.0,Poultry manure,5.107246891189863,130.0,Sulfur,0.06,0.0,None,68.3059740245703,27.32884658064516,None,None,Food Waste,44.42675381442773,4.27565447187376,1.775,58.465908450063246,115.40962500000008,7.516881910475134,0.8108835816383362,0.1893165820418872,25.057671348941398
Soil,0.0,45.2706503676781,Continuous,Trough,7.621354864021551,23.0,2.0,Straw,10.481218282584225,123.0,MgHPO₄,0.06,0.0,None,71.44149260829182,27.32884658064516,None,MgO,Food Waste,36.39567158366829,3.3776666327482125,1.775,80.35540440262862,114.47968100000006,7.230258601488825,0.8271097540855408,0.1910439721975733,24.96352492033253
Green Waste,1.0,42.793055915807386,Continuous,Windrow,9.884520254651004,16.0,5.0,Byproduct,6.289485193253938,74.0,Microbiological agent,0.06,0.0,None,81.91129290889654,27.32884658064516,None,Biochar,Food Waste,43.4794953781775,9.216423941948271,1.775,75.95767425055811,116.07837100000005,5.884731408694497,0.9819899201393129,0.198428427522586,21.23655168393498
Green Waste,0.0,39.810254967210966,Continuous,Trough,4.044779605011634,10.0,27.0,Green waste,9.62086258861646,34.0,Urea,0.06,0.0,None,75.63504968155543,27.32884658064516,None,Inorganic acid,Food Waste,54.599887598518265,3.9012412744849954,1.775,70.66320256679946,112.67079700000002,7.588620047482675,0.9864564538002014,0.185231323916861,24.35529139996713
Husk,1.0,23.68376053772528,Intermittent ,Trough,7.004033246659812,14.0,2.0,Poultry manure,10.3287226084076,17.0,Gypsum,0.06,549.0,None,56.89927790081407,27.32884658064516,None,MgSO₄,Food Waste,33.102095151121986,6.006782696339813,1.775,42.038674954462365,113.14807500000006,10.02603132219042,0.8933904767036438,0.1709239385206947,27.925582970844797
Husk,1.0,8.092025708564472,Continuous,Windrow,0.5524687304086595,0.0,52.0,Green waste,4.778428375932669,125.0,Potassium phosphate,0.06,0.0,None,61.50732747401649,27.32884658064516,None,DCD,Food Waste,52.54422333255841,1.209458741312226,1.775,14.363345632701938,113.39670800000005,11.829183355979264,1.166040301322937,0.1509281761921861,23.68654732469562
