Material_2,Initial pH,Additive_1,Initial GI (%),Material_Main,Additive_2,V5_Ventilation rate (L/min/kg iniDW),V4_Ventilation Day,Application Rate (%DW),Turning times,Additive_4, Composting Method,Compost volume (m3),V1_Ventilation Type,Period (d),Additive_3,Initial Moisture Content (%),Initial C/N (%),V2_Ventilation Interval (min),V3_Ventilation Duration (min),M1_is Enclosed,Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Woody peat,5.404226122738034,Labile carbon source,27.32884658064516,Swine manure,Organic acid,6.268391453597976,3.0,1.423599834590971,7.0,None,Windrow,0.6277154746460176,Intermittent ,40.0,None,64.18462323775887,39.22131150022166,456.0,46.336861010588784,0.0,Byproduct,2.0952942734506244,82.18018938363755,102.62164999999996,4.764805758336887,0.5185717940330505,0.1463537324102641,25.547857156556184
Husk,8.582059346847597,Calcium magnesium phosphate fertilizer,27.32884658064516,Swine manure,Mg(OH)₂,2.769909309567259,1.0,6.9422771679448285,8.0,None,Reactor,0.6277154746460176,Intermittent ,65.0,None,52.13231101869965,5.2116388409065495,81.0,15.243743664179627,1.0,Byproduct,2.0952942734506244,10.919917018644345,104.247221,7.959179487279158,0.8168691992759705,0.2101338874801903,26.3252941779338
Byproduct,7.582359934528764,Ca-superphosphate,27.32884658064516,Swine manure,Gypsum,2.930272213196519,13.0,0.6650768218733394,20.0,None,Windrow,0.6277154746460176,Intermittent ,19.0,None,58.39186289197095,17.617960732735426,659.0,28.32220332259597,0.0,Poultry manure,2.0952942734506244,36.9148122331785,100.51807699999992,8.32635063017386,0.3509472906589508,0.1874005282644044,28.99116434264636
Husk,6.1669908392651145,None,27.328846580645163,Swine manure,None,2.350955416011664,3.0,3.850327681634944,17.0,None,Reactor,0.6277154746460176,Intermittent ,99.0,None,49.465032354321245,15.715790676519012,704.0,9.469571125334337,1.0,Straw,2.0952942734506244,32.929206207259,101.82416399999998,7.49377398007552,0.5471526384353638,0.1848974032734096,24.3479426201232
None,6.715577382720255,Lignite,27.32884658064516,Swine manure,Potassium phosphate,8.184301283047866,3.0,2.94801902134428,10.0,None,Trough,0.6277154746460176,Intermittent ,13.0,None,49.49806734103039,24.97404733524432,495.0,44.50992037497133,1.0,Byproduct,2.0952942734506244,52.32797836642225,103.37732599999994,6.361962154613027,0.551082968711853,0.1840569039881094,26.47689349449513
Sawdust,5.075166238426675,Sulfur,27.328846580645163,Swine manure,Organic acid,5.828272776123699,0.0,5.072348323184805,11.0,None,Trough,0.6277154746460176,Intermittent ,81.0,None,73.18315562750064,11.8932605892291,1181.0,43.71088059763968,1.0,Byproduct,2.0952942734506244,24.91988080526773,102.01017600000002,6.441047031723098,0.5608751773834229,0.1673695816471899,24.82747180389943
Husk,7.783609925237628,MgCl₂,27.32884658064516,Swine manure,Microbiological agent,2.617062241976431,5.0,0.1545150001131572,13.0,None,Trough,0.6277154746460176,Intermittent ,22.0,None,69.31769978024641,21.704349188914623,1087.0,49.90760276302687,1.0,Byproduct,2.0952942734506244,45.47699856450552,101.22210999999994,7.178714562541336,0.524469256401062,0.2136257575175104,28.5981796268618
Green Waste,5.458570381876918,Mature compost,27.32884658064516,Swine manure,Biochar,4.675634566221991,44.0,6.6977404151812205,25.0,None,Reactor,0.6277154746460176,Intermittent ,128.0,None,59.32069455282208,5.05499895300539,986.0,51.02044418703399,1.0,Green waste,2.0952942734506244,10.591710358531095,102.23914399999994,7.07715784299899,0.5827232003211975,0.1756392157673187,26.48281462055325
None,5.053464075894677,LB Culture,27.32884658064516,Swine manure,MgO,7.825095853597091,0.0,1.0690106414007317,7.0,None,Reactor,0.6277154746460176,Intermittent ,18.0,None,70.80125866192145,24.965545691006128,451.0,24.06537802315871,1.0,None,2.0952942734506244,52.31016491993505,103.55911699999996,5.204723417792595,0.5241456031799316,0.1958153035559779,25.681897040101845
Green Waste,6.279177483873883,Zeolite,28.41803623509444,Swine manure,Inorganic acid,0.9528877590450748,7.0,3.5347898570245544,11.0,None,Reactor,0.6277154746460176,Intermittent ,18.0,None,82.34093630277852,43.903388737687465,899.0,49.10807765831099,1.0,Straw,2.0952942734506244,91.99051900715318,102.87348099999996,6.680483177707682,0.5860875248908997,0.1662040900468808,25.31701861702402
