Period (d),Initial GI (%),Initial pH, Composting Method,Compost volume (m3),Application Rate (%DW),Additive_2,V2_Ventilation Interval (min),Material_3,Initial Moisture Content (%),M1_is Enclosed,V5_Ventilation rate (L/min/kg iniDW),Turning times,Material_Main,Initial C/N (%),Additive_4,V1_Ventilation Type,V3_Ventilation Duration (min),V4_Ventilation Day,Additive_3,Material_2,Additive_1,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
100.0,27.32884658064516,10.796330549604985,Windrow,4.210797122302158,2.781767634058699,Potassium phosphate,0.0,Green waste,44.69282022262563,1.0,9.293630116783836,10.0,Sewage sludge,13.153494283962925,None,Continuous,3.337448531801479,68.0,None,None,Urea,2.1457865217391303,23.60407510787865,99.38324500000004,5.436604704139085,0.8585991859436035,0.1929475225634035,1000000.0
102.0,27.32884658064516,5.98850513523546,Trough,4.210797122302158,0.5379092402887631,Organic acid,0.0,Mature compost,82.45838388717692,1.0,0.0,21.0,Sewage sludge,13.873071478733277,None,None,0.0,0.0,None,None,Gypsum,2.1457865217391303,29.76864979418941,96.674649,1.6373925272141747,0.6973405480384827,0.2348909364554784,20.368382080106265
79.0,27.32884658064516,8.087293560316155,Reactor,4.210797122302158,1.374855337184508,MgO,0.0,Green waste,75.77098226645236,1.0,0.0,21.0,Sewage sludge,17.194712537675624,None,None,0.1930608504293051,0.0,None,Byproduct,Carbonatite,2.1457865217391303,36.8961824085232,96.269697,-0.8832734756041907,1.020782470703125,0.2597126333608591,22.6729049664098
57.0,27.32884658064516,10.74358078032312,Trough,4.210797122302158,1.041737075748217,Zeolite,0.0,Byproduct,45.90524310835526,0.0,0.0,8.0,Sewage sludge,28.11792125686966,None,None,0.0,0.0,None,Straw,Mature compost,2.1457865217391303,59.13086757704952,96.276079,1.664203242581548,0.9299455285072328,0.1676436597436517,1000000.0
106.0,27.32884658064516,10.8082790450777,Reactor,4.210797122302158,8.137481193964723,None,0.0,Poultry manure,51.74923630963591,1.0,7.525629694241439,27.0,Sewage sludge,20.923540908881872,None,Continuous,3.5536948367945698,58.0,None,None,Biochar,2.1457865217391303,44.89745206933603,97.99667100000002,6.49913203246049,0.8585991859436035,0.2216150536456292,25.093733684684747
65.0,27.32884658064516,7.069869165366339,Windrow,4.210797122302158,4.844480147679514,None,0.0,Green waste,66.16035712815867,0.0,8.690422390333461,3.0,Sewage sludge,18.63236034284961,None,Continuous,1.4626563416525862,63.0,None,None,K₂SO₄,2.1457865217391303,39.98106769187337,99.01040500000003,5.39766832408588,0.5409841537475586,0.1774659222453579,26.13149082241669
96.0,27.32884658064516,4.391221522455395,Trough,4.210797122302158,0.2661556279620458,Biochar,0.0,Green waste,50.84374715558968,0.0,0.0,13.0,Sewage sludge,6.302895807628018,None,None,0.0,0.0,None,None,Mature compost,2.1457865217391303,13.524668871934272,96.105048,3.384132647497321,0.70301753282547,0.175332151161582,25.50648228928554
67.0,27.32884658064516,8.713077211532738,Reactor,4.210797122302158,0.4786452358572468,Potassium phosphate,0.0,Green waste,57.61317073966112,1.0,0.0,31.0,Sewage sludge,26.10476536013856,None,None,0.0,0.0,None,Husk,K₂SO₄,2.1457865217391303,55.18430117025849,96.076078,1.577223295590777,1.0131365060806274,0.2309985796837304,1000000.0
118.0,27.328846580645163,5.797123501123597,Windrow,4.210797122302158,1.2642492501718694,MgSO₄,0.0,Green waste,49.43007080471077,0.0,0.0678916394129336,5.0,Sewage sludge,7.890384602155704,None,None,0.0,0.0,None,Sawdust,Ca-superphosphate,2.1457865217391303,16.93108093064368,96.674649,1.6298791589794246,0.0664631351828575,0.149162789374419,20.300197237349803
85.0,27.32884658064516,10.62585570483834,Reactor,4.210797122302158,8.166203080679844,Mg(OH)₂,0.0,None,75.7270618183805,1.0,2.044787934940812,9.0,Sewage sludge,7.426476497671987,None,Continuous,0.9975718288991952,80.0,None,Straw,Clay,2.1457865217391303,15.935633172716972,98.46085100000002,6.783709264286783,0.7994287014007568,0.2063489623823992,28.313610202331915
