Material_Main,Additive_3,Initial Moisture Content (%),Compost volume (m3),Period (d), Composting Method,Turning times,M1_is Enclosed,V3_Ventilation Duration (min),V1_Ventilation Type,Initial C/N (%),Additive_1,Initial pH,Application Rate (%DW),V4_Ventilation Day,Additive_4,Material_2,Initial GI (%),V2_Ventilation Interval (min),Additive_2,V5_Ventilation rate (L/min/kg iniDW),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Goat manure,None,50.72048810853576,0.08,117.0,Windrow,16.0,1.0,24.036698628576207,Intermittent ,10.286428890429686,Calcium magnesium phosphate fertilizer,12.005580633590656,9.351817652055813,41.0,None,Soil,27.32884658064516,1323.0,Zeolite,9.173192314855294,Byproduct,0.875,9.000625279125975,104.17495499999995,6.915487667663358,0.475452184677124,0.1201004104734239,26.045545734140056
Goat manure,None,46.70547488656904,0.08,57.0,Trough,17.0,1.0,43.25508261972588,Intermittent ,35.31411943725465,Sulfur,5.420007393398874,1.037289453205673,45.0,None,Sawdust,27.878381441483267,1218.0,Ca-superphosphate,7.859092401597086,None,0.875,28.766176265792105,103.680772,7.645963131948937,0.8684892654418945,0.1662023630168509,1000000.0
Goat manure,None,49.316003213256174,0.08,119.0,Windrow,6.0,0.0,51.01332288988994,Intermittent ,12.662574500797753,Forsterite,6.718175415642808,1.0706013166753947,64.0,None,Sawdust,27.32884658064516,177.0,None,6.797021373838507,Green waste,0.875,11.079752688198036,104.69325399999998,6.920424759518118,0.395156592130661,0.1306962516319029,25.25859239683676
Goat manure,None,48.5245270857746,0.08,120.0,Windrow,8.0,0.0,42.51726410932405,Intermittent ,40.12915565152354,Forsterite,6.833354420919044,2.111055209053332,84.0,None,Straw,27.32884658064516,219.0,Zeolite,3.383895294294053,Green waste,0.875,35.1130111950831,103.55294899999998,6.920424759518118,0.6497595310211182,0.1454754897351478,25.62242528443515
Goat manure,None,49.41345501902335,0.08,85.0,Trough,19.0,0.0,49.31573539126198,Intermittent ,8.603109549219981,None,7.753148620452978,7.418726876536605,42.0,None,Sawdust,27.32884658064516,1121.0,None,4.716449372113935,Straw,0.875,8.201574289639211,104.694603,8.155031325925643,0.646418035030365,0.1354842300416156,1000000.0
Goat manure,None,48.77966091837047,0.08,60.0,Windrow,9.0,0.0,29.15711857769712,Intermittent ,29.476282763532097,Inorganic acid,4.642688794226312,3.1448508210042423,36.0,None,Straw,27.32884658064516,422.0,Microbiological agent,5.963961980558292,Mature compost,0.875,25.791747418090587,104.22340400000002,6.915487667663358,0.3619388341903686,0.1636859466212113,25.132409497201454
Goat manure,None,47.51706035895079,0.08,70.0,Trough,12.0,1.0,35.06864697908811,Intermittent ,43.226558710465866,Sulfur,6.866315041982883,0.3087789471216573,50.0,None,Green Waste,27.328846580645163,532.0,Potassium phosphate,3.256174746411453,None,0.875,37.82323887165764,104.063391,7.645963131948937,0.6786059141159058,0.1593085191242047,24.825564149455293
Goat manure,None,53.27219142231366,0.08,36.0,Windrow,23.0,0.0,19.08990060121258,Intermittent ,40.52133694323248,Potassium phosphate,8.329596961795243,0.3612534946314039,35.0,None,Woody peat,27.32884658064516,884.0,MgSO₄,3.814391186548125,Green waste,0.875,35.45616982532842,105.55688000000002,7.805309096397466,0.6518933176994324,0.1410108666572784,27.845706040339017
Goat manure,None,47.1849193101652,0.08,91.0,Trough,30.0,0.0,56.01226731691858,Intermittent ,8.327354957487374,Forsterite,6.0420350843950645,2.161109820060222,53.0,None,Soil,27.32884658064516,770.0,Biochar,7.729178660507856,Green waste,0.875,7.286435587801453,103.228005,6.915487667663358,0.8754156231880188,0.1326697919164725,25.91961977638071
Goat manure,None,59.57602893345194,0.08,85.0,Reactor,15.0,1.0,5.465567846096242,Intermittent ,44.68122854429438,Phosphogypsum,10.98134013656266,1.188819711818878,76.0,None,Woody peat,27.32884658064516,905.0,Zeolite,5.087359944314968,None,0.875,39.09607497625758,103.299842,7.937413864946154,0.440650075674057,0.1390276409291755,27.52060753204441
Goat manure,None,52.334055608785725,0.08,116.0,Trough,18.0,1.0,29.710503292233508,Intermittent ,11.754040292728977,Ferric salt,11.709965578051158,3.681488602904831,43.0,None,Woody peat,27.32884658064516,1168.0,MgO,1.3245980004016555,Poultry manure,0.875,10.284785256137855,104.75767000000002,6.973967577163476,0.6494556069374084,0.1239013975291629,26.22911059901083
Goat manure,None,61.269313170958725,0.08,83.0,Reactor,0.0,1.0,16.527916433990573,Intermittent ,20.187012463940228,Clay,8.703861020437344,0.709506886003081,17.0,None,Sawdust,27.32884658064516,1169.0,Potassium phosphate,3.828524823978819,Byproduct,0.875,17.6636359059477,102.85960399999998,6.920424759518118,0.6146349906921387,0.1677536460249583,21.356521810204462
Goat manure,None,45.41792191272646,0.08,116.0,Trough,3.0,1.0,42.14927224572767,Intermittent ,27.87236811484775,Microbiological agent,11.90022554970063,6.185258845098119,45.0,None,Sawdust,27.32884658064516,70.0,MgSO₄,8.24954961970763,Green waste,0.875,24.38832210049178,104.250096,7.281732107461278,0.4208231568336487,0.1814112135683609,21.636044890205422
Goat manure,None,47.50474614294311,0.08,92.0,Trough,11.0,1.0,46.97433820084269,Intermittent ,21.73658883574249,MgSO₄,10.49846413081736,8.360002521697027,78.0,None,Soil,27.32884658064516,830.0,Biochar,6.715184773964113,None,0.875,19.01951523127468,103.507597,8.155031325925643,0.9854207038879396,0.1286859299732787,26.62551668522306
Goat manure,None,43.68084702670938,0.08,69.0,Reactor,23.0,1.0,48.20435249481042,Intermittent ,24.15688467168911,Sand,10.914044636724636,0.0847972311853619,52.0,None,Sawdust,27.32884658064516,264.0,Organic acid,0.6843996095564098,Mature compost,0.875,21.13727408772797,105.64412,7.794606442603258,0.6119740605354309,0.1526219740986491,26.908740260488337
Goat manure,None,45.45893524581012,0.08,32.0,Trough,5.0,1.0,37.096421331940746,Intermittent ,12.033297912517485,Forsterite,5.448745834383049,8.484120359417282,32.0,None,Soil,27.32884658064516,1217.0,Organic acid,2.11078532958672,Byproduct,0.875,10.529135673452798,104.29466999999998,6.315992162308998,0.6146349906921387,0.1089110003851637,22.85767141000636
