M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),CO2-C loss (%)
1.0,2,0,2,5,37.0,37.0,0,0.0,0.0,4.0,0.0,0.06,74.0,2,0.72,2,18.0,37.2
1.0,1,0,2,5,31.0,30.0,0,0.0,0.0,1.0,2.83,0.95,69.47,2,0.31,2,13.16,35.83
1.0,9,0,2,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.16,66.03,2,0.81,2,21.96,30.98
1.0,9,0,2,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.3,65.69,2,0.81,2,21.51,24.52
1.0,9,0,2,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.57,66.14,2,0.81,2,21.64,20.7
1.0,1,0,2,4,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,72.1,2,0.2,2,11.37,45.38
1.0,9,0,2,4,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,72.13,2,0.22,2,19.11,11.8
1.0,12,0,2,4,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,69.74,2,0.21,2,13.27,20.04
1.0,7,0,2,4,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,71.05,2,0.21,2,13.56,13.35
1.0,9,0,2,3,50.0,50.0,0,0.0,0.0,0.0,0.0,0.02,73.67,2,0.2,2,9.89,15.25
1.0,12,2,2,5,56.0,56.0,0,0.0,0.0,0.0,0.0,1.37,69.4,2,0.11,2,29.0,42.3
1.0,12,2,0,5,56.0,56.0,0,0.0,0.0,0.0,1.73,1.37,71.1,5,0.11,2,24.7,44.8
1.0,12,2,0,5,56.0,56.0,0,0.0,0.0,0.0,1.39,1.37,71.2,5,0.11,2,17.6,40.7
1.0,12,2,0,5,56.0,56.0,0,0.0,0.0,0.0,3.7,1.37,67.6,5,0.11,2,19.0,38.8
1.0,12,2,0,5,56.0,56.0,0,0.0,0.0,0.0,0.32,1.37,69.2,5,0.11,2,19.5,40.7
1.0,12,2,0,5,56.0,56.0,0,0.0,0.0,0.0,2.07,1.37,71.0,5,0.11,2,21.2,36.4
1.0,12,2,2,5,56.0,56.0,0,0.0,0.0,0.0,0.0,1.37,70.3,2,0.11,2,19.6,42.6
1.0,12,2,0,5,56.0,56.0,0,0.0,0.0,0.0,2.84,1.18,71.8,5,0.11,2,19.5,42.5
0.0,8,1,2,0,64.0,0.0,2,0.0,0.0,0.0,0.0,1.1,74.27,2,0.0,2,18.78,5.17
1.0,8,1,2,0,64.0,0.0,2,0.0,0.0,0.0,0.0,1.1,74.27,2,0.0,2,18.21,9.63
1.0,8,1,2,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.1,74.27,2,0.0,2,18.21,12.94
0.75,8,1,2,0,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,2,0.49,2,20.51,13.65
