M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),CH4-C loss (%)
1.0,1,0,0,6,56.0,0.0,2,0.0,0.0,7.0,3.3,1.2,67.6,9,0.0,4,18.98,0.1
1.0,1,0,0,6,56.0,0.0,2,0.0,0.0,7.0,6.6,1.2,67.6,9,0.0,4,18.98,0.21
1.0,1,0,0,6,56.0,0.0,2,0.0,0.0,7.0,9.9,1.2,67.6,9,0.0,4,18.98,0.31
1.0,1,0,0,6,56.0,0.0,2,0.0,0.0,7.0,13.2,1.2,67.6,9,0.0,4,18.98,0.28
1.0,17,0,2,4,28.0,0.0,2,0.0,0.0,9.0,0.0,0.13,61.46,6,0.0,4,30.88,0.34
1.0,17,0,3,4,28.0,0.0,2,0.0,0.0,9.0,2.0,0.13,60.66,2,0.0,4,30.04,0.31
1.0,17,0,3,4,28.0,0.0,2,0.0,0.0,9.0,4.0,0.13,59.71,2,0.0,4,30.35,0.24
1.0,17,0,3,4,28.0,0.0,2,0.0,0.0,9.0,6.0,0.13,60.45,2,0.0,4,30.57,0.25
1.0,17,0,3,4,28.0,0.0,2,0.0,0.0,9.0,8.0,0.13,60.07,2,0.0,4,30.88,0.19
1.0,17,0,3,4,28.0,0.0,2,0.0,0.0,9.0,10.0,0.13,59.45,2,0.0,4,31.04,0.17
0.0,6,1,2,6,54.1,0.0,2,0.0,0.0,1.6,0.0,0.4,77.53,6,0.0,4,6.53,0.13
0.0,4,1,2,6,59.5,0.0,2,0.0,0.0,3.0,0.0,0.4,66.36,6,0.0,4,9.22,0.4
1.0,12,0,2,5,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,72.13,6,0.22,4,19.11,0.02
1.0,17,0,2,5,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,69.74,6,0.21,4,13.27,0.2
1.0,10,0,2,5,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,71.05,6,0.21,4,13.56,0.15
1.0,6,0,2,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,66.9,6,1.21,4,25.0,0.34
1.0,13,0,2,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,58.6,6,0.96,4,20.9,0.27
1.0,13,0,2,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,53.1,6,0.86,4,18.7,0.2
1.0,13,0,2,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,47.5,6,0.76,4,16.8,0.12
1.0,17,2,0,6,56.0,56.0,0,0.0,0.0,0.0,0.32,1.37,69.2,10,0.11,4,19.5,0.06
1.0,17,2,0,6,56.0,56.0,0,0.0,0.0,0.0,2.07,1.37,71.0,10,0.11,4,21.2,0.05
1.0,17,2,2,6,56.0,56.0,0,0.0,0.0,0.0,0.0,1.37,70.3,6,0.11,4,19.6,0.02
1.0,17,2,0,6,56.0,56.0,0,0.0,0.0,0.0,2.84,1.18,71.8,10,0.11,4,19.5,0.03
0.0,11,1,2,0,64.0,0.0,2,0.0,0.0,0.0,0.0,1.1,74.27,6,0.0,4,18.78,0.2
1.0,11,1,2,0,64.0,0.0,2,0.0,0.0,0.0,0.0,1.1,74.27,6,0.0,4,18.21,0.3
1.0,11,1,2,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.1,74.27,6,0.0,4,18.21,0.43
0.75,11,1,2,0,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,6,0.49,4,20.51,0.16
