M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),NH3-N loss (%)
1.0,18,0,3,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,70.0,30,0.26,13,21.03,10.76
1.0,18,0,4,0,15.0,15.0,0,0.0,0.0,0.0,13.1,0.17,71.8,31,0.28,13,21.56,10.84
1.0,18,0,4,0,15.0,15.0,0,0.0,0.0,0.0,24.37,0.17,69.6,31,0.26,13,22.23,15.51
1.0,18,0,4,0,15.0,15.0,0,0.0,0.0,0.0,37.59,0.17,70.3,31,0.27,13,20.16,16.67
1.0,18,0,3,0,15.0,6.0,0,0.0,0.0,0.0,0.0,0.17,70.6,30,0.29,13,18.04,16.04
1.0,18,0,1,0,15.0,6.0,0,0.0,0.0,0.0,3.1,0.17,70.8,29,0.29,12,15.34,14.97
1.0,18,0,1,0,15.0,6.0,0,0.0,0.0,0.0,3.44,0.17,70.1,29,0.28,12,16.88,13.55
1.0,18,0,1,0,15.0,6.0,0,0.0,0.0,0.0,3.69,0.17,69.8,29,0.28,12,16.88,15.16
1.0,18,0,3,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,71.5,30,0.28,13,20.38,14.81
1.0,18,0,1,0,15.0,15.0,0,0.0,0.0,0.0,3.67,0.17,72.3,29,0.28,12,19.59,16.67
1.0,18,0,1,0,15.0,15.0,0,0.0,0.0,0.0,7.02,0.17,71.3,29,0.27,12,19.28,12.98
1.0,18,0,1,0,15.0,15.0,0,0.0,0.0,0.0,10.35,0.17,71.1,29,0.27,12,19.8,13.2
0.0,1,1,3,9,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,67.94,30,0.0,13,18.89,35.3
0.0,1,1,1,9,70.0,0.0,2,0.0,0.0,10.0,3.3,1.2,66.61,37,0.0,13,18.89,28.0
0.0,1,1,1,9,70.0,0.0,2,0.0,0.0,10.0,6.6,1.2,68.11,37,0.0,13,18.89,21.2
0.0,1,1,1,9,70.0,0.0,2,0.0,0.0,10.0,9.9,1.2,68.33,37,0.0,13,18.89,16.8
0.0,1,1,1,9,70.0,0.0,2,0.0,0.0,10.0,13.2,1.2,70.34,37,0.0,13,18.89,14.8
0.0,1,1,1,9,70.0,0.0,2,0.0,0.0,10.0,16.5,1.2,68.07,37,0.0,13,18.89,8.3
0.75,13,0,3,7,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,12.84
1.0,13,0,1,8,22.0,22.0,0,0.0,0.0,11.0,2.0,0.0,59.4,12,0.46,13,13.18,16.29
1.0,13,0,1,8,22.0,22.0,0,0.0,0.0,11.0,5.18,0.0,57.5,12,1.21,13,18.0,18.74
1.0,13,0,3,8,22.0,22.0,0,0.0,0.0,11.0,0.0,0.0,58.2,30,0.39,13,15.36,33.88
0.75,11,0,3,7,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,17.96
0.75,11,0,4,7,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,1,0.49,13,20.51,3.22
0.75,11,0,4,7,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,33,0.49,13,20.51,5.64
0.75,13,0,3,7,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,10.35
0.75,13,0,0,7,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,26,0.49,13,20.51,2.05
0.75,13,0,0,7,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,26,0.49,13,20.51,2.36
1.0,1,0,3,3,30.0,30.0,0,0.0,0.0,4.0,0.0,0.06,60.6,30,0.2,13,20.0,24.9
1.0,1,0,1,3,30.0,30.0,0,0.0,0.0,4.0,2.14,0.06,52.89,20,0.2,4,17.3,12.6
1.0,1,0,4,3,30.0,30.0,0,0.0,0.0,4.0,3.2,0.06,54.68,37,0.2,13,19.82,15.3
1.0,1,0,1,3,30.0,30.0,0,0.0,0.0,4.0,2.22,0.06,52.89,9,0.2,13,17.3,8.9
1.0,1,0,1,3,30.0,30.0,0,0.0,0.0,4.0,2.54,0.06,52.74,3,0.2,13,19.82,8.9
1.0,13,0,3,3,19.0,19.0,0,0.0,0.0,9.0,0.0,0.19,70.0,30,10.0,13,26.39,16.55
1.0,13,0,0,3,19.0,19.0,0,0.0,0.0,9.0,3.0,0.2,70.0,24,10.0,13,26.39,12.88
1.0,13,0,1,3,19.0,19.0,0,0.0,0.0,9.0,6.9,0.2,70.0,22,10.0,4,26.35,12.88
1.0,13,0,2,3,19.0,19.0,0,0.0,0.0,9.0,9.9,0.2,70.0,24,10.0,10,26.35,2.99
0.75,13,1,3,9,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,21.4
0.75,13,1,0,9,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,26,0.49,13,20.51,20.7
0.0,13,1,3,9,112.0,0.0,2,0.0,0.0,12.0,0.0,1.24,64.9,30,0.0,13,14.25,18.4
0.0,13,1,0,9,112.0,0.0,2,0.0,0.0,12.0,2.82,1.63,64.5,26,0.0,13,14.25,19.7
1.0,13,0,4,3,35.0,35.0,0,0.0,0.0,9.0,2.25,0.02,64.71,18,0.5,13,29.01,27.1
1.0,13,0,1,3,35.0,35.0,0,0.0,0.0,9.0,1.82,0.02,64.16,18,0.5,10,32.02,0.47
1.0,13,0,1,3,35.0,35.0,0,0.0,0.0,9.0,2.57,0.02,64.07,18,0.5,10,30.34,10.43
1.0,13,0,1,3,35.0,35.0,0,0.0,0.0,9.0,3.32,0.02,60.53,18,0.5,10,26.95,17.37
1.0,13,0,1,3,35.0,35.0,0,0.0,0.0,9.0,4.07,0.02,65.74,18,0.5,10,29.05,29.18
1.0,18,0,3,9,40.0,30.0,1,30.0,690.0,6.0,0.0,0.24,64.55,30,7.69,13,16.54,26.0
1.0,18,0,1,9,40.0,30.0,1,30.0,690.0,6.0,6.0,0.14,63.56,37,7.32,13,16.4,11.8
