M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),NH3-N loss (%)
1.0,8,1,3,0,21.0,21.0,2,0.0,0.0,0.0,0.0,0.11,71.66,30,0.0,13,19.76,5.37
1.0,8,1,3,0,21.0,21.0,2,0.0,0.0,0.0,0.0,0.09,69.89,30,0.0,13,19.57,2.59
1.0,1,0,3,9,31.0,30.0,0,0.0,0.0,1.0,2.83,0.95,69.47,30,0.31,13,13.16,23.81
1.0,13,0,3,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.16,66.03,30,0.81,13,21.96,12.59
1.0,13,0,3,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.3,65.69,30,0.81,13,21.51,16.16
1.0,13,0,3,0,35.0,35.0,0,0.0,0.0,9.0,0.0,0.57,66.14,30,0.81,13,21.64,17.44
0.0,1,1,3,9,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,30,0.0,13,17.4,29.5
1.0,1,1,3,9,70.0,0.0,2,0.0,0.0,10.0,0.0,1.2,64.0,30,0.0,13,17.4,26.6
0.0,1,1,3,9,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,30,0.0,13,17.4,27.9
1.0,1,1,3,9,70.0,0.0,2,0.0,0.0,5.0,0.0,1.2,64.0,30,0.0,13,17.4,23.7
0.0,1,1,3,9,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,30,0.0,13,17.4,12.8
1.0,1,1,3,9,70.0,0.0,2,0.0,0.0,0.0,0.0,1.2,64.0,30,0.0,13,17.4,10.3
0.0,6,2,3,9,55.0,0.0,2,0.0,0.0,7.0,0.0,11.25,60.04,30,0.0,13,15.39,4.51
0.0,6,2,3,9,55.0,0.0,2,0.0,0.0,15.0,0.0,11.25,60.04,30,0.0,13,15.39,2.5
0.75,6,2,3,8,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,4.44
0.75,6,2,3,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,2.18
1.0,1,0,3,8,35.0,35.0,0,0.0,0.0,5.0,0.0,0.06,72.1,30,0.2,13,11.37,21.16
1.0,1,0,3,9,56.0,0.0,2,0.0,0.0,7.0,0.0,1.2,67.6,30,0.0,13,18.98,35.7
1.0,1,0,1,9,56.0,0.0,2,0.0,0.0,7.0,3.3,1.2,67.6,37,0.0,13,18.98,27.4
1.0,1,0,1,9,56.0,0.0,2,0.0,0.0,7.0,6.6,1.2,67.6,37,0.0,13,18.98,20.7
1.0,1,0,1,9,56.0,0.0,2,0.0,0.0,7.0,9.9,1.2,67.6,37,0.0,13,18.98,15.7
1.0,1,0,1,9,56.0,0.0,2,0.0,0.0,7.0,13.2,1.2,67.6,37,0.0,13,18.98,12.9
1.0,18,0,3,7,28.0,0.0,2,0.0,0.0,9.0,0.0,0.13,61.46,30,0.0,13,30.88,36.3
1.0,18,0,4,7,28.0,0.0,2,0.0,0.0,9.0,2.0,0.13,60.66,8,0.0,13,30.04,33.2
1.0,18,0,4,7,28.0,0.0,2,0.0,0.0,9.0,4.0,0.13,59.71,8,0.0,13,30.35,26.6
1.0,18,0,4,7,28.0,0.0,2,0.0,0.0,9.0,6.0,0.13,60.45,8,0.0,13,30.57,20.4
1.0,18,0,4,7,28.0,0.0,2,0.0,0.0,9.0,8.0,0.13,60.07,8,0.0,13,30.88,14.9
1.0,18,0,4,7,28.0,0.0,2,0.0,0.0,9.0,10.0,0.13,59.45,8,0.0,13,31.04,10.7
0.0,12,1,3,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.0,74.0,30,0.0,13,21.56,8.12
1.0,12,1,3,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.0,74.0,30,0.0,13,18.21,7.47
1.0,12,1,3,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.0,74.0,30,0.0,13,18.21,16.56
1.0,12,1,3,0,64.0,64.0,0,0.0,0.0,12.0,0.0,1.0,74.0,30,1.16,13,19.65,22.51
1.0,15,0,3,7,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,30,0.08,13,19.77,0.04
1.0,15,0,3,7,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,30,0.83,13,20.12,10.76
1.0,15,0,3,7,25.0,25.0,1,30.0,30.0,0.0,0.0,0.06,60.0,30,1.64,13,20.02,19.91
0.0,8,1,3,9,54.1,0.0,2,0.0,0.0,1.6,0.0,0.4,77.53,30,0.0,13,6.53,2.6
0.0,6,1,3,9,59.5,0.0,2,0.0,0.0,3.0,0.0,0.4,66.71,30,0.0,13,6.81,1.2
0.0,6,1,3,9,59.5,0.0,2,0.0,0.0,3.0,0.0,0.4,66.36,30,0.0,13,9.22,0.55
0.0,6,1,3,9,61.1,0.0,2,0.0,0.0,3.2,0.0,14.13,67.68,30,0.0,13,7.35,0.15
0.0,7,1,3,9,64.1,0.0,2,0.0,0.0,5.6,0.0,12.73,66.26,30,0.0,13,7.24,0.25
1.0,13,0,3,8,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,72.13,30,0.22,13,19.11,19.06
1.0,18,0,3,8,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,69.74,30,0.21,13,13.27,13.7
1.0,11,0,3,8,50.0,50.0,0,0.0,0.0,0.0,0.0,0.03,71.05,30,0.21,13,13.56,11.68
1.0,1,0,3,9,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,30,0.86,13,15.04,18.35
1.0,1,0,3,9,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,30,0.93,13,19.96,20.72
1.0,1,0,3,9,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,30,0.9,13,24.99,25.05
1.0,1,0,3,9,28.0,28.0,1,30.0,30.0,2.0,0.0,0.07,60.0,30,0.91,13,30.23,25.95
1.0,8,0,3,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,66.9,30,1.21,13,25.0,34.9
1.0,14,0,3,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,58.6,30,0.96,13,20.9,18.2
1.0,14,0,3,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,53.1,30,0.86,13,18.7,6.5
1.0,14,0,3,2,28.0,28.0,1,30.0,60.0,4.0,0.0,0.06,47.5,30,0.76,13,16.8,1.4
0.75,8,2,3,0,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,16.06
0.75,8,2,3,0,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,7.55
1.0,13,0,3,7,50.0,50.0,0,0.0,0.0,0.0,0.0,0.02,73.67,30,0.2,13,9.89,13.53
0.0,8,1,3,9,65.0,0.0,2,0.0,0.0,18.0,0.0,16.11,80.3,30,0.0,13,15.4,35.57
0.0,12,1,3,9,65.0,0.0,2,0.0,0.0,18.0,0.0,15.88,70.4,30,0.0,13,28.3,27.93
0.0,10,1,3,9,65.0,0.0,2,0.0,0.0,18.0,0.0,15.88,71.6,30,0.0,13,30.2,25.77
0.0,6,1,3,9,65.0,0.0,2,0.0,0.0,18.0,0.0,15.88,70.1,30,0.0,13,24.7,11.03
0.0,18,2,3,0,88.0,0.0,2,0.0,0.0,1.0,0.0,10.0,72.5,30,0.0,13,24.8,11.0
0.0,18,2,3,0,88.0,0.0,2,0.0,0.0,1.0,0.0,10.0,72.5,30,0.0,13,24.8,17.0
0.0,18,2,3,0,88.0,0.0,2,0.0,0.0,3.0,0.0,10.0,72.5,30,0.0,13,24.8,18.0
0.0,18,2,3,0,85.0,0.0,2,0.0,0.0,0.0,0.0,10.0,74.8,30,0.0,13,22.3,1.0
0.0,18,2,3,0,85.0,0.0,2,0.0,0.0,1.0,0.0,10.0,74.8,30,0.0,13,22.3,2.0
0.0,18,2,3,0,85.0,0.0,2,0.0,0.0,3.0,0.0,10.0,74.8,30,0.0,13,22.3,2.0
0.0,6,1,3,8,37.0,37.0,1,20.0,40.0,5.0,0.0,1.0,65.0,30,0.19,13,25.0,19.13
0.0,6,1,4,8,37.0,37.0,1,20.0,40.0,5.0,5.0,1.0,65.0,4,0.19,13,25.0,14.06
0.0,6,1,4,8,37.0,37.0,1,20.0,40.0,5.0,10.0,1.0,65.0,4,0.19,13,25.0,16.01
0.0,1,2,1,0,51.0,0.0,2,0.0,0.0,14.0,9.67,13.82,65.0,39,0.0,13,15.0,9.75
0.0,1,2,3,0,51.0,0.0,2,0.0,0.0,14.0,0.0,16.09,65.0,30,0.0,13,20.0,6.62
0.0,1,2,3,0,51.0,0.0,2,0.0,0.0,14.0,0.0,16.05,65.0,30,0.0,13,25.0,4.66
0.0,1,2,3,0,51.0,0.0,2,0.0,0.0,14.0,0.0,16.05,65.0,30,0.0,13,30.0,4.13
0.0,1,2,3,0,51.0,0.0,2,0.0,0.0,14.0,0.0,16.05,65.0,30,0.0,13,35.0,3.11
0.0,6,1,3,8,26.0,26.0,1,20.0,40.0,0.0,0.0,1.3,70.0,30,0.1,13,20.42,11.57
0.0,6,1,3,8,26.0,26.0,1,20.0,40.0,0.0,0.0,1.3,70.0,30,0.1,13,20.42,14.24
0.0,6,1,3,8,26.0,26.0,1,20.0,40.0,0.0,0.0,1.3,70.0,30,0.1,13,20.42,18.32
1.0,13,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.45,30,0.37,13,11.68,18.38
1.0,13,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.82,30,0.35,13,10.89,18.09
1.0,13,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.53,30,0.37,13,11.38,28.35
1.0,13,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.74,30,0.31,13,12.39,20.67
1.0,13,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.52,30,0.29,13,12.04,13.88
1.0,13,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.08,30,0.31,13,9.49,29.42
1.0,15,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,60.35,30,0.36,13,12.19,22.73
1.0,15,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.11,30,0.34,13,12.47,20.33
1.0,15,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.01,30,0.31,13,12.04,17.22
1.0,15,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,62.56,30,0.29,13,11.48,11.78
1.0,16,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.58,30,0.31,13,12.56,14.71
1.0,13,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,63.18,30,0.35,13,9.95,29.84
1.0,15,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,57.57,30,0.33,13,13.48,9.14
1.0,15,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.18,30,0.34,13,11.3,7.92
1.0,15,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,60.59,30,0.36,13,10.25,5.05
1.0,15,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,59.92,30,0.36,13,10.59,14.82
1.0,15,0,3,8,22.0,22.0,0,0.0,0.0,0.0,0.0,0.0,61.03,30,0.34,13,10.29,23.29
0.75,13,0,3,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,2.66
0.75,13,0,1,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,23,0.49,13,20.51,1.58
0.75,13,0,1,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,23,0.49,5,20.51,1.86
0.75,13,0,1,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,14,0.49,13,20.51,3.85
1.0,18,2,3,9,56.0,56.0,0,0.0,0.0,0.0,0.0,1.37,69.4,30,0.11,13,29.0,16.5
1.0,18,2,1,9,56.0,56.0,0,0.0,0.0,0.0,1.73,1.37,71.1,39,0.11,13,24.7,27.5
1.0,18,2,1,9,56.0,56.0,0,0.0,0.0,0.0,0.32,1.37,69.2,39,0.11,13,19.5,36.2
1.0,18,2,3,9,56.0,56.0,0,0.0,0.0,0.0,0.0,1.37,70.3,30,0.11,13,19.6,24.8
1.0,18,2,1,9,56.0,56.0,0,0.0,0.0,0.0,2.84,1.18,71.8,39,0.11,13,19.5,24.9
1.0,8,0,3,9,31.6,31.6,0,0.0,0.0,2.0,0.0,0.3,68.5,30,0.06,13,9.78,4.38
1.0,8,0,3,7,31.6,31.6,0,0.0,0.0,2.0,0.0,0.3,68.8,30,0.07,13,8.0,10.21
1.0,8,0,3,1,30.9,30.9,0,0.0,0.0,2.0,0.0,0.3,62.5,30,0.13,13,9.0,0.32
1.0,13,0,3,3,31.7,31.7,0,0.0,0.0,2.0,0.0,0.3,49.3,30,0.17,13,15.85,0.01
1.0,13,0,3,3,31.7,31.7,0,0.0,0.0,2.0,0.0,0.3,59.3,30,0.15,13,15.63,0.01
1.0,13,0,3,3,30.9,30.9,0,0.0,0.0,2.0,0.0,0.3,44.6,30,0.14,13,22.83,0.09
1.0,13,0,3,1,31.6,31.6,0,0.0,0.0,2.0,0.0,0.3,69.3,30,0.1,13,10.15,0.5
1.0,13,0,3,1,31.7,31.7,0,0.0,0.0,2.0,0.0,0.3,41.9,30,0.05,13,21.21,0.0
1.0,8,0,3,5,30.7,30.7,0,0.0,0.0,2.0,0.0,0.3,50.0,30,0.09,13,19.34,0.04
1.0,8,0,3,5,30.8,30.8,0,0.0,0.0,2.0,0.0,0.3,53.7,30,0.14,13,21.87,0.22
1.0,8,0,3,8,30.9,30.9,0,0.0,0.0,2.0,0.0,0.3,49.4,30,0.16,13,4.89,2.09
1.0,8,0,3,1,31.6,31.6,0,0.0,0.0,2.0,0.0,0.3,62.6,30,0.17,13,5.22,0.53
1.0,13,0,3,6,30.7,30.7,0,0.0,0.0,2.0,0.0,0.3,60.1,30,0.18,13,21.79,0.73
0.75,13,0,3,6,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,0.01
1.0,13,0,3,1,30.8,30.8,0,0.0,0.0,2.0,0.0,0.3,43.4,30,0.08,13,15.42,0.08
1.0,8,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,72.7,30,0.4,13,18.0,23.75
1.0,8,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,71.7,30,0.4,13,18.0,20.79
1.0,8,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,71.7,30,0.2,13,18.0,17.63
1.0,13,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,68.8,30,0.2,13,22.0,11.46
1.0,13,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,69.5,30,0.2,13,26.0,9.37
1.0,13,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,67.3,30,0.2,13,29.0,13.16
1.0,8,0,3,0,66.0,66.0,0,0.0,0.0,11.0,0.0,0.03,71.8,30,0.2,13,18.0,19.0
0.0,12,1,3,0,64.0,0.0,2,0.0,0.0,0.0,0.0,1.1,74.27,30,0.0,13,18.78,8.84
1.0,12,1,3,0,64.0,0.0,2,0.0,0.0,0.0,0.0,1.1,74.27,30,0.0,13,18.21,8.04
1.0,12,1,3,0,64.0,0.0,2,0.0,0.0,12.0,0.0,1.1,74.27,30,0.0,13,18.21,17.69
0.75,12,1,3,0,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,24.12
