M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TN loss (%)
0.0,16,1,4,11,56.0,21.0,0,0.0,0.0,5.0,16.53,0.4,63.7,3,0.33,13,20.92,16.5
0.0,16,1,4,11,56.0,21.0,0,0.0,0.0,5.0,23.94,0.4,62.4,3,0.33,13,19.26,12.7
0.75,16,0,3,11,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,27.8
0.75,16,0,0,11,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,25,0.49,13,20.51,13.3
1.0,16,0,4,11,51.0,51.0,1,0.25,10.0,1.0,15.85,0.03,60.63,33,0.41,13,29.6,11.07
1.0,16,0,4,11,51.0,51.0,1,0.25,10.0,1.0,10.25,0.03,64.91,10,0.3,13,20.08,6.38
1.0,16,0,3,11,51.0,51.0,1,0.25,10.0,1.0,0.0,0.03,61.89,28,0.31,13,27.86,14.68
0.75,8,0,4,8,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,45,0.49,13,20.51,16.0
0.75,8,0,4,8,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,30,0.49,13,20.51,53.0
0.75,8,0,4,8,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,32,0.49,13,20.51,26.0
0.75,8,0,4,8,42.74,22.55,0,2.36,13.4,5.45,5.25,1.45,64.48,43,0.49,13,20.51,42.0
0.75,8,2,3,0,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,22.4
0.75,8,2,1,0,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,11,0.49,13,20.51,20.7
0.75,8,2,1,0,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,11,0.49,13,20.51,17.1
0.75,8,2,1,0,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,11,0.49,13,20.51,24.39
0.75,8,2,4,0,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,36,0.49,13,20.51,12.71
0.75,8,2,4,0,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,36,0.49,13,20.51,15.04
0.75,8,2,4,0,42.74,22.55,2,2.36,13.4,5.45,5.25,1.45,64.48,36,0.49,13,20.51,21.34
1.0,16,0,3,10,16.0,16.0,0,0.0,0.0,0.0,0.0,0.1,61.7,28,0.23,13,16.64,22.5
1.0,16,0,1,10,14.0,14.0,0,0.0,0.0,0.0,10.0,0.1,64.2,8,0.23,13,18.2,10.31
1.0,16,0,3,11,18.0,18.0,0,0.0,0.0,2.0,0.0,0.01,63.74,28,0.31,13,12.3,22.8
1.0,16,0,0,11,18.0,18.0,0,0.0,0.0,2.0,1.0,0.01,63.74,39,0.31,13,12.92,17.6
1.0,26,0,3,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,70.5,28,0.29,13,26.0,24.58
1.0,26,0,4,0,15.0,15.0,0,0.0,0.0,0.0,3.63,0.17,71.0,24,0.29,13,21.49,15.09
1.0,26,0,4,0,15.0,15.0,0,0.0,0.0,0.0,7.31,0.17,71.5,24,0.29,13,19.28,15.49
1.0,26,0,4,0,15.0,15.0,0,0.0,0.0,0.0,9.98,0.17,69.0,24,0.27,13,30.0,12.09
1.0,26,0,3,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,70.0,28,0.26,13,21.03,15.92
1.0,26,0,4,0,15.0,15.0,0,0.0,0.0,0.0,13.1,0.17,71.8,29,0.28,13,21.56,16.08
1.0,26,0,4,0,15.0,15.0,0,0.0,0.0,0.0,24.37,0.17,69.6,29,0.26,13,22.23,17.38
1.0,26,0,4,0,15.0,15.0,0,0.0,0.0,0.0,37.59,0.17,70.3,29,0.27,13,20.16,21.43
1.0,26,0,3,0,15.0,6.0,0,0.0,0.0,0.0,0.0,0.17,70.6,28,0.29,13,18.04,20.97
1.0,26,0,1,0,15.0,6.0,0,0.0,0.0,0.0,3.1,0.17,70.8,27,0.29,12,15.34,15.5
1.0,26,0,1,0,15.0,6.0,0,0.0,0.0,0.0,3.44,0.17,70.1,27,0.28,12,16.88,16.72
1.0,26,0,1,0,15.0,6.0,0,0.0,0.0,0.0,3.69,0.17,69.8,27,0.28,12,16.88,15.46
1.0,26,0,3,0,15.0,15.0,0,0.0,0.0,0.0,0.0,0.17,71.5,28,0.28,13,20.38,20.21
