Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Compost volume (m3),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial Moisture Content (%),Initial TN (%),Initial pH
0.009454914677966301,0.021085852645728907,-0.0003812043813824112,0.009026174894799729,0.0034587991465470495,0.0,0.0,0.0045188160401172075,-0.000759547101738005,0.0042426183795754935,0.0,-0.0008143593959396277,-0.002179445144550351,0.002413157797787766,0.005961835212681691,0.007128063506624258,0.011104902401525497,0.01658019927466908,0.022951852701283967,0.00478167555489862,-0.005422398162848485,0.023885956049403637
-0.03445504136884497,-0.014025699291647995,0.0027654514870704985,-0.019693833101168994,-0.02030564753229226,0.0,0.0,0.0039638747559017804,-0.0009116994706620993,-0.008577793393827384,0.0,-0.009786944495221835,-0.0006080540909857872,0.0014087521503342237,-0.0012504868299161639,0.0009121739566520689,0.0045599501249358396,-0.009185680134618708,-0.026456346203965038,-0.005140974853607154,-0.0072627105104149945,-0.0019183716431553405
0.008645719933733238,0.01732552697239529,0.0029327140516994302,0.008888957937256184,0.003496239225048638,0.0,0.0,-0.0019123188559345761,-0.0009844689851800357,-0.0018141781933525294,0.0,-0.0006344769946849972,-0.0010899409847872662,0.0055914970519245185,0.007444991935370586,0.009756853283828167,0.005403224555199913,0.010719694348117688,0.021731153761575146,0.00377499625071449,-0.004209755390002839,0.025685346878934427
0.015685816665642,0.012131563306919444,-0.0017141237602302129,0.008230399222171534,0.003144276648119046,0.0,0.0,-0.002588064584933404,-0.0012681607326750519,-0.002546193858757159,0.0,-0.0006691101910160209,-0.001434808959616499,0.0015948844014238733,0.006391679769745076,0.00606921874827665,-0.0035499119391038904,0.01794030346346768,-0.011763686100343274,0.001643128934375429,-0.007050682517876828,0.017458186207513358
-0.03299436059357502,-0.015392985888714957,0.002323154556784378,-0.020176177481651004,-0.020085677852409802,0.0,0.0,-0.01709178852357534,-0.0009062833292244955,-0.008113002211375812,0.0,-0.0074063819163756,-0.002451284872042634,0.0009037241939537054,-0.0013177345986379175,-0.0013061285820476182,0.003994709740423833,-0.008667136189334774,-0.025492004743857162,-0.0053242345910747444,-0.0016835203999215433,-0.0015985922489358576
0.005405705325199569,0.005801773698288502,0.007823027848418809,0.014775555855786972,0.005477241167171378,0.0,0.0,0.004882118022864938,-0.0009579975605783705,0.0034085347934657484,0.0,0.004530048885051683,-0.00012410862170428544,0.008085065605917242,0.0017041323573007265,0.00286825582255852,0.020913052482082493,-0.006699042656883106,0.018475950504503635,0.006712915212260786,0.03976932428679692,0.003644068471324814
0.021178224345272938,0.025781400219295068,0.006506588886272688,0.02987848676220293,0.009435056296459667,0.0,0.0,0.010567955564742625,-0.0005888917586650759,0.007955911093125172,0.0,0.00273377392309086,0.003220385901585744,0.008219327789673787,0.00048463767343290525,0.023873695330314623,0.018807942595726254,-0.003091278059464715,0.037935159656009465,0.012387349997419543,0.019859244290101108,0.022793821741425076
-0.012288075350555308,-0.01853351168824001,0.0033690477147335315,0.009926084976897353,0.00279349774359975,0.0,0.0,0.0037729560214166983,-0.001033507024796636,0.007685304559252918,0.0,-0.0008767646320201508,-0.0032787402418931436,-0.004548026171775148,-0.001704311997896879,-0.01293338497564258,0.009946558687658792,0.0036810046149414214,-0.0066775301283334525,0.019008028932164536,-0.012415531563681782,0.014647633138887046
-0.035619730282033205,-0.014918923411577701,0.0024151332623577244,-0.01987002198938556,-0.0201053062208372,0.0,0.0,-0.016864304797774062,-0.0009254542651397017,-0.0062480724478424,0.0,-0.009344790307864217,-0.0022635005365931765,0.0009643077275833063,-0.0013390192866002436,0.0009451499032998742,0.004258587529427854,-0.008591906566903814,-0.02447213029071767,-0.0052123403280943705,-0.002501223778467974,-0.001969508669029552
0.06274016449811037,0.02033199682786425,0.01149067262036945,0.01118182089735932,0.004129741410966693,0.0,0.0,0.011439993818162872,-0.0018817500768895739,0.0038533132967518745,0.0,0.008355062134850398,0.005249298474388896,0.00396241598991893,0.0007258721480606677,0.008643636249153255,0.007351688496053017,0.0051269621006028035,0.014685500219481585,0.008311342084174079,0.031586549162051926,0.014899402891309069
