,feas,Correlation with Target
0,Material_Main,1.190472988217513
1,Period (d),0.69671598655765
2,Turning times,0.7683850477226761
3,V2_Ventilation Interval (min),0.20146475742279943
4,M1_is Enclosed,0.40431374889314814
5, Composting Method,0.3390045136627262
6,Additive_3,0.12863310798918118
7,Additive_2,0.3510808320130937
8,Additive_1,1.9868383460488723
9,Material_3,0.10014521622514634
10,Additive_4,0.015791427298934846
11,Material_2,0.6047853800725098
12,V1_Ventilation Type,0.42799058475238316
13,V4_Ventilation Day,0.3974633780780913
14,Compost volume (m3),0.7849897799660578
15,V3_Ventilation Duration (min),0.3301862996624083
16,Application Rate (%DW),0.7488016085140168
17,Initial Moisture Content (%),0.6336905517292629
18,Initial C/N (%),1.0935919525335387
19,Initial pH,0.9638871007384957
20,Initial TN (%),1.2440159267826152
21,V5_Ventilation rate (L/min/kg iniDW),1.2603536883439668
