Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TC loss (%)
5,5,1,3,7,0,0,0,1.0,50.0,0,35.7,2.02,49.0,9.0,8.0,0.1,60.0,1.34,31.04,39.5
5,5,1,3,7,0,0,0,1.0,50.0,0,34.2,1.02,25.0,9.0,10.0,0.1,60.0,1.29,30.79,38.7
7,5,1,9,7,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,0.0,0.1,55.0,0.3,25.0,19.42
5,5,1,9,7,0,0,0,1.0,91.0,0,64.2,0.0,0.0,13.0,0.0,0.25,60.0,0.91,20.0,63.52
5,5,1,0,7,0,0,0,1.0,91.0,0,70.2,0.0,0.0,13.0,12.5,0.25,60.0,0.93,20.0,57.09
5,5,1,4,7,0,0,0,1.0,91.0,0,70.2,0.0,0.0,13.0,12.5,0.25,60.0,0.93,20.0,59.32
5,5,1,0,1,0,0,0,1.0,91.0,0,71.8,0.0,0.0,13.0,25.0,0.25,60.0,0.89,20.0,46.29
5,5,1,9,7,0,0,0,1.0,91.0,0,76.8,0.0,0.0,13.0,0.0,0.25,60.0,1.05,25.0,63.43
5,5,1,0,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,54.86
5,5,1,4,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,57.98
5,5,1,0,1,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,46.82
5,5,1,9,7,0,0,0,1.0,91.0,0,80.8,0.0,0.0,13.0,0.0,0.25,60.0,0.99,30.0,65.3
5,5,1,0,7,0,0,0,1.0,91.0,0,59.8,0.0,0.0,13.0,12.5,0.25,60.0,0.81,30.0,58.96
5,5,1,4,7,0,0,0,1.0,91.0,0,59.8,0.0,0.0,13.0,12.5,0.25,60.0,0.81,30.0,57.62
5,5,1,0,1,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,51.11
6,5,0,9,7,0,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,75.32,0.56,17.96,22.82
6,5,0,9,7,0,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,69.37,0.49,17.83,43.09
6,5,0,9,7,0,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,66.06,0.78,19.19,49.76
0,5,3,9,7,0,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,76.28,0.52,21.77,23.45
0,5,3,9,7,0,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,72.85,0.5,21.05,37.55
0,5,3,9,7,0,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,63.45,0.51,22.43,57.58
6,5,1,9,7,0,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,67.86,0.44,12.13,32.63
0,5,1,9,7,0,0,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,76.28,0.75,22.24,36.19
6,1,1,9,7,0,0,2,0.0,70.0,2,0.0,0.0,0.0,6.0,0.0,22.5,68.28,0.0,18.3,34.44
6,1,1,0,7,0,0,2,0.0,70.0,2,0.0,0.0,0.0,6.0,0.6,22.5,68.28,0.0,18.3,28.31
6,1,1,0,7,0,0,2,0.0,70.0,2,0.0,0.0,0.0,6.0,1.0,22.5,68.28,0.0,17.82,29.97
6,1,1,0,7,0,0,2,0.0,70.0,2,0.0,0.0,0.0,6.0,1.7,22.5,68.77,0.0,17.82,30.68
6,1,1,9,7,0,0,2,0.0,56.0,2,0.0,0.0,0.0,8.0,0.0,22.5,64.97,0.0,18.71,46.89
6,1,1,0,7,0,0,2,0.0,56.0,2,0.0,0.0,0.0,8.0,4.0,22.5,64.97,0.0,18.71,34.85
6,1,1,0,7,0,0,2,0.0,56.0,2,0.0,0.0,0.0,8.0,7.3,22.5,64.35,0.0,18.71,33.33
6,1,1,0,7,0,0,2,0.0,56.0,2,0.0,0.0,0.0,8.0,13.5,22.5,62.0,0.0,16.55,23.79
6,1,1,0,7,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,21.21
4,5,2,9,7,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,36.77
4,5,2,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,56.2,0.78,40.0,45.06
4,5,2,9,7,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,58.8,0.83,35.0,43.65
