Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),CH4-C loss (%)
5,6,0,6,4,0,0,0,1.0,44.0,1,44.0,20.0,20.0,6.0,0.0,0.27,68.45,0.46,12.59,0.28
5,6,0,0,4,0,0,0,1.0,44.0,1,44.0,20.0,20.0,6.0,5.89,0.28,66.71,0.45,13.37,0.23
5,6,0,0,4,0,0,0,1.0,44.0,1,44.0,20.0,20.0,6.0,11.86,0.28,67.58,0.44,14.22,0.21
5,6,0,0,4,0,0,0,1.0,44.0,1,44.0,20.0,20.0,6.0,21.41,0.28,65.41,0.43,14.81,0.24
0,6,1,10,4,0,0,0,1.0,76.0,0,76.0,0.0,0.0,7.0,0.0,0.16,60.0,0.13,28.54,0.35
0,6,1,6,4,0,0,0,1.0,76.0,0,76.0,0.0,0.0,7.0,7.5,0.16,60.0,0.13,27.4,0.35
0,6,1,10,4,0,0,0,1.0,76.0,2,0.0,0.0,0.0,3.0,0.0,0.16,60.0,0.0,26.56,0.35
0,6,1,6,4,0,0,0,1.0,76.0,2,0.0,0.0,0.0,3.0,7.5,0.16,60.0,0.0,27.4,0.18
5,6,0,6,4,0,0,0,1.0,50.0,1,50.0,20.0,60.0,7.0,0.0,0.29,67.71,0.18,21.24,0.3
5,6,0,0,4,0,0,0,1.0,50.0,1,50.0,20.0,60.0,7.0,12.0,0.29,66.08,0.25,21.21,0.28
6,6,0,10,4,0,0,0,1.0,35.0,0,0.0,0.0,0.0,6.0,4.0,0.06,68.85,0.25,18.43,0.4
4,6,0,6,4,0,0,0,1.0,50.0,0,34.9,2.05,50.0,9.0,0.0,0.1,60.0,1.37,31.01,0.34
4,6,0,2,4,0,0,0,1.0,50.0,0,29.8,2.02,49.0,9.0,2.0,0.1,60.0,1.42,30.06,0.31
4,6,0,2,4,0,0,0,1.0,50.0,0,31.3,2.02,49.0,9.0,4.0,0.1,60.0,1.4,30.33,0.24
4,6,0,2,4,0,0,0,1.0,50.0,0,30.6,2.0,48.0,9.0,6.0,0.1,60.0,1.35,30.55,0.25
4,6,0,2,4,0,0,0,1.0,50.0,0,35.7,2.02,49.0,9.0,8.0,0.1,60.0,1.34,31.04,0.19
4,6,0,2,4,0,0,0,1.0,50.0,0,34.2,1.02,25.0,9.0,10.0,0.1,60.0,1.29,30.79,0.17
6,3,0,6,4,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,81.0,0.0,12.2,0.28
6,6,0,6,4,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,75.8,0.0,15.3,0.28
1,6,0,6,4,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,77.3,0.0,22.3,0.12
1,6,0,6,4,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,77.0,0.0,20.1,0.13
1,0,0,6,4,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,80.0,0.0,29.9,0.06
1,3,0,0,4,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,22.28,0.12,84.1,0.0,16.9,0.07
1,6,0,0,4,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,9.53,0.12,80.7,0.0,20.5,0.12
1,6,0,0,4,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,15.84,0.12,81.5,0.0,21.3,0.07
1,3,0,6,4,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,11.0,0.01
1,4,0,6,4,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,63.0,0.28,11.0,0.01
1,4,0,6,4,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,11.0,0.01
1,5,0,6,4,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,14.7,0.01
1,5,0,6,4,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,12.9,0.01
1,3,0,0,4,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,25.0,0.01,65.0,0.28,16.7,0.0
1,3,0,0,4,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,14.29,0.01,67.0,0.28,14.0,0.0
1,6,0,6,4,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,14.0,0.01
1,1,0,6,4,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,12.1,0.05
6,6,0,6,4,0,0,0,1.0,31.0,0,30.0,0.0,0.0,1.0,2.83,0.95,69.47,0.31,13.16,0.17
0,5,0,6,4,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.16,66.03,0.81,21.96,0.31
0,5,0,6,4,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.3,65.69,0.81,21.51,0.34
0,5,0,6,4,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.57,66.14,0.81,21.64,0.41
6,6,0,6,4,0,0,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,17.4,0.14
6,6,0,6,4,0,0,1,1.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,17.4,0.22
6,6,0,6,4,0,0,1,0.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,17.4,0.25
6,6,0,6,4,0,0,1,1.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,17.4,0.36
5,6,0,6,4,0,0,0,1.0,39.0,1,39.0,20.0,20.0,7.0,0.0,0.29,68.07,0.46,25.38,0.15
5,5,0,6,4,0,0,0,1.0,39.0,1,39.0,20.0,20.0,7.0,0.0,0.29,68.53,0.46,24.57,0.14
5,0,0,6,4,0,0,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.32
5,0,0,6,4,0,0,2,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.06
6,6,0,6,4,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,18.98,0.27
6,6,0,10,4,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,18.98,0.1
6,6,0,10,4,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,18.98,0.21
6,6,0,10,4,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,18.98,0.31
6,6,0,10,4,0,0,0,1.0,56.0,2,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,18.98,0.28
4,6,0,6,4,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,0.0,0.13,61.46,0.0,30.88,0.34
4,6,0,2,4,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,2.0,0.13,60.66,0.0,30.04,0.31
4,6,0,2,4,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,4.0,0.13,59.71,0.0,30.35,0.24
4,6,0,2,4,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,6.0,0.13,60.45,0.0,30.57,0.25
4,6,0,2,4,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,8.0,0.13,60.07,0.0,30.88,0.19
4,6,0,2,4,0,0,0,1.0,28.0,2,0.0,0.0,0.0,9.0,10.0,0.13,59.45,0.0,31.04,0.17
6,3,0,6,4,0,0,1,0.0,54.1,2,0.0,0.0,0.0,1.6,0.0,0.4,77.53,0.0,6.53,0.13
6,0,0,6,4,0,0,1,0.0,59.5,2,0.0,0.0,0.0,3.0,0.0,0.4,66.36,0.0,9.22,0.4
5,5,0,6,4,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.22,19.11,0.02
5,6,0,6,4,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.21,13.27,0.2
5,2,0,6,4,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.21,13.56,0.15
2,3,0,6,4,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,66.9,1.21,25.0,0.34
2,0,0,6,4,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,58.6,0.96,20.9,0.27
2,0,0,6,4,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,53.1,0.86,18.7,0.2
2,0,0,6,4,0,0,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,47.5,0.76,16.8,0.12
6,6,0,11,4,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.32,1.37,69.2,0.11,19.5,0.06
6,5,2,11,4,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.07,1.37,71.0,0.11,21.2,0.05
6,6,0,9,4,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.11,19.6,0.02
6,5,2,11,4,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.84,1.18,71.8,0.11,19.5,0.03
0,6,0,6,4,0,0,1,0.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,18.78,0.2
0,6,0,6,4,0,0,1,1.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,18.21,0.3
0,6,0,6,4,0,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.1,74.27,0.0,18.21,0.43
0,6,0,6,4,0,0,1,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,0.16
