Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TN loss (%)
9,6,3,32,2,2,1,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,66.1,0.38,13.98,19.58
9,6,3,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,5.0,0.0,0.06,57.54,0.48,19.25,31.5
9,6,3,14,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,5.0,2.45,0.06,59.41,0.48,18.57,15.82
9,6,3,13,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,5.0,2.45,0.06,59.41,0.48,18.57,27.47
9,6,3,16,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,5.0,4.35,0.06,60.3,0.48,18.97,32.42
7,0,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,23.4
7,0,3,39,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,13.05
7,0,3,39,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,6.82
7,0,3,24,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,16.78
7,6,3,29,13,2,1,0,1.0,42.0,0,42.0,0.0,0.0,2.0,0.0,0.17,53.8,0.07,16.6,48.7
7,6,3,3,13,2,1,0,1.0,42.0,0,42.0,0.0,0.0,2.0,10.8,0.17,49.3,0.07,18.6,41.9
7,6,3,3,13,2,1,0,1.0,42.0,0,42.0,0.0,0.0,2.0,21.6,0.17,50.2,0.07,20.4,38.3
8,6,3,29,13,2,1,0,1.0,34.0,0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.27,11.37,37.08
8,6,3,40,13,2,1,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.26,11.37,28.22
8,6,3,40,3,2,1,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.29,0.06,65.0,0.26,11.37,26.16
8,6,3,40,3,2,1,0,1.0,34.0,0,34.0,0.0,0.0,6.0,14.57,0.06,65.0,0.26,11.37,24.0
9,6,3,29,13,2,1,0,1.0,35.0,0,0.0,0.0,0.0,6.0,0.0,0.06,69.2,0.25,18.43,37.5
9,6,3,14,9,2,1,0,1.0,35.0,0,0.0,0.0,0.0,6.0,16.22,0.06,61.69,0.25,18.43,18.8
9,6,3,40,13,2,1,0,1.0,35.0,0,0.0,0.0,0.0,6.0,4.0,0.06,68.85,0.25,18.43,24.8
9,6,3,14,13,2,1,0,1.0,35.0,0,0.0,0.0,0.0,6.0,16.22,0.06,61.69,0.25,18.43,15.5
8,5,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,33.4
8,3,3,3,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,18.5
8,5,3,3,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,13.8
7,6,3,29,13,2,1,0,1.0,50.0,0,34.9,2.05,50.0,9.0,0.0,0.1,60.0,1.37,31.01,41.19
7,6,3,7,13,2,1,0,1.0,50.0,0,29.8,2.02,49.0,9.0,2.0,0.1,60.0,1.42,30.06,38.64
7,6,3,7,13,2,1,0,1.0,50.0,0,31.3,2.02,49.0,9.0,4.0,0.1,60.0,1.4,30.33,31.45
7,6,3,7,13,2,1,0,1.0,50.0,0,30.6,2.0,48.0,9.0,6.0,0.1,60.0,1.35,30.55,25.78
7,6,3,7,13,2,1,0,1.0,50.0,0,35.7,2.02,49.0,9.0,8.0,0.1,60.0,1.34,31.04,18.48
7,6,3,7,13,2,1,0,1.0,50.0,0,34.2,1.02,25.0,9.0,10.0,0.1,60.0,1.29,30.79,12.39
9,6,3,29,13,2,1,0,1.0,50.0,0,50.0,0.0,0.0,9.0,0.0,0.1,55.0,0.3,25.0,3.28
9,6,3,3,13,2,1,0,1.0,50.0,0,50.0,0.0,0.0,9.0,10.0,0.1,60.23,0.3,25.94,1.86
9,6,3,3,16,2,1,0,1.0,50.0,0,50.0,0.0,0.0,9.0,20.0,0.1,59.72,0.3,17.95,1.06
9,6,3,3,16,4,1,0,1.0,50.0,0,50.0,0.0,0.0,9.0,20.5,0.1,59.72,0.3,17.95,1.02
9,6,3,3,16,4,1,0,1.0,50.0,0,50.0,0.0,0.0,9.0,21.0,0.1,59.72,0.3,17.95,0.85
8,5,3,29,13,2,1,0,1.0,34.0,0,34.0,0.0,0.0,7.0,0.0,0.01,67.6,0.03,33.5,20.9
8,5,3,23,7,2,1,0,1.0,34.0,0,34.0,0.0,0.0,7.0,7.73,0.01,67.3,0.03,33.52,14.7
8,5,3,17,6,2,1,0,1.0,34.0,0,34.0,0.0,0.0,7.0,7.13,0.01,66.8,0.03,33.11,17.3
8,5,3,23,6,2,1,0,1.0,34.0,0,34.0,0.0,0.0,7.0,6.05,0.01,66.0,0.03,31.53,5.7
9,3,3,29,13,2,1,2,0.0,52.0,2,0.0,0.0,0.0,13.0,0.0,13.88,65.0,0.0,16.75,22.64
9,3,3,3,13,2,1,2,0.0,52.0,2,0.0,0.0,0.0,13.0,23.0,6.64,65.0,0.0,24.09,15.38
9,3,3,3,13,2,1,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,8.88
9,3,3,3,13,2,1,2,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,11.28
7,6,3,29,13,2,1,0,1.0,91.0,0,64.2,0.0,0.0,13.0,0.0,0.25,60.0,0.91,20.0,38.73
7,6,3,3,13,2,1,0,1.0,91.0,0,70.2,0.0,0.0,13.0,12.5,0.25,60.0,0.93,20.0,30.59
7,6,3,12,13,2,1,0,1.0,91.0,0,70.2,0.0,0.0,13.0,12.5,0.25,60.0,0.93,20.0,28.31
7,6,3,3,4,2,1,0,1.0,91.0,0,71.8,0.0,0.0,13.0,25.0,0.25,60.0,0.89,20.0,20.46
7,6,3,29,13,2,1,0,1.0,91.0,0,76.8,0.0,0.0,13.0,0.0,0.25,60.0,1.05,25.0,31.92
7,6,3,3,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,21.78
7,6,3,12,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,19.07
7,6,3,3,4,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,8.8
7,6,3,29,13,2,1,0,1.0,91.0,0,80.8,0.0,0.0,13.0,0.0,0.25,60.0,0.99,30.0,26.11
7,6,3,3,13,2,1,0,1.0,91.0,0,59.8,0.0,0.0,13.0,12.5,0.25,60.0,0.81,30.0,19.97
7,6,3,12,13,2,1,0,1.0,91.0,0,59.8,0.0,0.0,13.0,12.5,0.25,60.0,0.81,30.0,13.27
7,6,3,3,4,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,9.99
8,6,0,29,13,2,1,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,75.32,0.56,17.96,17.06
8,6,0,29,13,2,1,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,69.37,0.49,17.83,37.71
8,6,0,29,13,2,1,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,66.06,0.78,19.19,33.42
0,6,5,29,13,2,1,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,76.28,0.52,21.77,23.26
0,6,5,29,13,2,1,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,72.85,0.5,21.05,31.6
0,6,5,29,13,2,1,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,63.45,0.51,22.43,34.13
8,6,3,29,13,2,1,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,67.86,0.44,12.13,52.0
0,6,3,29,13,2,1,0,1.0,32.0,0,32.0,0.0,0.0,0.0,0.0,0.1,76.28,0.75,22.24,26.68
5,6,4,29,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,23.29
5,6,4,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,56.2,0.78,40.0,28.36
5,6,4,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,58.8,0.83,35.0,25.55
5,6,4,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,60.9,0.66,30.0,27.35
5,6,4,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,61.9,0.59,25.0,32.02
7,0,6,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,61.9,0.56,20.0,42.17
7,0,6,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.1,64.5,0.35,15.0,44.85
0,3,3,32,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,47.07
0,3,3,47,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,50.0
0,3,3,32,16,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,46.72
0,6,3,32,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,49.31
0,6,3,47,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,46.55
0,6,3,32,16,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,48.45
0,5,3,29,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,44.31
0,5,3,32,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,26.9
0,5,3,47,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,28.28
0,5,3,32,16,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,33.79
9,3,3,29,13,2,1,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,81.0,0.0,12.2,39.9
9,6,3,29,13,2,1,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,75.8,0.0,15.3,30.9
1,6,3,29,13,2,1,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,77.3,0.0,22.3,27.1
1,6,3,29,13,2,1,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,77.0,0.0,20.1,30.3
1,0,3,29,13,2,1,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,80.0,0.0,29.9,31.8
1,3,3,3,13,2,1,0,0.0,84.0,2,0.0,0.0,0.0,0.0,22.28,0.12,84.1,0.0,16.9,39.3
1,6,3,3,13,2,1,0,0.0,84.0,2,0.0,0.0,0.0,0.0,9.53,0.12,80.7,0.0,20.5,31.2
1,6,3,3,13,2,1,0,0.0,84.0,2,0.0,0.0,0.0,0.0,15.84,0.12,81.5,0.0,21.3,29.4
0,6,3,40,13,2,1,0,1.0,60.0,0,60.0,0.0,0.0,5.0,13.15,0.04,60.0,0.22,16.0,22.0
0,6,3,40,13,2,1,0,1.0,60.0,0,60.0,0.0,0.0,5.0,13.15,0.04,60.0,0.44,19.0,28.0
0,6,3,40,13,2,1,0,1.0,60.0,0,60.0,0.0,0.0,5.0,13.15,0.04,60.0,0.66,22.0,32.0
0,6,3,40,13,2,1,0,1.0,60.0,0,60.0,0.0,0.0,5.0,10.07,0.04,65.0,0.22,19.0,23.0
0,6,3,40,13,2,1,0,1.0,60.0,0,60.0,0.0,0.0,5.0,7.49,0.04,65.0,0.44,22.0,29.0
0,6,3,40,13,2,1,0,1.0,60.0,0,60.0,0.0,0.0,5.0,12.04,0.04,65.0,0.66,16.0,45.0
0,6,3,40,13,2,1,0,1.0,60.0,0,60.0,0.0,0.0,5.0,1.17,0.04,70.0,0.22,22.0,19.0
0,6,3,40,13,2,1,0,1.0,60.0,0,60.0,0.0,0.0,5.0,1.07,0.04,70.0,0.44,16.0,40.0
0,6,3,40,13,2,1,0,1.0,60.0,0,60.0,0.0,0.0,5.0,1.39,0.04,70.0,0.66,19.0,36.0
1,3,3,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,11.0,17.7
1,4,3,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,63.0,0.28,11.0,13.5
1,4,3,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,11.0,10.2
1,5,3,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,14.7,3.1
1,5,3,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,12.9,13.1
1,3,3,3,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,25.0,0.01,65.0,0.28,16.7,12.8
1,3,3,3,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,14.29,0.01,67.0,0.28,14.0,14.0
1,6,3,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,14.0,13.2
1,1,3,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,12.1,8.7
9,6,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,21.0
9,6,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,27.0
9,6,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,31.0
9,6,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,22.0
9,6,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,28.0
9,6,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,46.0
9,6,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,18.0
9,6,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,40.0
9,6,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,35.0
9,6,3,29,13,2,1,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,14.7,21.3
9,6,3,29,13,2,1,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,65.2,0.48,18.3,26.6
9,6,3,29,13,2,1,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,63.7,0.72,20.7,30.6
9,6,3,29,13,2,1,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,18.4,22.0
9,6,3,29,13,2,1,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.6,0.48,21.1,28.4
9,6,3,29,13,2,1,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.8,0.72,15.0,45.9
9,6,3,29,13,2,1,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,21.2,18.4
9,6,3,29,13,2,1,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,76.8,0.48,14.9,40.3
9,6,3,29,13,2,1,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,74.0,0.72,18.0,35.3
0,5,3,29,13,2,1,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.16,66.03,0.81,21.96,42.26
0,5,3,29,13,2,1,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.3,65.69,0.81,21.51,44.09
0,5,3,29,13,2,1,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.57,66.14,0.81,21.64,43.14
9,6,3,29,13,2,1,1,0.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,17.4,32.15
9,6,3,29,13,2,1,1,1.0,70.0,2,0.0,0.0,0.0,10.0,0.0,1.2,64.0,0.0,17.4,31.59
9,6,3,29,13,2,1,1,0.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,17.4,29.96
9,6,3,29,13,2,1,1,1.0,70.0,2,0.0,0.0,0.0,5.0,0.0,1.2,64.0,0.0,17.4,26.24
9,6,3,29,13,2,1,1,0.0,70.0,2,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,17.4,18.22
9,6,3,29,13,2,1,1,1.0,70.0,2,0.0,0.0,0.0,0.0,0.0,1.2,64.0,0.0,17.4,14.66
8,6,3,29,13,2,1,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.2,11.37,28.22
9,6,3,29,13,2,1,0,1.0,56.0,2,0.0,0.0,0.0,7.0,0.0,1.2,67.6,0.0,18.98,39.2
9,6,3,40,13,2,1,0,1.0,56.0,2,0.0,0.0,0.0,7.0,3.3,1.2,67.6,0.0,18.98,33.8
9,6,3,40,13,2,1,0,1.0,56.0,2,0.0,0.0,0.0,7.0,6.6,1.2,67.6,0.0,18.98,28.9
9,6,3,40,13,2,1,0,1.0,56.0,2,0.0,0.0,0.0,7.0,9.9,1.2,67.6,0.0,18.98,21.8
9,6,3,40,13,2,1,0,1.0,56.0,2,0.0,0.0,0.0,7.0,13.2,1.2,67.6,0.0,18.98,14.3
7,6,3,7,13,2,1,0,1.0,28.0,2,0.0,0.0,0.0,9.0,2.0,0.13,60.66,0.0,30.04,52.14
7,6,3,7,13,2,1,0,1.0,28.0,2,0.0,0.0,0.0,9.0,4.0,0.13,59.71,0.0,30.35,48.82
7,6,3,7,13,2,1,0,1.0,28.0,2,0.0,0.0,0.0,9.0,6.0,0.13,60.45,0.0,30.57,42.31
7,6,3,7,13,2,1,0,1.0,28.0,2,0.0,0.0,0.0,9.0,8.0,0.13,60.07,0.0,30.88,39.54
7,6,3,7,13,2,1,0,1.0,28.0,2,0.0,0.0,0.0,9.0,10.0,0.13,59.45,0.0,31.04,38.67
0,6,3,29,13,2,1,1,0.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,21.56,27.86
0,6,3,29,13,2,1,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,18.21,27.01
0,6,3,29,13,2,1,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.0,74.0,0.0,18.21,29.97
0,6,3,29,13,2,1,1,1.0,64.0,0,64.0,0.0,0.0,12.0,0.0,1.0,74.0,1.16,19.65,25.05
7,6,1,29,13,2,1,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,0.08,19.77,1.74
7,6,1,29,13,2,1,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,0.83,20.12,14.65
7,6,1,29,13,2,1,0,1.0,25.0,1,25.0,30.0,30.0,0.0,0.0,0.06,60.0,1.64,20.02,24.93
9,6,3,29,13,2,1,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.86,15.04,42.34
9,6,3,29,13,2,1,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.93,19.96,29.04
9,6,3,29,13,2,1,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.9,24.99,25.46
9,6,3,29,13,2,1,0,1.0,28.0,1,28.0,30.0,30.0,2.0,0.0,0.07,60.0,0.91,30.23,25.75
2,3,3,29,13,2,1,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,66.9,1.21,25.0,37.9
2,0,3,29,13,2,1,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,58.6,0.96,20.9,20.9
2,0,3,29,13,2,1,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,53.1,0.86,18.7,8.8
2,0,3,29,13,2,1,0,1.0,28.0,1,28.0,30.0,60.0,4.0,0.0,0.06,47.5,0.76,16.8,5.4
0,6,3,44,13,2,1,2,0.0,51.0,2,0.0,0.0,0.0,14.0,9.67,13.82,65.0,0.0,15.0,24.06
0,6,3,29,13,2,1,2,0.0,51.0,2,0.0,0.0,0.0,14.0,0.0,16.09,65.0,0.0,20.0,16.75
0,6,3,29,13,2,1,2,0.0,51.0,2,0.0,0.0,0.0,14.0,0.0,16.05,65.0,0.0,25.0,12.08
0,6,3,29,13,2,1,2,0.0,51.0,2,0.0,0.0,0.0,14.0,0.0,16.05,65.0,0.0,30.0,12.08
0,6,3,29,13,2,1,2,0.0,51.0,2,0.0,0.0,0.0,14.0,0.0,16.05,65.0,0.0,35.0,10.07
8,0,3,29,13,2,1,1,0.0,26.0,1,26.0,20.0,40.0,0.0,0.0,1.3,70.0,0.1,20.42,16.9
8,0,3,29,13,2,1,1,0.0,26.0,1,26.0,20.0,40.0,0.0,0.0,1.3,70.0,0.1,20.42,20.12
8,0,3,29,13,2,1,1,0.0,26.0,1,26.0,20.0,40.0,0.0,0.0,1.3,70.0,0.1,20.42,25.1
8,5,6,11,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,63.45,0.37,11.68,36.4
8,5,3,38,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,62.82,0.35,10.89,35.0
8,5,6,29,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,63.53,0.37,11.38,52.4
8,5,3,11,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,61.74,0.31,12.39,40.3
8,5,6,38,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,62.52,0.29,12.04,27.7
8,5,3,29,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,62.08,0.31,9.49,53.1
8,6,3,29,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,60.35,0.36,12.19,43.3
8,6,3,38,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,61.11,0.34,12.47,40.9
8,6,3,38,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,62.01,0.31,12.04,35.8
8,6,3,38,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,62.56,0.29,11.48,24.9
8,0,3,38,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,61.58,0.31,12.56,30.2
8,5,3,29,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,63.18,0.35,9.95,51.1
8,6,3,38,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,57.57,0.33,13.48,18.4
8,6,3,38,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,61.18,0.34,11.3,16.7
8,6,3,38,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,60.59,0.36,10.25,10.8
8,6,3,38,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,59.92,0.36,10.59,29.4
8,6,3,38,13,2,1,0,1.0,22.0,0,22.0,0.0,0.0,0.0,0.0,0.0,61.03,0.34,10.29,40.5
0,3,3,29,13,2,1,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,72.7,0.4,18.0,27.97
0,3,3,29,13,2,1,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,71.7,0.4,18.0,24.21
0,3,3,29,13,2,1,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,71.7,0.2,18.0,19.47
0,5,3,29,13,2,1,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,68.8,0.2,22.0,13.02
0,5,3,29,13,2,1,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,69.5,0.2,26.0,9.67
0,5,3,29,13,2,1,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,67.3,0.2,29.0,14.47
0,3,3,29,13,2,1,0,1.0,66.0,0,66.0,0.0,0.0,11.0,0.0,0.03,71.8,0.2,18.0,20.84
1,6,3,29,13,2,1,1,1.0,40.0,2,0.0,0.0,0.0,9.0,0.0,0.2,65.0,0.0,29.71,29.84
1,6,3,24,13,2,1,1,1.0,40.0,2,0.0,0.0,0.0,9.0,1.0,0.2,65.0,0.0,29.85,21.05
1,6,3,3,13,2,1,1,1.0,40.0,2,0.0,0.0,0.0,9.0,5.0,0.2,65.0,0.0,33.08,25.7
1,6,3,3,11,2,1,1,1.0,40.0,2,0.0,0.0,0.0,9.0,6.0,0.2,65.0,0.0,33.44,15.61
