Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TN loss (%)
9,6,3,27,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,48.0
7,3,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,39.5
7,3,3,3,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,37.3
7,3,3,3,13,2,1,0,1.0,42.0,1,42.0,0.5,20.0,6.0,25.0,0.06,60.0,0.03,15.5,26.7
7,6,3,3,13,2,1,1,0.0,60.0,2,0.0,0.0,0.0,5.0,10.0,0.22,62.76,0.0,13.04,48.9
7,6,3,3,13,2,1,1,0.0,60.0,2,0.0,0.0,0.0,5.0,10.0,0.22,60.65,0.0,14.48,43.0
6,1,3,29,13,2,1,2,0.0,25.0,0,25.0,0.0,0.0,12.0,0.0,1.14,73.0,0.1,19.8,22.0
6,1,3,3,13,2,1,2,0.0,25.0,0,25.0,0.0,0.0,12.0,10.0,0.85,69.7,0.13,27.5,3.0
7,6,3,29,13,2,1,1,0.0,60.0,2,0.0,0.0,0.0,7.0,0.0,0.17,60.0,0.0,12.36,32.3
7,6,3,3,13,2,1,1,0.0,60.0,2,0.0,0.0,0.0,7.0,10.0,0.17,59.0,0.0,13.3,15.8
7,6,3,3,13,2,1,1,0.0,60.0,2,0.0,0.0,0.0,7.0,10.0,0.17,58.0,0.0,11.44,21.9
0,1,3,29,13,2,1,1,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,2.01
0,1,3,4,13,2,1,1,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,6.5
0,1,3,4,13,2,1,1,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,1.46
0,1,3,4,13,2,1,1,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,4.33
3,6,3,29,13,2,1,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,60.0,0.2,22.1,47.4
3,6,3,32,13,2,1,0,1.0,35.0,0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,18.2,30.7
3,6,3,40,13,2,1,0,1.0,35.0,0,35.0,0.0,0.0,5.0,10.0,0.06,60.0,0.2,19.1,37.5
6,3,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,38.0
6,5,3,29,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,38.0
6,3,3,15,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,38.0
6,5,3,15,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,13.0
9,6,3,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,3.0,0.0,0.06,52.2,0.25,24.8,43.9
9,6,3,21,5,2,1,0,1.0,28.0,0,28.0,0.0,0.0,3.0,3.73,0.06,52.2,0.25,24.8,22.3
9,6,3,21,5,2,1,0,1.0,28.0,0,28.0,0.0,0.0,3.0,3.78,0.06,52.2,0.25,24.8,20.2
9,6,3,29,13,2,1,0,1.0,39.0,0,39.0,0.0,0.0,5.0,0.0,0.06,68.22,0.42,20.75,31.51
9,6,3,21,5,2,1,0,1.0,39.0,0,39.0,0.0,0.0,5.0,12.5,0.06,62.99,0.41,20.75,13.15
9,6,3,14,13,2,1,0,1.0,39.0,0,39.0,0.0,0.0,5.0,12.5,0.06,62.99,0.41,20.75,11.5
9,6,3,15,9,2,1,0,1.0,39.0,0,39.0,0.0,0.0,5.0,12.5,0.06,62.99,0.41,20.75,10.69
9,6,3,5,9,2,1,0,1.0,39.0,0,39.0,0.0,0.0,5.0,12.5,0.06,62.99,0.41,20.75,7.59
9,6,3,29,13,2,1,0,1.0,35.0,0,35.0,0.0,0.0,4.0,0.0,0.06,70.4,0.38,20.3,33.01
9,6,3,21,5,2,1,0,1.0,35.0,0,35.0,0.0,0.0,4.0,4.56,0.06,66.0,0.38,20.36,31.48
9,6,3,21,15,2,1,0,1.0,35.0,0,35.0,0.0,0.0,4.0,6.48,0.06,65.69,0.38,21.43,28.63
9,5,3,29,13,2,1,1,0.0,56.0,0,21.0,0.0,0.0,5.0,0.0,0.4,66.4,0.33,21.6,36.8
9,5,3,3,13,2,1,1,0.0,56.0,0,21.0,0.0,0.0,5.0,8.53,0.4,64.9,0.33,20.63,26.4
9,5,3,3,13,2,1,1,0.0,56.0,0,21.0,0.0,0.0,5.0,16.53,0.4,63.7,0.33,20.92,16.5
9,5,3,3,13,2,1,1,0.0,56.0,0,21.0,0.0,0.0,5.0,23.94,0.4,62.4,0.33,19.26,12.7
9,5,3,29,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,27.8
9,5,3,26,13,2,1,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,13.3
