Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),CH4-C loss (%)
5,5.55556,0.0,0,1,50.0,50.0,6.0,5,0.1,0.382,60.0,30.5467,1.64653,0,46.40566,3,0.5,0.25
5,5.55556,0.0,0,1,50.0,50.0,8.0,5,0.1,0.382,60.0,31.0381,1.59652,0,46.3663,3,0.5,0.19
5,5.55556,0.0,0,1,50.0,50.0,10.0,5,0.1,0.372,60.0,30.7924,1.62688,0,46.19574,3,0.5,0.17
7,0.0,0.0,0,0,84.0,0.0,0.0,5,0.12,0.0,81.0,12.2,3.86,0,46.9,0,0.35789,0.28
7,0.0,0.0,0,0,84.0,0.0,0.0,5,0.12,0.0,75.8,15.3,3.18,0,48.8,0,0.37259,0.28
1,0.0,0.0,0,0,84.0,0.0,0.0,5,0.12,0.0,77.3,22.3,2.16,0,48.2,0,0.34361,0.12
1,0.0,0.0,0,0,84.0,0.0,0.0,5,0.12,0.0,77.0,20.1,2.25,0,45.3,0,0.35833,0.13
1,0.0,0.0,0,0,84.0,0.0,0.0,0,0.12,0.0,80.0,29.9,1.82,0,54.5,0,0.35875,0.06
1,0.0,0.0,0,0,84.0,0.0,22.28321,5,0.12,0.0,84.1,16.9,2.26,0,38.3,0,0.35901,0.07
1,0.0,0.0,0,0,84.0,0.0,9.53373,5,0.12,0.0,80.7,20.5,2.21,0,45.3,0,0.35838,0.12
1,0.0,0.0,0,0,84.0,0.0,15.84383,5,0.12,0.0,81.5,21.3,2.03,0,42.5,0,0.35766,0.07
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,69.0,11.0,3.7,0,40.7,0,0.24194,0.01001
1,0.0,0.0,0,1,28.0,28.0,0.0,3,0.01,0.28,63.0,11.0,3.7,0,40.7,0,0.27027,0.00543
1,0.0,0.0,0,1,28.0,28.0,0.0,3,0.01,0.28,66.0,11.0,3.7,0,40.7,0,0.25735,0.00927
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,65.0,14.7,2.85034,0,41.9,0,0.28571,0.00785
1,0.0,0.0,0,1,28.0,28.0,0.0,4,0.01,0.28,67.0,12.9,3.2093,0,41.4,0,0.26515,0.00972
1,0.0,0.0,0,1,28.0,28.0,25.0,5,0.01,0.28,65.0,16.7,2.93413,0,49.0,0,0.28571,0.0009
1,0.0,0.0,0,1,28.0,28.0,14.28571,5,0.01,0.28,67.0,14.0,3.24286,0,45.4,0,0.26515,0.0024
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,65.0,14.0,2.95714,0,41.4,0,0.28571,0.00567
1,0.0,0.0,0,1,28.0,28.0,0.0,1,0.01,0.28,65.0,12.1,3.34711,0,40.5,0,0.28571,0.04746
