Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
8,8.75,0.0,0,1,35.0,35.0,1.40913,8,0.06,0.3,69.2,18.4,2.04,0,37.48,14,0.624,60.6
8,8.75,0.0,0,1,35.0,35.0,1.40913,8,0.06,0.3,69.2,18.4,2.04,0,37.48,2,0.624,58.5
8,8.75,0.0,0,1,35.0,35.0,1.40913,8,0.06,0.3,69.2,18.4,2.04,0,37.48,6,0.624,42.9
8,7.0,0.0,0,1,28.0,28.0,0.0,9,0.06,0.36,62.06,17.91,1.95,0,34.9245,0,0.7402,35.76
8,7.0,0.0,0,1,28.0,28.0,10.0,9,0.06,0.36,58.69,18.23,1.96,0,35.7308,2,0.78068,31.91
6,5.66667,0.0,0,1,34.0,34.0,0.0,8,0.06,0.27211,65.0,11.37,2.16007,0,35.92416,0,0.58333,55.95
6,5.66667,0.0,0,1,34.0,34.0,10.0,8,0.06,0.26291,65.0,11.37,2.20637,0,37.52412,2,0.60375,50.26
6,5.66667,0.0,0,1,34.0,34.0,10.28571,8,0.06,0.26265,65.0,11.37,2.20637,0,37.52412,2,0.60433,49.66
6,5.66667,0.0,0,1,34.0,34.0,14.57143,8,0.06,0.2589,65.0,11.37,2.16154,0,37.71412,2,0.61308,49.64
8,5.83333,0.0,0,1,35.0,35.0,0.0,8,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,0,0.60529,64.9
8,5.83333,0.0,0,1,35.0,35.0,0.4,8,0.06,0.25,68.353,18.43351,2.03653,0,37.5404,6,0.66417,63.1
8,5.83333,0.0,0,1,35.0,35.0,4.0,8,0.06,0.25,69.139,18.43351,2.03653,0,37.5404,2,0.64394,54.0
8,5.83333,0.0,0,1,35.0,35.0,0.4,8,0.06,0.25,68.353,18.43351,2.03653,0,37.5404,6,0.66417,42.2
5,5.55556,0.0,0,1,50.0,50.0,0.0,8,0.1,0.382,60.0,31.0074,1.68783,0,47.44526,0,0.5,54.2
5,5.55556,0.0,0,1,50.0,50.0,2.0,8,0.1,0.382,60.0,30.0553,1.69163,0,47.21725,4,0.5,52.1
5,5.55556,0.0,0,1,50.0,50.0,4.0,8,0.1,0.382,60.0,30.3317,1.69001,0,47.57761,4,0.5,48.8
