Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TN loss (%)
3,7.5,2.0,0,1,30.0,30.0,0.0,11,0.06,0.46061,53.59,32.46,1.1,1,35.52,0,0.30889,31.94
3,7.5,2.0,0,1,30.0,30.0,0.0,11,0.06,0.82521,61.399,21.33479,2.06047,1,41.4223,0,0.36581,24.55
3,7.5,2.0,0,1,30.0,30.0,3.33172,11,0.06,0.82521,61.399,21.33479,2.06047,1,35.2395,12,0.36581,22.86
3,7.5,2.0,0,1,30.0,30.0,3.33172,11,0.06,0.82521,61.399,21.33479,2.06047,1,35.2395,19,0.36581,32.13
10,17.5,1.0,0,1,35.0,35.0,0.0,11,0.06,0.38,67.6,17.4312,2.22446,1,38.775,0,0.32433,32.01
10,17.5,1.0,0,1,35.0,35.0,0.408,11,0.06,0.38,64.316,14.83745,2.06768,1,30.6791,23,0.32147,20.32
10,17.5,1.0,0,1,35.0,35.0,0.408,11,0.06,0.38,64.316,16.20429,2.16937,1,35.1531,3,0.32147,33.29
10,17.5,1.0,0,1,35.0,35.0,0.408,11,0.06,0.38,64.316,13.97506,2.27531,1,31.7976,23,0.32147,19.58
10,5.6,0.0,0,1,28.0,28.0,0.0,11,0.06,0.48,57.54093,19.25,2.13,0,38.5,0,0.53267,31.5
10,5.6,0.0,0,1,28.0,28.0,2.44988,11,0.06,0.48,56.48379,25.015,2.14833,0,43.38436,9,0.53821,15.82
10,5.6,0.0,0,1,28.0,28.0,2.45195,11,0.06,0.48,56.81379,23.515,2.15,0,43.38436,9,0.53821,27.47
10,5.6,0.0,0,1,28.0,28.0,4.35435,11,0.06,0.48,58.10379,22.42459,2.16833,0,43.38436,24,0.54251,32.42
7,0.0,0.02778,0,1,21.0,21.0,0.0,0,0.1,0.2,63.097,15.67,3.07,1,35.01951,0,0.80343,23.4
7,0.0,0.02778,0,1,21.0,21.0,0.25,0,0.1,0.2,63.097,15.67,3.15,1,39.12254,28,0.80343,13.05
7,0.0,0.02778,0,1,21.0,21.0,5.25,0,0.1,0.2,63.097,15.20762,2.99,1,35.01951,28,0.80432,6.82
7,0.0,0.02778,0,1,21.0,21.0,5.0,0,0.1,0.2,63.097,15.20762,2.92,1,33.26757,19,0.80432,16.78
7,21.0,0.0,0,1,42.0,42.0,0.0,11,0.165,0.0702,53.8,16.6,2.89,0,47.9,0,0.3,48.7
7,21.0,0.0,0,1,42.0,42.0,10.8,11,0.165,0.06533,49.3,18.6,2.65,0,49.3,0,0.3,41.9
7,21.0,0.0,0,1,42.0,42.0,21.6,11,0.165,0.07023,50.2,20.4,2.45,0,50.1,0,0.3,38.3
8,5.66667,0.0,0,1,34.0,34.0,0.0,11,0.06,0.27211,65.0,11.37,2.16007,0,35.92416,0,0.58333,37.08
8,5.66667,0.0,0,1,34.0,34.0,10.0,11,0.06,0.26291,65.0,11.37,2.20637,0,37.52412,2,0.60375,28.22
8,5.66667,0.0,0,1,34.0,34.0,10.28571,11,0.06,0.26265,65.0,11.37,2.20637,0,37.52412,2,0.60433,26.16
8,5.66667,0.0,0,1,34.0,34.0,14.57143,11,0.06,0.2589,65.0,11.37,2.16154,0,37.71412,2,0.61308,24.0
10,5.83333,0.0,0,1,35.0,35.0,0.0,11,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,0,0.60529,37.5
10,5.83333,0.0,0,1,35.0,35.0,0.4,11,0.06,0.25,68.353,18.43351,2.03653,0,37.5404,9,0.66417,18.8
10,5.83333,0.0,0,1,35.0,35.0,4.0,11,0.06,0.25,69.139,18.43351,2.03653,0,37.5404,2,0.64394,24.8
10,5.83333,0.0,0,1,35.0,35.0,0.4,11,0.06,0.25,68.353,18.43351,2.03653,0,37.5404,9,0.66417,15.5
8,0.0,1.0,0,1,29.0,29.0,0.0,7,0.0141,4.0,68.2,14.63687,1.79,1,26.2,0,0.3114,33.4
8,0.0,1.0,0,1,29.0,29.0,2.0,11,0.0141,4.0,76.4,10.55838,1.97,1,20.8,0,0.3657,18.5
8,0.0,1.0,0,1,29.0,29.0,0.5,7,0.0141,4.0,70.6,12.2488,2.09,1,25.6,0,0.3359,13.8
7,5.55556,0.0,0,1,50.0,50.0,0.0,11,0.1,0.382,60.0,31.0074,1.68783,0,47.44526,0,0.5,41.19
7,5.55556,0.0,0,1,50.0,50.0,2.0,11,0.1,0.382,60.0,30.0553,1.69163,0,47.21725,5,0.5,38.64
7,5.55556,0.0,0,1,50.0,50.0,4.0,11,0.1,0.382,60.0,30.3317,1.69001,0,47.57761,5,0.5,31.45
7,5.55556,0.0,0,1,50.0,50.0,6.0,11,0.1,0.382,60.0,30.5467,1.64653,0,46.40566,5,0.5,25.78
7,5.55556,0.0,0,1,50.0,50.0,8.0,11,0.1,0.382,60.0,31.0381,1.59652,0,46.3663,5,0.5,18.48
7,5.55556,0.0,0,1,50.0,50.0,10.0,11,0.1,0.372,60.0,30.7924,1.62688,0,46.19574,5,0.5,12.39
10,5.55556,0.0,0,1,50.0,50.0,0.0,11,0.1,0.3,55.0,25.0,2.084,0,52.1,0,0.54517,3.27626
10,5.55556,0.0,0,1,50.0,50.0,10.0,11,0.1,0.3,59.0,27.30966,1.903,0,46.75922,0,0.52573,1.86454
10,5.55556,0.0,0,1,50.0,50.0,20.0,11,0.1,0.3,59.608,23.81373,2.02985,0,45.83565,0,0.51733,1.06012
10,5.55556,0.0,0,1,50.0,50.0,20.5,11,0.1,0.3,59.608,23.81373,2.02985,0,44.94526,0,0.51733,1.0175
10,5.55556,0.0,0,1,50.0,50.0,21.0,11,0.1,0.3,59.608,23.81373,2.02985,0,44.94526,0,0.51733,0.84703
10,5.55556,0.0,0,1,50.0,50.0,22.0,11,0.1,0.3,59.608,23.81373,2.02985,0,44.94526,0,0.51733,0.75114
8,4.85714,0.0,0,1,34.0,34.0,0.0,7,0.005,0.03367,67.6,33.5,1.46,0,42.91,0,0.55,20.9
8,4.85714,0.0,0,1,34.0,34.0,7.73359,7,0.005,0.03367,67.3,33.52459,1.22,0,40.9,18,0.4291,14.7
8,4.85714,0.0,0,1,34.0,34.0,7.12828,7,0.005,0.03367,66.8,33.1129,1.24,0,41.06,10,0.4566,17.3
8,4.85714,0.0,0,1,34.0,34.0,6.05043,7,0.005,0.03367,66.0,31.5303,1.32,0,41.62,18,0.54307,5.7
10,4.0,0.0,2,0,52.0,0.0,0.0,11,4.631,0.0,65.0,16.75336,2.157,0,36.137,0,0.46616,22.64
10,4.0,0.0,2,0,52.0,0.0,23.0,11,4.732,0.0,65.0,24.09262,1.958,0,38.5,0,0.54145,15.38
10,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,8.88
10,5.02503,0.30467,2,0,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,11.28
7,7.0,0.0,0,1,91.0,7.6,0.0,11,0.25,0.01275,60.0,20.0,1.99,0,39.8,0,0.46988,38.7288
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,30.5921
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,8,0.46831,28.3129
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,20.4619
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,31.9196
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,21.7826
7,7.0,0.0,0,1,91.0,30.0,12.5,11,0.25,0.41755,60.0,25.0,1.82,0,45.5,8,0.43803,19.0748
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,8.79526
7,7.0,0.0,0,1,91.0,7.6,0.0,11,0.25,0.01275,60.0,30.0,1.67,0,50.1,0,0.4951,26.1098
7,7.0,0.0,0,1,91.0,30.0,12.5,11,0.25,0.41755,60.0,30.0,1.63,0,48.9,0,0.45009,19.9734
7,7.0,0.0,0,1,91.0,30.0,12.5,11,0.25,0.41755,60.0,30.0,1.7,0,51.0,8,0.45809,13.265
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,9.98574
8,0.0,0.0,0,1,32.0,32.0,0.0,11,0.1,1.10037,75.32,17.96,2.09516,0,35.34112,0,0.53992,17.06
8,0.0,0.0,0,1,32.0,32.0,0.0,11,0.1,0.73337,69.37,17.83,2.32491,0,38.19206,0,0.5,37.71
8,0.0,0.0,0,1,32.0,32.0,0.0,11,0.1,0.95037,66.06,19.19,2.48499,0,40.77194,0,0.48149,33.42
0,0.0,0.0,0,1,32.0,32.0,0.0,11,0.1,1.12537,76.28,21.77,2.02016,0,35.34112,0,0.53267,23.26
0,0.0,0.0,0,1,32.0,32.0,0.0,11,0.1,0.76597,72.85,21.05,2.03081,0,34.52016,0,0.52818,31.6
0,0.0,0.0,0,1,32.0,32.0,0.0,11,0.1,0.91516,63.45,22.43,2.05431,0,40.61827,0,0.54234,34.13
8,0.0,0.0,0,1,32.0,32.0,0.0,11,0.1,0.98586,67.86,12.13,3.13774,0,40.42,0,0.38503,52.0
0,0.0,0.0,0,1,32.0,32.0,0.0,11,0.1,1.15037,76.28,22.24,2.02016,0,35.34112,0,0.53267,26.68
5,0.0,0.0,0,1,28.0,28.0,0.0,11,0.1,0.73807,58.4,45.0,2.0962,0,37.58239,0,0.78002,23.29
5,0.0,0.0,0,1,28.0,28.0,0.0,11,0.1,0.75724,56.2,40.0,2.2992,0,37.46842,0,0.78002,28.36
5,0.0,0.0,0,1,28.0,28.0,0.0,11,0.1,0.78724,58.8,35.0,2.0962,0,37.46842,0,0.78002,25.55
5,0.0,0.0,0,1,28.0,28.0,0.0,11,0.1,0.81824,60.9,30.0,2.2302,0,41.74379,0,0.78002,27.35
5,0.0,0.0,0,1,28.0,28.0,0.0,11,0.1,0.87051,61.9,25.0,2.42832,0,47.98805,0,0.66562,32.02
7,0.0,0.0,0,1,28.0,28.0,0.0,0,0.1,0.90216,61.9,20.0,2.50823,0,36.48011,0,0.51624,42.17
7,0.0,0.0,0,1,28.0,28.0,0.0,0,0.1,0.49312,64.5,15.0,2.91139,0,38.77248,0,0.30974,44.85
7,0.0,0.0,0,1,28.0,28.0,0.0,11,0.1,0.49312,65.3,11.7,2.95563,0,37.73054,0,0.30974,55.92
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,23,0.46831,47.069
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,30,0.46831,50.0
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,23,0.46831,46.7241
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,23,0.46831,49.3103
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,30,0.46831,46.5517
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,11,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,23,0.46831,48.4483
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,7,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,44.3103
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,7,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,23,0.46831,26.8966
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,7,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,30,0.46831,28.2759
0,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,7,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,23,0.46831,33.7931
10,0.0,0.0,0,0,84.0,0.0,0.0,11,0.12,0.0,81.0,12.2,3.86,0,46.9,0,0.35789,39.9
10,0.0,0.0,0,0,84.0,0.0,0.0,11,0.12,0.0,75.8,15.3,3.18,0,48.8,0,0.37259,30.9
1,0.0,0.0,0,0,84.0,0.0,0.0,11,0.12,0.0,77.3,22.3,2.16,0,48.2,0,0.34361,27.1
1,0.0,0.0,0,0,84.0,0.0,0.0,11,0.12,0.0,77.0,20.1,2.25,0,45.3,0,0.35833,30.3
1,0.0,0.0,0,0,84.0,0.0,0.0,0,0.12,0.0,80.0,29.9,1.82,0,54.5,0,0.35875,31.8
1,0.0,0.0,0,0,84.0,0.0,22.28321,11,0.12,0.0,84.1,16.9,2.26,0,38.3,0,0.35901,39.3
1,0.0,0.0,0,0,84.0,0.0,9.53373,11,0.12,0.0,80.7,20.5,2.21,0,45.3,0,0.35838,31.2
1,0.0,0.0,0,0,84.0,0.0,15.84383,11,0.12,0.0,81.5,21.3,2.03,0,42.5,0,0.35766,29.4
0,12.0,0.0,0,1,60.0,60.0,6.14709,11,0.045,0.22,60.0,16.0,2.3,0,36.9,2,0.5,22.0
0,12.0,0.0,0,1,60.0,60.0,5.29709,11,0.045,0.44,60.0,19.0,2.0,0,38.2,2,0.5,28.0
0,12.0,0.0,0,1,60.0,60.0,5.74709,11,0.045,0.66,60.0,22.0,1.8,0,39.8,2,0.5,32.0
0,12.0,0.0,0,1,60.0,60.0,2.16746,11,0.045,0.22,65.0,19.0,2.0,0,38.4,2,0.4055,23.0
0,12.0,0.0,0,1,60.0,60.0,1.79709,11,0.045,0.44,65.0,22.0,1.8,0,40.4,2,0.4055,29.0
0,12.0,0.0,0,1,60.0,60.0,1.16746,11,0.045,0.66,65.0,16.0,2.3,0,37.2,2,0.386,45.0
0,12.0,0.0,0,1,60.0,60.0,1.29709,11,0.045,0.22,70.0,22.0,1.8,0,40.6,2,0.32607,19.0
0,12.0,0.0,0,1,60.0,60.0,0.43598,11,0.045,0.44,70.0,16.0,2.3,0,37.5,2,0.30422,40.0
0,12.0,0.0,0,1,60.0,60.0,0.29709,11,0.045,0.66,70.0,19.0,2.0,0,38.5,2,0.29872,36.0
1,0.0,0.0,0,1,28.0,28.0,0.0,11,0.01,0.28,69.0,11.0,3.7,0,40.7,0,0.24194,17.7
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,63.0,11.0,3.7,0,40.7,0,0.27027,13.5
1,0.0,0.0,0,1,28.0,28.0,0.0,5,0.01,0.28,66.0,11.0,3.7,0,40.7,0,0.25735,10.2
1,0.0,0.0,0,1,28.0,28.0,0.0,7,0.01,0.28,65.0,14.7,2.85034,0,41.9,0,0.28571,3.1
1,0.0,0.0,0,1,28.0,28.0,0.0,7,0.01,0.28,67.0,12.9,3.2093,0,41.4,0,0.26515,13.1
1,0.0,0.0,0,1,28.0,28.0,25.0,11,0.01,0.28,65.0,16.7,2.93413,0,49.0,0,0.28571,12.8
1,0.0,0.0,0,1,28.0,28.0,14.28571,11,0.01,0.28,67.0,14.0,3.24286,0,45.4,0,0.26515,14.0
1,0.0,0.0,0,1,28.0,28.0,0.0,11,0.01,0.28,65.0,14.0,2.95714,0,41.4,0,0.28571,13.2
1,0.0,0.0,0,1,28.0,28.0,0.0,2,0.01,0.28,65.0,12.1,3.34711,0,40.5,0,0.28571,8.7
10,9.25,5.0,0,1,37.0,37.0,0.0,11,0.06,0.24,65.0,14.5,2.4,1,34.8,0,0.36984,21.0
10,9.25,5.0,0,1,37.0,37.0,0.0,11,0.06,0.48,65.0,18.09524,2.1,1,38.0,0,0.36984,27.0
10,9.25,5.0,0,1,37.0,37.0,0.0,11,0.06,0.72,65.0,20.73684,1.9,1,39.4,0,0.36984,31.0
10,9.25,5.0,0,1,37.0,37.0,0.0,11,0.06,0.24,70.0,18.09524,2.1,1,38.0,0,0.36956,22.0
10,9.25,5.0,0,1,37.0,37.0,0.0,11,0.06,0.48,70.0,21.10526,1.9,1,40.1,0,0.36956,28.0
10,9.25,5.0,0,1,37.0,37.0,0.0,11,0.06,0.72,70.0,14.66667,2.4,1,35.2,0,0.36956,46.0
10,9.25,5.0,0,1,37.0,37.0,0.0,11,0.06,0.24,75.0,21.52632,1.9,1,40.9,0,0.36956,18.0
10,9.25,5.0,0,1,37.0,37.0,0.0,11,0.06,0.48,75.0,14.70833,2.4,1,35.3,0,0.36956,40.0
10,9.25,5.0,0,1,37.0,37.0,0.0,11,0.06,0.72,75.0,17.90476,2.1,1,37.6,0,0.36956,35.0
10,9.25,0.0,0,1,37.0,37.0,0.0,11,0.06,0.24,64.1,14.7,2.36,0,34.8,0,0.61638,21.3
10,9.25,0.0,0,1,37.0,37.0,0.0,11,0.06,0.48,65.2,18.3,2.08,0,38.0,0,0.62802,26.6
10,9.25,0.0,0,1,37.0,37.0,0.0,11,0.06,0.72,63.7,20.7,1.9,0,39.4,0,0.63455,30.6
10,9.25,0.0,0,1,37.0,37.0,0.0,11,0.06,0.24,71.3,18.4,2.06,0,38.0,0,0.59329,22.0
10,9.25,0.0,0,1,37.0,37.0,0.0,11,0.06,0.48,70.6,21.1,1.9,0,40.1,0,0.54659,28.4
10,9.25,0.0,0,1,37.0,37.0,0.0,11,0.06,0.72,70.8,15.0,2.35,0,35.2,0,0.62249,45.9
10,9.25,0.0,0,1,37.0,37.0,0.0,11,0.06,0.24,75.7,21.2,1.93,0,40.9,0,0.48326,18.4
10,9.25,0.0,0,1,37.0,37.0,0.0,11,0.06,0.48,76.8,14.9,2.37,0,35.3,0,0.60789,40.3
10,9.25,0.0,0,1,37.0,37.0,0.0,11,0.06,0.72,74.0,18.0,2.09,0,37.6,0,0.54503,35.3
0,3.88889,0.0,0,1,35.0,35.0,0.0,7,0.1559,0.39,66.03,21.96203,1.817,0,39.905,0,0.70071,42.26403
0,3.88889,0.0,0,1,35.0,35.0,0.0,7,0.2984,0.355,65.69,21.51131,1.813,0,39.0,0,0.72895,44.08916
0,3.88889,0.0,0,1,35.0,35.0,0.0,7,0.5697,0.36,66.14,21.64477,1.796,0,38.874,0,0.75396,43.1352
10,7.0,0.0,1,0,70.0,0.0,0.0,11,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,32.15
10,7.0,0.0,1,1,70.0,0.0,0.0,11,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.43603,31.59
10,14.0,0.0,1,0,70.0,0.0,0.0,11,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,29.96
10,14.0,0.0,1,1,70.0,0.0,0.0,11,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.45903,26.24
10,0.0,0.0,1,0,70.0,0.0,0.0,11,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.47273,18.22
10,0.0,0.0,1,1,70.0,0.0,0.0,11,1.2,0.0,64.0,17.4,2.22,0,38.0,0,0.47273,14.66
8,7.0,0.0,0,1,35.0,35.0,0.0,11,0.06,0.2,72.1,11.37,2.68,0,30.45,0,0.667,28.22
10,8.0,0.0,0,1,56.0,0.0,0.0,11,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,0,0.475,39.2
10,8.0,0.0,0,1,56.0,0.0,3.3,11,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,2,0.475,33.8
10,8.0,0.0,0,1,56.0,0.0,6.6,11,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,2,0.475,28.9
10,8.0,0.0,0,1,56.0,0.0,9.9,11,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,2,0.475,21.8
10,8.0,0.0,0,1,56.0,0.0,13.2,11,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,2,0.475,14.3
7,3.11111,0.0,0,1,28.0,0.0,0.0,11,0.13,0.0,61.4561,30.8801,1.667,0,51.47713,0,0.5,54.21
7,3.11111,0.0,0,1,28.0,0.0,2.0,11,0.13,0.0,60.661,30.0375,1.668,0,50.10255,5,0.5,52.14
7,3.11111,0.0,0,1,28.0,0.0,4.0,11,0.13,0.0,59.7109,30.3496,1.613,0,48.9539,5,0.5,48.82
7,3.11111,0.0,0,1,28.0,0.0,6.0,11,0.13,0.0,60.4548,30.568,1.562,0,47.74722,5,0.5,42.31
7,3.11111,0.0,0,1,28.0,0.0,8.0,11,0.13,0.0,60.0684,30.8801,1.563,0,48.2656,5,0.5,39.54
7,3.11111,0.0,0,1,28.0,0.0,10.0,11,0.13,0.0,59.4546,31.0362,1.555,0,48.26129,5,0.5,38.67
0,5.33333,0.0,1,0,64.0,0.0,0.0,11,1.0,0.0,74.0,24.17538,2.23336,0,45.71888,0,0.1715,27.86
0,5.33333,0.0,1,1,64.0,0.0,0.0,11,1.0,0.0,74.0,24.17538,2.28344,0,45.71888,0,0.1715,27.01
0,5.33333,0.0,1,1,64.0,0.0,0.0,11,1.0,0.0,74.0,23.67538,2.23179,0,45.71888,0,0.1715,29.97
0,5.33333,0.0,1,1,64.0,64.0,0.0,11,1.0,1.157,74.0,19.65,2.11755,0,37.85355,0,0.1715,25.05
7,0.0,1.0,0,1,25.0,25.0,0.0,11,0.06,0.08242,60.0,19.76844,2.23049,1,44.09341,0,0.30333,1.74283
7,0.0,1.0,0,1,25.0,25.0,0.0,11,0.06,0.82645,60.0,20.12346,2.2314,1,44.90358,0,0.3025,14.64815
7,0.0,1.0,0,1,25.0,25.0,0.0,11,0.06,1.64384,60.0,20.01965,2.23068,1,44.65753,0,0.30417,24.93245
10,14.0,1.0,0,1,28.0,28.0,0.0,11,0.07122,0.8589,60.0,15.04166,2.6237,1,39.4648,0,0.22888,42.34
10,14.0,1.0,0,1,28.0,28.0,0.0,11,0.07122,0.92562,60.0,19.96354,1.99111,1,39.7496,0,0.21239,29.04
10,14.0,1.0,0,1,28.0,28.0,0.0,11,0.07122,0.90323,60.0,24.98683,1.60222,1,40.0344,0,0.21765,25.46
10,14.0,1.0,0,1,28.0,28.0,0.0,11,0.07122,0.90909,60.0,30.22585,1.32741,1,40.1221,0,0.21625,25.75
2,7.0,0.5,0,1,28.0,28.0,0.0,11,0.06,1.20727,66.9,25.0,1.5,1,37.5,0,0.55333,37.9
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.96434,58.6,20.9,1.7,1,36.1,0,0.51833,20.9
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.85547,53.1,18.7,1.9,1,35.1,0,0.48833,8.8
2,7.0,0.5,0,1,28.0,28.0,0.0,0,0.06,0.76023,47.5,16.8,2.0,1,34.1,0,0.54167,5.4
0,3.64286,0.0,2,0,51.0,0.0,9.38,11,13.552,0.0,65.0,15.0,1.66572,0,24.9858,29,0.46667,24.0636
0,3.64286,0.0,2,0,51.0,0.0,0.0,11,4.628,0.0,65.0,20.0,1.60453,0,32.0906,0,0.46616,16.7491
0,3.64286,0.0,2,0,51.0,0.0,0.0,11,2.384,0.0,65.0,25.0,1.58074,0,39.5185,0,0.38359,12.0848
0,3.64286,0.0,2,0,51.0,0.0,0.0,11,2.38,0.0,65.0,30.0,1.51445,0,45.4335,0,0.38359,12.0848
0,3.64286,0.0,2,0,51.0,0.0,0.0,11,4.624,0.0,65.0,35.0,1.39037,0,48.66295,0,0.42904,10.0707
8,0.0,0.5,1,0,26.0,26.0,0.0,0,1.3,0.91264,70.0,20.42,1.13,1,23.08,0,0.76234,16.9
8,0.0,0.5,1,0,26.0,26.0,0.0,0,1.3,0.91264,70.0,20.42,1.13,1,23.08,0,0.76234,20.12
8,0.0,0.5,1,0,26.0,26.0,0.0,0,1.3,0.91264,70.0,20.42,1.13,1,23.08,0,0.76234,25.1
8,0.0,0.0,0,1,22.0,22.0,0.0,7,0.002,0.65498,63.453,11.67616,2.29,0,26.7384,12,0.71392,36.4
8,0.0,0.0,0,1,22.0,22.0,0.0,7,0.002,0.57098,62.8218,10.8911,2.46,0,26.7921,12,0.71392,35.0
8,0.0,0.0,0,1,22.0,22.0,0.0,7,0.002,0.59898,63.5272,11.37506,2.39,0,27.1864,0,0.71392,52.4
8,0.0,0.0,0,1,22.0,22.0,0.0,7,0.002,0.65498,61.745,12.39416,2.26,0,28.0108,12,0.73029,40.3
8,0.0,0.0,0,1,22.0,22.0,0.0,7,0.002,0.65498,62.5248,12.03611,2.29,0,27.5627,12,0.71268,27.7
8,0.0,0.0,0,1,22.0,22.0,0.0,7,0.002,0.54287,62.0792,9.48508,2.46,0,23.3333,0,0.71392,53.1
8,0.0,0.0,0,1,22.0,22.0,0.0,11,0.002,0.96248,60.3523,12.19238,2.14,0,26.0917,0,0.75792,43.3
8,0.0,0.0,0,1,22.0,22.0,0.0,11,0.002,0.96183,61.1092,12.4725,2.12,0,26.4417,12,0.73967,40.9
8,0.0,0.0,0,1,22.0,22.0,0.0,11,0.002,0.65498,62.0116,12.03702,2.25,0,27.0833,12,0.73029,35.8
8,0.0,0.0,0,1,22.0,22.0,0.0,11,0.002,0.62698,62.5648,11.47597,2.36,0,27.0833,12,0.71268,24.9
8,0.0,0.0,0,1,22.0,22.0,0.0,0,0.002,0.67098,61.575,12.56143,2.17,0,27.2583,12,0.73029,30.2
8,0.0,0.0,0,1,22.0,22.0,0.0,7,0.002,0.65498,63.1761,9.94831,2.31,0,22.9806,0,0.71392,51.1
8,0.0,0.0,0,1,22.0,22.0,0.0,11,0.002,0.81824,57.5744,13.48335,2.0,0,26.9667,12,0.74825,18.4
8,0.0,0.0,0,1,22.0,22.0,0.0,11,0.002,1.00706,61.183,11.29719,2.03,0,22.9333,12,0.73967,16.7
8,0.0,0.0,0,1,22.0,22.0,0.0,11,0.002,0.70986,60.5878,10.25299,2.24,0,22.9667,12,0.74825,10.8
8,0.0,0.0,0,1,22.0,22.0,0.0,11,0.002,0.94648,59.9182,10.58916,2.15,0,22.7667,12,0.74825,29.4
8,0.0,0.0,0,1,22.0,22.0,0.0,11,0.002,0.71021,61.0342,10.28656,2.21,0,22.7333,12,0.76677,40.5
0,6.0,0.0,0,1,66.0,66.0,0.0,11,0.028,0.4,72.7,18.0,1.9,0,34.2,0,0.26071,27.96834
0,6.0,0.0,0,1,66.0,66.0,0.0,11,0.028,0.4,71.7,18.0,1.92,0,34.56,0,0.25,24.21053
0,6.0,0.0,0,1,66.0,66.0,0.0,11,0.028,0.2,71.7,18.0,1.92,0,34.56,0,0.25,19.47368
0,6.0,0.0,0,1,66.0,66.0,0.0,7,0.028,0.2,68.8,22.0,1.76,0,38.72,0,0.25,13.02083
0,6.0,0.0,0,1,66.0,66.0,0.0,7,0.028,0.2,69.5,26.0,1.55,0,40.3,0,0.25,9.66767
0,6.0,0.0,0,1,66.0,66.0,0.0,7,0.028,0.2,67.3,29.0,1.33,0,38.57,0,0.25,14.47368
0,6.0,0.0,0,1,66.0,66.0,0.0,11,0.028,0.2,71.8,18.0,1.92,0,34.56,0,0.25,20.84433
1,4.44444,0.0,1,1,40.0,0.0,0.0,11,0.2,0.0,65.0,29.7094,1.33073,0,39.53519,0,0.25,29.8437
1,4.44444,0.0,1,1,40.0,0.0,1.0,11,0.2,0.0,65.0,29.8465,1.34581,0,40.16772,19,0.25,21.05
