Material_Main,Turning times,Intermittent ratio, Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),NH3-N loss (%)
7,8.57143,0.04167,1,0,60.0,0.0,10.0,5,0.165,0.0,58.0,11.4409,3.33965,0,38.2086,0,0.21,2.3
3,7.0,1.0,0,1,35.0,60.0,0.0,5,0.06,0.2,60.0,22.1,1.79,0,39.559,0,0.56807,13.3
3,7.0,1.0,0,1,35.0,60.0,10.0,5,0.06,0.2,60.0,18.2,1.98,0,36.036,22,0.48837,8.4
3,7.0,0.5,0,1,35.0,60.0,10.0,5,0.06,0.2,60.0,19.1,1.89,0,36.099,1,0.59489,10.5
3,2.85714,0.56667,0,1,20.0,20.0,0.0,4,0.02,1.06667,67.49,18.5,2.015,0,33.1256,0,0.38587,22.0
3,2.85714,0.56667,0,1,20.0,20.0,20.0,4,0.02,1.06667,62.011,18.5,2.375,0,37.96721,15,0.42268,4.8
9,9.33333,0.04167,0,1,28.0,28.0,3.72823,5,0.06,0.25,52.2,24.8,2.23,0,55.304,15,0.68602,17.9
9,9.33333,0.04167,0,1,28.0,28.0,3.78398,5,0.06,0.25,52.2,24.8,2.23,0,55.304,15,0.68359,16.1
8,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,28,0.46831,36.04333
8,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,28,0.46831,27.44832
9,7.8,0.05,0,1,39.0,39.0,0.0,5,0.06,0.403,69.73,20.7524,2.01165,0,38.39804,0,0.46197,23.2
9,7.8,0.05,0,1,39.0,39.0,0.4,5,0.06,0.408,69.73,20.7524,2.012,0,38.392,15,0.47663,9.6
9,7.8,0.05,0,1,39.0,39.0,0.4,5,0.06,0.408,69.73,20.7524,2.012,0,38.392,8,0.47663,7.1
9,7.8,0.04348,0,1,39.0,39.0,0.4,5,0.06,0.408,69.73,20.7524,2.012,0,38.392,23,0.47663,8.46
9,7.8,0.04348,0,1,39.0,39.0,0.4,5,0.06,0.408,69.73,20.7524,2.012,0,38.392,1,0.47663,5.45
9,0.0,2.0,0,1,26.0,26.0,0.0,4,0.0212,0.91133,61.8,16.5,2.86133,0,47.21194,0,0.72264,34.9
9,0.0,2.0,0,1,26.0,26.0,0.56,4,0.0212,0.90955,61.8,21.73112,2.98895,0,41.77578,16,0.72406,15.0
9,8.75,5.0,0,1,35.0,35.0,0.0,5,0.06,0.38,70.4,20.3,2.09,0,42.4,0,0.36956,31.32
9,8.75,5.0,0,1,35.0,35.0,4.56,5,0.06,0.38,70.04,17.87113,2.17362,0,37.97,15,0.36984,21.79
9,8.75,5.0,0,1,35.0,35.0,6.48,5,0.06,0.38,70.13,17.16745,2.40973,0,37.399,15,0.36984,14.21
9,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,9.7
9,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,20,0.46831,9.3
9,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,4,0.46831,2.147
9,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,6,0.46831,5.739
9,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,4,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,0,0.46831,3.462
0,0.0,0.01389,0,1,15.0,15.0,0.0,5,0.17,0.2885,70.5,26.0,1.59,0,41.34,0,0.27647,19.81132
0,0.0,0.01389,0,1,15.0,15.0,3.62976,5,0.17,0.29038,71.0,22.806,1.44,0,35.202,11,0.27941,13.54167
0,0.0,1.0,0,1,15.0,15.0,7.30994,5,0.17,0.2924,71.5,18.53,1.55,0,32.5746,11,0.28235,11.6129
0,0.0,0.33333,0,1,15.0,15.0,9.97672,5,0.17,0.26605,69.0,30.0,1.36,0,40.8,11,0.28529,9.12409
0,0.0,0.5,0,1,15.0,15.0,0.0,5,0.17,0.26377,70.0,19.176,1.72,0,33.7596,0,0.29735,10.75581
0,0.0,2.0,0,1,15.0,15.0,13.09719,5,0.17,0.28166,71.8,15.394,1.66,0,31.8,11,0.29624,10.84337
0,0.0,5.0,0,1,15.0,15.0,24.36647,5,0.17,0.26201,69.6,16.72242,1.58,0,36.071,11,0.29541,15.50633
0,0.0,5.0,0,1,15.0,15.0,37.59079,5,0.17,0.26947,70.3,16.72242,1.47,0,36.071,11,0.294,16.66667
0,0.0,5.0,0,1,15.0,6.0,0.0,5,0.17,0.28948,70.6,16.72242,1.59,0,36.071,0,0.27647,16.03774
0,0.0,5.0,0,1,15.0,6.0,3.10479,5,0.17,0.28882,70.8,16.72242,1.57,0,36.071,24,0.279,14.96815
0,0.0,1.0,0,1,15.0,6.0,3.43688,5,0.17,0.28171,70.1,16.064,1.55,0,35.304,24,0.27934,13.54839
0,0.0,1.0,0,1,15.0,6.0,3.68545,5,0.17,0.27867,69.8,16.064,1.55,0,35.304,24,0.27958,15.16129
0,0.0,1.0,0,1,15.0,15.0,0.0,5,0.17,0.27765,71.5,19.268,1.62,0,32.5746,0,0.29735,14.81481
0,0.0,0.02778,0,1,15.0,15.0,3.66885,5,0.17,0.28276,72.3,22.406,1.35,0,35.202,24,0.30041,16.66667
0,0.0,0.02778,0,1,15.0,15.0,7.0174,5,0.17,0.27016,71.3,22.864,1.31,0,35.202,24,0.30346,12.9771
0,0.0,0.02778,0,1,15.0,15.0,10.35227,5,0.17,0.26561,71.1,22.672,1.25,0,35.202,24,0.30652,13.2
9,7.0,0.02778,1,0,70.0,0.0,0.0,5,1.2,0.0,68.70741,18.89189,2.20375,0,32.6561,0,0.34258,35.3
9,7.0,0.02778,1,0,70.0,0.0,3.3,5,1.2,0.0,68.89741,18.89189,2.18773,0,31.98075,1,0.33368,28.0
9,7.0,0.02778,1,0,70.0,0.0,6.6,5,1.2,0.0,68.08741,18.89189,2.03991,0,33.16227,1,0.30532,21.2
9,7.0,0.02778,1,0,70.0,0.0,9.9,5,1.2,0.0,65.52171,18.89189,2.22663,0,36.87905,1,0.38456,16.8
9,7.0,0.16667,1,0,70.0,0.0,13.2,5,1.2,0.0,62.69171,18.89189,2.3715,0,39.05713,1,0.37283,14.8
9,7.0,0.16667,1,0,70.0,0.0,16.5,5,1.2,0.0,65.34171,18.89189,2.41665,0,37.90571,1,0.38537,8.3
7,2.16667,1.0,0,1,13.0,13.0,0.0,4,0.06,0.72,55.0,12.8125,3.2,1,41.0,0,0.28019,12.84
8,2.0,0.0,0,1,22.0,22.0,0.0,4,0.0035,0.74619,59.4,11.75668,2.14,0,25.32525,8,0.77559,16.2936
8,2.0,0.0,0,1,22.0,22.0,0.0,4,0.0035,0.80424,57.5,18.59679,2.15,0,28.46668,8,0.69147,18.7427
8,2.0,0.0,0,1,22.0,22.0,0.0,4,0.0035,0.79724,58.2,17.98241,2.13,0,26.34584,0,0.74726,33.8826
7,0.25,0.56667,0,1,45.0,45.0,0.0,2,2.4,6.67,55.0,30.4875,1.09466,1,33.3734,0,0.41667,17.965
7,0.25,0.56667,0,1,45.0,45.0,0.44444,2,2.4,6.67,55.0,29.153,1.12653,1,32.8418,4,0.41667,3.22179
7,0.25,0.56667,0,1,45.0,45.0,0.44444,2,2.4,6.67,55.0,31.2883,1.03964,1,32.5285,4,0.41667,5.63813
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,2,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,0,0.46831,10.351
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,2,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,20,0.46831,2.046
7,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,2,1.13402,0.67154,64.37076,21.13283,2.07873,0,39.32967,20,0.46831,2.362
3,7.5,0.0,0,1,30.0,30.0,0.0,2,0.06,0.2,60.59701,20.0,1.9,0,38.0,0,0.60532,24.9
3,7.5,0.0,0,1,30.0,30.0,2.1383,2,0.06,0.2,57.62952,24.2346,2.05157,0,42.29755,15,0.58635,12.6
3,7.5,0.0,0,1,30.0,30.0,3.20088,2,0.06,0.2,57.62952,22.72795,2.07157,0,42.9832,1,0.58635,15.3
3,7.5,0.0,0,1,30.0,30.0,2.216,2,0.06,0.2,57.62952,24.2346,2.05157,0,42.40316,5,0.58635,8.9
3,7.5,0.0,0,1,30.0,30.0,2.53615,2,0.06,0.2,57.62952,24.2346,2.05157,0,43.1122,11,0.58635,8.9
3,2.11111,0.0,0,1,19.0,19.0,0.0,2,0.04019,10.0,70.0,26.38728,1.73,0,45.65,0,0.82879,16.5467
3,2.11111,0.0,0,1,19.0,19.0,3.0,2,0.04019,10.0,70.0,26.38728,1.73,0,45.65,20,0.82879,12.879
3,2.11111,0.0,0,1,19.0,19.0,6.9,2,0.0646,10.0,70.0,26.34783,1.61,0,42.42,18,0.78782,12.879
3,2.11111,0.0,0,1,19.0,19.0,9.9,2,0.1246,10.0,70.0,26.34783,1.61,0,42.42,20,0.78782,2.9862
9,9.33333,0.0,1,0,112.0,42.0,0.0,4,0.28,0.2569,65.4,25.0,1.4,0,43.93961,0,0.42092,21.4
9,9.33333,0.0,1,0,112.0,42.0,2.94985,4,0.28,0.26221,66.1,25.0,1.6,0,44.09714,20,0.42642,20.7
9,9.33333,0.0,1,0,112.0,0.0,0.0,4,1.0664,0.0,64.9,17.22075,3.4,0,38.19286,0,0.74535,18.4
9,9.33333,0.0,1,0,112.0,0.0,2.8169,4,1.0664,0.0,64.5,18.53975,3.1,0,37.99286,20,0.7441,19.7
3,3.88889,0.0,0,1,35.0,35.0,2.25,4,0.02,0.5,67.12495,29.0076,1.71327,0,42.83415,13,0.57359,27.1028
3,3.88889,0.0,0,1,35.0,35.0,1.8209,4,0.02,0.5,66.15868,32.0229,1.71327,0,42.03066,13,0.54818,0.46729
3,3.88889,0.0,0,1,35.0,35.0,2.5709,4,0.02,0.5,67.53036,30.3435,1.71327,0,42.83415,13,0.57964,10.42991
3,3.88889,0.0,0,1,35.0,35.0,3.3209,4,0.02,0.5,66.529,26.9466,1.9299,0,46.09553,13,0.57359,17.37382
3,3.88889,0.0,0,1,35.0,35.0,4.0709,4,0.02,0.5,68.29017,29.0458,1.71327,0,46.09553,13,0.56264,29.17756
9,6.66667,0.04348,0,1,40.0,30.0,0.0,5,0.1644,7.69231,64.54545,16.53936,2.34,1,38.7021,0,0.69488,26.0
9,6.66667,0.04348,0,1,40.0,30.0,6.0,5,0.1564,7.31707,63.55556,16.39658,2.31,1,37.8761,1,0.55501,11.8
9,6.66667,0.04348,0,1,40.0,30.0,15.0,5,0.09285,6.81818,62.06897,15.97083,2.41,1,38.4897,21,0.314,21.5
9,6.66667,0.04348,0,1,40.0,30.0,1.46082,5,0.1644,7.79221,65.17413,16.34774,2.34,1,38.2537,21,0.65431,20.2
3,1.0,0.0,0,1,24.0,24.0,2.56049,1,0.03,0.76104,63.5,20.5,2.67747,0,31.34153,25,0.36,12.86
3,1.0,0.0,0,1,24.0,24.0,0.0,1,0.03,0.76815,63.5,20.5,2.67747,0,31.34153,0,0.356,10.23
3,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,28,0.46831,9.64912
3,5.02503,0.30467,0,1,45.03616,23.90261,4.57071,5,1.13402,0.67154,64.37076,21.13283,2.07873,1,39.32967,14,0.46831,13.4503
8,5.09091,0.0,0,1,56.0,56.0,0.0,5,0.13,1.11111,55.0,25.02125,1.80435,1,45.1471,0,0.5,1.02
8,5.09091,0.0,0,1,56.0,56.0,2.0,5,0.13,1.11111,55.0,25.08996,1.84239,1,46.2255,0,0.5,0.2
8,5.09091,0.0,0,1,56.0,56.0,4.0,5,0.13,1.11111,55.0,25.00167,1.8587,1,46.4706,0,0.5,0.11
8,5.09091,0.0,0,1,56.0,56.0,6.0,5,0.13,1.11111,55.0,23.99361,1.95109,1,46.8137,0,0.5,0.11
8,5.09091,0.0,0,1,56.0,56.0,8.0,5,0.13,1.11111,55.0,22.31769,2.11957,1,47.3039,0,0.5,0.06
8,5.09091,0.0,0,1,56.0,56.0,12.0,5,0.13,1.11111,55.0,21.13909,2.27717,1,48.1373,0,0.5,0.04
8,5.09091,0.0,0,1,56.0,56.0,18.0,5,0.13,1.11111,55.0,20.40002,2.42935,1,49.5588,0,0.5,0.02
3,1.0,0.0,0,1,25.0,25.0,0.0,5,0.03,0.82386,66.0,17.0,3.16471,0,53.8,0,0.357,21.2
3,1.0,0.0,0,1,25.0,25.0,2.22035,5,0.03,0.80596,66.0,14.63995,2.80922,0,33.59435,19,0.36493,32.8
3,1.0,0.0,0,1,25.0,25.0,1.82166,5,0.03,0.80912,66.0,14.63995,2.80922,0,34.97808,19,0.3635,12.6
3,1.0,0.0,0,1,25.0,25.0,1.42297,5,0.03,0.8123,66.0,14.63995,2.80922,0,34.97808,19,0.36208,3.5
4,1.86486,0.0,1,0,69.0,0.0,0.0,1,0.08,0.0,80.7,20.37805,0.82,0,16.71,0,0.47273,11.4
4,1.86486,0.0,1,0,69.0,0.0,3.0,1,0.08,0.0,80.7,22.76667,0.9,0,20.49,0,0.47273,8.13793
4,1.86486,0.0,1,0,69.0,0.0,4.0,1,0.08,0.0,80.7,19.47368,0.95,0,18.5,21,0.47273,4.22508
4,1.86486,0.0,1,0,69.0,0.0,3.0,1,0.08,0.0,80.7,22.13253,0.83,0,18.37,21,0.47273,7.9278
9,8.75,0.0,0,1,35.0,35.0,0.0,5,0.06,0.3,69.2,18.4,2.04,0,37.48,0,0.60796,32.5
9,8.75,0.0,0,1,35.0,35.0,1.40913,5,0.06,0.3,69.2,18.4,2.04,0,37.48,8,0.624,14.5
9,8.75,0.0,0,1,35.0,35.0,1.40913,5,0.06,0.3,69.2,18.4,2.04,0,37.48,23,0.624,16.0
9,8.75,0.0,0,1,35.0,35.0,1.40913,5,0.06,0.3,69.2,18.4,2.04,0,37.48,1,0.624,13.3
9,8.75,0.0,0,1,35.0,35.0,1.40913,5,0.06,0.3,69.2,18.4,2.04,0,37.48,8,0.624,5.9
9,5.0,0.0,0,1,30.0,30.0,0.0,5,0.12,2.56621,66.11478,17.57895,1.94767,0,33.4,0,0.575,1.6
9,5.0,0.0,0,1,30.0,30.0,5.0,5,0.12,2.56621,65.77648,20.20789,1.94767,0,29.99034,21,0.58474,1.184
9,5.0,0.0,0,1,30.0,30.0,10.0,5,0.12,2.56621,64.79548,20.05777,1.94767,0,31.03373,21,0.59448,0.864
9,5.0,0.0,0,1,30.0,30.0,20.0,5,0.12,2.56621,61.69,18.28231,1.94767,0,37.65774,21,0.61397,0.688
9,5.0,0.0,0,1,30.0,30.0,1.0,5,0.12,2.56621,64.38448,24.28489,1.94767,0,26.71984,21,0.57695,0.848
9,7.0,0.0,0,1,28.0,28.0,0.0,6,0.06,0.36,62.06,17.91,1.95,0,34.9245,0,0.7402,13.18
9,7.0,0.0,0,1,28.0,28.0,10.0,6,0.06,0.36,58.69,18.23,1.96,0,35.7308,1,0.78068,11.36
3,7.5,2.0,0,1,30.0,30.0,0.0,5,0.06,0.46061,53.59,32.46,1.1,1,35.52,0,0.30889,23.17
3,7.5,2.0,0,1,30.0,30.0,0.0,5,0.06,0.82521,61.399,21.33479,2.06047,1,41.4223,0,0.36581,14.5
3,7.5,2.0,0,1,30.0,30.0,3.33172,5,0.06,0.82521,61.399,21.33479,2.06047,1,35.2395,11,0.36581,12.31
3,7.5,2.0,0,1,30.0,30.0,3.33172,5,0.06,0.82521,61.399,21.33479,2.06047,1,35.2395,20,0.36581,20.84
9,3.71429,0.0,2,0,26.0,0.0,0.0,5,1.2,0.0,65.0,22.46154,1.69,0,37.96,0,0.375,26.82
9,3.71429,0.0,2,0,26.0,0.0,15.67944,5,1.2,0.0,65.0,24.96689,1.51,0,37.7,0,0.39375,21.65
9,3.71429,0.0,2,0,26.0,0.0,31.35889,5,1.2,0.0,65.0,26.48227,1.41,0,37.34,0,0.4125,7.31
9,3.71429,0.0,2,0,26.0,0.0,47.03833,5,1.2,0.0,65.0,29.88889,1.35,0,40.35,0,0.43125,5.47
9,17.5,1.0,0,1,35.0,35.0,0.0,5,0.06,0.38,67.6,17.4312,2.22446,1,38.775,0,0.32433,29.26
9,17.5,1.0,0,1,35.0,35.0,0.408,5,0.06,0.38,64.316,14.83745,2.06768,1,30.6791,22,0.32147,16.11
9,17.5,1.0,0,1,35.0,35.0,0.408,5,0.06,0.38,64.316,16.20429,2.16937,1,35.1531,2,0.32147,30.93
9,17.5,1.0,0,1,35.0,35.0,0.408,5,0.06,0.38,64.316,13.97506,2.27531,1,31.7976,22,0.32147,16.12
9,5.6,0.0,0,1,28.0,28.0,0.0,5,0.06,0.48,57.54093,19.25,2.13,0,38.5,0,0.53267,24.95
9,5.6,0.0,0,1,28.0,28.0,2.44988,5,0.06,0.48,56.48379,25.015,2.14833,0,43.38436,8,0.53821,11.23
9,5.6,0.0,0,1,28.0,28.0,2.45195,5,0.06,0.48,56.81379,23.515,2.15,0,43.38436,8,0.53821,22.85
9,5.6,0.0,0,1,28.0,28.0,4.35435,5,0.06,0.48,58.10379,22.42459,2.16833,0,43.38436,23,0.54251,26.71
8,5.66667,0.0,0,1,34.0,34.0,0.0,5,0.06,0.27211,65.0,11.37,2.16007,0,35.92416,0,0.58333,31.52
8,5.66667,0.0,0,1,34.0,34.0,10.0,5,0.06,0.26291,65.0,11.37,2.20637,0,37.52412,1,0.60375,21.26
8,5.66667,0.0,0,1,34.0,34.0,10.28571,5,0.06,0.26265,65.0,11.37,2.20637,0,37.52412,1,0.60433,16.22
8,5.66667,0.0,0,1,34.0,34.0,14.57143,5,0.06,0.2589,65.0,11.37,2.16154,0,37.71412,1,0.61308,14.88
9,5.83333,0.0,0,1,35.0,35.0,0.0,5,0.06,0.25,69.2,18.43351,2.03653,0,37.5404,0,0.60529,32.5
9,5.83333,0.0,0,1,35.0,35.0,0.4,5,0.06,0.25,68.353,18.43351,2.03653,0,37.5404,8,0.66417,14.5
9,5.83333,0.0,0,1,35.0,35.0,4.0,5,0.06,0.25,69.139,18.43351,2.03653,0,37.5404,1,0.64394,20.3
9,5.83333,0.0,0,1,35.0,35.0,0.4,5,0.06,0.25,68.353,18.43351,2.03653,0,37.5404,8,0.66417,12.4
7,5.55556,0.0,0,1,50.0,50.0,0.0,5,0.1,0.382,60.0,31.0074,1.68783,0,47.44526,0,0.5,36.3
7,5.55556,0.0,0,1,50.0,50.0,2.0,5,0.1,0.382,60.0,30.0553,1.69163,0,47.21725,4,0.5,33.2
7,5.55556,0.0,0,1,50.0,50.0,4.0,5,0.1,0.382,60.0,30.3317,1.69001,0,47.57761,4,0.5,26.6
7,5.55556,0.0,0,1,50.0,50.0,6.0,5,0.1,0.382,60.0,30.5467,1.64653,0,46.40566,4,0.5,20.4
7,5.55556,0.0,0,1,50.0,50.0,8.0,5,0.1,0.382,60.0,31.0381,1.59652,0,46.3663,4,0.5,14.9
7,5.55556,0.0,0,1,50.0,50.0,10.0,5,0.1,0.372,60.0,30.7924,1.62688,0,46.19574,4,0.5,10.7
9,5.55556,0.0,0,1,50.0,50.0,0.0,5,0.1,0.3,55.0,25.0,2.084,0,52.1,0,0.54517,2.49315
9,5.55556,0.0,0,1,50.0,50.0,10.0,5,0.1,0.3,59.0,27.30966,1.903,0,46.75922,0,0.52573,1.56621
