Feature,Mean_MinDepth,Tree1_MinDepth,Tree2_MinDepth,Tree3_MinDepth,Tree4_MinDepth,Tree5_MinDepth,Tree6_MinDepth,Tree7_MinDepth,Tree8_MinDepth,Tree9_MinDepth,Tree10_MinDepth,Tree11_MinDepth,Tree12_MinDepth,Tree13_MinDepth,Tree14_MinDepth,Tree15_MinDepth,Tree16_MinDepth,Tree17_MinDepth,Tree18_MinDepth,Tree19_MinDepth,Tree20_MinDepth,Tree21_MinDepth,Tree22_MinDepth,Tree23_MinDepth,Tree24_MinDepth,Tree25_MinDepth,Tree26_MinDepth,Tree27_MinDepth,Tree28_MinDepth,Tree29_MinDepth,Tree30_MinDepth,Tree31_MinDepth,Tree32_MinDepth,Tree33_MinDepth,Tree34_MinDepth,Tree35_MinDepth,Tree36_MinDepth,Tree37_MinDepth,Tree38_MinDepth,Tree39_MinDepth,Tree40_MinDepth,Tree41_MinDepth,Tree42_MinDepth,Tree43_MinDepth,Tree44_MinDepth,Tree45_MinDepth,Tree46_MinDepth,Tree47_MinDepth,Tree48_MinDepth,Tree49_MinDepth,Tree50_MinDepth,Tree51_MinDepth,Tree52_MinDepth,Tree53_MinDepth,Tree54_MinDepth,Tree55_MinDepth,Tree56_MinDepth,Tree57_MinDepth,Tree58_MinDepth,Tree59_MinDepth,Tree60_MinDepth,Tree61_MinDepth,Tree62_MinDepth,Tree63_MinDepth,Tree64_MinDepth,Tree65_MinDepth,Tree66_MinDepth,Tree67_MinDepth,Tree68_MinDepth,Tree69_MinDepth,Tree70_MinDepth,Tree71_MinDepth,Tree72_MinDepth,Tree73_MinDepth,Tree74_MinDepth,Tree75_MinDepth,Tree76_MinDepth,Tree77_MinDepth,Tree78_MinDepth,Tree79_MinDepth,Tree80_MinDepth,Tree81_MinDepth,Tree82_MinDepth,Tree83_MinDepth,Tree84_MinDepth,Tree85_MinDepth,Tree86_MinDepth,Tree87_MinDepth,Tree88_MinDepth,Tree89_MinDepth,Tree90_MinDepth,Tree91_MinDepth,Tree92_MinDepth,Tree93_MinDepth,Tree94_MinDepth,Tree95_MinDepth,Tree96_MinDepth,Tree97_MinDepth,Tree98_MinDepth,Tree99_MinDepth,Tree100_MinDepth
Material_Main,12.65,13,13,15,12,12,12,11,10,12,11,13,13,11,14,11,13,16,14,12,12,11,12,14,13,14,12,11,17,11,11,11,12,12,14,10,11,10,13,11,14,14,16,11,13,13,12,12,11,12,13,15,12,14,13,15,11,14,11,13,12,16,11,11,12,13,11,14,15,13,16,15,13,13,11,14,12,11,13,12,13,13,17,14,12,11,14,15,12,10,12,12,12,11,12,11,12,15,13,14,13
Period (d),12.1,13,16,5,12,12,12,11,14,12,11,13,14,14,14,14,13,5,14,12,14,14,16,14,14,5,12,16,14,11,11,11,14,5,14,14,14,10,13,5,14,14,16,14,13,13,12,12,11,12,13,16,5,5,13,14,16,16,11,5,14,14,11,11,14,13,5,14,14,5,16,5,14,14,14,14,14,14,13,16,14,14,14,14,14,14,14,15,14,5,5,5,14,11,5,11,16,14,13,5,13
Turning times,12.65,13,13,15,12,12,12,11,10,12,11,13,13,11,14,11,13,16,14,12,12,11,12,14,13,14,12,11,17,11,11,11,12,12,14,10,11,10,13,11,14,14,16,11,13,13,12,12,11,12,13,15,12,14,13,15,11,14,11,13,12,16,11,11,12,13,11,14,15,13,16,15,13,13,11,14,12,11,13,12,13,13,17,14,12,11,14,15,12,10,12,12,12,11,12,11,12,15,13,14,13
V2_Ventilation Interval (min),10.5,8,8,15,12,8,8,11,10,8,8,13,13,8,14,12,8,16,14,8,12,11,12,14,8,8,12,11,8,12,8,11,8,8,14,10,8,10,8,8,14,8,8,8,8,13,12,12,11,8,13,15,8,8,13,12,11,8,11,13,8,16,8,11,12,13,11,14,8,8,8,15,8,8,11,8,12,8,8,12,8,12,8,12,12,11,12,8,8,8,8,12,12,11,12,11,12,12,13,12,12
M1_is Enclosed,8.69,11,13,0,0,12,0,0,10,12,11,13,13,11,14,11,13,16,14,12,12,11,0,14,13,14,12,11,17,11,11,11,12,12,0,0,11,10,13,11,14,14,16,11,0,0,0,12,11,12,0,15,12,14,13,15,11,14,11,0,0,16,0,11,0,13,11,0,0,13,0,0,0,0,11,0,0,11,13,12,13,13,17,0,12,0,14,15,12,0,12,12,0,0,12,11,0,15,0,0,13
 Composting Method,11.27,13,13,15,12,12,12,11,10,12,16,13,13,12,14,11,13,0,16,12,16,11,0,16,13,14,12,3,17,11,12,11,12,12,14,10,11,10,13,11,14,12,16,11,13,0,16,12,11,16,16,0,0,12,16,15,11,12,11,16,16,16,16,12,16,12,11,14,3,12,16,0,13,13,3,14,3,11,13,0,13,0,17,14,12,11,3,16,12,10,12,12,0,12,12,11,12,15,13,14,3
Additive_3,12.5,13,13,15,12,12,12,11,10,12,0,13,13,11,14,11,13,16,14,12,12,11,12,14,13,14,12,11,17,11,11,11,12,12,14,10,11,10,13,11,11,14,16,11,13,13,12,12,11,11,13,15,12,14,13,15,11,14,11,13,12,16,11,11,12,13,11,14,15,13,16,15,13,13,11,14,12,11,13,12,13,13,17,14,12,11,14,15,12,10,12,12,12,11,12,11,12,15,13,14,13
Additive_2,9.46,7,7,11,8,12,7,7,8,12,11,8,13,8,7,11,8,8,8,11,12,7,7,14,7,8,12,7,7,7,7,11,12,12,7,10,11,7,13,8,7,7,8,11,13,8,12,7,7,7,8,15,7,14,7,15,11,14,11,11,12,16,11,8,12,7,8,8,7,13,7,15,8,8,11,7,12,7,11,8,8,13,7,14,12,11,14,7,8,7,11,8,7,7,7,7,8,8,7,14,7
Additive_1,11.81,7,13,7,7,12,12,11,10,7,11,13,13,11,7,11,13,16,14,12,12,11,7,14,13,14,12,11,17,11,11,11,12,12,14,10,11,12,13,11,14,14,16,11,13,13,12,12,7,12,13,15,7,14,7,15,11,14,11,13,12,16,11,11,7,13,11,14,15,13,7,15,13,13,11,14,7,11,13,12,13,13,17,14,12,11,14,7,12,10,12,12,12,11,12,11,12,7,13,14,13
Material_3,8.63,11,13,15,11,12,0,0,10,12,0,0,13,11,14,11,11,16,14,11,11,11,12,11,13,0,12,11,17,0,11,11,12,12,11,11,11,10,11,11,14,14,11,11,0,0,0,0,11,11,11,0,0,14,11,0,0,0,0,13,12,16,11,0,0,11,11,11,15,13,16,0,13,0,0,14,12,0,11,12,13,13,11,0,0,11,0,15,0,11,11,0,12,0,12,11,11,15,11,0,13
