V5_Ventilation rate (L/min/kg iniDW),Additive_4,Initial C/N (%),Compost volume (m3),Additive_1,Material_2,Additive_2,Initial pH,Application Rate (%DW),V2_Ventilation Interval (min),Initial GI (%),V4_Ventilation Day,M1_is Enclosed,V3_Ventilation Duration (min), Composting Method,Initial Moisture Content (%),Turning times,Material_3,Additive_3,Period (d),V1_Ventilation Type,Material_Main,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.2055301397849836,None,38.164832966944964,0.08,MgCl₂,Green Waste,Calcium magnesium phosphate fertilizer,6.095184547597119,2.134814488393456,0,27.32884658064516,49.0,0.0,0,Trough,58.0,15.0,Mature compost,None,100.0,Continuous,Goat manure,0.875,33.39422884607684,103.09687099999996,9.094058070371254,0.29626262187957764,0.202097450678695,21.99842114680397
0.3233103958630519,None,26.0,0.08,Lime,Byproduct,Zeolite,6.0,4.916513968100863,0,27.32884658064516,13.0,1.0,0,Windrow,63.0,21.0,Poultry manure,None,26.0,Continuous,Goat manure,0.875,22.75,102.37666999999998,8.550277392883372,0.3297756016254425,0.2230778273072717,1000000.0
1.9765731819728996,None,39.873791541462225,0.08,Carbonatite,Green waste,Zeolite,8.0,2.1386065218961736,0,27.32884658064516,59.0,0.0,0,Trough,62.0,28.0,Poultry manure,None,113.0,Continuous,Goat manure,0.875,34.88956759877945,103.90439999999997,10.276207535081594,0.5633506774902344,0.19261604219566694,27.52566322795191
0.0,None,26.0,0.08,Carbonatite,Byproduct,MgSO₄,7.231236273318619,3.8335102451469285,0,27.32884658064516,0.0,0.0,0,Windrow,61.0,26.0,Poultry manure,None,37.0,None,Goat manure,0.875,35.0,103.95076599999994,6.757937625768416,0.3256896734237671,0.17656980515145485,1000000.0
0.4627047906611639,None,24.744484354570712,0.08,Forsterite,Sawdust,Inorganic acid,8.0,2.008813955347729,0,27.32884658064516,57.0,0.0,0,Trough,59.0,20.0,None,None,82.0,Continuous,Goat manure,0.875,21.651423810249373,103.77642399999996,8.977666119497524,0.3024472892284393,0.2008987292207721,28.098859136886606
0.0,None,39.0,0.08,Zeolite,Woody peat,Ca-superphosphate,7.0,2.75048654944282,0,27.32884658064516,0.0,0.0,0,Windrow,62.0,13.0,None,None,45.0,None,Goat manure,0.875,34.125,104.45905499999996,7.1180255153908005,0.2684861719608307,0.15764013489500264,1000000.0
0.0,None,11.263986461599373,0.08,Sodium salt,Straw,Organic acid,7.0,6.695640284057784,0,27.32884658064516,0.0,0.0,0,Windrow,61.0,23.0,Poultry manure,None,124.0,None,Goat manure,0.875,9.855988153899457,102.22112399999996,1000000.0,1000000.0,1000000.0,1000000.0
0.6283860821327487,None,33.0,0.08,Forsterite,Sawdust,Gypsum,6.444552808087669,5.498147189810874,0,27.32884658064516,66.0,0.0,0,Windrow,63.07384963682868,19.0,None,None,108.0,Continuous,Goat manure,0.875,28.875,102.69638399999997,8.812053928886042,0.29775652289390564,0.1688797058290512,1000000.0
0.5516603945851162,None,21.411747068582024,0.08,Potassium phosphate,Byproduct,Biochar,6.423119830940777,2.8153145778248527,0,27.32884658064516,38.0,0.0,0,Trough,53.0,25.0,Poultry manure,None,57.0,Continuous,Goat manure,0.875,18.73527868500927,102.70474599999994,9.15037773634715,0.34186846017837524,0.202270103995532,25.863685813561958
0.0,None,21.43727791242589,0.08,Microbiological agent,Green waste,Mg(OH)₂,6.0,6.426774579267183,0,27.32884658064516,0.0,0.0,0,Windrow,66.0,11.0,Mature compost,None,87.0,None,Goat manure,0.875,18.757618173372656,101.56080699999997,8.218919636578487,0.28537800908088684,0.16923808979932498,18.55166673840732
