V3_Ventilation Duration (min), Composting Method,Additive_1,Period (d),M1_is Enclosed,Initial C/N (%),V2_Ventilation Interval (min),V5_Ventilation rate (L/min/kg iniDW),Material_3,Additive_4,Application Rate (%DW),Initial pH,V4_Ventilation Day,Material_2,Initial Moisture Content (%),Additive_3,Additive_2,Compost volume (m3),V1_Ventilation Type,Turning times,Initial GI (%),Material_Main,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,Reactor,Mg(OH)₂,26.0,1.0,16.841340852633795,0.0,0.0,Poultry manure,None,5.29563998992632,7.0,0.0,Green waste,50.32723510566403,None,Organic acid,0.314,None,6.0,27.32884658064516,Green waste,1.4280600332415827,24.050445777845038,105.86439750000008,6.84804077915384,0.28457435965538025,0.23041000257476885,22.609573870931722
0.0,Reactor,Organic acid,29.0,1.0,36.0,0.0,0.8641301142859024,Green waste,None,6.108352794151558,6.0,17.0,Green waste,51.0,None,Microbiological agent,0.314,Continuous,5.0,27.32884658064516,Green waste,1.4280600332415827,51.410161196696976,105.98571400000006,4.344248676418768,0.28612020611763,0.23303537287607315,1000000.0
0.0,Windrow,Sodium phosphates,67.0,1.0,36.0,0.0,1.239089582803213,Poultry manure,None,3.424881033479146,5.1369753029041485,61.0,Green waste,51.0,None,Organic acid,0.314,Continuous,0.0,27.32884658064516,Green waste,1.4280600332415827,51.410161196696976,104.89276400000006,6.296402274693947,0.2879989445209503,0.15797609884885871,1000000.0
0.0,Reactor,Mg(OH)₂,17.0,1.0,26.0,0.0,0.0,Mature compost,None,2.4699487888146407,5.0,0.0,Byproduct,51.0,None,None,0.314,None,15.0,27.32884658064516,Green waste,1.4280600332415827,37.129560864281146,107.47820500000006,6.84804077915384,0.5230443477630615,0.24196860685120924,1000000.0
44.93036188559915,Windrow,Mg(OH)₂,13.0,1.0,32.956074145139624,1076.0,0.4128295123159513,Poultry manure,None,8.447191827067691,8.0,10.0,Plastic tube pieces,58.21661150216132,None,Potassium phosphate,0.314,Intermittent ,3.0,27.32884658064516,Green waste,1.4280600332415827,47.06325233922015,105.70957300000003,6.676592438948332,1.2761601209640503,0.16088569103033531,24.371470169037
0.0,Trough,Gypsum,65.0,1.0,19.100035723848844,0.0,0.01536461503275066,Poultry manure,None,6.292399798068208,7.0,51.0,Byproduct,67.0,None,Zeolite,0.314,Continuous,1.0,27.32884658064516,Green waste,1.4280600332415827,27.275997650715,105.83648800000003,5.8546792951125886,0.27412667870521545,0.2296579116010816,19.15399247537818
0.0,Reactor,Phosphogypsum,59.0,1.0,25.852183233408407,0.0,0.0,Mature compost,None,8.698506576250628,7.0,0.0,Husk,69.0,None,Zeolite,0.314,None,0.0,27.32884658064516,Green waste,1.4280600332415827,36.91846964766869,103.55178450000004,7.101278204545219,0.4310180842876434,0.16720104627656665,18.424285153024574
39.983685274659855,Trough,Clay,29.0,1.0,10.053625567436667,868.0,0.42130903047460655,Mature compost,None,4.86956424355581,8.0,25.0,Green waste,59.0,None,Zeolite,0.314,Intermittent ,0.0,27.32884658064516,Green waste,1.4280600332415827,14.357180862032035,107.07043900000004,7.059729221009543,1.27067232131958,0.14694249621611544,22.721950366176557
54.19131428015939,Reactor,Sodium salt,26.0,1.0,37.7132747049585,87.0,1.3191493999435382,Mature compost,None,7.089897903271522,5.476788685658281,14.0,Byproduct,68.54575376302927,None,Potassium phosphate,0.314,Intermittent ,0.0,27.32884658064516,Green waste,1.4280600332415827,53.85682032881198,110.78951500000008,4.550037710153499,1.2796844244003296,0.19929059357312146,22.500872772811185
0.0,Reactor,Ferric salt,15.0,1.0,18.838840937353858,0.0,0.0,None,None,4.744569780061961,6.513582644183182,0.0,Byproduct,52.0,None,None,0.314,None,9.0,27.32884658064516,Green waste,1.4280600332415827,26.90299581523044,107.15517100000004,6.84804077915384,0.4989172220230103,0.21550681056930146,26.10782955133719
0.0,Reactor,MgO,83.0,1.0,21.592698239492503,0.0,0.0,None,None,6.3604844377645025,7.0,0.0,Byproduct,56.0,None,MgO,0.314,None,6.0,27.32884658064516,Green waste,1.4280600332415827,30.83566936566513,105.10139550000008,6.84804077915384,0.28457435965538025,0.23572684084172166,16.005873686697853
34.334429309718054,Reactor,MgSO₄,39.0,1.0,17.292696552408973,1248.0,0.9483184791454417,None,None,8.156946347697696,7.594463021143782,15.0,Byproduct,61.0,None,MgSO₄,0.314,Intermittent ,3.0,27.32884658064516,Green waste,1.4280600332415827,24.695008813469762,106.69806000000004,3.3477963600543985,1.2760781049728394,0.1749664050407555,21.166603711980507
55.95035462127248,Windrow,LB Culture,36.0,1.0,30.66179653805929,712.0,0.6859091229900678,Byproduct,None,7.493054192401612,7.334229223847375,26.0,Byproduct,68.17122228763617,None,Zeolite,0.314,Intermittent ,5.0,27.328846580645166,Green waste,1.4280600332415827,43.7868861833876,110.48568000000006,7.0970411342205395,1.270754337310791,0.15711441568632006,22.891569610255452
