V4_Ventilation Day,V2_Ventilation Interval (min),M1_is Enclosed,Additive_4,Additive_2,Material_2,Additive_3, Composting Method,Initial C/N (%),Application Rate (%DW),Initial pH,Turning times,Initial Moisture Content (%),Additive_1,Compost volume (m3),Initial GI (%),Material_Main,Period (d),V3_Ventilation Duration (min),V1_Ventilation Type,Material_3,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
40.0,1072.0,0.0,None,Mg(OH)₂,Green waste,None,Trough,19.0,2.2087714071381783,6.37272019200296,25.0,67.0,Sodium phosphates,0.045,27.32884658064516,Sheep manure,42.0,59.88383086652296,Intermittent ,Mature compost,0.028357600515621636,1.97,37.43,95.75735899999997,6.847117273740647,1.1587910652160645,0.12893882147745964,1000000.0
61.0,378.0,1.0,None,DCD,None,None,Trough,13.091030436107442,6.565757504555937,6.0,23.0,63.0,K₂SO₄,0.045,27.32884658064516,Sheep manure,106.0,57.717584845496,Intermittent ,Byproduct,1.8151385509038618,1.97,25.78932995913166,95.81728199999998,8.019742471650089,1.1010640859603882,0.15823084207319976,27.11077010181861
40.0,895.0,0.0,None,Organic acid,Soil,None,Trough,38.1023557593452,9.026909044213513,7.0,18.0,50.0,Mature compost,0.045,27.32884658064516,Sheep manure,70.0,59.638850801562526,Intermittent ,None,0.1172117231838794,1.97,75.06164084591003,95.476534,6.348810495390601,1.1010640859603882,0.099202349387187,25.680922442305608
68.0,307.0,1.0,None,Zeolite,Byproduct,None,Trough,38.0,9.380246186936953,7.0,8.0,68.55860775706319,Sulfur,0.045,27.32884658064516,Sheep manure,104.0,59.23413609506238,Intermittent ,None,0.6482873986285629,1.97,74.86,95.76597899999996,6.495804379168804,1.085926175117493,0.1520788708858105,1000000.0
75.0,0.0,1.0,None,Calcium magnesium phosphate fertilizer,Byproduct,None,Windrow,26.41294431528594,7.023714242110888,6.0,31.0,54.0,MgCl₂,0.045,27.32884658064516,Sheep manure,96.0,0.0,Continuous,Byproduct,0.9397335353665914,1.97,52.0335003011133,94.94490199999998,1.2259637484961854,1.293746829032898,0.20141604576633493,25.044969172810283
43.0,0.0,1.0,None,Gypsum,Byproduct,None,Windrow,25.0,9.576872127165409,8.0,21.0,61.0,Sand,0.045,27.32884658064516,Sheep manure,71.0,0.0,Continuous,Straw,0.5868200992627581,1.97,49.25,95.432352,2.7145691906139437,1.2671558856964111,0.20906962834466908,1000000.0
7.0,0.0,0.0,None,DCD,Byproduct,None,Windrow,25.79588216282709,6.425716372562814,7.1406573167771565,0.0,59.0,Ferric salt,0.045,27.32884658064516,Sheep manure,17.0,0.0,Continuous,None,0.3207852978752683,1.97,50.81788786076936,95.484215,3.0881981673620778,1.3131424188613892,0.18847469651833887,24.35904995193532
17.0,46.0,0.0,None,Gypsum,Husk,None,Trough,32.01611406006441,8.042946660140082,5.1917638880393495,21.0,57.0,LB Culture,0.045,27.32884658064516,Sheep manure,53.0,56.257972941361324,Intermittent ,Byproduct,1.8297627263015572,1.97,63.071744698326896,94.32208399999996,8.243998930686402,1.1010640859603882,0.1916447215083112,24.51043832345136
43.0,652.0,1.0,None,Calcium magnesium phosphate fertilizer,Byproduct,None,Windrow,25.0,5.217166539638268,6.0,17.0,51.0,Ca-superphosphate,0.045,27.516417534740967,Sheep manure,56.0,58.337985842086546,Intermittent ,Poultry manure,1.2008505169994743,1.97,49.25,96.17649899999996,6.866689123253294,1.105205774307251,0.14221662063683269,1000000.0
0.0,0.0,1.0,None,Ca-superphosphate,Byproduct,None,Reactor,33.80777007101514,9.803740723242475,7.7085778315801505,29.0,67.2385639257883,Microbiological agent,0.045,27.32884658064516,Sheep manure,73.0,0.0,None,Green waste,0.0,1.97,66.60130703989982,94.94668399999999,0.5210602137828695,0.4190538823604584,0.2624563789677474,1000000.0
0.0,0.0,1.0,None,Ca-superphosphate,Byproduct,None,Reactor,32.0,9.408389419001008,7.2212109892313965,2.0,54.53015514007289,Calcium magnesium phosphate fertilizer,0.045,27.32884658064516,Sheep manure,68.0,0.0,None,None,0.0,1.97,63.04,95.29615300000002,1.95485446998388,0.4179472029209137,0.1964715712865816,1000000.0
0.0,0.0,1.0,None,Calcium magnesium phosphate fertilizer,Byproduct,None,Windrow,35.55312804907154,9.773188949435763,6.97555462280555,29.0,68.8449434006404,Phosphogypsum,0.045,27.32884658064516,Sheep manure,132.0,0.0,None,None,0.0,1.97,70.03966225667094,94.94668399999999,1.7807278552657304,0.4723104536533356,0.2298237650956213,21.41614576576668
58.0,0.0,1.0,None,Inorganic acid,Byproduct,None,Windrow,37.0,3.262683363998024,6.688412798301033,27.0,59.95582681284813,Lignite,0.045,27.32884658064516,Sheep manure,81.0,0.0,Continuous,Straw,0.421531773098248,1.97,72.89,95.111842,2.2545699344233903,1.2151196002960205,0.20933474931273013,1000000.0
9.0,0.0,1.0,None,Mg(OH)₂,Byproduct,None,Reactor,35.86599071113253,5.380676057094688,6.950535937357904,1.0,59.098730121035906,Forsterite,0.045,27.32884658064516,Sheep manure,22.0,0.0,Continuous,Poultry manure,1.2015673199224048,1.97,70.65600170093109,95.980249,3.6222565518650334,1.2951544523239136,0.2548403266910738,23.83559079301243
84.0,797.0,1.0,None,Mg(OH)₂,Byproduct,None,Trough,22.322418433739585,6.684119688704153,6.0,20.0,58.58859456938733,Mature compost,0.045,27.32884658064516,Sheep manure,103.0,51.78507105391564,Intermittent ,Byproduct,0.4158641378878381,1.97,43.97516431446697,95.09196999999996,8.019800091682063,1.1010640859603882,0.15024893873837267,27.17781342457006
78.0,1166.0,1.0,None,Organic acid,Plastic tube pieces,None,Trough,23.460282838819012,8.775999720934461,6.0,7.0,58.78922556951603,Clay,0.045,27.32884658064516,Sheep manure,87.0,57.068730812831056,Intermittent ,None,0.3769331975284605,1.97,46.21675719247345,95.53669399999997,6.1404141408259125,1.1010640859603882,0.11138931636297997,24.41039970133375
