V2_Ventilation Interval (min),Additive_2,Turning times,Initial C/N (%),Initial GI (%),V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Initial Moisture Content (%),Material_Main,Material_2,Period (d),Initial pH,Compost volume (m3),Additive_1,Application Rate (%DW),M1_is Enclosed,V3_Ventilation Duration (min), Composting Method,V4_Ventilation Day,Material_3,Additive_4,Additive_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
549.0,Mg(OH)₂,20.0,37.68733120833684,27.32884658064516,1.4166019364172733,Intermittent ,55.27244640630822,Poultry manure,Soil,64.0,5.4520824585437975,0.6292491869918699,Calcium magnesium phosphate fertilizer,3.4154847181318764,0.0,43.335637594516975,Trough,62.0,Straw,None,None,2.4967368849582217,94.09534992349171,102.50918399999992,11.086584901435607,0.5638885498046875,0.1540036713153806,24.00411024245864
223.0,Calcium magnesium phosphate fertilizer,2.0,36.23848677408695,27.32884658064516,0.4521217088341076,Intermittent ,62.0,Poultry manure,Woody peat,104.0,6.0,0.6292491869918699,Gypsum,3.9407304150820446,1.0,16.73800703672895,Windrow,61.0,Green waste,None,None,2.4967368849582217,90.47796658393356,102.14010199999996,9.100945473398195,0.5982547402381897,0.1415180109489013,23.362920531753172
1405.0,Calcium magnesium phosphate fertilizer,5.0,34.82745203344769,27.32884658064516,1.1900229299856413,Intermittent ,65.91167953425746,Poultry manure,Woody peat,76.0,7.0,0.6292491869918699,K₂SO₄,8.766985026614673,1.0,52.235226762861316,Reactor,58.0,Straw,None,None,2.4967368849582217,86.95498410102208,101.44194699999994,7.378439465159359,0.9519778490066528,0.16166143336124525,22.399916820180195
1389.0,Mg(OH)₂,22.0,21.46444791682143,27.32884658064516,0.5805752718262158,Intermittent ,67.82286625037358,Poultry manure,Byproduct,118.0,7.0,0.6292491869918699,K₂SO₄,5.804033847796793,1.0,26.9667927699434,Windrow,59.0,Green waste,None,None,2.4967368849582217,53.591078829192725,102.388201,10.723318675227405,0.5997645854949951,0.1683685883623457,23.459102435734035
163.0,Ca-superphosphate,22.0,35.0,27.32884658064516,1.8067043625062384,Intermittent ,58.0,Poultry manure,Husk,76.0,7.0,0.6292491869918699,MgSO₄,5.4348168016586245,1.0,21.4466844041386,Reactor,62.0,None,None,None,2.4967368849582217,87.38579097353775,101.98826800000002,7.1890501737058035,0.9520331621170044,0.16984422446129274,1000000.0
116.0,Biochar,24.0,13.250343079837547,27.32884658064516,0.9175736615631559,Intermittent ,52.0,Poultry manure,None,117.0,6.2209647748635675,0.6292491869918699,MgHPO₄,7.682381071282742,0.0,54.53484028720873,Windrow,65.0,Green waste,None,None,2.4967368849582217,33.082620305781326,103.03802499999998,6.8081056524177885,0.5776446461677551,0.16348137974405869,25.06263702738341
242.0,DCD,26.0,21.17373128624961,27.32884658064516,0.07883203886629775,Intermittent ,64.0,Poultry manure,Plastic tube pieces,99.0,6.0,0.6292491869918699,MgCl₂,2.6525978448199816,1.0,56.083033564709254,Windrow,68.0,Poultry manure,None,None,2.4967368849582217,52.86523589457329,103.163957,9.100945473398195,0.8349038362503052,0.15651020761909365,22.716409267717207
1211.0,DCD,25.0,35.631608862430575,27.32884658064516,1.000199176401439,Intermittent ,60.0,Poultry manure,Soil,127.0,7.0,0.6292491869918699,Carbonatite,2.314593364519542,0.0,37.9396638469519,Trough,71.0,Straw,None,None,2.4967368849582217,88.96275211723467,103.05596299999996,9.636635068271557,0.5005309581756592,0.15398996375392016,24.689303015609227
1387.0,Biochar,1.0,35.32809756689452,27.32884658064516,1.1185920081164342,Intermittent ,63.30411831594683,Poultry manure,Soil,128.0,5.0,0.6292491869918699,Biochar,7.386546390374187,1.0,18.484795052346048,Reactor,79.0,Byproduct,None,None,2.4967368849582217,88.20496427066836,102.612628,5.085599644178947,0.7865379452705383,0.07440800157822718,20.693208066512266
298.0,Inorganic acid,30.0,14.255225045327457,27.32884658064516,1.2838660475479968,Intermittent ,53.080588470991195,Poultry manure,Straw,100.0,7.376284450217299,0.6292491869918699,Ferric salt,6.079686595728838,1.0,41.881477236488095,Trough,58.0,Poultry manure,None,None,2.4967368849582217,35.5915461740493,101.094801,10.835315885258158,0.8352198600769043,0.16912973779984222,26.462468086350928
606.0,Gypsum,11.0,12.382026432132616,27.32884658064516,1.7892591441590149,Intermittent ,53.17877985549786,Poultry manure,Sawdust,98.0,5.493601100582214,0.6292491869918699,Clay,3.982425737008876,1.0,42.586563919794685,Windrow,73.0,Straw,None,None,2.4967368849582217,30.914662103633145,103.78996399999994,7.056887097994075,0.8391861915588379,0.17458850193693054,25.958106635107068
414.0,Gypsum,19.0,38.299171964738186,27.32884658064516,0.7325916542441213,Intermittent ,58.88035640922994,Poultry manure,Straw,108.0,6.676920205385589,0.6292491869918699,MgCl₂,7.8429482526326515,0.0,44.549619742728254,Trough,84.0,None,None,None,2.4967368849582217,95.62295530771969,101.05611399999998,7.765000061532599,0.500473141670227,0.14487439149360554,24.53784220579396
828.0,Calcium magnesium phosphate fertilizer,0.0,25.0,27.32884658064516,0.6851437886897027,Intermittent ,66.0,Poultry manure,Sawdust,69.0,5.0,0.6292491869918699,Forsterite,7.576618509803822,1.0,19.027828370302696,Reactor,53.0,Green waste,None,None,2.4967368849582217,62.41842212395554,101.798327,7.378439465159359,1.0412285327911377,0.1620976429903385,1000000.0
1236.0,Gypsum,17.0,33.54050886985198,27.32884658064516,0.979937134911308,Intermittent ,61.0,Poultry manure,Husk,91.0,7.2111434227716975,0.6292491869918699,Lime,5.2612782508966935,0.0,52.07494212757075,Windrow,54.0,Byproduct,None,None,2.4967368849582217,83.74182563562785,102.22035499999998,7.229310466659236,0.3530217409133911,0.1697980097663815,23.020394060053892
1296.0,Calcium magnesium phosphate fertilizer,25.0,21.762333554156235,27.32884658064516,0.5034051874756384,Intermittent ,65.0,Poultry manure,Husk,109.0,6.0,0.6292491869918699,MgHPO₄,5.568204028837434,1.0,55.4749102052221,Reactor,79.0,None,None,None,2.4967368849582217,54.33482088742584,103.67130000000002,7.378439465159359,0.950849711894989,0.15031065821145914,23.79503330119418
160.0,Biochar,25.0,33.18224690553096,27.32884658064516,1.9422534956469018,Intermittent ,63.0,Poultry manure,None,70.0,7.315739333683448,0.6292491869918699,Lime,2.338893172418657,1.0,50.45199945859722,Windrow,53.0,Mature compost,None,None,2.4967368849582217,82.84733977482995,102.36054299999996,6.671345401525488,0.8381361365318298,0.17596940356141194,22.18628984186536
836.0,Calcium magnesium phosphate fertilizer,31.0,34.7826805053542,27.32884658064516,0.25311102472023217,Intermittent ,64.327832644224,Poultry manure,Sawdust,104.0,6.0,0.6292491869918699,Calcium magnesium phosphate fertilizer,6.073757557770772,1.0,46.705084347149906,Reactor,68.0,Poultry manure,None,None,2.4967368849582217,86.8432013754351,103.41848600000002,7.378439465159359,0.9484844803810121,0.16209113762963198,23.034592944488807
950.0,DCD,30.0,33.0,27.32884658064516,0.6687640231324388,Intermittent ,57.0,Poultry manure,Woody peat,87.0,7.0,0.6292491869918699,Gypsum,4.270461836525308,1.0,27.710294646609448,Windrow,71.0,Straw,None,None,2.4967368849582217,82.39231720362132,103.17795299999996,9.100945473398195,0.8372690677642822,0.16328836993325446,1000000.0
1.0,Inorganic acid,5.0,20.966199007241684,27.32884658064516,1.5336254668456584,Intermittent ,67.0,Poultry manure,Byproduct,130.0,6.0275164268113,0.6292491869918699,Phosphogypsum,6.924939590383838,1.0,18.692758906220494,Reactor,65.0,Mature compost,None,None,2.4967368849582217,52.34708239875478,101.21786700000004,6.1804615652338315,0.38946589827537537,0.19124666372019555,20.59113516980117
108.0,DCD,10.0,25.353628492936593,27.32884658064516,1.6757952079776006,Intermittent ,65.86232218231439,Poultry manure,Soil,70.0,8.0,0.6292491869918699,K₂SO₄,6.0613040602870525,1.0,53.479786802341096,Reactor,61.0,Straw,None,None,2.4967368849582217,63.30133942584252,100.79658199999996,7.206016096494197,0.9537490606307985,0.20938903795157046,27.475141966806678
967.0,Ca-superphosphate,19.0,31.781231777507678,27.32884658064516,0.07327836785962892,Intermittent ,52.0,Poultry manure,Green waste,111.0,7.0,0.6292491869918699,Potassium phosphate,2.649814224274584,0.0,58.300305513892575,Windrow,55.0,Mature compost,None,None,2.4967368849582217,79.34937362830976,103.08762499999996,9.083979550609802,0.4972036480903626,0.13943599897659956,23.67767275340663
621.0,DCD,6.0,35.882667229396134,27.32884658064516,1.2956777944785671,Intermittent ,61.0,Poultry manure,Plastic tube pieces,112.0,7.0,0.6292491869918699,Clay,9.181377057646266,0.0,28.39834455075845,Trough,83.0,Straw,None,None,2.4967368849582217,89.58957880231495,103.55945799999998,9.636635068271557,0.5006768703460693,0.1783850947779911,21.674179864296878
1052.0,Inorganic acid,17.0,32.22932048559307,27.32884658064516,1.617464933245958,Intermittent ,59.95719870340796,Poultry manure,Green waste,99.0,7.601083708926318,0.6292491869918699,Lime,7.1638735190310525,0.0,23.219477156491102,Trough,71.0,Poultry manure,None,None,2.4967368849582217,80.46813323351984,99.59733899999998,10.662892516592995,0.5673478245735168,0.16088205345126252,23.899911013840534
51.0,Biochar,3.0,31.0,27.32884658064516,1.9812184695580115,Intermittent ,54.66360992510425,Poultry manure,Plastic tube pieces,85.0,7.5932544480705895,0.6292491869918699,Carbonatite,3.3271275750996097,1.0,59.86424747837333,Windrow,62.0,Poultry manure,None,None,2.4967368849582217,77.39884343370487,102.904763,6.671345401525488,0.8386562466621399,0.18567570514541545,1000000.0
