Period (d),Initial pH,M1_is Enclosed, Composting Method,Turning times,Material_Main,V2_Ventilation Interval (min),Additive_1,Additive_4,Compost volume (m3),Application Rate (%DW),V3_Ventilation Duration (min),Additive_2,Material_2,Initial C/N (%),V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Additive_3,Initial GI (%),V4_Ventilation Day,Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
107.0,6.748750502357705,0.0,Windrow,6.0,Sewage sludge,0.0,Sulfur,None,4.210797122302158,7.902219804548039,0.0,Gypsum,Byproduct,29.77501231831256,Continuous,1.0959728559566446,51.0,None,27.32884658064516,53.0,Byproduct,2.1457865217391303,63.89082011725167,102.165233,10.71940625256433,1.0513800382614136,0.18657633215554992,24.977805446227073
130.0,6.0,1.0,Reactor,3.0,Sewage sludge,813.0,LB Culture,None,4.210797122302158,4.59283134162101,26.101346457667304,MgSO₄,Byproduct,26.661592667430845,Intermittent ,1.2674391856276137,53.44540896889706,None,27.32884658064516,46.0,Byproduct,2.1457865217391303,57.21008619387194,102.382086,9.841252854713211,1.0199515819549558,0.12043887138512,22.73301709356021
131.0,7.0,0.0,Windrow,3.0,Sewage sludge,502.0,Forsterite,None,4.210797122302158,2.57475840945296,13.829170198420027,DCD,Green Waste,24.391578695462268,Intermittent ,1.837676871663912,58.325745533393096,None,27.32884658064516,78.0,Mature compost,2.1457865217391303,52.33912080866225,100.20914899999998,8.466958063556472,1.0787115097045898,0.11264244856489528,25.911171240360837
93.0,7.0,1.0,Trough,3.0,Sewage sludge,1252.0,Sulfur,None,4.210797122302158,6.9805608455859876,18.06076486163633,Zeolite,Byproduct,12.078517123497305,Intermittent ,1.6099957918156276,58.762565925317794,None,27.32884658064516,70.0,Straw,2.1457865217391303,25.9179192461958,102.636751,9.057532110823253,1.0665758848190308,0.15782414573953035,25.560472224075816
103.0,6.378275549217019,1.0,Windrow,18.0,Sewage sludge,0.0,LB Culture,None,4.210797122302158,9.688250333942593,0.0,Gypsum,Byproduct,31.0,Continuous,0.7801969256169299,60.300323143037474,None,27.32884658064516,75.0,Mature compost,2.1457865217391303,66.51938217391304,102.395233,9.257141457298292,1.0319420099258425,0.20552872449312812,1000000.0
79.0,8.0,1.0,Windrow,24.0,Sewage sludge,0.0,Inorganic acid,None,4.210797122302158,9.702730712463415,0.0,Mg(OH)₂,Soil,30.23103323924666,Continuous,1.1690068736492798,52.92459310228135,None,27.32884658064516,36.0,Green waste,2.1457865217391303,64.86934366302313,100.33136699999996,9.187367762678626,1.0132015943527222,0.18117894919716995,26.579983204602307
96.0,6.717909676019786,0.0,Windrow,16.0,Sewage sludge,1289.0,Clay,None,4.210797122302158,2.1895003796192416,10.383745213001957,Microbiological agent,Byproduct,28.567865201456552,Intermittent ,0.6585047267806505,67.65938194094072,None,27.32884658064516,33.0,Straw,2.1457865217391303,61.30054010414578,103.29848900000003,5.230787608952822,1.0928378105163574,0.16487375250131453,24.785588025037594
36.0,5.846912797833816,1.0,Reactor,5.0,Sewage sludge,0.0,Lignite,None,4.210797122302158,9.721357484750193,0.0,MgO,Byproduct,22.564209313187607,Continuous,1.5751436568952242,69.15920396897673,None,27.32884658064516,32.0,Poultry manure,2.1457865217391303,48.41797621793853,102.36091799999998,8.278402623102389,0.9884465932846068,0.2160465227589845,23.04471126574831
101.0,6.0,1.0,Reactor,10.0,Sewage sludge,1192.0,Clay,None,4.210797122302158,2.6613611053761157,45.909997509365645,Mg(OH)₂,Byproduct,31.76104992196296,Intermittent ,1.0225095637163215,60.964883323376334,None,27.32884658064516,48.0,Poultry manure,2.1457865217391303,68.15243283883177,103.27096400000002,8.865716061629861,1.0510616302490234,0.16756100169464205,25.320010104406425
66.0,7.0,0.0,Windrow,23.0,Sewage sludge,0.0,Gypsum,None,4.210797122302158,8.79897710618558,0.0,Microbiological agent,Byproduct,31.546599910930084,Continuous,1.601612983482753,65.76238293773434,None,27.32884658064516,42.0,Straw,2.1457865217391303,67.69226889557062,102.23375899999998,9.287464214994758,1.021575689315796,0.2040887237374033,25.55499475412704
