Material_3,V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),M1_is Enclosed,Period (d),Material_2,Additive_1,Additive_3, Composting Method,V3_Ventilation Duration (min),Compost volume (m3),Turning times,Initial Moisture Content (%),Initial GI (%),V2_Ventilation Interval (min),Additive_4,V4_Ventilation Day,Material_Main,Additive_2,Application Rate (%DW),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Green waste,None,0,31.0,1.0,89.0,Green Waste,Ca-superphosphate,None,Windrow,0,0.05513157894736841,18.0,61.0,27.32884658064516,0,None,0,Food waste,Biochar,9.9224132426194,7.349781413686244,1.938857678018576,60.104588018575846,95.295976,7.951158589900569,1.428597092628479,0.1954826604344164,1000000.0
Mature compost,None,0,22.459933941432304,1.0,120.0,Byproduct,Ca-superphosphate,None,Windrow,0,0.05513157894736841,16.0,69.0,27.32884658064516,0,None,0,Food waste,DCD,3.743979695691669,5.838506248913009,1.938857678018576,43.54661537013604,95.85111700000002,7.951158589900569,0.7701506614685059,0.1922530578374163,18.088155699719405
Straw,None,0,38.256662442797115,1.0,110.0,Husk,Carbonatite,None,Trough,0,0.05513157894736841,2.0,53.0,27.32884658064516,0,None,0,Food waste,DCD,7.208465919849147,7.220943450998477,1.938857678018576,74.17422371258208,94.18194800000003,5.452027762188003,0.1569165140390396,0.1970189186493647,12.730308355375438
None,None,0,34.0,1.0,38.0,Sawdust,Potassium phosphate,None,Trough,0,0.05513157894736841,14.0,63.60960017640353,27.32884658064516,0,None,0,Food waste,MgO,6.040022835966508,6.0,1.938857678018576,65.9211610526316,94.21588300000002,9.992847094296113,0.3357324302196503,0.1901392943486638,1000000.0
None,None,0,20.0,1.0,96.0,Byproduct,Mg(OH)₂,None,Trough,0,0.05513157894736841,9.0,51.0,27.32884658064516,0,None,0,Food waste,MgO,2.5593395845895737,6.0,1.938857678018576,38.777153560371524,94.57742900000002,4.9035349928333565,0.7318515777587891,0.19589372994375995,1000000.0
Mature compost,None,0,21.482659221263514,1.0,73.0,Woody peat,Ca-superphosphate,None,Reactor,0,0.05513157894736841,24.0,63.0,27.32884658064516,0,None,0,Food waste,MgO,4.259090785644453,7.0,1.938857678018576,41.65181877540332,94.083683,8.478918865824749,1.0509064197540283,0.18643093322994236,21.385705860560996
Straw,None,0,39.87056260322383,1.0,63.0,Green waste,Clay,None,Reactor,0,0.05513157894736841,1.0,55.0,27.32884658064516,0,None,0,Food waste,Calcium magnesium phosphate fertilizer,7.292054639637363,7.0,1.938857678018576,77.30334643018082,94.18194800000003,7.966722699527029,1.1316466331481934,0.20387880593521712,13.473467659732806
Poultry manure,None,0,37.66515583589479,1.0,106.0,Plastic tube pieces,Biochar,None,Reactor,0,0.05513157894736841,6.0,65.0,27.32884658064516,0,None,0,Food waste,DCD,3.1089071966782766,7.958454947656095,1.938857678018576,73.02737658619078,96.31391100000003,7.951158589900569,0.7860686182975769,0.2491389592847173,15.772544149485398
None,None,0,38.0,1.0,20.0,Sawdust,Ca-superphosphate,None,Reactor,0,0.05513157894736841,3.0,69.66761705870576,27.32884658064516,0,None,0,Food waste,Ca-superphosphate,5.801891077111702,7.142350609838358,1.938857678018576,73.67659176470589,95.34377100000003,7.951158589900569,1.209900140762329,0.1905145090869613,1000000.0
Green waste,None,0,39.0,1.0,76.0,None,Sulfur,None,Trough,0,0.05513157894736841,9.0,60.32604912940313,27.32884658064516,0,None,0,Food waste,DCD,6.397877201744162,7.0,1.938857678018576,75.61544944272447,93.44975500000004,8.5686456364099,0.12409672141075136,0.18491576776509108,1000000.0
Straw,None,0,22.540304435709768,1.0,89.0,Husk,Sodium salt,None,Windrow,0,0.05513157894736841,5.0,66.64968267861614,27.32884658064516,0,None,0,Food waste,Gypsum,5.040067737267941,6.0,1.938857678018576,43.702442320052064,94.25459300000004,10.676609760001448,0.5394441485404968,0.19839546132456612,12.04700353126439
None,None,0,33.96452354104031,1.0,14.0,Woody peat,Ca-superphosphate,None,Windrow,0,0.05513157894736841,3.0,65.0,27.32884658064516,0,None,0,Food waste,Calcium magnesium phosphate fertilizer,6.66254408314154,7.0,1.938857678018576,65.85237724778867,95.34377100000003,8.478918865824749,1.4309676885604858,0.19079912578403166,26.43440418468608
Byproduct,None,0,30.616969608714577,1.0,88.0,Sawdust,Biochar,None,Windrow,0,0.05513157894736841,3.0,58.60426977809928,27.32884658064516,0,None,0,Food waste,Calcium magnesium phosphate fertilizer,8.681920426581879,5.0,1.938857678018576,59.36194660351766,95.12114600000002,7.664931312516598,0.4030662178993225,0.1846671144097289,16.469016499346292
Green waste,None,0,24.45636284263146,1.0,17.0,Husk,Calcium magnesium phosphate fertilizer,None,Trough,0,0.05513157894736841,13.0,52.0,27.32884658064516,0,None,0,Food waste,Gypsum,9.379772072324908,6.195644572745207,1.938857678018576,47.417406873844214,94.59021100000004,5.1185779966760325,0.36597776412963867,0.16017968516170794,25.631734731084023
Byproduct,None,0,36.28025588151765,1.0,115.0,Straw,Biochar,None,Reactor,0,0.05513157894736841,31.0,63.0,27.32884658064516,0,None,0,Food waste,Ca-superphosphate,8.988773111474508,6.0580316601942465,1.938857678018576,70.34225267635911,95.069841,8.113844919422794,0.3873763680458069,0.17379383300689746,18.301035411846982
Poultry manure,None,0,12.51818745363451,1.0,15.0,Straw,K₂SO₄,None,Reactor,0,0.05513157894736841,10.0,63.0,27.32884658064516,0,None,0,Food waste,Gypsum,4.511168844953879,5.0,1.938857678018576,24.270983859355077,94.20245600000004,8.674975167798085,1.0225242376327517,0.1435418099651641,29.588876508459464
Straw,None,0,20.09784455537668,1.0,94.0,Plastic tube pieces,Biochar,None,Reactor,0,0.05513157894736841,5.0,62.689934180449846,27.32884658064516,0,None,0,Food waste,Ca-superphosphate,4.402361131982474,5.484572983134775,1.938857678018576,38.96686022781591,96.66407000000004,7.999548577157045,1.4587405920028689,0.2464181607001109,12.924630038460787
Mature compost,None,0,11.763465131823265,1.0,81.0,Woody peat,Ca-superphosphate,None,Windrow,0,0.05513157894736841,8.0,63.0,27.32884658064516,0,None,0,Food waste,DCD,2.4093754518705905,6.0,1.938857678018576,22.807684690939336,96.06780100000006,7.887335544976429,1.0290917158126829,0.1086883743464585,22.82545610133992
Green waste,None,0,32.30178165222923,1.0,43.0,Plastic tube pieces,Phosphogypsum,None,Reactor,0,0.05513157894736841,13.0,65.0,27.32884658064516,0,None,0,Food waste,MgO,8.826293141254133,6.745161221328045,1.938857678018576,62.62855737010421,94.04992100000004,8.5686456364099,0.1202339231967926,0.16967857047980586,24.805959165249515
None,None,0,15.546378249440787,1.0,71.0,Green Waste,MgCl₂,None,Windrow,0,0.05513157894736841,10.0,61.59004527553873,27.32884658064516,0,None,0,Food waste,MgO,8.886335933580938,7.0,1.938857678018576,30.142214834309264,94.77589900000002,8.147214891873903,0.3745412230491638,0.13189360290798946,22.832285656387572
Straw,None,0,36.0,1.0,64.0,Husk,Biochar,None,Reactor,0,0.05513157894736841,17.0,52.0,27.32884658064516,0,None,0,Food waste,Mg(OH)₂,3.5095632375384818,5.329427063672842,1.938857678018576,69.79887640866873,94.314324,5.484853639818018,0.7375226020812988,0.2069275926253548,1000000.0
Green waste,None,0,27.0,1.0,33.0,None,Biochar,None,Reactor,0,0.05513157894736841,7.0,56.874892545476314,27.32884658064516,0,None,0,Food waste,Inorganic acid,2.5543325288355083,7.375133639134204,1.938857678018576,52.34915730650155,96.20875100000003,7.715800432339531,0.8289617896080017,0.2318077343423787,1000000.0
Straw,None,0,10.414479583362382,1.0,98.0,None,Lignite,None,Trough,0,0.05513157894736841,6.0,68.0,27.32884658064516,0,None,0,Food waste,DCD,2.5003776914320506,7.633994972932313,1.938857678018576,20.192193702769856,94.21414500000004,7.960246721569343,0.7166401743888855,0.19782341787984314,19.628957536262238
Straw,None,0,23.891774844898887,1.0,76.0,None,Sulfur,None,Reactor,0,0.05513157894736841,15.0,61.0,27.32884658064516,0,None,0,Food waste,Biochar,2.339007769397101,6.0,1.938857678018576,46.32275109952328,94.49136400000002,10.299426568727366,1.3983801603317259,0.18998423245067,18.99793521020373
Straw,None,0,26.21913725482741,1.0,86.0,Woody peat,MgCl₂,None,Reactor,0,0.05513157894736841,12.0,52.11840001525866,27.32884658064516,0,None,0,Food waste,Gypsum,5.675900990802857,6.0,1.938857678018576,50.835175577545,94.45532300000002,6.208670217715532,0.3216550648212433,0.20022483958332785,21.29384905074324
Green waste,None,0,28.95365203607732,1.0,100.0,Soil,Biochar,None,Trough,0,0.05513157894736841,3.0,57.0,27.32884658064516,0,None,0,Food waste,Inorganic acid,9.810320717716165,7.503548112384179,1.938857678018576,56.13701055682669,95.39932100000004,8.478918865824749,0.5920646786689758,0.16456635394575864,13.411518159817062
None,None,0,25.011315162826424,1.0,34.0,Husk,Ca-superphosphate,None,Reactor,0,0.05513157894736841,13.0,51.128197966040204,27.32884658064516,0,None,0,Food waste,Gypsum,4.790714306904072,5.9907690461212075,1.938857678018576,48.49338044078844,96.35393100000003,5.151403874306047,0.8026872873306274,0.18282317762497724,22.072277169748908
Mature compost,None,0,21.769388471576594,1.0,19.0,Byproduct,Zeolite,None,Reactor,0,0.05513157894736841,6.0,55.79546231690732,27.32884658064516,0,None,0,Food waste,MgO,6.572024055497775,7.0,1.938857678018576,42.20774598388535,94.31417700000002,9.992847094296113,0.07716802507638931,0.17322071716618392,27.001552600918487
Straw,None,0,27.899705674089056,1.0,51.0,Green Waste,MgO,None,Reactor,0,0.05513157894736841,13.0,61.0,27.32884658064516,0,None,0,Food waste,Ca-superphosphate,6.851954214988919,6.0,1.938857678018576,54.093558560666,94.45532300000002,8.19560487913038,1.001788854598999,0.21610491399987986,21.601347666823315
None,None,0,13.498948252809507,1.0,101.0,Soil,Ca-superphosphate,None,Reactor,0,0.05513157894736841,16.0,64.47278260673828,27.32884658064516,0,None,0,Food waste,Gypsum,6.374129463213942,7.0,1.938857678018576,26.17253946513516,96.30457200000002,8.478918865824749,0.5581517815589905,0.14001108661810718,21.097765807902483
None,None,0,39.2842762661749,1.0,31.0,Green waste,MgO,None,Reactor,0,0.05513157894736841,2.0,57.0,27.32884658064516,0,None,0,Food waste,MgO,5.506546066755543,6.420083891812801,1.938857678018576,76.16662066407613,93.22204600000003,5.347460176279382,0.12123700976371765,0.18628717697334235,19.55525404616443
Poultry manure,None,0,36.0,1.0,30.0,Straw,Biochar,None,Reactor,0,0.05513157894736841,18.0,67.51859545615513,27.32884658064516,0,None,0,Food waste,Calcium magnesium phosphate fertilizer,2.9979732751214643,5.989911125475213,1.938857678018576,77.55430712074303,95.99554100000003,8.058470170552543,1.7303013801574707,0.15802906706452902,1000000.0
Straw,None,0,21.0,0.0,18.0,Green Waste,Biochar,None,Trough,0,0.05513157894736841,18.0,55.33335836712378,27.32884658064516,0,None,0,Food waste,Ca-superphosphate,5.276624760083673,7.0,1.938857678018576,40.716011238390095,94.253691,7.999548577157045,1.0681841373443604,0.21077155195839886,1000000.0
Straw,None,0,28.0,1.0,102.0,None,Biochar,None,Reactor,0,0.05513157894736841,14.0,62.0,27.32884658064516,0,None,0,Food waste,Ca-superphosphate,4.143795415712951,8.0,1.938857678018576,54.28801498452013,96.95020000000004,7.999548577157045,1.4587405920028689,0.2220622075493054,1000000.0
Green waste,None,0,21.0,1.0,36.0,Woody peat,Sand,None,Windrow,0,0.05513157894736841,13.0,64.40757320636402,27.32884658064516,0,None,0,Food waste,DCD,5.8716810662590655,7.0513740894069565,1.938857678018576,40.716011238390095,93.65048500000003,9.09640591233408,0.5138298273086548,0.17815294782991933,1000000.0
Poultry manure,None,0,28.0,1.0,33.0,Sawdust,Microbiological agent,None,Trough,0,0.05513157894736841,14.0,69.0,27.32884658064516,0,None,0,Food waste,Gypsum,3.537797949962388,6.0,1.938857678018576,54.28801498452013,94.23516400000004,10.200944502578636,0.9380366206169128,0.21124265680017126,1000000.0
Green waste,None,0,38.97222733174282,1.0,91.0,Husk,Gypsum,None,Trough,0,0.05513157894736841,9.0,64.944148735748,27.32884658064516,0,None,0,Food waste,MgO,5.869851026573473,7.0,1.938857678018576,75.56160219163499,93.86938100000003,7.918332712270553,0.16462182998657227,0.19243211396493448,18.22320465613969
Straw,None,0,21.0,1.0,15.0,Green Waste,Zeolite,None,Trough,0,0.05513157894736841,15.0,52.0,27.32884658064516,0,None,0,Food waste,Gypsum,8.838855490276464,7.538606327123152,1.938857678018576,40.716011238390095,94.49136400000002,8.161914822662416,0.08458985388278961,0.19192340931316493,1000000.0
Green waste,None,0,34.54120560307254,1.0,123.0,Green Waste,MgHPO₄,None,Windrow,0,0.05513157894736841,4.0,57.07526800384024,27.32884658064516,0,None,0,Food waste,MgO,6.319931013394582,6.852850665928027,1.938857678018576,66.97048169153545,93.19424700000003,8.147214891873903,0.311290055513382,0.192667568458786,12.404003514089347
Mature compost,None,0,29.685355294155922,1.0,36.0,Soil,Clay,None,Windrow,0,0.05513157894736841,8.0,69.0,27.32884658064516,0,None,0,Food waste,Biochar,7.10767348896436,6.353879845737448,1.938857678018576,57.5556790367836,94.30408100000004,8.446092988194733,1.2928253412246704,0.16896912380348736,25.65730135564707
Straw,None,0,34.45553735156081,0.0,91.0,Sawdust,Biochar,None,Windrow,0,0.05513157894736841,20.0,62.16322747756665,27.32884658064516,0,None,0,Food waste,Gypsum,4.845424841907686,6.0,1.938857678018576,66.8043831443295,94.792546,7.999548577157045,0.9574294090270996,0.17454398401785162,20.58184567798582
Green waste,None,0,30.845552596701705,1.0,96.0,Plastic tube pieces,MgHPO₄,None,Trough,0,0.05513157894736841,13.0,56.0,27.32884658064516,0,None,0,Food waste,Gypsum,3.2889090986170966,7.634040233420366,1.938857678018576,59.805136484840915,93.65048500000003,8.147214891873903,0.7629446387290955,0.1943512861107882,19.074422752313513
Green waste,None,0,36.064770060435116,0.0,45.0,Green waste,Biochar,None,Windrow,0,0.05513157894736841,28.0,61.0,27.32884658064516,0,None,0,Food waste,Ca-superphosphate,7.354011274909463,5.242855851958732,1.938857678018576,69.9244563376491,93.42421199999998,7.951158589900569,1.4780960083007812,0.18679187643182948,23.67295604272332
None,None,0,36.0,1.0,88.0,Byproduct,Lime,None,Reactor,0,0.05513157894736841,12.0,55.0,27.32884658064516,0,None,0,Food waste,Gypsum,5.357796225286473,6.0,1.938857678018576,69.79887640866873,93.80366400000004,8.147214891873903,0.16307546198368073,0.18357054379893256,1000000.0
None,None,0,21.0,1.0,125.0,Green waste,Calcium magnesium phosphate fertilizer,None,Trough,0,0.05513157894736841,11.0,53.0,27.32884658064516,0,None,0,Food waste,Calcium magnesium phosphate fertilizer,2.2501634790745793,6.0,1.938857678018576,40.716011238390095,94.59795100000002,4.555767208185847,1.7793328762054443,0.21888280616328826,1000000.0
Poultry manure,None,0,21.0,1.0,90.0,None,Potassium phosphate,None,Reactor,0,0.05513157894736841,13.0,53.84349479376398,27.32884658064516,0,None,0,Food waste,Gypsum,5.5511627868314575,6.124093845115127,1.938857678018576,40.716011238390095,94.23516400000004,9.992847094296113,0.10196322202682497,0.1900152182160421,1000000.0
Straw,None,0,33.74944256520919,1.0,40.0,Byproduct,Sand,None,Trough,0,0.05513157894736841,28.0,64.8734321476261,27.32884658064516,0,None,0,Food waste,MgO,2.819439578301326,6.904386693550363,1.938857678018576,65.43536584640279,94.385815,10.25616106472924,0.5504099726676941,0.18907389978111386,24.926684512975697
None,None,0,24.42384640291023,1.0,57.0,Green Waste,Clay,None,Reactor,0,0.05513157894736841,11.0,67.0,27.32884658064516,0,None,0,Food waste,Calcium magnesium phosphate fertilizer,4.5203993085752865,5.704204497884697,1.938857678018576,47.35436212502886,94.13514600000003,7.918332712270553,1.7640485763549805,0.1829811412842625,19.962976315597338
Mature compost,None,0,16.094847583245105,1.0,13.0,Sawdust,Potassium phosphate,None,Reactor,0,0.05513157894736841,13.0,59.0,27.32884658064516,0,None,0,Food waste,Calcium magnesium phosphate fertilizer,7.6942497525034526,7.493049082835539,1.938857678018576,31.205618813313492,93.65048500000003,9.992847094296113,1.0576183795928955,0.12429055559425177,28.289243033579726
Straw,None,0,11.0,1.0,71.0,Woody peat,Potassium phosphate,None,Reactor,0,0.05513157894736841,5.0,62.23457204941967,27.32884658064516,0,None,0,Food waste,Biochar,2.023341849932689,7.146561226891287,1.938857678018576,21.327434458204337,94.21414500000004,8.485485644217643,1.3612233400344849,0.1784986600747871,1000000.0
