Additive_3,V3_Ventilation Duration (min),Initial GI (%),Initial pH,Additive_4,Additive_1,Additive_2, Composting Method,Application Rate (%DW),Compost volume (m3),Period (d),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Turning times,V1_Ventilation Type,Material_2,M1_is Enclosed,Material_3,Material_Main,Initial Moisture Content (%),Initial C/N (%),V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.0,27.32884658064516,5.561401663457437,None,Organic acid,Organic acid,Reactor,6.765339923450093,0.0996875,126.0,0.0,0.0,13.0,None,Woody peat,1.0,Mature compost,Digestate,62.0,33.0,0.0,2.754411318174137,90.89557349974652,108.47771900000002,10.033699458075018,1.1066763401031494,0.1520941076612291,1000000.0
None,0.0,27.32884658064516,6.0,None,Potassium phosphate,Microbiological agent,Reactor,7.648224965720417,0.0996875,17.0,0.0,0.0,15.0,None,Sawdust,1.0,None,Digestate,63.0,34.66315609563059,0.0,2.754411318174137,95.47658947344172,108.61894700000003,9.856192177051037,1.0430235862731934,0.15274401097441426,27.95328740728598
None,0.0,27.32884658064516,6.788250038032032,None,Lignite,MgO,Windrow,4.38685267933927,0.0996875,41.0,0.0,0.0,28.0,None,Sawdust,1.0,Green waste,Digestate,55.0,32.31350752562663,0.0,2.754411318174137,89.00469085849113,108.38052700000006,5.631134021767335,0.9485270977020264,0.16092779276323094,23.92924658948308
None,0.0,27.32884658064516,6.252357619231678,None,MgSO₄,Potassium phosphate,Reactor,5.060374794326554,0.0996875,71.0,0.0,0.0,9.0,None,Husk,1.0,None,Digestate,63.80122793554853,32.4829533784668,0.0,2.754411318174137,89.47141443337178,108.80861200000002,10.026630873805773,1.1066763401031494,0.1628618536975932,18.86392330322485
None,0.0,27.32884658064516,5.0,None,Sodium salt,MgO,Trough,8.01853288024768,0.0996875,30.0,0.0,0.0,1.0,None,None,1.0,None,Digestate,62.0,33.98067065647397,0.0,2.754411318174137,93.59674385533968,110.50156000000004,10.07098433248407,1.0430235862731934,0.16325586652952676,18.171162457244467
None,0.0,27.32884658064516,5.497958972356038,None,Sand,Calcium magnesium phosphate fertilizer,Windrow,6.98374954869828,0.0996875,112.0,0.0,0.0,23.0,None,Green Waste,1.0,None,Digestate,61.694802297264225,36.230468727052376,0.0,2.754411318174137,99.79361312454719,108.159347,10.033699458075018,1.1066763401031494,0.16221549829848242,17.359582265320267
None,0.0,27.32884658064516,5.1578146619864205,None,MgSO₄,MgO,Trough,8.75826881409534,0.0996875,85.0,0.0,0.0,8.0,None,Straw,1.0,Mature compost,Digestate,51.0,32.5103816690904,0.0,2.754411318174137,89.54696322750358,108.47771900000002,5.598308144137318,0.98056161403656,0.1367054885680113,23.80255352109167
None,41.485988211444564,27.32884658064516,7.0,None,Gypsum,Mg(OH)₂,Reactor,3.3101654685756663,0.0996875,90.0,66.0,0.13529742102177122,29.0,Intermittent ,Green waste,1.0,None,Digestate,61.0,31.0,1280.0,2.754411318174137,85.38675086339825,107.66049700000002,13.02264454406789,1.3483108282089231,0.13002682299805227,1000000.0
None,0.0,27.32884658064516,5.402084047736709,None,Calcium magnesium phosphate fertilizer,Potassium phosphate,Trough,5.163383278655795,0.0996875,48.0,0.0,0.0,5.0,None,Sawdust,1.0,None,Digestate,62.900898743557285,34.0,0.0,2.754411318174137,93.64998481792065,108.89454100000003,9.818907302641987,1.1066763401031494,0.1644116601764074,1000000.0
None,0.0,27.32884658064516,6.0,None,Ca-superphosphate,None,Reactor,5.388762692446061,0.0996875,85.0,0.0,0.0,3.0,None,Sawdust,1.0,Mature compost,Digestate,53.91723369793289,35.19067251458009,0.0,2.754411318174137,96.9295866683189,108.41083900000004,5.598308144137318,1.1066763401031494,0.16903792930180006,12.86042913534348
None,0.0,27.32884658064516,7.013733813470133,None,Zeolite,None,Reactor,3.632744045085056,0.0996875,120.0,0.0,0.0,10.0,None,Green Waste,1.0,Mature compost,Digestate,55.13315725364657,38.081100240759625,0.0,2.754411318174137,104.89101351167216,108.63621800000004,9.967794634215103,1.1066763401031494,0.15063640732936628,17.674966812579484
None,0.0,27.32884658064516,6.199748751722207,None,Potassium phosphate,Gypsum,Reactor,7.141063027994387,0.0996875,61.0,0.0,0.0,8.0,None,Soil,1.0,Mature compost,Digestate,68.54225016101424,32.784989167930576,0.0,2.754411318174137,90.30334523036446,108.42384900000003,10.27800896142694,1.1066763401031494,0.15246354139323667,22.722098180163325
None,0.0,27.32884658064516,6.0,None,Sand,MgSO₄,Reactor,7.4413220635240975,0.0996875,14.0,0.0,0.0,11.0,None,Byproduct,1.0,None,Digestate,52.0,37.0,0.0,2.754411318174137,101.91321877244309,109.13431800000002,5.598308144137318,0.7579747438430786,0.13680683554440148,1000000.0
None,0.0,27.32884658064516,6.486580936873883,None,None,None,Windrow,5.352315395040387,0.0996875,125.0,0.0,0.0,19.0,None,Green waste,1.0,Mature compost,Digestate,66.0,35.10333451740684,0.0,2.754411318174137,96.68902190039823,108.86621800000003,5.598308144137318,1.1066763401031494,0.16313845758424747,17.550109359526015
None,0.0,27.32884658064516,7.062441042545232,None,Phosphogypsum,Organic acid,Reactor,6.439965347953402,0.0996875,43.0,0.0,0.0,17.0,None,Husk,1.0,Green waste,Digestate,58.705716917629324,35.822913755492976,0.0,2.754411318174137,98.67103909810585,108.30690400000003,10.099686157463758,0.9485270977020264,0.15224110246703573,21.65437828839539
None,0.0,27.32884658064516,8.0,None,Lignite,Zeolite,Trough,5.2080101852033165,0.0996875,43.0,0.0,0.0,20.0,None,Byproduct,1.0,None,Digestate,54.974510108401674,37.0,0.0,2.754411318174137,101.91321877244309,109.601788,5.598308144137318,0.7579747438430786,0.16097377591675147,1000000.0
