Material_3,Initial pH, Composting Method,V3_Ventilation Duration (min),Additive_2,M1_is Enclosed,Additive_1,V2_Ventilation Interval (min),Compost volume (m3),Initial GI (%),Material_Main,Initial C/N (%),V4_Ventilation Day,V1_Ventilation Type,Turning times,V5_Ventilation rate (L/min/kg iniDW),Additive_3,Period (d),Application Rate (%DW),Material_2,Initial Moisture Content (%),Additive_4,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Poultry manure,6.0,Reactor,0.0,Calcium magnesium phosphate fertilizer,1.0,MgSO₄,0,0.15181,27.328846580645166,OFMSW,30.121505988131446,16.0,Continuous,11.0,0.6542891136103735,None,24.0,5.510405494237342,Plastic tube pieces,59.570861300537004,None,1.411,42.501444949253475,110.54361400000003,9.167004256558744,0.4637459516525269,0.25493019743482875,29.296692505207602
None,6.0,Trough,0.0,Calcium magnesium phosphate fertilizer,1.0,MgCl₂,0,0.15181,27.32884658064516,OFMSW,14.0,34.0,Continuous,28.0,0.5858441434539363,None,36.0,5.6046600603573795,Byproduct,68.58022180029283,None,1.411,19.754,110.32813100000004,7.6839070940024365,0.7689067721366882,0.19036931776759855,1000000.0
Mature compost,6.03994384824279,Windrow,0.0,Inorganic acid,1.0,Ferric salt,0,0.15181,27.32884658064516,OFMSW,28.26276563943593,23.0,Continuous,29.0,0.011221709842392348,None,38.0,5.306650434860726,Plastic tube pieces,53.191873730868714,None,1.411,39.878762317244096,110.55639400000004,8.166507763892922,0.41865721344947815,0.19602552405486684,24.669953617256766
Poultry manure,5.0,Trough,0.0,Mg(OH)₂,0.0,Potassium phosphate,0,0.15181,27.32884658064516,OFMSW,11.761186753501173,20.0,Continuous,8.0,0.3654593838701139,None,33.0,8.86860103775036,Husk,61.97252262240156,None,1.411,16.595034509190153,110.86157000000004,8.216698773819001,0.4620829224586487,0.16840998361664847,27.23707043064997
Green waste,6.787103514123764,Trough,0.0,Inorganic acid,0.0,Lime,0,0.15181,27.32884658064516,OFMSW,19.924974777768654,59.0,Continuous,3.0,0.17347039374824955,None,133.0,8.904478180569111,Green Waste,66.0,None,1.411,28.11413941143157,110.43256500000004,8.433322887544827,0.7322217226028442,0.18007821054661682,21.842800622285754
Green waste,6.0,Windrow,0.0,Gypsum,1.0,Microbiological agent,0,0.15181,27.32884658064516,OFMSW,25.0,70.0,Continuous,23.0,0.21464494432441272,None,83.0,9.00285737109238,None,61.0,None,1.411,35.275,110.74719000000003,7.6097618895405414,0.31864556670188904,0.18565165537282505,1000000.0
Green waste,5.922328240449703,Windrow,0.0,Gypsum,1.0,Lime,0,0.15181,27.32884658064516,OFMSW,36.159601482252,37.0,Continuous,21.0,1.1072929262425548,None,98.0,7.096596276650484,Green waste,65.0,None,1.411,51.021197691457566,110.18148000000004,8.371895738780388,0.5714786052703857,0.19482721013698887,22.57127671968825
None,7.0,Windrow,0.0,Ca-superphosphate,0.0,Carbonatite,0,0.15181,27.32884658064516,OFMSW,33.192755930403926,13.0,Continuous,1.0,0.4314608131876796,None,18.0,9.015024256889877,Byproduct,55.0,None,1.411,46.83497861779993,110.64851000000006,8.45038473800894,0.6911823153495789,0.16427634648988246,24.5381485925645
Green waste,6.2346100782863685,Windrow,0.0,Mg(OH)₂,1.0,Inorganic acid,0,0.15181,27.32884658064516,OFMSW,22.76657350585055,30.0,Continuous,31.0,1.196773603471717,None,53.0,5.69152766041307,Green waste,62.1270326151931,None,1.411,32.123635216755126,110.31584100000003,7.1425326506530515,0.5611900687217712,0.21792407806837386,25.357981661092342
None,5.906904461555969,Reactor,0.0,Calcium magnesium phosphate fertilizer,1.0,Inorganic acid,0,0.15181,27.32884658064516,OFMSW,21.563048852908477,18.0,Continuous,11.0,0.7895739690671477,None,22.0,9.278296152116603,Byproduct,59.0,None,1.411,30.425461931453857,110.88673000000006,8.904796106513553,0.7763517498970032,0.2191673190623415,27.40906690946325
Poultry manure,6.0,Reactor,0.0,Potassium phosphate,1.0,Sodium phosphates,0,0.15181,27.32884658064516,OFMSW,29.94960520429688,51.0,Continuous,16.0,1.0906018624118892,None,123.0,6.7409295609911135,None,67.0276715875894,None,1.411,42.25889294326289,110.32385000000004,9.697000004726874,0.4574732482433319,0.21330719562254846,23.845059903630954
Green waste,7.0,Reactor,0.0,Mg(OH)₂,1.0,Sodium salt,0,0.15181,27.32884658064516,OFMSW,16.60135187287541,46.0,Continuous,2.0,0.3017476431582238,None,132.0,9.904330749729407,Byproduct,54.837971723609364,None,1.411,23.4245074926272,110.48487500000005,9.124849550852174,0.7572137117385864,0.15331767617035713,20.818280276054715
Poultry manure,7.0,Reactor,0.0,MgSO₄,1.0,Gypsum,0,0.15181,27.32884658064516,OFMSW,11.0,43.0,Continuous,15.0,1.3359727129925911,None,108.0,8.939496208288624,Husk,54.83561522972306,None,1.411,15.520999999999999,110.69257500000003,9.823762758488536,0.5896834135055542,0.1849025172248452,1000000.0
Poultry manure,6.0,Reactor,0.0,None,1.0,Ferric salt,0,0.15181,27.32884658064516,OFMSW,23.305723954214727,9.0,Continuous,10.0,1.702964718354668,None,20.0,7.758758665634006,None,53.0,None,1.411,32.884376499396986,110.48817000000004,9.167004256558744,0.603441059589386,0.2429487836877629,27.19520797864939
Poultry manure,7.0,Reactor,0.0,Microbiological agent,1.0,Clay,0,0.15181,27.32884658064516,OFMSW,13.228628788441329,24.0,Continuous,5.0,0.16436307354166235,None,30.0,7.5224057716567,None,65.45924112342335,None,1.411,18.66559522049072,110.09167500000004,9.480739964154346,0.4776405394077301,0.18584707398116695,19.508621201974687
Byproduct,6.0,Reactor,0.0,MgSO₄,1.0,Ca-superphosphate,0,0.15181,27.32884658064516,OFMSW,36.34132658549521,54.0,Continuous,2.0,1.3864303408208511,None,121.0,2.9828167589326577,Green waste,58.28136080310743,None,1.411,51.27761181213374,109.31851700000004,7.7423353217807165,0.40716972947120667,0.21737395736178333,20.012718912778453
Mature compost,5.0,Reactor,0.0,Microbiological agent,1.0,Ca-superphosphate,0,0.15181,27.32884658064516,OFMSW,24.79176988515577,76.0,Continuous,29.0,1.9207617870697244,None,82.0,8.531401036881025,Plastic tube pieces,67.0,None,1.411,34.981187307954805,111.29649300000004,6.554729004555805,0.6419920325279236,0.2195360906814421,27.61572303718637
Mature compost,5.3553386213964576,Reactor,0.0,Calcium magnesium phosphate fertilizer,1.0,Zeolite,0,0.15181,27.32884658064516,OFMSW,30.262421426246327,68.0,Continuous,14.0,0.8362468284371893,None,102.0,9.2481757558279,None,60.67475062030943,None,1.411,42.70027663243357,110.84082000000005,8.858000576825242,0.4825435280799866,0.19425053479895665,25.807072732278442
Mature compost,8.0,Reactor,0.0,Zeolite,1.0,Mature compost,0,0.15181,27.32884658064516,OFMSW,38.0,30.0,Continuous,19.0,1.9945550302908448,None,79.0,8.979005177182819,Plastic tube pieces,55.0,None,1.411,53.618,110.90633300000003,9.12226227888176,0.5990402698516846,0.20984506538729952,1000000.0
None,6.0,Windrow,0.0,MgSO₄,1.0,Mature compost,0,0.15181,27.32884658064516,OFMSW,13.0,58.0,Continuous,6.0,0.5626267949504495,None,79.0,4.819635568904558,None,62.48647551497596,None,1.411,18.343,110.09536100000008,9.109178388316748,0.3852172493934631,0.16216995409993712,1000000.0
None,8.0,Reactor,0.0,Gypsum,1.0,MgCl₂,0,0.15181,27.32884658064516,OFMSW,25.32757779033712,23.0,Continuous,28.0,1.6822282347852633,None,46.0,7.666343578833712,None,59.0,None,1.411,35.73721226216567,110.46197000000004,7.8674292138830575,0.6000886559486389,0.2308165109346356,26.147799225770157
Poultry manure,6.727806369563335,Trough,0.0,Potassium phosphate,0.0,Mature compost,0,0.15181,27.32884658064516,OFMSW,21.779279404458574,36.0,Continuous,16.0,0.26917192647930843,None,75.0,9.674799404323874,None,59.0,None,1.411,30.73056323969105,110.48130500000003,9.34286474631349,0.4655886292457581,0.18447442652992516,23.966921106199752
Poultry manure,6.0,Windrow,0.0,None,1.0,Lime,0,0.15181,27.32884658064516,OFMSW,17.01444535699228,29.0,Continuous,28.0,0.7559563459345917,None,83.0,6.530137210839874,Plastic tube pieces,53.04815355292775,None,1.411,24.00738239871611,110.96149300000003,8.428715913938113,0.4637459516525269,0.1807027544737024,22.681526588385676
Mature compost,8.0,Trough,0.0,MgSO₄,0.0,Sodium phosphates,0,0.15181,27.32884658064516,OFMSW,11.925206147503513,21.0,Continuous,8.0,0.6048149656695634,None,35.0,7.005304661138865,Plastic tube pieces,65.75966596195373,None,1.411,16.826465874127454,110.27744300000003,9.056925773097275,0.5089540481567383,0.15237634127968536,27.99906394505966
Green waste,6.0,Reactor,0.0,Gypsum,1.0,Carbonatite,0,0.15181,27.32884658064516,OFMSW,10.376638275593418,15.0,Continuous,5.0,1.3651241176854458,None,15.0,8.937044487277618,Green waste,65.0,None,1.411,14.641436606862314,110.88137000000006,8.293081313960524,0.5961406230926514,0.1828794384217965,22.94576331408791
Poultry manure,7.0,Windrow,0.0,Microbiological agent,1.0,Urea,0,0.15181,27.328846580645166,OFMSW,15.891297515170953,36.0,Continuous,21.0,0.8900097249320642,None,61.0,8.352089576113853,Green waste,56.248219974583634,None,1.411,22.42262079390621,109.99804500000003,9.595523775795561,0.6011362671852112,0.1656512575972071,26.163378035319305
Poultry manure,8.0,Reactor,0.0,MgO,1.0,MgSO₄,0,0.15181,27.32884658064516,OFMSW,16.759088575012356,64.0,Continuous,6.0,1.8064222656582931,None,130.0,8.730693711343914,None,55.980852875526075,None,1.411,23.647073979342434,111.04852000000008,8.951375399688311,0.574571430683136,0.20525538693752815,24.79102944518181
Byproduct,6.0,Reactor,0.0,Microbiological agent,1.0,Lignite,0,0.15181,27.32884658064516,OFMSW,24.41011996689344,40.0,Continuous,28.0,0.3671179604437149,None,116.0,9.187953946572806,Byproduct,53.0,None,1.411,34.442679273286636,110.71978200000004,7.223537054719183,0.2999352514743805,0.20115605845602255,23.501357414818514
Green waste,6.0,Windrow,0.0,DCD,0.0,Potassium phosphate,0,0.15181,27.32884658064516,OFMSW,27.061334993612572,54.0,Continuous,27.0,0.5470920789245337,None,119.0,9.764349475398074,Plastic tube pieces,62.0,None,1.411,38.183543675987345,111.04338300000003,6.7787211537859235,0.42244407534599293,0.16442452208292976,25.826135297837077
Poultry manure,7.0,Windrow,0.0,Inorganic acid,0.0,Organic acid,0,0.15181,27.32884658064516,OFMSW,34.28800346153434,52.0,Continuous,29.0,1.6160879040454807,None,90.0,9.843298151598216,Husk,69.39116463860728,None,1.411,48.38037288422496,110.72610500000003,7.969443834085103,0.625092625617981,0.173289926066536,23.902638374298572
Poultry manure,6.0,Reactor,0.0,None,1.0,None,0,0.15181,27.32884658064516,OFMSW,24.574883566876448,47.0,Continuous,12.0,0.6814381319063496,None,99.0,7.238910582978192,Green waste,61.0,None,1.411,34.67516071286267,110.49353000000004,10.140049244049418,0.4972425997257233,0.23231372489257884,25.042137298766338
Green waste,5.538600743554103,Windrow,0.0,None,1.0,None,0,0.15181,27.32884658064516,OFMSW,12.179179485806966,69.0,Continuous,24.0,0.005103381297236753,None,82.0,8.790091723614442,Husk,64.0,None,1.411,17.18482225447363,110.80381000000006,7.7746960516629695,0.6221746802330017,0.16727078927965988,26.189664391260845
Poultry manure,6.7969827845402095,Windrow,0.0,MgO,0.0,Clay,0,0.15181,27.32884658064516,OFMSW,19.828348420660753,55.0,Continuous,3.0,0.22237318068714876,None,133.0,7.72235746664392,Plastic tube pieces,56.0,None,1.411,27.977799621552318,110.27455800000004,8.361659778814076,0.3632290065288544,0.16898235363738404,22.459762575094352
Green waste,6.0,Windrow,0.0,Microbiological agent,1.0,Mature compost,0,0.15181,27.32884658064516,OFMSW,18.13615423705016,11.0,Continuous,1.0,1.228503263112087,None,13.0,9.163823617163676,Byproduct,62.0,None,1.411,25.59011362847777,110.88137000000006,7.903327139376695,0.8653897047042847,0.19257066394124575,23.79372623928711
Green waste,7.0,Trough,0.0,Calcium magnesium phosphate fertilizer,0.0,Sodium salt,0,0.15181,27.32884658064516,OFMSW,28.826957138070306,45.0,Continuous,21.0,1.9064331663495224,None,46.0,8.28809685774946,Green waste,59.29538015094985,None,1.411,40.67483652181721,109.58731500000003,8.93155427237848,0.5843678712844849,0.18087715662492027,27.844342482087804
Poultry manure,7.0,Reactor,0.0,Inorganic acid,1.0,Ferric salt,0,0.15181,27.32884658064516,OFMSW,14.929504417078512,54.0,Continuous,28.0,0.07526930543048649,None,68.0,8.014109425540854,Green Waste,53.0,None,1.411,21.06553073249778,110.68039000000003,7.290351753758572,0.7532661557197571,0.15699197606053936,25.606660560572553
Green waste,6.0286576331353094,Windrow,0.0,Organic acid,0.0,Labile carbon source,0,0.15181,27.32884658064516,OFMSW,13.0,79.0,Continuous,6.0,1.8976169445183035,None,109.0,6.533777975210871,Plastic tube pieces,64.06935429174021,None,1.411,18.343,110.31799300000004,8.355386494579099,0.5748303532600403,0.1553404232778915,1000000.0
None,5.760227114804003,Reactor,0.0,Potassium phosphate,1.0,Zeolite,0,0.15181,27.32884658064516,OFMSW,21.70992395082652,50.0,Continuous,0.0,1.1421312265235706,None,75.0,5.628770157877028,None,62.83962915902299,None,1.411,30.632702694616217,110.09000100000007,9.434791854681684,0.5133097171783447,0.1829206944998714,21.257718863454315
None,7.0,Trough,0.0,Ca-superphosphate,1.0,Organic acid,0,0.15181,27.32884658064516,OFMSW,33.0,42.0,Continuous,27.0,1.1684607959264055,None,50.0,9.530769350029018,Byproduct,61.0,None,1.411,46.563,110.59328500000004,8.670740153558217,0.7521784901618958,0.2136999430211598,1000000.0
Mature compost,6.253889283828751,Reactor,0.0,Organic acid,1.0,K₂SO₄,0,0.15181,27.32884658064516,OFMSW,38.23051158692045,22.0,Continuous,18.0,0.8426202270308298,None,22.0,4.6719825827166845,Byproduct,57.83490543186107,None,1.411,53.94325184914475,109.93104100000005,10.101495819895355,0.769404947757721,0.23342076634463166,26.611699884896368
Green waste,5.97237189697299,Windrow,0.0,DCD,1.0,Sodium phosphates,0,0.15181,27.32884658064516,OFMSW,33.014957319566825,38.0,Continuous,27.0,0.12635991619016962,None,59.0,9.008253859007231,Plastic tube pieces,68.0,None,1.411,46.584104777908784,111.23569300000004,6.82222218423683,0.4315709471702576,0.17664705411999596,24.7381044789191
Byproduct,6.0,Reactor,0.0,Ca-superphosphate,1.0,Organic acid,0,0.15181,27.32884658064516,OFMSW,18.0,25.0,Continuous,21.0,1.6514253904491838,None,43.0,8.678856338463602,Green Waste,62.0,None,1.411,25.398000000000003,110.38802200000003,9.927973798913165,0.38279470801353455,0.20706155987770625,1000000.0
Mature compost,5.807114470994304,Reactor,0.0,Ca-superphosphate,1.0,Urea,0,0.15181,27.32884658064516,OFMSW,17.0,22.0,Continuous,15.0,0.8470847650252862,None,26.0,6.255622640905707,Green Waste,55.26264495144631,None,1.411,23.987,110.09536100000008,10.7269021714132,0.7455667853355408,0.18475977052992174,1000000.0
None,7.0,Windrow,0.0,MgSO₄,0.0,MgHPO₄,0,0.15181,27.32884658064516,OFMSW,33.352255690962856,68.0,Continuous,9.0,0.7211784222438109,None,70.0,9.046687251477561,Plastic tube pieces,67.0,None,1.411,47.0600327799486,110.88370300000004,8.363553783278183,0.4872797727584839,0.1606565036431436,28.75490837504254
None,8.0,Trough,0.0,Organic acid,0.0,Carbonatite,0,0.15181,27.328846580645166,OFMSW,23.0,56.0,Continuous,1.0,0.7418535388332701,None,110.0,8.956775657001787,Byproduct,55.119951052639294,None,1.411,32.453,110.64851000000006,7.452886656292782,0.7258906960487366,0.17327620873543792,1000000.0
None,6.478020364634683,Trough,0.0,DCD,1.0,Mg(OH)₂,0,0.15181,27.32884658064516,OFMSW,20.635197595321888,19.0,Continuous,1.0,1.531944274572616,None,59.0,9.734716529574357,Byproduct,59.0,None,1.411,29.116263806999182,110.82949300000004,8.579182640148616,0.8654946088790894,0.22484186585688887,20.725268773971287
