Material_2, Composting Method,M1_is Enclosed,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TC loss (%)
20,0,1.0,7,28.0,28.0,0,0.0,0.0,4.0,10.0,0.06,58.69,11,0.36,7,18.23,31.91
1,0,1.0,6,34.0,34.0,0,0.0,0.0,6.0,0.0,0.06,65.0,9,0.27,7,11.37,55.95
1,0,1.0,6,34.0,34.0,0,0.0,0.0,6.0,10.0,0.06,65.0,11,0.26,7,11.37,50.26
1,0,1.0,6,34.0,34.0,0,0.0,0.0,6.0,10.29,0.06,65.0,11,0.26,0,11.37,49.66
1,0,1.0,6,34.0,34.0,0,0.0,0.0,6.0,14.57,0.06,65.0,11,0.26,0,11.37,49.64
1,0,1.0,7,35.0,0.0,0,0.0,0.0,6.0,0.0,0.06,69.2,9,0.25,7,18.43,64.9
1,0,1.0,7,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,5,0.25,4,18.43,63.1
1,0,1.0,7,35.0,0.0,0,0.0,0.0,6.0,4.0,0.06,68.85,11,0.25,7,18.43,54.0
1,0,1.0,7,35.0,0.0,0,0.0,0.0,6.0,16.22,0.06,61.69,5,0.25,7,18.43,42.2
19,0,1.0,5,50.0,34.9,0,2.05,50.0,9.0,0.0,0.1,60.0,9,1.37,7,31.01,54.2
19,0,1.0,5,50.0,29.8,0,2.02,49.0,9.0,2.0,0.1,60.0,3,1.42,7,30.06,52.1
19,0,1.0,5,50.0,31.3,0,2.02,49.0,9.0,4.0,0.1,60.0,3,1.4,7,30.33,48.8
19,0,1.0,5,50.0,30.6,0,2.0,48.0,9.0,6.0,0.1,60.0,3,1.35,7,30.55,42.3
19,0,1.0,5,50.0,35.7,0,2.02,49.0,9.0,8.0,0.1,60.0,3,1.34,7,31.04,39.5
19,0,1.0,5,50.0,34.2,0,1.02,25.0,9.0,10.0,0.1,60.0,3,1.29,7,30.79,38.7
19,0,1.0,7,50.0,50.0,0,0.0,0.0,9.0,0.0,0.1,55.0,9,0.3,7,25.0,19.42
15,0,1.0,5,91.0,64.2,0,0.0,0.0,13.0,0.0,0.25,60.0,9,0.91,7,20.0,63.52
15,0,1.0,5,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,0,0.93,7,20.0,57.09
15,0,1.0,5,91.0,70.2,0,0.0,0.0,13.0,12.5,0.25,60.0,4,0.93,7,20.0,59.32
15,0,1.0,5,91.0,71.8,0,0.0,0.0,13.0,25.0,0.25,60.0,0,0.89,1,20.0,46.29
15,0,1.0,5,91.0,76.8,0,0.0,0.0,13.0,0.0,0.25,60.0,9,1.05,7,25.0,63.43
15,0,0.75,5,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,0,0.49,7,20.51,54.86
15,0,0.75,5,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,4,0.49,7,20.51,57.98
15,0,0.75,5,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,0,0.49,1,20.51,46.82
15,0,1.0,5,91.0,80.8,0,0.0,0.0,13.0,0.0,0.25,60.0,9,0.99,7,30.0,65.3
15,0,1.0,5,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,0,0.81,7,30.0,58.96
15,0,1.0,5,91.0,59.8,0,0.0,0.0,13.0,12.5,0.25,60.0,4,0.81,7,30.0,57.62
15,0,0.75,5,42.74,22.55,0,2.36,13.4,5.45,5.24,1.45,64.48,0,0.49,1,20.51,51.11
3,0,1.0,6,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,75.32,9,0.56,7,17.96,22.82
3,0,1.0,6,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,69.37,9,0.49,7,17.83,43.09
3,0,1.0,6,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,66.06,9,0.78,7,19.19,49.76
13,0,1.0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,76.28,9,0.52,7,21.77,23.45
13,0,1.0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,72.85,9,0.5,7,21.05,37.55
13,0,1.0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,63.45,9,0.51,7,22.43,57.58
17,0,1.0,6,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,67.86,9,0.44,7,12.13,32.63
17,0,1.0,0,32.0,32.0,0,0.0,0.0,0.0,0.0,0.1,76.28,9,0.75,7,22.24,36.19
4,2,0.0,6,70.0,0.0,2,0.0,0.0,6.0,0.0,22.5,68.28,9,0.0,7,18.3,34.44
4,2,0.0,6,70.0,0.0,2,0.0,0.0,6.0,0.6,22.5,68.28,0,0.0,7,18.3,28.31
4,2,0.0,6,70.0,0.0,2,0.0,0.0,6.0,1.0,22.5,68.28,0,0.0,7,17.82,29.97
