Initial pH,Period (d),V4_Ventilation Day,Initial C/N (%),Material_3,Additive_4,Material_Main,V1_Ventilation Type,M1_is Enclosed, Composting Method,V3_Ventilation Duration (min),Application Rate (%DW),Initial Moisture Content (%),Additive_3,V5_Ventilation rate (L/min/kg iniDW),Material_2,Additive_2,Compost volume (m3),Initial GI (%),Additive_1,Turning times,V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
11.91018248092379,124.0,0.0,20.0,Mature compost,None,OFMSW,None,1.0,Windrow,0.0,6.237284725028756,78.91296067060301,None,0.0,None,Calcium magnesium phosphate fertilizer,0.15181,27.32884658064516,Potassium phosphate,31.0,0.0,1.411,54.20804529409561,103.5062885,2.7900648953664327,1.162259221076965,0.1737628875515259,1000000.0
8.0,23.0,0.0,41.45466114443232,Straw,None,OFMSW,None,1.0,Reactor,0.0,9.0257369554085,78.24608180058381,None,0.0,Soil,Microbiological agent,0.15181,27.32884658064516,Lignite,31.0,0.0,1.411,58.492526874794,107.88212699999998,3.400966583813751,1.240496039390564,0.2054745427310979,28.9549913072078
11.803393721194626,128.0,41.0,25.0,Mature compost,None,OFMSW,Continuous,0.0,Windrow,0.0,2.147779083864715,74.45603343312413,None,1.944513234579238,Soil,None,0.15181,27.32884658064516,K₂SO₄,29.0,0.0,1.411,25.66712159378952,106.470562,3.0704421542972686,1.3140779733657837,0.1764147088760499,1000000.0
8.0,107.0,19.0,44.43124642467184,Green waste,None,OFMSW,Continuous,0.0,Windrow,0.0,4.628455192894473,56.0,None,1.7671563246411328,Sawdust,Inorganic acid,0.15181,27.32884658064516,Zeolite,30.0,0.0,1.411,62.69248870521197,105.5535025,2.354269844086092,1.426021695137024,0.1883283883641675,23.193614181967707
11.555296825016224,68.0,23.0,25.0,Poultry manure,None,OFMSW,Continuous,1.0,Reactor,0.0,4.684693964458915,66.0,None,1.7660460031378284,Byproduct,Ca-superphosphate,0.15181,27.32884658064516,Ca-superphosphate,30.0,0.0,1.411,36.03088160132263,106.50938400000004,3.121808571423875,0.8389472365379333,0.2355377258604156,1000000.0
9.258772080701457,34.0,0.0,10.0,Mature compost,None,OFMSW,None,1.0,Reactor,0.0,4.131436142462962,69.0,None,0.0,Byproduct,None,0.15181,27.32884658064516,None,31.0,0.0,1.411,7.338343082424456,107.42889349999996,2.882385783046997,1.143722414970398,0.2025994984856478,1000000.0
5.0,108.0,0.0,40.0,Straw,None,OFMSW,None,1.0,Windrow,0.0,2.0237381563674948,72.86100276792723,None,0.0,Green Waste,DCD,0.15181,27.32884658064516,Lignite,31.0,0.0,1.411,24.83299915358026,105.40702550000005,2.2252683448248964,1.4598857164382937,0.1777927860468181,1000000.0
6.0,89.0,11.0,30.0,Green waste,None,OFMSW,Continuous,1.0,Trough,0.0,7.434349041900536,64.0,None,1.8231439024149207,Husk,None,0.15181,27.32884658064516,Inorganic acid,27.0,0.0,1.411,54.655266556435166,105.04258699999995,2.214061316583908,1.182597517967224,0.221284312574439,1000000.0
7.0,67.0,0.0,11.0,Green waste,None,OFMSW,None,1.0,Windrow,0.0,9.928412809734544,68.0,None,0.0,Byproduct,Ca-superphosphate,0.15181,27.32884658064516,Gypsum,31.0,0.0,1.411,44.72673895520919,106.0476645,2.760957939698258,1.4593528509140017,0.1827647310612274,1000000.0
8.0,47.0,0.0,33.0,Straw,None,OFMSW,None,0.0,Windrow,0.0,3.8180144238727705,62.0,None,0.0,Straw,Microbiological agent,0.15181,27.32884658064516,Lignite,30.0,0.0,1.411,37.5082428412636,108.46568199999996,3.400966583813751,1.462595820426941,0.1531921611924932,1000000.0
6.593742682066041,113.0,53.0,35.0,None,None,OFMSW,Intermittent ,1.0,Trough,5.123916846445773,7.898807608108149,64.0,None,0.7649906118084573,None,Potassium phosphate,0.15181,27.32884658064516,Mature compost,31.0,685.0,1.411,8.11598533396933,106.66408149999998,3.996515204731257,1.1298996210098269,0.1392518056559286,1000000.0
11.86817940957685,16.0,0.0,28.0,Green waste,None,OFMSW,None,0.0,Trough,0.0,9.419014522784105,57.0,None,0.0,Green waste,None,0.15181,27.32884658064516,Sulfur,30.0,0.0,1.411,13.565898897528625,107.19867549999998,2.882385783046997,1.1431711912155151,0.1586228115642002,1000000.0
9.166211829708091,69.0,56.0,22.0,Green waste,None,OFMSW,Continuous,1.0,Reactor,0.0,2.846897570199923,77.01136368697226,None,0.6158690180566682,Green Waste,Organic acid,0.15181,27.32884658064516,Carbonatite,31.0,0.0,1.411,22.968212542158604,108.35275200000002,2.586118976550512,1.0771337747573853,0.2000264050855409,1000000.0
