V4_Ventilation Day,M1_is Enclosed,V3_Ventilation Duration (min),Turning times,Period (d),Material_Main,V1_Ventilation Type,Additive_4, Composting Method,Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial GI (%),Additive_2,Additive_3,Material_2,Material_3,Initial pH,Initial C/N (%),Additive_1,Compost volume (m3),V2_Ventilation Interval (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
16.0,0.0,0.0,9.0,38.0,Poultry manure,Continuous,None,Trough,7.822642678540546,0.907846623227932,52.0,27.32884658064516,Ca-superphosphate,None,Soil,Straw,5.0,33.0,K₂SO₄,0.6292491869918699,0.0,2.4967368849582217,88.93502442283531,98.363463,5.314367553021109,0.6703676581382751,0.1810699699599335,1000000.0
14.0,1.0,0.0,13.0,101.0,Poultry manure,Continuous,None,Reactor,2.926525060502013,0.3694524482924592,62.0,27.32884658064516,Microbiological agent,None,Green Waste,Straw,9.19974656896815,31.0,Labile carbon source,0.6292491869918699,0.0,2.4967368849582217,34.10353617866344,95.397901,5.303990411769459,0.8635810613632202,0.2339530745758186,1000000.0
0.0,1.0,0.0,15.0,127.0,Poultry manure,None,None,Windrow,5.185338292487616,0.0,59.0,27.32884658064516,Mg(OH)₂,None,Straw,Straw,5.0,24.0,LB Culture,0.6292491869918699,0.0,2.4967368849582217,72.60570551810301,96.909633,7.739276406201424,0.2984016835689544,0.2122660823941656,1000000.0
0.0,1.0,0.0,10.0,93.0,Poultry manure,None,None,Trough,8.941674301209787,0.0,54.0,27.32884658064516,MgO,None,Green waste,Straw,10.13740087446553,39.0,Sand,0.6292491869918699,0.0,2.4967368849582217,56.423057607974535,96.528554,5.770163505661858,0.3050525188446045,0.2084029562327827,1000000.0
31.0,1.0,0.0,3.0,45.0,Poultry manure,Continuous,None,Reactor,6.117176526280367,0.438317024813426,51.0,27.32884658064516,MgSO₄,None,Green Waste,Straw,10.068679182558146,43.43689864027608,MgO,0.6292491869918699,0.0,2.4967368849582217,108.45050700336893,97.480875,6.747490555869447,0.6732967495918274,0.2221680941085264,17.584198499110467
0.0,1.0,0.0,8.0,114.0,Poultry manure,None,None,Windrow,8.074712648566088,0.0,58.0,27.32884658064516,Gypsum,None,Green Waste,Straw,5.0,35.0,Sand,0.6292491869918699,0.0,2.4967368849582217,84.87444139167786,98.63634900000002,5.770163505661858,0.2925595641136169,0.1885442579579269,1000000.0
0.0,0.0,0.0,18.0,16.0,Poultry manure,None,None,Trough,7.787261371718861,0.0,54.0,27.32884658064516,None,None,Straw,Straw,6.942314783232484,43.20192722398892,Sand,0.6292491869918699,0.0,2.4967368849582217,107.86384520141388,95.879824,4.337040502813519,0.2930778264999389,0.1685482261475544,26.551097073755187
0.0,1.0,0.0,20.0,89.0,Poultry manure,None,None,Trough,7.722314126457788,0.0,72.64682443753715,27.32884658064516,Organic acid,None,Byproduct,Straw,11.144946709075846,24.0,Phosphogypsum,0.6292491869918699,0.0,2.4967368849582217,35.858781925478645,95.782674,5.770163505661858,0.2558042109012604,0.220670607755741,1000000.0
2.0,1.0,0.0,7.0,130.0,Poultry manure,Continuous,None,Reactor,6.821451946998208,1.4885174347112673,83.47337729040876,27.32884658064516,Gypsum,None,Husk,Straw,5.0,11.906812852804688,Calcium magnesium phosphate fertilizer,0.6292491869918699,0.0,2.4967368849582217,56.12415701863461,97.792943,5.805366755789168,0.7707198262214661,0.1946532084891443,1000000.0
61.0,0.0,0.6208082796741761,13.0,73.0,Poultry manure,Continuous,None,Trough,5.140380710632875,1.1652690284641332,64.22263332177825,27.32884658064516,Microbiological agent,None,Plastic tube pieces,Straw,5.0,23.0,Forsterite,0.6292491869918699,0.0,2.4967368849582217,47.26394080815113,96.36990999999998,5.510803935899264,0.8831959366798401,0.1811486290870145,1000000.0
26.0,1.0,1.2295042704288983,29.0,59.0,Poultry manure,Intermittent ,None,Windrow,7.385909660392418,0.6011390381670378,51.0,27.32884658064516,MgO,None,Green Waste,Straw,5.0,40.0,Labile carbon source,0.6292491869918699,798.0,2.4967368849582217,61.24457856410511,95.582311,8.693604988787412,0.758165717124939,0.170242008749046,1000000.0
31.0,1.0,0.0,11.0,106.0,Poultry manure,Continuous,None,Reactor,6.809657552919887,1.1310166540409825,70.0,27.32884658064516,Inorganic acid,None,Soil,Straw,5.0,29.0,Mature compost,0.6292491869918699,0.0,2.4967368849582217,73.51099973179362,97.86059,7.133060231401113,0.7736740112304688,0.2171968051746152,1000000.0
53.0,1.0,0.0,26.0,94.0,Poultry manure,Continuous,None,Reactor,7.493054192401612,1.2256590825853693,70.0,27.32884658064516,Mg(OH)₂,None,Byproduct,None,5.0,41.40352381079024,MgSO₄,0.6292491869918699,0.0,2.4967368849582217,100.22940186192234,97.51259100000004,9.833179784829282,0.5687426924705505,0.1870499912862712,1000000.0
