Title,Author,Location,Journal,Material_0,Material_Main,Material_2,Material_3,Additive Species,Additive_1,Additive_2,Additive_3,Additive_4,Application Rate (%DW),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Initial C/N (%),Initial EC (ms/cm),Initial GI (%),Initial FW (kg),Initial DW (kg),Initial NH3-N (g/kg),Initial NO2-N (g/kg),Final Moisture Content (%),Final pH,Final TN (%),Final TC (%),Final C/N (%),Final EC (ms/cm),Final GI (%),Final FW (kg),Final DW (kg),Final NH3-N (g/kg),Final NO2-N (g/kg),TN loss (%),NH3-N (g),N2O-N (g),NH3-N loss (%),N2O-N loss (%),TC loss (%),CH4-C (g),CO2-C (g),CH4-C loss (%),CO2-C loss (%),Method,M1_isEnclosed,M2_isTurning,M3_isForce aeration,M4_isVessel,M5_isReactor,Period (d),Compost volume (m3),Initial density (kg/L),V1_Ventilation Type,V2_Ventilation Interval (min),V3_Ventilation Duration (min),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V6_Extra,Turning times
Use of potassium dihydrogen phosphate and sawdust as adsorbents of ammoniacal nitrogen in aerobic composting process,"TianJue Hu et al.,2007",China,Journal of Hazardous Materials,Lignin,OFMSW,Sawdust,,None,,,,,0,60,6.8,1.11,36.67,33.03603604,,,,,,,,7.40001,,,5.28916,,,,,,,38,,,,,,,,,,Reactor,1,1,1,1,1,28,0.077715,,Intermittent ,720,30,28,,,9
Use of potassium dihydrogen phosphate and sawdust as adsorbents of ammoniacal nitrogen in aerobic composting process,"TianJue Hu et al.,2007",China,Journal of Hazardous Materials,Lignin,OFMSW,,,Chemical,KH?PO?,,,,0.18,61,5.9,1.21,38.59,31.89256198,,,,,,,,6.87317,,,6.06024,,,,,,,38,,,,,,,,,,Reactor,1,1,1,1,1,28,0.077715,,Intermittent ,720,30,28,,,9
Use of potassium dihydrogen phosphate and sawdust as adsorbents of ammoniacal nitrogen in aerobic composting process,"TianJue Hu et al.,2007",China,Journal of Hazardous Materials,Lignin,OFMSW,Sawdust,,Chemical,KH?PO?,,,,0.06,62,6.5,1.22,37.78,30.96721311,,,,,,,,7.29268,,,4.3253,,,,,,,13,,,,,,,,,,Reactor,1,1,1,1,1,28,0.077715,,Intermittent ,720,30,28,,,9
A new method for conservation of nitrogen in aerobic composting processes,"Yeon Koo Jeong et al.,2001",South Korea,Bioresource Technology,Food waste,Food waste,Sawdust,Seed compost,None,,,,,0,,,,,18.5,,,,3,,,,,,,,,,,,,,,,,22,,,,,,,Reactor,1,1,1,1,1,20,0.02,,Continuous,0,,20,1.066666667,,7
A new method for conservation of nitrogen in aerobic composting processes,"Yeon Koo Jeong et al.,2001",South Korea,Bioresource Technology,Food waste,Food waste,Sawdust,Seed compost,Chemical,Mg(OH)?,H?PO?,,,20,,,,,18.5,,,,3,,,,,,,,,,,,,,,,,4.8,,,,,,,Reactor,1,1,1,1,1,20,0.02,,Continuous,0,,20,1.066666667,,7
Combined use of nitrification inhibitor and struvite crystallization to reduce the NH3 and N2O emissions during composting,"Tao Jiang et al.,2016",China,Bioresource Technology,Manure,Swine manure,Corn stalk,,None,,,,,0,52.2,8.56091,2.23,55.304,24.8,,20.6726,,,3.66383,0.0498696,,8.03008,2.99082,,,,116.83,,,0.537815,0.460384,43.9,,,38.7,1.5,,,,,,Reactor,1,1,1,1,1,28,0.06,,Continuous,0,,28,0.25,,3
Combined use of nitrification inhibitor and struvite crystallization to reduce the NH3 and N2O emissions during composting,"Tao Jiang et al.,2016",China,Bioresource Technology,Manure,Swine manure,Corn stalk,,Chemical,Mg(OH)?,H?PO?,,,3.728232,52.2,8.08092,2.23,55.304,24.8,,18.7371,,,1.71425,0.063166,,8.19243,3.5393,,,,106.765,,,1.09244,0.503597,22.3,,,17.9,1.4,,,,,,Reactor,1,1,1,1,1,28,0.06,,Continuous,0,,28,0.25,,3
Combined use of nitrification inhibitor and struvite crystallization to reduce the NH3 and N2O emissions during composting,"Tao Jiang et al.,2016",China,Bioresource Technology,Manure,Swine manure,Corn stalk,,Chemical,Mg(OH)?,H?PO?,DCD,,3.783982,52.2,8.04706,2.23,55.304,24.8,,21.6779,,,1.84099,0.05231,,8.28211,3.55242,,,,108.157,,,1.17162,0.341486,20.2,,,16.1,1,,,,,,Reactor,1,1,1,1,1,28,0.06,,Continuous,0,,28,0.25,,3
Evaluation of medical stone amendment for the reduction of nitrogen loss and bioavailability of heavy metals during pig manure composting,"Quan Wang et al.,2016",China,Bioresource Technology,Manure,Swine manure,Sawdust,,None,,,,,0,58,9.0061,1.43721,50,33,1.59366,,,,0.593671,0.163224,,8.51,2.35383,40.6894823,17.2865,1.8,74.9231,,,0.035443,0.689169,,,70.11205,,,,,,,,Reactor,1,0,0,1,1,60,0.1,0.5,None,,,,,,
Evaluation of medical stone amendment for the reduction of nitrogen loss and bioavailability of heavy metals during pig manure composting,"Quan Wang et al.,2016",China,Bioresource Technology,Manure,Swine manure,Sawdust,,Physical,medicine stone,,,,2.5,58,9.00741,1.41191,48.51929881,34.3643,1.7147,,,,0.567089,0.18136,,8.33,2.28154,39.18020196,17.1727,1.84,75.6934,,,0.0265823,1.00655,,,38.9741392,,,,,,,,Reactor,1,0,0,1,1,60,0.1,0.5,None,,,,,,
Evaluation of medical stone amendment for the reduction of nitrogen loss and bioavailability of heavy metals during pig manure composting,"Quan Wang et al.,2016",China,Bioresource Technology,Manure,Swine manure,Sawdust,,Physical,medicine stone,,,,5,58,8.9963,1.40468,48.75068361,34.7059,1.62536,,,,0.646835,0.175315,,8.32,2.13697,37.30572638,17.4573,2,84.7699,,,0.0443038,1.02166,,,28.4224239,,,,,,,,Reactor,1,0,0,1,1,60,0.1,0.5,None,,,,,,
Evaluation of medical stone amendment for the reduction of nitrogen loss and bioavailability of heavy metals during pig manure composting,"Quan Wang et al.,2016",China,Bioresource Technology,Manure,Swine manure,Sawdust,,Physical,medicine stone,,,,7.5,58,8.9,1.35045,45.79227401,33.9089,1.7147,,,,0.611392,0.16927,,8.22,2.10805,35.8408553,17.0019,2.07,82.5414,,,0.0620253,0.897733,,,21.9051887,,,,,,,,Reactor,1,0,0,1,1,60,0.1,0.5,None,,,,,,
Evaluation of medical stone amendment for the reduction of nitrogen loss and bioavailability of heavy metals during pig manure composting,"Quan Wang et al.,2016",China,Bioresource Technology,Manure,Swine manure,Sawdust,,Physical,medicine stone,,,,10,58,8.84815,1.30709,45.81010607,35.0474,1.84726,,,,0.540506,0.154156,,8.02,1.96349,34.83604323,17.7419,2.34,84.2347,,,0.0177215,0.912846,,,11.17242,,,,,,,,Reactor,1,0,0,1,1,60,0.1,0.5,None,,,,,,
Composting domestic sewage sludge with natural zeolites in a rotary drum reactor,"J. Villase?or et al.,2011",Spain,Bioresource Technology,Sewage sludge,Sewage sludge,Barley straw,,None,,,,,0,68.1481,8.9,,,35.4459,,,,,,,66.1728,,,,,,,,,,,,,,47.15834118,,33.7114,,,,,Reactor,1,1,1,1,1,,,,,,,,,,
Composting domestic sewage sludge with natural zeolites in a rotary drum reactor,"J. Villase?or et al.,2011",Spain,Bioresource Technology,Sewage sludge,Sewage sludge,Barley straw,,Physical,zeolite,,,,25,56.0494,,,,,,,,,,,35.0617,,,,,,,,,,,,,,42.00049412,,56.2698,,,,,Reactor,1,1,1,1,1,,,,,,,,,,
Composting domestic sewage sludge with natural zeolites in a rotary drum reactor,"J. Villase?or et al.,2011",Spain,Bioresource Technology,Sewage sludge,Sewage sludge,Barley straw,,Physical,zeolite,,,,25,61.2346,,,,,,,,,,,33.8272,,,,,,,,,,,,,,52.22403529,,52.993,,,,,Reactor,1,1,1,1,1,,,,,,,,,,
Composting domestic sewage sludge with natural zeolites in a rotary drum reactor,"J. Villase?or et al.,2011",Spain,Bioresource Technology,Sewage sludge,Sewage sludge,Barley straw,,Physical,zeolite,,,,25,55.0617,,,,,,,,,,,37.7778,,,,,,,,,,,,,,36.04332941,,45.3554,,,,,Reactor,1,1,1,1,1,,,,,,,,,,
Composting domestic sewage sludge with natural zeolites in a rotary drum reactor,"J. Villase?or et al.,2011",Spain,Bioresource Technology,Sewage sludge,Sewage sludge,Barley straw,,Physical,zeolite,,,,10,65.679,,,,,,,,,,,55.5556,,,,,,,,,,,,,,43.65751765,,32.0312,,,,,Reactor,1,1,1,1,1,,,,,,,,,,
Composting domestic sewage sludge with natural zeolites in a rotary drum reactor,"J. Villase?or et al.,2011",Spain,Bioresource Technology,Sewage sludge,Sewage sludge,Barley straw,,Physical,zeolite,,,,40,46.9136,,,,,,,,,,,50.1235,,,,,,,,,,,,,,27.44831765,,47.5733,,,,,Reactor,1,1,1,1,1,,,,,,,,,,
不同化学添加剂对猪粪堆肥中氮素损失的控制,"Chunmei Shi et al.,2011",China,Journal of Agro-Environment Science (in Chinese),Manure,Swine manure,Corn stalk,,None,,,,,0,,8.23826,,,20.7524,,54.4441,,,5.11732,0.110738,,8.48658,,,12.1754,,89.82,,,2.09999,0.271253,31.51,,,23.2,,,,,,,Reactor,1,1,1,1,1,39,0.06,,Continuous,0,,39,,,5
不同化学添加剂对猪粪堆肥中氮素损失的控制,"Chunmei Shi et al.,2011",China,Journal of Agro-Environment Science (in Chinese),Manure,Swine manure,Corn stalk,,Chemical,Mg(OH)?,H?PO?,,,,,8.10403,,,20.7524,,36.1111,,,6.36872,0.0922819,,8.03691,,,8.43275,,99.54,,,6.54688,0.192394,13.15,,,9.6,,,,,,,Reactor,1,1,1,1,1,39,0.06,,Continuous,0,,39,,,5
不同化学添加剂对猪粪堆肥中氮素损失的控制,"Chunmei Shi et al.,2011",China,Journal of Agro-Environment Science (in Chinese),Manure,Swine manure,Corn stalk,,Chemical,H?PO?,,,,,,6.68792,,,20.7524,,53.8882,,,8.9162,0.0805369,,7.57383,,,11.3957,,69.87,,,9.45195,0.23434,11.5,,,7.1,,,,,,,Reactor,1,1,1,1,1,39,0.06,,Continuous,0,,39,,,5
不同化学添加剂对猪粪堆肥中氮素损失的控制,"Chunmei Shi et al.,2011",China,Journal of Agro-Environment Science (in Chinese),Manure,Swine manure,Corn stalk,,Chemical,KH?PO?,MgO,,,,,7.7349,,,20.7524,,26.3889,,,5.63128,0.0766219,,7.45973,,,9.21248,,118.24,,,6.81507,0.207494,10.69,,,8.46,,,,,,,Reactor,1,1,1,1,1,39,0.06,,Continuous,0,,39,,,5
不同化学添加剂对猪粪堆肥中氮素损失的控制,"Chunmei Shi et al.,2011",China,Journal of Agro-Environment Science (in Chinese),Manure,Swine manure,Corn stalk,,Chemical,Ca(H?PO?)?,MgO,,,,,6.84899,,,20.7524,,40.8333,,,6.65924,0.0704698,,7.33893,,,9.64912,,107.42,,,9.20614,0.189038,7.59,,,5.45,,,,,,,Reactor,1,1,1,1,1,39,0.06,,Continuous,0,,39,,,5
除臭菌株对NH3和H2S释放及物质转化的影响,"Chunmei Liu et al.,2011",China,Journal of Agro-Environment Science (in Chinese),Manure,Cow manure,Straw,,None,,,,,0,65,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turning,0,1,0,1,0,15,3.6,,None,,,,,,
除臭菌株对NH3和H2S释放及物质转化的影响,"Chunmei Liu et al.,2011",China,Journal of Agro-Environment Science (in Chinese),Manure,Cow manure,Straw,,Biological,Microbiological agent,,,,0.5,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turning,0,1,0,1,0,15,3.6,,None,,,,,,
除臭菌株对NH3和H2S释放及物质转化的影响,"Chunmei Liu et al.,2011",China,Journal of Agro-Environment Science (in Chinese),Manure,Cow manure,Straw,,Biological,Microbiological agent,,,,0.5,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turning,0,1,0,1,0,15,3.6,,None,,,,,,
除臭菌株对NH3和H2S释放及物质转化的影响,"Chunmei Liu et al.,2011",China,Journal of Agro-Environment Science (in Chinese),Manure,Cow manure,Straw,,Biological,Microbiological agent,,,,0.5,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turning,0,1,0,1,0,15,3.6,,None,,,,,,
除臭菌株对NH3和H2S释放及物质转化的影响,"Chunmei Liu et al.,2011",China,Journal of Agro-Environment Science (in Chinese),Manure,Cow manure,Straw,,Biological,Microbiological agent,,,,0.5,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turning,0,1,0,1,0,15,3.6,,None,,,,,,
除臭菌株对NH3和H2S释放及物质转化的影响,"Chunmei Liu et al.,2011",China,Journal of Agro-Environment Science (in Chinese),Manure,Cow manure,Straw,,Biological,Microbiological agent,,,,0.5,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turning,0,1,0,1,0,15,3.6,,None,,,,,,
沸石作为添加剂对鸡粪高温堆肥氨挥发的影响,"Yiming Luo et al.,2011",China,Transactions of the Chinese Society of Agricultural Engineering(in Chinese),Manure,Poultry manure,Corn stalk,,None,,,,,0,60,8.01542,2.8,33.8,12,3.9816,,,,3.91837,,,8.76872,,,,4.98773,,,,2.88435,,,,,,,,,,,,Windrow,0,1,0,0,0,46,1,,None,,,,,,2
沸石作为添加剂对鸡粪高温堆肥氨挥发的影响,"Yiming Luo et al.,2011",China,Transactions of the Chinese Society of Agricultural Engineering(in Chinese),Manure,Poultry manure,Corn stalk,,Physical,Zeolite,,,,25,60,7.7511,,,,3.26994,,,,2.4898,,,8.47137,,,,4.07975,,,,3.76871,,,,,,,,,,,,Windrow,0,1,0,0,0,46,1,,None,,,,,,2
化学改良剂对稻草猪粪堆肥氨气释放规律及其腐熟进程的影响,"Bing Li et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Swine manure,Straw,,None,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Static,0,0,0,0,0,55,,,None,,,,,,
化学改良剂对稻草猪粪堆肥氨气释放规律及其腐熟进程的影响,"Bing Li et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Swine manure,Straw,,Chemical,CaSO?,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Static,0,0,0,0,0,55,,,None,,,,,,
化学改良剂对稻草猪粪堆肥氨气释放规律及其腐熟进程的影响,"Bing Li et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Swine manure,Straw,,Chemical,Al?(SO?)?,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Static,0,0,0,0,0,55,,,None,,,,,,
化学改良剂对稻草猪粪堆肥氨气释放规律及其腐熟进程的影响,"Bing Li et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Swine manure,Straw,,Chemical,CaCl?,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Static,0,0,0,0,0,55,,,None,,,,,,
化学改良剂对稻草猪粪堆肥氨气释放规律及其腐熟进程的影响,"Bing Li et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Swine manure,Straw,,Chemical,Superphosphate,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Static,0,0,0,0,0,55,,,None,,,,,,
化学改良剂对稻草猪粪堆肥氨气释放规律及其腐熟进程的影响,"Bing Li et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Swine manure,Straw,,Chemical,H?PO?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Static,0,0,0,0,0,55,,,None,,,,,,
化学改良剂对稻草猪粪堆肥氨气释放规律及其腐熟进程的影响,"Bing Li et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Swine manure,Straw,,Chemical,H?SO?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Static,0,0,0,0,0,55,,,None,,,,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,None,,,,,0,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,1.81678,10.53932246,5.8011,,,,,5.98361,0.500126,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,Chemical,FeCl?,,,,5.15,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,2.46811,15.74955289,6.38122,,,,,7.29508,0.306967,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,Chemical,FeCl?,,,,9.49,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,2.29713,18.08514369,7.87293,,,,,14.0984,0.313804,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,Chemical,FeCl?,,,,12.1,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,2.46955,15.75874185,6.38122,,,,,15.8197,0.396196,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,Chemical,FeCl?,,,,17.63,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,2.12689,13.66027006,6.42265,,,,,18.4426,0.458588,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,Physical,Superphosphate,,,,5.2,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,2.43483,15.23451218,6.25691,,,,,7.95082,0.687646,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,Physical,Superphosphate,,,,8.26,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,2.57108,13.74319392,5.3453,,,,,10.082,0.627817,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,Physical,Superphosphate,,,,9.99,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,2.49048,15.58270922,6.25691,,,,,8.60656,0.601323,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,Physical,Superphosphate,,,,15.17,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,2.46408,12.5586519,5.09669,,,,,10.6557,0.337053,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,Chemical,FeCl?,Superphosphate,,,5.8,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,2.43767,17.97949824,7.37569,,,,,8.27869,0.295002,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,Chemical,FeCl?,Superphosphate,,,10.8,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,2.58299,24.40282385,9.44751,,,,,9.2623,0.357397,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,Chemical,FeCl?,Superphosphate,,,15.94,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,2.62889,18.08268842,6.87845,,,,,15.5738,0.339789,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
氯化铁和过磷酸钙控制堆肥氮素损失的效果研究,"Xiaofeng Lin et al.,2008",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat straw,,Chemical,FeCl?,Superphosphate,,,19.66,60,,2.66,37.6922,14.17,,,,,10,0.220048,,,2.44888,14.51061804,5.92541,,,,,13.3607,,,,,,,,,,,,Static,1,0,1,1,0,36,,,Continuous,0,,36,,,
镁盐添加对猪粪堆肥过程中氮、磷养分保留的影响,"Yu Yang et al.,2008",China,Environmental Science (in Chinese),Manure,Swine manure,Sawdust,,None,,,,,0,61.8,6.33927,2.86133,47.211945,16.5,,,15.32,5.85224,3.54381,,,8.55779,2.31954,,,,,,,2.08763,,,46.61176471,,34.9,,,,,,,Reactor,1,0,1,1,1,26,0.0212,0.722641509,Continuous,0,,26,0.911331957,,0
镁盐添加对猪粪堆肥过程中氮、磷养分保留的影响,"Yu Yang et al.,2008",China,Environmental Science (in Chinese),Manure,Swine manure,Sawdust,,Chemical,MgCl?,,,,0.56,61.8,6.19896,2.98895,,,,,15.35,5.8637,3.73711,,,7.92005,2.72378,,,,,,,3.28608,,,19.97058824,,15,,,,,,,Reactor,1,0,1,1,1,26,0.0212,0.724056604,Continuous,0,,26,0.909550852,,0
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,None,,,,,0,45,,2.4,32.2,13.42,,,,,6.54828,,,,1.41892,,,,,,,10.9718,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,4.4,,,2.4,32.2,13.42,,,,,6.54828,,,,3.06757,,,,,,,9.41205,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,8.8,,,2.4,32.2,13.42,,,,,6.54828,,,,3.09459,,,,,,,9.19746,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,13.2,,,2.4,32.2,13.42,,,,,6.54828,,,,3.05405,,,,,,,10.3987,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,17.8,,,2.4,32.2,13.42,,,,,6.54828,,,,3.14865,,,,,,,11.8479,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,22,,,2.4,32.2,13.42,,,,,6.54828,,,,3.24324,,,,,,,11.3501,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,3.4,,,2.4,32.2,13.42,,,,,6.54828,,,,3.09459,,,,,,,6.53378,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,6.9,,,2.4,32.2,13.42,,,,,6.54828,,,,3.10811,,,,,,,15.8412,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,10.3,,,2.4,32.2,13.42,,,,,6.54828,,,,3.25676,,,,,,,10.5647,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,13.7,,,2.4,32.2,13.42,,,,,6.54828,,,,3.09459,,,,,,,10.1731,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,17.2,,,2.4,32.2,13.42,,,,,6.54828,,,,3.21622,,,,,,,7.19744,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,2.5,,,2.4,32.2,13.42,,,,,6.54828,,,,3.24324,,,,,,,11.2306,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,5,,,2.4,32.2,13.42,,,,,6.54828,,,,3.27027,,,,,,,15.4054,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,7.4,,,2.4,32.2,13.42,,,,,6.54828,,,,3.28378,,,,,,,8.99617,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
氢氧化镁和磷酸固定剂控制堆肥氮素损失的研究,"Limei Ren et al.,2009",China,Journal of Agro-Environment Science (in Chinese),Manure,Poultry manure,Wheat bran,,Chemical,Mg(OH)?,H?PO?,H?O,,10,,,2.4,32.2,13.42,,,,,6.54828,,,,3.28378,,,,,,,9.87881,,,,,,,,,,,,Reactor,1,1,0,1,1,19,,,None,,,,,,
