material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,CO2-C loss  (%)
0,1.3920430544185733,68.18623997499785,29.20758412993209,9.355896042498209,1.9274718812938154,2,1.2109424511022624,0,[55.48780376]
3,8.794030253925651,60.117684792458824,13.175424134205803,12.200403820571925,9.845642378596345,3,0.4606606932142707,3,[51.62971638]
3,3.5648832915175257,76.39051214424197,68.32684333454387,55.91796549700394,4.976513457522528,0,1.1173505383573037,4,[57.59564339]
3,1.1392764758690401,114.18832770876504,64.59331112868993,6.21904869228853,7.160737810146545,0,2.0293275252063534,2,[55.99837979]
4,2.9267219832941684,64.11589437057164,11.249273063349454,14.545466778932207,1.3558181789831116,10,0.786307442644798,2,[55.73003541]
2,5.123092594397277,76.03871455075951,35.82544610454255,10.907331252723493,0.22256530901334437,6,0.5385487256927455,2,[54.70257679]
1,3.2285247404057813,51.6726901257043,2.0176330583545172,18.574577963546876,3.345616572658118,9,0.5071887462241982,0,[58.55386463]
1,9.960013260348783,76.28392210719424,17.298659274628417,18.422301537347636,6.923537973247806,9,0.5632014089372905,4,[55.43459582]
2,9.268582294795294,49.46472678032439,84.94323327256606,34.13281303538815,8.145678505394004,6,0.9690724433698978,4,[48.28190064]
3,0.5518983566155553,36.02020860830061,64.4255383865497,7.548352725802559,2.7240848171621845,5,0.36549801197556064,1,[60.03989271]
0,1.6482142083765514,69.5047078008088,9.586491056591452,19.203480831662652,9.514079074407917,5,1.4260136806512058,1,[53.67585391]
0,-0.9288894135629674,115.95001854660504,49.016333146455665,18.190054222060834,2.4956871076397404,9,2.1041426504329888,1,[54.19427237]
3,2.825031409762222,55.915688907802874,61.347721865215874,12.348751745812901,2.3000274414814714,7,2.191726617720345,4,[51.56744482]
1,-0.26058152081765595,87.21541946495311,69.70803828385672,8.597029031023059,2.4913177480129036,4,0.160608005155364,1,[53.16404324]
3,9.846181985301193,80.42415011385594,70.24179977944702,4.104076848517212,6.919234740051417,0,0.5448171239384862,4,[61.98078549]
4,9.427735613611127,60.250825836165994,38.49481097507114,-0.6322353808507126,0.635411494782347,0,1.9295338386225094,2,[53.01007722]
5,-0.8643582539178307,75.56702928268395,8.16460976235856,15.792337344184332,2.8927594670682404,8,1.9345744148434605,2,[54.24638592]
0,5.899588795037939,63.794687169739845,22.941609096253543,4.0160445901845225,3.8223654456824745,7,0.7096069654160573,1,[53.9139736]
0,1.7554293094098372,67.61742725024659,60.9341713195473,19.701137473468727,10.611128974509207,0,1.582523461153512,4,[55.18311405]
4,8.563317625751774,68.0624746483187,65.5135965011999,1.3807086717120334,0.7612500494976875,6,0.4453598825119567,0,[54.88506995]
4,5.880168119841638,41.79174324040014,20.09217592408306,4.673405760892053,2.5861771709393255,9,0.8889547870541126,0,[52.408952]
0,6.563797782318534,139.34297909511278,68.04088423813471,12.183666276013362,8.59420399771963,1,1.0496304275216026,0,[51.60063969]
0,3.533156900065673,63.52624844093121,55.20990141721931,11.760160917473394,6.13570394415941,8,0.27532236300245927,0,[57.96984968]
2,8.804641646591978,77.07337149583444,70.79064827389762,20.281841543644507,5.491045109945978,3,0.6569127897859381,4,[62.23856705]
0,0.16990939082189027,42.24781532963568,24.303675116087252,18.79929343150211,3.66632438396376,2,1.1416098294631105,1,[54.87507309]
1,4.314527831552916,91.12123203186718,38.28344655293352,12.09051780742144,3.796465940333028,10,1.094798087328039,1,[51.51333186]
4,0.9987877586318084,45.6257176522973,18.233072211809162,11.459100708251833,6.25268965064606,4,2.3080601162998846,4,[50.80848219]
5,9.63527294962685,44.67198336707657,74.03892864246723,19.82027553410159,-0.12744887726690413,9,1.8716251307982557,0,[51.00258155]
1,4.3578292225647095,40.14209893944937,70.44683907943825,18.815094686408298,-0.7840638972515881,4,1.9848836037458613,2,[59.68819285]
2,0.4589525575056572,49.838852726813464,31.02182005591237,3.955993797191291,5.80656184941187,8,0.852089234944119,3,[54.30371534]
3,5.9157253065480875,59.24386541501898,73.76093019127055,9.958386866487395,7.643513485615929,1,0.974215385318038,2,[55.33713021]
2,4.553207792845563,54.35828460731431,8.528429991174038,9.156231305404816,-0.5296652816678342,8,2.2000012212382973,4,[54.46787907]
0,7.70310996243645,57.04784008625288,75.70087645573321,46.49811940340139,7.0702417279851195,0,2.4769726939136554,0,[58.15340841]
