material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,CH4-C loss (%)
5,8.311792235857286,16.54215418655547,3.065415504543203,23.02376986832888,-0.37752989006560433,3,3.2890427033107756,0,[0.85263924]
5,3.932669537868736,19.238720296297323,8.662452138920013,34.61143034103885,-0.8021188761697592,7,11.261114269318693,1,[0.85398534]
4,3.882995714555957,180.79783451423998,86.49975956584322,50.294660602025694,0.6569151769715806,6,1.5768627264857509,0,[0.96251302]
3,5.0323806651002805,145.3862219789008,86.24391058641984,48.48490349982467,5.6321845094733165,8,2.839156920106409,3,[0.98199598]
1,2.2163665937360717,159.56038270488716,74.50478173186556,42.45095057149308,10.626977088714359,9,7.975791726851145,2,[0.87540132]
0,-0.021243780359430198,15.64776701896457,-0.6844204119643471,26.82616998541828,3.460910152301761,7,5.200010839607215,2,[0.93523846]
4,0.9029746185200795,173.33261450174962,72.31275175368896,54.109936500024396,8.675637722376909,4,12.375972763364816,0,[0.92668451]
3,4.421195363124465,162.98861931105418,67.97722053005577,46.76128371056529,9.982323252556109,0,3.2086215274248846,4,[0.98189006]
4,9.360736379792032,155.40191418607523,78.86097583911321,54.087301560723716,8.154574863796206,1,13.488291619280197,3,[0.94267488]
5,6.061507185938474,143.5295493675156,78.5470913546899,54.69116310883838,2.2764473958440425,0,5.350569962377111,2,[0.95693025]
2,-0.8652586755727225,13.191763417816576,2.959764633110178,33.45389373139229,1.4663011494807883,5,9.418908920651754,0,[0.91909281]
3,3.321087704125447,187.78151411078755,73.14114978504014,53.135868036395195,8.969997239487997,0,0.6631905085662783,3,[1.03819274]
0,10.006958271955002,153.74200469391448,81.57614841631444,53.24288447790718,9.880287258286785,1,8.557942282509215,4,[1.01464169]
2,7.816996753008164,151.29883570561802,86.87655548601877,48.66472363360784,8.031958926543139,4,3.3478749922841144,0,[1.03383221]
5,2.99678447180365,12.742138358192387,-0.681156205137046,50.56210999206219,-0.5734357751865407,10,6.6080814610216505,0,[1.03145359]
2,-0.8610152115659021,194.32664362507091,52.5952289257008,41.63944696073982,5.545026233354825,5,4.531310699489497,2,[0.83675219]
3,-0.6188465199514894,184.96551246394327,62.887438907954774,50.34732023120744,3.647703904757968,2,5.653589582114105,0,[0.91063884]
3,1.071467622252793,153.03662242952055,69.85308673282996,51.697968201104686,8.492523309842248,3,3.647849600348412,0,[0.97610856]
5,2.305395779053129,23.096410330184007,0.14460153709257734,36.852308440730326,0.8854704840967562,8,2.234337998011444,4,[0.98072155]
5,4.795373279450048,168.12948523629427,85.80077201985924,48.97176926698626,4.455185109824816,3,6.026954639856822,3,[0.98250879]
0,10.199403218343667,12.644414217057841,1.783548944217216,50.172807191715954,-0.7048679095087753,1,15.047339222362961,4,[0.90309263]
5,9.66084318495208,148.35094894070863,84.0168009052518,50.88265499283659,2.9281054743358395,3,10.266976761251568,4,[0.9234407]
5,7.2982100328494885,162.59604874516216,76.59042704270146,55.73999130673225,8.372481602838903,4,12.942296685599606,4,[0.94342959]
4,3.6878971579802435,148.68463347238773,86.1082298979839,44.36760125368639,10.405786442763503,1,6.473037196258559,0,[1.00122129]
0,3.7635744744251998,164.6155572299993,83.65349088916022,50.58950322302392,-0.22966860185600577,10,1.4595529695165221,1,[0.96221796]
4,4.490979439771696,168.62892637634477,67.76067876057321,51.41541696425581,10.132467259009314,9,0.1506681560306007,0,[1.0011279]
0,-0.5318287398910246,136.63120641469635,87.93748271471021,35.64305575455344,-0.08120430239153309,1,0.4488394713529267,3,[0.90654164]
4,8.393984705288023,150.90258124897883,86.71919564978796,55.88801753161108,2.449689459869313,0,2.482198415152482,2,[1.06467448]
0,-0.013633664216596175,19.07396053500866,4.525782608988687,37.132171931236776,4.275666511175963,9,1.381568665015151,0,[0.94491841]
