material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,TN loss (%)
1,18.74819012880566,30.523528905865785,9.547440468008068,4,32,-0.8187604628911516,44.142580899728365,3,[39.56417195]
3,14.638920802801861,69.67408044095482,3.510958248088855,2,29,3.5300683244882882,2.9711651174049725,4,[41.18881527]
3,11.129581502665317,79.80792110540449,6.587564902031165,2,24,7.975212228072067,126.70866928576741,1,[36.03880243]
2,11.912879024599306,75.7883040204682,-0.8205197994914466,2,12,3.0058675537823243,40.39329936434681,4,[52.44014715]
2,5.438003876437741,44.29831862687388,8.660511925320538,0,22,6.072822417794912,40.618707464264304,4,[37.12629645]
0,-0.5640959339288896,71.04513453672648,5.384997320243491,2,1,3.061656004391306,26.858226507505268,4,[43.53570159]
6,12.152884241716066,80.36253174672932,2.3348916244600173,5,11,10.160747906277479,65.20741826355501,4,[40.56449443]
5,3.713239310002473,68.50652130981153,7.666592148667459,4,13,6.793045429665938,134.0360997963298,4,[44.89002113]
0,34.07373166809068,39.06758021793115,5.3105558926597425,2,32,0.49779891554312605,12.560724357297163,4,[53.15493917]
4,14.230715978970377,64.66955626300323,5.219363817131097,3,0,8.678151702110986,91.92733694152673,4,[47.0542908]
3,22.706980860254248,4.064142130005855,8.591033336692448,4,59,-0.055180768771237565,58.57713322247159,0,[40.03500336]
3,12.753661001289014,69.28737817169629,1.5779203738860184,3,34,3.072840065211494,52.93164791937485,4,[44.13044298]
3,7.428528583289022,80.6604563511207,4.622173745493575,3,20,11.716080194738852,-0.5792756197638238,4,[36.67233958]
3,23.646591985626635,8.44877107889158,2.8586743999197055,5,45,-0.022808050906285682,27.099446804033786,4,[46.78937701]
2,25.93641900393667,7.219423077557046,2.5946006392417433,3,46,-0.08271314848093114,9.127050864799662,1,[38.31113644]
3,17.919350987208563,11.519345605656119,6.386467323918326,0,39,-0.6860889815040625,12.648543542728472,4,[60.69309051]
5,35.18807746027859,41.55490781433393,0.6686895137775051,0,20,-0.05155810628839985,16.26438654785908,4,[48.36700983]
