material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,TC loss  (%)
2,2.662134992489101,157.22578656696965,23.32384723161325,19.93435109738285,7.848077350296146,7,14.480027959315136,1,[56.14586603]
3,2.839957399145653,66.91606743910009,32.17607230985436,2.635908744831309,9.431086547648633,7,10.114137805931728,4,[56.03534585]
1,7.208131403994727,6.0359423991530985,66.13764885762107,52.972015542707176,7.887674382898052,2,55.468324370130254,0,[58.02180307]
1,2.100889325228269,49.063307784340545,47.58694438861477,9.462123795394096,4.4587046543505915,5,55.79997006912871,1,[57.99856369]
4,3.8797604283605764,26.968517957662677,65.05618097461104,52.72552462914793,9.133725036770217,1,55.33090525750616,3,[52.91865109]
0,9.151853171063868,123.58826385737274,37.88111532468557,7.4251448441900685,8.276668949235738,3,29.481970546151974,4,[55.4507394]
4,-0.9657020173668922,152.746752489024,68.64598343445549,17.077865886608727,9.171170897779747,6,53.14569343332152,0,[56.63111597]
3,-0.9820103507328306,181.07184573438786,71.57771259639183,33.000161394297606,7.551492731313683,2,57.55248675849073,1,[58.23466513]
1,0.4668786013791222,164.923683874554,49.90171479440111,3.9961558271435598,6.415599768110472,6,57.31593865778832,0,[54.74070338]
1,-0.8007194205233146,55.480669263408934,21.07464377590811,16.039878022498467,3.8815037147712745,0,30.238382809303445,1,[53.21920953]
2,2.7405966275789986,153.79006445647425,27.926416625558677,18.825683092098863,3.558024159905237,4,56.40203691510923,3,[54.97439361]
2,3.3581773330656137,166.52716448669983,69.02404698133296,19.319531465505833,6.579976715254809,0,55.46718628350735,3,[56.73942718]
0,2.786643184123428,39.6987007464872,54.11834701056415,9.308251948080462,0.3648728450267107,5,40.15857903655328,0,[57.82630198]
2,1.9054185913608217,147.69533832476404,56.15859799689278,19.451505317721324,1.557007129767495,0,9.857683913977823,3,[50.97531989]
2,3.1466836092878205,132.47289383574469,71.3528436880221,18.171260858602533,2.223746641764767,7,55.103779164306495,2,[57.09312456]
