Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
0,6,3,32,13,2,0,0,1,15.0,15.0,0,0.0,0,0,24.37,0.17,69.6,0.26,22.23,15.51
0,6,3,32,13,2,0,0,1,42.04,23.07,0,3.76,0,0,4.83,1.42,64.28,0.79,20.52,16.67
0,6,3,31,13,2,0,0,1,15.0,6.0,0,0.0,0,0,0.0,0.17,70.6,0.29,17.43,16.04
0,6,3,30,12,2,0,0,1,15.0,6.0,0,0.0,0,0,3.1,0.17,70.8,0.29,15.34,14.97
0,6,3,30,12,2,0,0,1,15.0,6.0,0,0.0,0,0,3.44,0.17,70.1,0.28,16.88,13.55
0,6,3,30,12,2,0,0,1,15.0,6.0,0,0.0,0,0,3.69,0.17,69.8,0.28,16.27,15.16
0,6,3,31,13,2,0,0,1,15.0,15.0,0,0.0,0,0,0.0,0.17,71.5,0.28,17.7,14.81
0,6,3,30,12,2,0,0,1,15.0,15.0,0,0.0,0,0,3.67,0.17,72.3,0.28,18.42,16.67
0,6,3,30,12,2,0,0,1,15.0,15.0,0,0.0,0,0,7.02,0.17,71.3,0.27,19.39,12.98
0,6,3,30,12,2,0,0,1,15.0,15.0,0,0.0,0,0,10.35,0.17,71.1,0.27,19.25,13.2
9,6,3,31,13,2,0,1,0,70.0,0.0,2,0.0,0,9,0.0,1.2,69.1,0.0,18.89,35.3
9,6,3,40,13,2,0,1,0,70.0,0.0,2,0.0,0,9,3.3,1.2,69.77,0.0,18.89,28.0
9,6,3,40,13,2,0,1,0,70.0,0.0,2,0.0,0,9,6.6,1.2,70.9,0.0,18.89,21.2
9,6,3,40,13,2,0,1,0,70.0,0.0,2,0.0,0,9,9.9,1.2,70.77,0.0,18.89,16.8
9,6,3,40,13,2,0,1,0,70.0,0.0,2,0.0,0,9,13.2,1.2,70.77,0.0,18.89,14.8
9,6,3,40,13,2,0,1,0,70.0,0.0,2,0.0,0,9,16.5,1.2,69.78,0.0,18.89,8.3
7,5,3,31,13,2,0,0,1,42.04,23.07,1,3.76,5,6,4.83,1.42,64.28,0.79,20.52,12.84
8,5,3,13,13,2,0,0,1,22.0,22.0,0,0.0,0,10,3.05,0.0,59.4,0.36,16.96,16.29
8,5,3,13,13,2,0,0,1,22.0,22.0,0,0.0,0,10,3.05,0.0,57.5,0.4,16.18,18.74
8,5,3,31,13,2,0,0,1,22.0,22.0,0,0.0,0,10,0.0,0.0,58.2,0.34,18.47,33.88
7,2,0,31,13,2,0,0,1,45.0,45.0,1,17.0,4,20,0.0,2.4,55.0,6.67,30.49,17.96
7,2,0,1,13,2,0,0,1,45.0,45.0,1,17.0,4,20,0.44,2.4,55.0,6.67,29.15,3.22
7,2,0,34,13,2,0,0,1,45.0,45.0,1,17.0,4,20,0.44,2.4,55.0,6.67,31.29,5.64
7,2,3,31,13,2,0,0,1,42.04,23.07,0,3.76,0,11,4.83,1.42,64.28,0.79,20.52,10.35
7,2,3,27,13,2,0,0,1,42.04,23.07,0,3.76,0,11,4.83,1.42,64.28,0.79,20.52,2.05
7,2,3,27,13,2,0,0,1,42.04,23.07,0,3.76,0,11,4.83,1.42,64.28,0.79,20.52,2.36
3,2,3,31,13,2,0,0,1,30.0,30.0,0,0.0,0,4,0.0,0.06,60.6,0.2,20.0,24.9
3,2,3,21,4,2,0,0,1,30.0,30.0,0,0.0,0,4,2.14,0.06,55.85,0.2,17.3,12.6
3,2,3,40,13,2,0,0,1,30.0,30.0,0,0.0,0,4,3.2,0.06,55.58,0.2,19.82,15.3
3,2,3,9,13,2,0,0,1,30.0,30.0,0,0.0,0,4,2.22,0.06,55.85,0.2,17.3,8.9
3,2,3,3,13,2,0,0,1,30.0,30.0,0,0.0,0,4,2.54,0.06,55.58,0.2,19.82,8.9
3,2,3,31,13,2,0,0,1,19.0,19.0,0,0.0,0,8,0.0,0.48,70.0,10.0,26.39,16.55
3,2,3,25,13,2,0,0,1,19.0,19.0,0,0.0,0,8,3.0,0.51,70.0,10.0,26.39,12.88
3,2,3,23,4,2,0,0,1,19.0,19.0,0,0.0,0,8,6.9,0.51,70.0,10.0,26.35,12.88
3,2,3,25,10,0,0,0,1,19.0,19.0,0,0.0,0,8,9.9,0.57,70.0,10.0,26.35,2.99
9,5,3,31,13,2,0,1,0,42.04,23.07,0,3.76,0,11,4.83,1.42,64.28,0.79,20.52,21.4
9,5,3,27,13,2,0,1,0,42.04,23.07,0,3.76,0,11,4.83,1.42,64.28,0.79,20.52,20.7
9,5,3,31,13,2,0,1,0,112.0,0.0,2,0.0,0,11,0.0,1.24,64.9,0.0,14.25,18.4
9,5,3,27,13,2,0,1,0,112.0,0.0,2,0.0,0,11,2.82,1.63,64.5,0.0,13.54,19.7
3,5,3,19,13,2,0,0,1,35.0,35.0,0,0.0,0,8,2.25,0.02,65.15,0.5,29.01,27.1
3,5,3,19,10,1,0,0,1,35.0,35.0,0,0.0,0,8,1.82,0.02,65.43,0.5,32.02,0.47
3,5,3,19,10,1,0,0,1,35.0,35.0,0,0.0,0,8,2.57,0.02,65.1,0.5,30.34,10.43
3,5,3,19,10,1,0,0,1,35.0,35.0,0,0.0,0,8,3.32,0.02,64.81,0.5,26.95,17.37
3,5,3,19,10,1,0,0,1,35.0,35.0,0,0.0,0,8,4.07,0.02,65.15,0.5,29.05,29.18
9,6,3,31,13,2,0,0,1,40.0,30.0,1,30.0,9,6,0.0,0.11,64.55,7.69,16.54,26.0
9,6,3,40,13,2,0,0,1,40.0,30.0,1,30.0,9,6,6.0,0.11,63.56,7.32,16.4,11.8
9,6,3,37,13,2,0,0,1,40.0,30.0,1,30.0,9,6,15.0,0.05,62.07,6.82,15.97,21.5
9,6,3,43,13,2,0,0,1,40.0,30.0,1,30.0,9,6,1.46,0.11,65.17,7.79,16.35,20.2
3,1,3,29,13,2,0,0,1,24.0,24.0,0,0.0,0,16,2.56,0.03,63.5,0.76,20.5,12.86
3,1,3,31,13,2,0,0,1,24.0,24.0,0,0.0,0,16,0.0,0.03,63.5,0.77,20.5,10.23
3,6,3,44,13,2,0,0,1,42.04,23.07,1,3.76,1,19,4.83,1.42,64.28,0.79,20.52,9.65
3,6,3,20,13,2,0,0,1,42.04,23.07,1,3.76,1,19,4.83,1.42,64.28,0.79,20.52,13.45
8,6,3,31,13,2,0,0,1,56.0,56.0,1,0.0,0,10,0.0,0.13,55.0,1.11,25.02,1.02
8,6,3,4,13,2,0,0,1,56.0,56.0,1,0.0,0,10,2.0,0.13,55.0,1.11,25.09,0.2
8,6,3,4,13,2,0,0,1,56.0,56.0,1,0.0,0,10,4.0,0.13,55.0,1.11,25.0,0.11
8,6,3,4,13,2,0,0,1,56.0,56.0,1,0.0,0,10,6.0,0.13,55.0,1.11,23.99,0.11
8,6,3,4,13,2,0,0,1,56.0,56.0,1,0.0,0,10,8.0,0.13,55.0,1.11,22.32,0.06
8,6,3,4,13,2,0,0,1,56.0,56.0,1,0.0,0,10,12.0,0.13,55.0,1.11,21.14,0.04
8,6,3,4,13,2,0,0,1,56.0,56.0,1,0.0,0,10,18.0,0.13,55.0,1.11,20.4,0.02
3,3,3,31,13,2,0,0,1,25.0,25.0,0,0.0,0,17,0.0,0.03,66.0,0.82,17.0,21.2
3,3,3,24,8,2,0,0,1,25.0,25.0,0,0.0,0,17,2.22,0.03,66.0,0.81,14.13,32.8
3,3,3,24,7,2,0,0,1,25.0,25.0,0,0.0,0,17,1.82,0.03,66.0,0.81,13.84,12.6
3,3,3,24,5,2,0,0,1,25.0,25.0,0,0.0,0,17,1.42,0.03,66.0,0.81,13.89,3.5
4,1,3,31,13,2,0,1,0,69.0,0.0,2,0.0,0,18,0.0,0.08,80.7,0.0,20.38,11.4
4,1,3,4,13,2,0,1,0,69.0,0.0,2,0.0,0,18,3.0,0.08,80.7,0.0,22.77,8.14
4,1,3,41,13,2,0,1,0,69.0,0.0,2,0.0,0,18,4.0,0.08,80.7,0.0,19.47,4.23
4,1,3,41,0,2,0,1,0,69.0,0.0,2,0.0,0,18,3.0,0.08,80.7,0.0,22.13,7.93
9,6,3,31,13,2,0,0,1,35.0,35.0,0,0.0,0,4,0.0,0.06,69.2,0.3,18.4,32.5
9,6,3,14,9,2,0,0,1,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,0.3,18.4,14.5
9,6,3,15,11,2,0,0,1,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,0.3,18.4,16.0
9,6,3,5,11,2,0,0,1,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,0.3,18.4,13.3
9,6,3,14,11,2,0,0,1,35.0,35.0,0,0.0,0,4,1.64,0.06,69.2,0.3,18.4,5.9
9,6,3,31,13,2,0,0,1,30.0,30.0,0,0.0,0,6,0.0,0.12,66.11,2.57,17.58,1.6
9,6,3,0,13,2,0,0,1,30.0,30.0,0,0.0,0,6,5.0,0.12,66.17,2.57,19.17,1.18
9,6,3,0,13,2,0,0,1,30.0,30.0,0,0.0,0,6,10.0,0.12,62.65,2.57,16.93,0.86
9,6,3,0,13,2,0,0,1,30.0,30.0,0,0.0,0,6,20.0,0.12,59.03,2.57,18.93,0.69
9,6,3,7,13,2,0,0,1,30.0,30.0,0,0.0,0,6,1.0,0.12,66.15,2.57,21.4,0.85
9,7,3,31,13,2,0,0,1,28.0,28.0,0,0.0,0,4,0.0,0.06,62.06,0.36,17.91,13.18
9,7,3,40,13,2,0,0,1,28.0,28.0,0,0.0,0,4,10.0,0.06,58.69,0.36,18.23,11.36
3,6,3,31,13,2,0,0,1,30.0,30.0,1,40.0,3,4,0.0,0.06,53.59,0.79,32.46,23.17
3,6,2,31,13,2,0,0,1,30.0,30.0,1,40.0,3,4,0.0,0.06,58.78,0.77,23.95,14.5
3,6,3,36,13,2,0,0,1,30.0,30.0,1,40.0,3,4,0.0,0.06,58.07,0.78,23.6,12.31
3,6,3,25,13,2,0,0,1,30.0,30.0,1,40.0,3,4,0.0,0.06,58.07,0.78,23.6,20.84
