Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),Compost volume (m3),V1_Ventilation Type,V4_Ventilation Day,Application Rate (%DW),V3_Ventilation Duration (min),Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
8,13,4,38,11,4,1,0,1.0,0.0,7.0,84.0,0.1885,0.0,84.0,25.0,0.0,23.2,0.7,55.0617,45.3554
8,13,4,38,11,4,1,0,1.0,0.0,7.0,84.0,0.51738,0.0,84.0,10.0,0.0,23.7234,0.7,65.679,32.0312
8,13,4,38,11,4,1,0,1.0,0.0,7.0,84.0,0.097,0.0,84.0,40.0,0.0,20.45,0.7,46.9136,47.5733
10,13,4,27,11,4,1,1,0.0,0.0,10.0,70.0,1.2,2.0,0.0,0.0,0.0,18.89189,0.0,65.98,68.4
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,1.2,2.0,0.0,3.3,0.0,18.89189,0.0,65.04,64.1
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,1.2,2.0,0.0,6.6,0.0,18.89189,0.0,66.75,66.5
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,1.2,2.0,0.0,9.9,0.0,18.89189,0.0,68.86,60.6
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,1.2,2.0,0.0,13.2,0.0,18.89189,0.0,69.67,55.1
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,1.2,2.0,0.0,16.5,0.0,18.89189,0.0,68.91,42.2
10,13,4,27,11,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.0,0.0,18.4,0.3,69.2,64.9
10,13,4,13,7,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.4,0.0,18.4,0.3,69.2,63.1
10,13,4,31,9,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.4,0.0,18.4,0.3,69.2,60.6
10,13,4,4,9,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.4,0.0,18.4,0.3,69.2,58.5
10,13,4,13,9,4,1,0,1.0,0.0,4.0,35.0,0.06,0.0,35.0,0.4,0.0,18.4,0.3,69.2,42.9
10,14,4,27,11,4,1,0,1.0,0.0,4.0,28.0,0.06,0.0,28.0,0.0,0.0,17.91,0.36,62.06,35.76
10,14,4,4,11,4,1,0,1.0,0.0,4.0,28.0,0.06,0.0,28.0,10.0,0.0,18.23,0.36,58.69,31.91
8,13,4,27,11,4,1,0,1.0,0.0,6.0,34.0,0.06,0.0,34.0,0.0,0.0,11.37,0.27211,65.0,55.95
8,13,4,4,11,4,1,0,1.0,0.0,6.0,34.0,0.06,0.0,34.0,10.0,0.0,11.37,0.26291,65.0,50.26
8,13,4,4,3,4,1,0,1.0,0.0,6.0,34.0,0.06,0.0,34.0,10.28571,0.0,11.37,0.26265,65.0,49.66
8,13,4,4,3,4,1,0,1.0,0.0,6.0,34.0,0.06,0.0,34.0,14.57143,0.0,11.37,0.2589,65.0,49.64
10,13,4,27,11,4,1,0,1.0,0.0,6.0,35.0,0.06,0.0,35.0,0.0,0.0,18.43351,0.25,69.2,64.9
10,13,4,13,8,4,1,0,1.0,0.0,6.0,35.0,0.06,0.0,35.0,0.4,0.0,18.43351,0.25,68.94,63.1
10,13,4,4,11,4,1,0,1.0,0.0,6.0,35.0,0.06,0.0,35.0,4.0,0.0,18.43351,0.25,68.94,54.0
10,13,4,13,11,4,1,0,1.0,0.0,6.0,35.0,0.06,0.0,35.0,0.4,0.0,18.43351,0.25,68.94,42.2
7,13,4,27,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,17.1,0.0,2.0,31.0074,0.105,60.0,54.2
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,12.6,2.0,0.0,30.0553,0.105,60.0,52.1
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,22.1,4.0,2.0,30.3317,0.135,60.0,48.8
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,17.6,6.0,0.0,30.5467,0.135,60.0,42.3
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,26.6,8.0,4.0,31.0381,0.135,60.0,39.5
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,17.6,10.0,0.0,30.7924,0.135,60.0,38.7
10,13,4,27,11,4,1,0,1.0,0.0,9.0,50.0,0.1,0.0,50.0,0.0,0.0,25.0,0.3,55.0,19.4242
