Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V3_Ventilation Duration (min),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial Moisture Content (%),Initial pH,Initial TN (%),CH4-C loss (%)
0,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,0.0,0.0,31.0,0.01,0.0,0.43,16.5,83.0,8.45,2.60606,0.08564
0,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,0.0,0.0,31.0,0.01,0.0,0.21,16.5,83.0,8.45,2.60606,0.17394
7,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,0.0,0.0,31.0,0.01,0.0,0.48,6.1,71.0,6.8,5.77049,0.03724
7,13,4,27,11,4,1,0,1.0,0.0,0.0,31.0,0.0,0.0,31.0,0.01,0.0,0.23,6.1,71.0,6.8,5.77049,0.03629
7,13,4,2,11,4,1,0,1.0,0.0,0.0,31.0,0.0,0.0,31.0,0.01,37.7,0.43,12.2,65.0,6.95,3.9918,0.00574
7,13,4,2,11,4,1,0,1.0,0.0,0.0,31.0,0.0,0.0,31.0,0.01,37.7,0.48,12.2,65.0,6.95,3.9918,0.00447
10,13,4,27,11,4,1,0,1.0,5.0,4.0,30.0,25.0,1.0,30.0,0.06,0.0,0.48,17.86175,65.9,7.8444,2.17,1.6
10,13,4,30,11,4,1,0,1.0,5.0,4.0,30.0,25.0,1.0,30.0,0.06,10.0,0.48,18.73469,66.103,7.85581,1.96,0.6
10,13,4,30,3,4,1,0,1.0,5.0,4.0,30.0,25.0,1.0,30.0,0.06,10.2,0.48,17.73301,67.727,7.79357,2.06,0.6
10,13,4,30,3,4,1,0,1.0,5.0,4.0,30.0,25.0,1.0,30.0,0.06,5.2,0.48,17.80952,66.705,7.8112,2.1,0.7
8,13,4,27,11,4,1,0,1.0,720.0,9.0,45.0,20.0,1.0,45.0,0.12,0.0,0.32985,20.87533,65.0,7.26608,2.12881,0.14
8,13,4,28,11,4,1,0,1.0,720.0,9.0,45.0,20.0,1.0,45.0,0.12,5.0,0.34188,24.02493,65.0,6.76797,2.07981,0.06
8,13,4,28,11,4,1,0,1.0,720.0,9.0,45.0,20.0,1.0,45.0,0.12,1.0,0.43058,23.62663,65.0,6.57881,2.08171,0.05
8,13,4,36,11,4,1,0,1.0,720.0,9.0,45.0,20.0,1.0,45.0,0.12,1.0,0.33485,22.43681,65.0,6.9256,2.12881,0.02
8,13,4,13,11,4,1,0,1.0,720.0,9.0,45.0,20.0,1.0,45.0,0.12,3.0,0.39378,24.14319,65.0,6.13745,1.95851,0.04
8,13,4,22,11,4,1,0,1.0,720.0,9.0,45.0,20.0,1.0,45.0,0.12,3.0,0.33485,20.67287,65.0,7.07692,2.12881,0.08
8,13,4,4,11,4,1,0,1.0,720.0,9.0,45.0,20.0,1.0,45.0,0.12,5.0,0.34188,24.02493,65.0,6.70492,2.07981,0.04
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.0,0.0,35.0,0.06,0.0,0.1,11.37,72.86,7.84398,2.68,0.8
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.0,0.0,35.0,0.06,0.0,0.2,11.37,72.86,7.7688,2.68,0.6
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.0,0.0,35.0,0.06,0.0,0.3,11.37,72.86,7.89098,2.68,0.4
0,5,4,27,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.37021,0.0,0.0,14.425,71.43881,7.8,1.37,0.002
0,5,4,30,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.48821,0.0,0.0,14.425,70.10881,7.4,1.33,0.0007
0,5,4,30,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.48821,0.0,0.0,14.425,70.10881,7.4,1.38,0.0007
0,5,4,30,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.48821,0.0,0.0,14.425,70.10881,7.37,1.23,0.0003
0,5,4,33,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.37021,0.0,0.0,14.425,71.43881,7.7,1.42,0.0017
0,5,4,33,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.37021,0.0,0.0,14.425,71.43881,7.8,1.2,0.0012
0,5,4,33,11,4,1,2,0.0,0.0,0.0,133.0,0.0,2.0,0.0,0.37021,0.0,0.0,14.425,71.43881,7.8,1.22,0.0017
0,5,4,27,11,4,1,1,0.0,0.0,0.0,90.0,0.0,2.0,0.0,0.02069,0.0,0.0,13.695,73.564,7.455,2.31778,0.73
0,8,4,27,11,4,1,1,0.0,0.0,0.0,90.0,0.0,2.0,0.0,0.02069,0.0,0.0,13.695,73.564,7.455,2.31778,0.05
0,8,4,27,11,4,1,1,0.0,0.0,0.0,90.0,0.0,2.0,0.0,0.02069,0.0,0.0,13.695,73.564,7.455,2.31778,0.03
