Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V3_Ventilation Duration (min),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial Moisture Content (%),Initial pH,Initial TN (%),CH4-C loss (%)
1,8,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.0,0.0,28.0,0.01,0.0,0.28,12.9,67.0,7.55161,3.2093,0.00972
1,5,4,2,11,4,1,0,1.0,0.0,0.0,28.0,0.0,0.0,28.0,0.01,25.0,0.28,16.7,65.0,7.6381,2.93413,0.0009
1,5,4,2,11,4,1,0,1.0,0.0,0.0,28.0,0.0,0.0,28.0,0.01,14.28571,0.28,14.0,67.0,7.60213,3.24286,0.0024
1,13,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.0,0.0,28.0,0.01,0.0,0.28,14.0,65.0,7.71904,2.95714,0.00567
1,2,4,27,11,4,1,0,1.0,0.0,0.0,28.0,0.0,0.0,28.0,0.01,0.0,0.28,12.1,65.0,7.31177,3.34711,0.04746
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.0,0.0,37.0,0.06,0.0,0.24,14.7,64.1,8.6,2.36,7.5
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.0,0.0,37.0,0.06,0.0,0.48,18.3,65.2,8.5,2.08,3.7
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.0,0.0,37.0,0.06,0.0,0.72,20.7,63.7,8.3,1.9,0.8
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.0,0.0,37.0,0.06,0.0,0.24,18.4,71.3,8.5,2.06,7.2
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.0,0.0,37.0,0.06,0.0,0.48,21.1,70.6,8.3,1.9,1.7
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.0,0.0,37.0,0.06,0.0,0.72,15.0,70.8,8.7,2.35,4.2
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.0,0.0,37.0,0.06,0.0,0.24,21.2,75.7,8.4,1.93,6.4
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.0,0.0,37.0,0.06,0.0,0.48,14.9,76.8,8.6,2.37,5.7
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,0.0,0.0,37.0,0.06,0.0,0.72,18.0,74.0,8.6,2.09,3.8
10,13,4,27,11,4,1,0,1.0,0.0,1.0,31.0,0.0,0.0,30.0,0.95,5.47,0.312,13.16342,69.47,7.13,2.57,0.17
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,0.0,0.0,35.0,0.1559,0.0,0.46173,21.96203,66.03,7.12405,1.817,0.31
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,0.0,0.0,35.0,0.2984,0.0,0.46773,21.51131,65.69,7.33349,1.813,0.34
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,0.0,0.0,35.0,0.5697,0.0,0.46173,21.64477,66.14,7.12405,1.796,0.41
10,13,4,27,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,17.4,64.0,7.4,2.22,0.14
10,13,4,27,11,4,1,1,1.0,0.0,10.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,17.4,64.0,7.4,2.22,0.22
10,13,4,27,11,4,1,1,0.0,0.0,5.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,17.4,64.0,7.4,2.22,0.25
10,13,4,27,11,4,1,1,1.0,0.0,5.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,17.4,64.0,7.4,2.22,0.36
10,13,4,27,11,4,1,1,0.0,0.0,0.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,17.4,64.0,7.4,2.22,0.5
10,13,4,27,11,4,1,1,1.0,0.0,0.0,70.0,0.0,2.0,0.0,1.2,0.0,0.0,17.4,64.0,7.4,2.22,0.76
8,13,4,27,11,4,1,0,1.0,20.0,7.0,39.0,20.0,1.0,39.0,0.288,0.0,0.455,25.38104,68.07,7.57,2.089,0.147
8,8,4,27,11,4,1,0,1.0,20.0,7.0,39.0,20.0,1.0,39.0,0.288,0.0,0.455,24.5692,68.53,6.95,2.247,0.135
10,0,4,27,11,4,1,2,0.0,0.0,7.0,55.0,0.0,2.0,0.0,11.25,0.0,0.0,15.39,60.04,6.54,1.998,2.135
10,0,4,27,11,4,1,2,0.0,0.0,15.0,55.0,0.0,2.0,0.0,11.25,0.0,0.0,15.39,60.04,6.54,1.998,0.849
8,0,4,27,11,4,1,2,0.0,0.0,12.0,30.0,0.0,2.0,0.0,140.0,0.0,0.0,7.73,64.83,8.25,2.664,0.32
8,0,4,27,11,4,1,2,0.0,240.0,6.0,16.0,1200.0,1.0,16.0,202.5,0.0,0.456,8.54,57.48,8.22,2.313,0.064
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,0.0,0.0,35.0,0.06,0.0,0.2,11.37,72.1,7.78,2.68,0.64
10,13,4,27,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,1.2,0.0,0.0,18.98238,67.6,7.36426,2.03974,0.27
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,1.2,3.3,0.0,18.98238,67.6,7.36426,2.03974,0.1
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,1.2,6.6,0.0,18.98238,67.6,7.46537,2.03974,0.21
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,1.2,9.9,0.0,18.98238,67.6,7.46537,2.03974,0.31
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,1.2,13.2,0.0,18.98238,67.6,7.46537,2.03974,0.28
7,13,4,27,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.13,0.0,0.0,30.8801,61.4561,6.54514,1.667,0.34
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.13,2.0,0.0,30.0375,60.661,6.85143,1.668,0.31
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.13,4.0,0.0,30.3496,59.7109,6.44457,1.613,0.24
