Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
0,13,4,27,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.17,0.27765,71.5,1.62,22.79181,9.1,14.81481
0,13,4,34,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,3.66885,0.17,0.28276,72.3,1.35,23.33835,9.0,16.66667
0,13,4,34,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,7.0174,0.17,0.27016,71.3,1.31,23.45908,8.7,12.9771
0,13,4,34,11,4,1,0,1.0,0.0,0.0,15.0,15.0,0.0,0.0,10.35227,0.17,0.26561,71.1,1.25,25.88788,8.7,13.2
10,13,4,27,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,0.0,1.2,0.0,72.29741,2.01423,18.89189,7.61099,35.3
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,3.3,1.2,0.0,73.39741,1.79573,18.89189,7.61099,28.0
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,6.6,1.2,0.0,69.09,1.83439,18.89189,7.60854,21.2
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,9.9,1.2,0.0,64.55,2.14198,18.89189,7.39161,16.8
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,13.2,1.2,0.0,62.48,2.11601,18.89189,7.39161,14.8
10,13,4,4,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,16.5,1.2,0.0,62.22,2.11601,18.89189,7.53961,8.3
7,8,4,27,11,4,1,0,1.0,40.0,6.0,13.0,13.0,1.0,20.0,0.0,0.06,0.72,55.0,3.2,12.8125,8.20028,12.84
8,8,4,13,11,4,1,0,1.0,0.0,11.0,22.0,22.0,0.0,0.0,2.25361,0.0035,0.87187,59.4,2.14,14.0972,5.51,16.2936
8,8,4,13,11,4,1,0,1.0,0.0,11.0,22.0,22.0,0.0,0.0,5.49018,0.0035,1.29982,57.5,2.15,16.63468,6.48,18.7427
8,8,4,27,11,4,1,0,1.0,0.0,11.0,22.0,22.0,0.0,0.0,0.0,0.0035,0.83456,58.2,2.13,13.34768,7.56,33.8826
7,4,0,27,11,4,1,0,1.0,30.0,180.0,45.0,45.0,1.0,17.0,0.0,2.4,6.67,55.0,1.09466,30.4875,7.87459,17.965
7,4,0,8,11,4,1,0,1.0,30.0,180.0,45.0,45.0,1.0,17.0,0.44444,2.4,6.67,55.0,1.12653,29.153,7.73601,3.22179
7,4,0,8,11,4,1,0,1.0,30.0,180.0,45.0,45.0,1.0,17.0,0.44444,2.4,6.67,55.0,1.03964,31.2883,7.7218,5.63813
7,4,4,27,11,4,1,0,1.0,0.0,12.0,112.0,112.0,0.0,0.0,0.0,0.026,2.024,61.9,2.36,26.10627,7.5,10.351
7,4,4,25,11,4,1,0,1.0,0.0,12.0,112.0,112.0,0.0,0.0,8.75,0.026,2.024,61.11,1.948,26.0,7.44468,2.046
7,4,4,25,11,4,1,0,1.0,0.0,12.0,112.0,112.0,0.0,0.0,8.75,0.026,2.024,61.11,1.948,26.0,7.44468,2.362
3,4,4,27,11,4,1,0,1.0,0.0,4.0,30.0,30.0,0.0,0.0,0.0,0.06,0.2,60.59701,1.9,20.0,6.1837,24.9
3,4,4,20,6,4,1,0,1.0,0.0,4.0,30.0,30.0,0.0,0.0,2.1383,0.06,0.2,61.405,2.11605,19.81481,4.77333,12.6
3,4,4,4,11,4,1,0,1.0,0.0,4.0,30.0,30.0,0.0,0.0,3.20088,0.06,0.2,64.445,2.38169,18.57481,4.41037,15.3
3,4,4,10,11,4,1,0,1.0,0.0,4.0,30.0,30.0,0.0,0.0,2.216,0.06,0.2,60.765,1.91605,20.50481,5.00148,8.9
