Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4, Composting Method,M1_is Enclosed,V2_Ventilation Interval (min),Turning times,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
7,13,4,27,11,4,1,0,1.0,0.0,9.0,50.0,15.3,0.0,12.0,0.0,0.1,0.40262,60.0,1.90778,31.0074,6.53,36.3
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,16.0,0.0,0.0,2.0,0.1,0.40262,60.0,1.84077,30.0553,6.85,33.2
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,9.3,0.0,0.0,4.0,0.1,0.35462,60.0,1.72135,30.3317,6.46,26.6
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,13.4,0.0,4.0,6.0,0.1,0.30662,60.0,1.77332,30.5467,6.52,20.4
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,12.0,0.0,8.0,8.0,0.1,0.53824,60.0,1.71804,31.0381,6.5,14.9
7,13,4,8,11,4,1,0,1.0,0.0,9.0,50.0,12.9,0.0,8.0,10.0,0.1,0.28162,60.0,1.73733,30.7924,6.55,10.7
10,13,4,27,11,4,1,0,1.0,0.0,9.0,50.0,50.0,0.0,0.0,0.0,0.1,0.3,55.0,2.084,25.0,7.74382,2.49315
10,13,4,2,11,4,1,0,1.0,0.0,9.0,50.0,50.0,0.0,0.0,10.0,0.1,0.3,61.55,2.02738,21.32812,8.21499,1.56621
10,13,4,2,15,4,1,0,1.0,0.0,9.0,50.0,50.0,0.0,0.0,20.0,0.1,0.3,63.47,2.27035,19.30474,8.13921,0.86301
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,50.0,0.0,0.0,20.5,0.1,0.3,63.47,2.25157,19.30474,8.0173,0.83105
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,50.0,0.0,0.0,21.0,0.1,0.3,65.6,2.22972,20.24298,7.84926,0.67656
10,13,4,2,15,5,1,0,1.0,0.0,9.0,50.0,50.0,0.0,0.0,22.0,0.1,0.3,63.18,2.06596,19.96907,7.82949,0.58067
8,8,4,27,11,4,1,0,1.0,0.0,7.0,34.0,34.0,0.0,0.0,0.0,0.005,0.03367,67.6,1.46,33.5,6.1,8.7
8,8,4,24,13,4,1,0,1.0,0.0,7.0,34.0,34.0,0.0,0.0,7.73359,0.005,0.03367,67.3,1.22,33.52459,7.65,7.87
8,8,4,14,13,4,1,0,1.0,0.0,7.0,34.0,34.0,0.0,0.0,7.12828,0.005,0.03367,66.8,1.24,33.1129,6.7,6.6
8,8,4,24,13,4,1,0,1.0,0.0,7.0,34.0,34.0,0.0,0.0,6.05043,0.005,0.03367,66.0,1.32,31.5303,6.43,3.5
7,13,4,27,11,4,1,0,1.0,0.0,13.0,91.0,33.6,0.0,0.0,0.0,0.25,0.6072,60.0,1.99,20.0,7.99441,12.9281
7,13,4,2,11,4,1,0,1.0,0.0,13.0,91.0,33.6,0.0,0.0,12.5,0.25,0.62702,60.0,2.02,20.0,7.90629,9.06668
7,13,4,12,11,4,1,0,1.0,0.0,13.0,91.0,28.0,0.0,0.0,12.5,0.25,0.51591,60.0,1.93,20.0,7.55385,4.30644
7,13,4,2,5,4,1,0,1.0,0.0,13.0,91.0,68.6,0.0,0.0,25.0,0.25,0.85135,60.0,1.96,20.0,7.45315,2.61249
7,13,4,27,11,4,1,0,1.0,0.0,13.0,91.0,27.4,0.0,0.0,0.0,0.25,0.4348,60.0,7.87,25.0,7.61678,10.7421
7,13,4,2,11,4,1,0,1.0,0.0,13.0,91.0,32.4,0.0,0.0,12.5,0.25,0.4648,60.0,1.78,25.0,7.67972,7.72635
7,13,4,12,11,4,1,0,1.0,0.0,13.0,91.0,32.4,0.0,0.0,12.5,0.25,0.4648,60.0,1.82,25.0,7.17622,3.65344
7,13,4,2,5,4,1,0,1.0,0.0,13.0,91.0,73.6,0.0,0.0,25.0,0.25,0.88135,60.0,1.76,25.0,7.26434,2.32943
7,13,4,27,11,4,1,0,1.0,0.0,13.0,91.0,33.6,0.0,0.0,0.0,0.25,0.6072,60.0,1.67,30.0,7.55385,7.81575
7,13,4,2,11,4,1,0,1.0,0.0,13.0,91.0,40.8,0.0,0.0,12.5,0.25,0.5348,60.0,1.63,30.0,7.5035,4.11289
7,13,4,12,11,4,1,0,1.0,0.0,13.0,91.0,30.8,0.0,0.0,12.5,0.25,0.4748,60.0,1.7,30.0,7.15105,3.05309
7,13,4,2,5,4,1,0,1.0,0.0,13.0,91.0,73.6,0.0,0.0,25.0,0.25,0.88135,60.0,1.52,30.0,7.12587,2.04637
0,5,4,27,11,4,1,0,1.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.00025,17.85714,50.0,1.52,23.45395,8.3,23.37209
0,5,4,30,11,4,1,0,1.0,0.0,1.0,100.0,100.0,0.0,0.0,50.0,0.00025,11.90476,50.0,1.04,22.89423,7.2,14.48837
0,5,4,38,11,4,1,0,1.0,0.0,1.0,100.0,100.0,0.0,0.0,50.0,0.00025,11.90476,50.0,1.02,23.34314,8.3,16.25581
0,5,4,30,15,4,1,0,1.0,0.0,1.0,100.0,100.0,0.0,0.0,50.0,0.00025,11.90476,50.0,1.03,23.1165,7.5,19.37209
0,13,4,27,11,4,1,0,1.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.00025,8.92857,50.0,1.0,37.16,8.2,9.98214
0,13,4,30,11,4,1,0,1.0,0.0,1.0,100.0,100.0,0.0,0.0,25.0,0.00025,7.14286,50.0,0.82,36.2561,7.0,13.01724
0,13,4,38,11,4,1,0,1.0,0.0,1.0,100.0,100.0,0.0,0.0,25.0,0.00025,7.14286,50.0,0.8,37.1625,8.0,11.78571
0,13,4,30,15,4,1,0,1.0,0.0,1.0,100.0,100.0,0.0,0.0,25.0,0.00025,7.14286,50.0,0.81,36.7037,7.3,10.94737
0,8,4,27,11,4,1,0,1.0,0.0,1.0,100.0,100.0,0.0,0.0,0.0,0.00025,8.92857,50.0,0.85,47.54118,7.7,6.04167
0,8,4,30,11,4,1,0,1.0,0.0,1.0,100.0,100.0,0.0,0.0,25.0,0.00025,7.14286,50.0,0.7,46.18571,6.7,14.4898
0,8,4,38,11,4,1,0,1.0,0.0,1.0,100.0,100.0,0.0,0.0,25.0,0.00025,7.14286,50.0,0.68,47.54412,7.6,10.1875
0,8,4,30,15,4,1,0,1.0,0.0,1.0,100.0,100.0,0.0,0.0,25.0,0.00025,7.14286,50.0,0.69,46.85507,6.9,16.33333
1,5,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.01,0.28,69.0,3.7,11.0,6.31576,12.68381
1,6,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.01,0.28,63.0,3.7,11.0,5.54199,12.08819
1,6,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.01,0.28,66.0,3.7,11.0,5.8684,12.98188
1,8,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.01,0.28,65.0,2.85034,14.7,5.83974,10.27237
1,8,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.01,0.28,67.0,3.2093,12.9,5.8684,10.55777
1,5,4,2,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,25.0,0.01,0.28,65.0,2.93413,16.7,7.65398,9.08721
1,5,4,2,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,14.28571,0.01,0.28,67.0,3.24286,14.0,7.69448,9.48959
1,13,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.01,0.28,65.0,2.95714,14.0,5.85211,9.09293
1,2,4,27,11,4,1,0,1.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.01,0.28,65.0,3.34711,12.1,5.54199,11.69221
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.0,0.06,0.24,64.1,2.36,14.7,8.6,13.9
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.0,0.06,0.48,65.2,2.08,18.3,8.5,18.7
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.0,0.06,0.72,63.7,1.9,20.7,8.3,20.6
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.0,0.06,0.24,71.3,2.06,18.4,8.5,12.7
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.0,0.06,0.48,70.6,1.9,21.1,8.3,16.9
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.0,0.06,0.72,70.8,2.35,15.0,8.7,32.4
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.0,0.06,0.24,75.7,1.93,21.2,8.4,9.6
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.0,0.06,0.48,76.8,2.37,14.9,8.6,27.7
10,13,4,27,11,4,1,0,1.0,0.0,4.0,37.0,37.0,0.0,0.0,0.0,0.06,0.72,74.0,2.09,18.0,8.6,24.9
0,5,4,27,11,4,1,1,1.0,0.0,0.0,21.0,21.0,2.0,0.0,0.0,0.093,0.0,71.66,2.12293,16.55435,9.19,5.37
0,5,4,27,11,4,1,1,1.0,0.0,0.0,21.0,21.0,2.0,0.0,0.0,0.462,0.0,69.89,2.03693,16.936,8.49,2.589
10,13,4,27,11,4,1,0,1.0,0.0,1.0,31.0,30.0,0.0,0.0,2.1224,0.95,0.312,69.47,2.57,13.16342,7.13,23.81
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.0,0.0,0.1559,0.85624,66.03,1.817,21.96203,7.51926,12.59
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.0,0.0,0.2984,0.85624,65.69,1.813,21.51131,7.51926,16.16
0,8,4,27,11,4,1,0,1.0,0.0,9.0,35.0,35.0,0.0,0.0,0.0,0.5697,0.85624,66.14,1.796,21.64477,7.51926,17.44
10,13,4,27,11,4,1,1,0.0,0.0,10.0,70.0,0.0,2.0,0.0,0.0,1.2,0.0,64.0,2.22,17.4,7.4,29.5
10,13,4,27,11,4,1,1,1.0,0.0,10.0,70.0,0.0,2.0,0.0,0.0,1.2,0.0,64.0,2.22,17.4,7.4,26.6
10,13,4,27,11,4,1,1,0.0,0.0,5.0,70.0,0.0,2.0,0.0,0.0,1.2,0.0,64.0,2.22,17.4,7.4,27.9
10,13,4,27,11,4,1,1,1.0,0.0,5.0,70.0,0.0,2.0,0.0,0.0,1.2,0.0,64.0,2.22,17.4,7.4,23.7
10,13,4,27,11,4,1,1,0.0,0.0,0.0,70.0,0.0,2.0,0.0,0.0,1.2,0.0,64.0,2.22,17.4,7.4,12.8
10,13,4,27,11,4,1,1,1.0,0.0,0.0,70.0,0.0,2.0,0.0,0.0,1.2,0.0,64.0,2.22,17.4,7.4,10.3
10,0,4,27,11,4,1,2,0.0,0.0,7.0,55.0,0.0,2.0,0.0,0.0,11.25,0.0,60.04,1.998,15.39,6.54,4.51
10,0,4,27,11,4,1,2,0.0,0.0,15.0,55.0,0.0,2.0,0.0,0.0,11.25,0.0,60.04,1.998,15.39,6.54,2.502
8,0,4,27,11,4,1,2,0.0,0.0,12.0,30.0,0.0,2.0,0.0,0.0,140.0,0.0,64.83,2.664,7.73,8.25,4.44
8,0,4,27,11,4,1,2,0.0,240.0,6.0,16.0,16.0,1.0,1200.0,0.0,202.5,0.456,57.48,2.313,8.54,8.22,2.18
8,13,4,27,11,4,1,0,1.0,0.0,5.0,35.0,35.0,0.0,0.0,0.0,0.06,0.2,72.1,2.68,11.37,7.78,21.16
10,13,4,27,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,0.0,1.2,0.0,67.6,2.03974,18.98238,7.56254,35.7
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,3.3,1.2,0.0,67.6,2.03974,18.98238,7.56254,27.4
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,6.6,1.2,0.0,67.6,2.03974,18.98238,7.56454,20.7
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,9.9,1.2,0.0,67.6,2.03974,18.98238,7.59995,15.7
10,13,4,4,11,4,1,0,1.0,0.0,7.0,56.0,0.0,2.0,0.0,13.2,1.2,0.0,67.6,2.03974,18.98238,7.46075,12.9
7,13,4,27,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,0.0,0.13,0.0,61.4561,1.667,30.8801,6.54514,36.3
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,2.0,0.13,0.0,60.661,1.668,30.0375,6.85143,33.2
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,4.0,0.13,0.0,59.7109,1.613,30.3496,6.44457,26.6
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,6.0,0.13,0.0,60.4548,1.562,30.568,6.54057,20.4
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,8.0,0.13,0.0,60.0684,1.563,30.8801,6.49486,14.9
7,13,4,8,11,4,1,0,1.0,0.0,9.0,28.0,0.0,2.0,0.0,10.0,0.13,0.0,59.4546,1.555,31.0362,6.55429,10.7
0,13,4,27,11,4,1,1,0.0,0.0,12.0,64.0,0.0,2.0,0.0,0.0,1.0,0.0,74.0,2.23336,23.79619,7.9,8.12
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,0.0,2.0,0.0,0.0,1.0,0.0,74.0,2.28344,23.79619,7.9,7.47
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,0.0,2.0,0.0,0.0,1.0,0.0,74.0,2.23179,23.79619,7.9,16.56
0,13,4,27,11,4,1,1,1.0,0.0,12.0,64.0,64.0,0.0,0.0,0.0,1.0,1.157,74.0,2.11755,19.62,7.9,22.51
7,13,2,27,11,4,1,0,1.0,30.0,0.0,25.0,25.0,1.0,30.0,0.0,0.06,0.08242,60.0,2.23049,19.76844,6.99231,0.04311
7,13,2,27,11,4,1,0,1.0,30.0,0.0,25.0,25.0,1.0,30.0,0.0,0.06,0.82645,60.0,2.2314,20.12346,7.1,10.75926
7,13,2,27,11,4,1,0,1.0,30.0,0.0,25.0,25.0,1.0,30.0,0.0,0.06,1.64384,60.0,2.23068,20.01965,6.9,19.90911
10,5,4,27,11,4,1,1,0.0,0.0,0.0,74.1,0.0,2.0,0.0,0.0,0.4,0.0,77.53,1.67264,6.53,6.2,2.6
10,0,4,27,11,4,1,1,0.0,0.0,0.0,81.2,0.0,2.0,0.0,0.0,0.4,0.0,66.71,2.28152,6.81,7.01,1.2
10,0,4,27,11,4,1,1,0.0,0.0,0.0,70.9,0.0,2.0,0.0,0.0,0.4,0.0,66.36,2.13197,9.22,7.41,0.55
10,0,4,27,11,4,1,1,0.0,0.0,0.0,65.0,0.0,2.0,0.0,0.0,14.35221,0.0,67.68,2.05837,7.35,7.59,0.15
10,0,4,27,11,4,1,1,0.0,0.0,0.0,65.0,0.0,2.0,0.0,0.0,14.35221,0.0,66.26,2.0134,7.24,8.04,0.25
8,8,4,27,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.03,0.22286,72.13,2.21,19.11,5.67,19.05908
8,13,4,27,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.03,0.20526,69.74,2.93,13.27,7.56,13.69849
8,4,4,27,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.03,0.21455,71.05,3.48,13.56,8.08,11.68199
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,28.0,1.0,30.0,0.0,0.07122,0.8589,60.0,2.6237,15.04166,7.26949,18.35
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,28.0,1.0,30.0,0.0,0.07122,0.92562,60.0,1.99111,19.96354,7.41759,20.72
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,28.0,1.0,30.0,0.0,0.07122,0.90323,60.0,1.60222,24.98683,6.59754,25.05
10,13,4,27,11,4,1,0,1.0,30.0,2.0,28.0,28.0,1.0,30.0,0.0,0.07122,0.90909,60.0,1.32741,30.22585,6.54039,25.95
2,5,4,27,11,4,1,0,1.0,60.0,4.0,28.0,28.0,1.0,30.0,0.0,0.06,1.20727,66.9,1.5,25.0,5.75,34.9
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,28.0,1.0,30.0,0.0,0.06,0.96434,58.6,1.7,20.9,5.36,18.2
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,28.0,1.0,30.0,0.0,0.06,0.85547,53.1,1.9,18.7,5.13,6.5
2,0,4,27,11,4,1,0,1.0,60.0,4.0,28.0,28.0,1.0,30.0,0.0,0.06,0.76023,47.5,2.0,16.8,5.04,1.4
0,5,4,27,11,4,1,2,0.0,0.0,0.0,287.0,0.0,2.0,0.0,0.0,0.04906,0.0,80.89,2.516,18.15183,7.47,16.06
0,5,4,27,11,4,1,2,0.0,0.0,0.0,287.0,0.0,2.0,0.0,0.0,0.09813,0.0,80.82,2.83,16.16184,7.42,7.55
7,8,4,27,11,4,1,0,1.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.02,0.2,73.67,3.12,9.89,8.04,13.53
10,5,4,27,11,4,1,1,0.0,0.0,18.0,65.0,0.0,2.0,0.0,0.0,0.50221,0.0,80.3,2.204,15.4,7.6,35.57169
10,13,4,27,11,4,1,1,0.0,0.0,18.0,65.0,0.0,2.0,0.0,0.0,0.806,0.0,70.4,1.783,28.3,7.38,27.93045
10,13,4,27,11,4,1,1,0.0,0.0,18.0,65.0,0.0,2.0,0.0,0.0,0.786,0.0,71.6,1.828,30.2,7.42,25.76586
10,0,4,27,11,4,1,1,0.0,0.0,18.0,65.0,0.0,2.0,0.0,0.0,0.826,0.0,70.1,1.841,24.7,7.42,11.02662
0,13,4,27,11,4,1,2,0.0,0.0,1.0,88.0,0.0,2.0,0.0,0.0,10.0,0.0,72.5,1.86,24.8,7.63024,11.0
0,13,4,27,11,4,1,2,0.0,0.0,1.0,88.0,0.0,2.0,0.0,0.0,10.0,0.0,72.5,1.86,24.8,7.63024,17.0
0,13,4,27,11,4,1,2,0.0,0.0,3.0,88.0,0.0,2.0,0.0,0.0,10.0,0.0,72.5,1.86,24.8,7.67371,51.0
0,13,4,27,11,4,1,2,0.0,0.0,3.0,88.0,0.0,2.0,0.0,0.0,10.0,0.0,72.5,1.86,24.8,7.67371,18.0
0,13,4,27,11,4,1,2,0.0,0.0,0.0,85.0,0.0,2.0,0.0,0.0,10.0,0.0,74.8,1.96,22.3,7.722,1.0
0,13,4,27,11,4,1,2,0.0,0.0,1.0,85.0,0.0,2.0,0.0,0.0,10.0,0.0,74.8,1.96,22.3,7.63024,2.0
0,13,4,27,11,4,1,2,0.0,0.0,3.0,85.0,0.0,2.0,0.0,0.0,10.0,0.0,74.8,1.96,22.3,7.75571,2.0
8,0,4,27,11,4,1,1,0.0,40.0,5.0,37.0,37.0,1.0,20.0,0.0,1.0,0.45609,65.0,1.227,25.0,8.3245,19.13405
8,0,4,2,11,4,1,1,0.0,40.0,5.0,37.0,37.0,1.0,20.0,5.0,1.0,0.31673,65.0,1.227,25.0,8.64669,14.06262
8,0,4,2,11,4,1,1,0.0,40.0,5.0,37.0,37.0,1.0,20.0,10.0,1.0,0.46528,65.0,1.227,25.0,7.25835,16.01476
0,13,4,37,11,4,1,2,0.0,0.0,14.0,51.0,0.0,2.0,0.0,5.7,0.258,0.0,65.0,1.66572,15.0,7.69492,9.74576
0,13,4,27,11,4,1,2,0.0,0.0,14.0,51.0,0.0,2.0,0.0,0.0,0.762,0.0,65.0,1.60453,20.0,7.73729,6.61589
0,13,4,27,11,4,1,2,0.0,0.0,14.0,51.0,0.0,2.0,0.0,0.0,0.648,0.0,65.0,1.58074,25.0,7.59322,4.66473
0,13,4,27,11,4,1,2,0.0,0.0,14.0,51.0,0.0,2.0,0.0,0.0,0.541,0.0,65.0,1.51445,30.0,7.37288,4.133
0,13,4,27,11,4,1,2,0.0,0.0,14.0,51.0,0.0,2.0,0.0,0.0,0.224,0.0,65.0,1.39037,35.0,7.26271,3.11185
8,0,4,27,11,4,1,1,0.0,40.0,0.0,26.0,26.0,1.0,20.0,0.0,1.3,0.96402,70.0,1.13,20.42,7.8,11.57481
8,0,4,27,11,4,1,1,0.0,40.0,0.0,26.0,26.0,1.0,20.0,0.0,1.3,0.96402,70.0,1.13,20.42,7.8,14.23691
8,0,4,27,11,4,1,1,0.0,40.0,0.0,26.0,26.0,1.0,20.0,0.0,1.3,0.96402,70.0,1.13,20.42,7.8,18.31547
8,8,9,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.66071,63.453,2.29,11.67616,5.45847,18.382
8,8,4,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.61261,62.8218,2.46,10.8911,5.22591,18.095
8,8,9,27,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.62761,63.5272,2.39,11.37506,7.51163,28.3484
8,8,4,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.59832,61.745,2.26,12.39416,5.30565,20.6739
8,8,9,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.74041,62.5248,2.29,12.03611,6.14286,13.8777
8,8,4,27,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.62761,62.0792,2.46,9.48508,7.63123,29.4174
8,13,4,27,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.87469,60.3523,2.14,12.19238,7.02381,22.7325
8,13,4,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.95861,61.1092,2.12,12.4725,6.67262,20.3273
8,13,4,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.8968,62.0116,2.25,12.03702,6.2619,17.2198
8,13,4,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.74041,62.5648,2.36,11.47597,6.15476,11.7777
8,0,4,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.74041,61.575,2.17,12.56143,5.63095,14.7074
8,8,4,27,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.9373,63.1761,2.31,9.94831,7.07143,29.8424
8,13,4,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.80356,57.5744,2.0,13.48335,6.53433,9.1448
8,13,4,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.96002,61.183,2.03,11.29719,7.32836,7.9158
8,13,4,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.86688,60.5878,2.24,10.25299,7.3806,5.0544
8,13,4,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.81956,59.9182,2.15,10.58916,7.26045,14.8176
8,13,4,16,11,4,1,0,1.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.002,0.90011,61.0342,2.21,10.28656,7.30224,23.2875
8,8,4,27,11,4,1,0,1.0,120.0,0.0,20.0,20.0,1.0,60.0,0.0,0.004,1.06197,71.2,2.46,16.4,7.43,2.66375
8,8,4,24,11,4,1,0,1.0,120.0,0.0,20.0,20.0,1.0,60.0,3.97507,0.004,0.59607,69.1,2.74,12.5,7.19,1.57823
8,8,4,24,13,4,1,0,1.0,120.0,0.0,20.0,20.0,1.0,60.0,4.22027,0.004,0.63607,69.8,2.52,13.8,7.1,1.86471
8,8,4,31,11,4,1,0,1.0,120.0,0.0,20.0,20.0,1.0,60.0,3.97507,0.004,0.66339,70.0,2.62,13.3,7.45,3.84607
10,13,4,27,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,1.37,0.108,69.4,1.37255,29.0,8.8,16.5
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,1.7301,1.37,0.108,71.1,1.6609,24.7,9.1,27.5
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,1.38889,1.37,0.108,71.2,2.39583,17.6,8.8,38.7
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,3.7037,1.37,0.108,67.6,2.19136,19.0,9.0,48.9
10,13,4,37,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,0.32468,1.37,0.108,69.2,2.33766,19.5,8.6,36.2
10,8,9,37,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,2.06897,1.37,0.108,71.0,2.31034,21.2,9.2,47.9
10,13,4,16,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,0.0,1.37,0.108,70.3,2.22222,19.6,7.5,24.8
10,8,9,37,11,4,1,2,1.0,0.0,0.0,56.0,56.0,0.0,0.0,2.83688,1.18,0.108,71.8,2.30496,19.5,8.4,24.9
10,5,4,27,11,4,1,0,1.0,0.0,2.0,31.6,31.6,0.0,0.0,0.0,0.3,0.06349,68.5,3.94,9.78122,6.52034,4.37643
7,5,4,27,11,4,1,0,1.0,0.0,2.0,31.6,31.6,0.0,0.0,0.0,0.3,0.07479,68.8,5.088,7.99509,6.42936,10.20627
1,5,4,27,11,4,1,0,1.0,0.0,2.0,30.9,30.9,0.0,0.0,0.0,0.3,0.13333,62.5,3.59,9.00195,6.69721,0.31793
3,8,4,27,11,4,1,0,1.0,0.0,2.0,31.7,31.7,0.0,0.0,0.0,0.3,0.17423,49.3,3.303,15.85104,6.46264,0.01038
3,8,4,27,11,4,1,0,1.0,0.0,2.0,31.7,31.7,0.0,0.0,0.0,0.3,0.14742,59.3,3.253,15.62558,6.46264,0.00975
3,8,4,27,11,4,1,0,1.0,0.0,2.0,30.9,30.9,0.0,0.0,0.0,0.3,0.13839,44.6,2.079,22.83357,7.18537,0.09463
1,8,4,27,11,4,1,0,1.0,0.0,2.0,31.6,31.6,0.0,0.0,0.0,0.3,0.10315,69.3,4.346,10.15002,6.89681,0.5021
1,8,4,27,11,4,1,0,1.0,0.0,2.0,31.7,31.7,0.0,0.0,0.0,0.3,0.04877,41.9,1.588,21.21348,6.61512,0.00133
5,5,4,27,11,4,1,0,1.0,0.0,2.0,30.7,30.7,0.0,0.0,0.0,0.3,0.09,50.0,2.239,19.34033,7.92022,0.04284
5,5,4,27,11,4,1,0,1.0,0.0,2.0,30.8,30.8,0.0,0.0,0.0,0.3,0.14399,53.7,1.455,21.86667,6.50432,0.21616
8,5,4,27,11,4,1,0,1.0,0.0,2.0,30.9,30.9,0.0,0.0,0.0,0.3,0.16469,49.4,8.502,4.89179,6.89681,2.09466
1,5,4,27,11,4,1,0,1.0,0.0,2.0,31.6,31.6,0.0,0.0,0.0,0.3,0.1738,62.6,6.956,5.22225,6.46151,0.53156
